,Within-Class Variance,Between-Class Variance,Fisher Ratio,Mean CV
Raw,0.00024282961786176483,0.0004604046458012843,1.8959987247658479,2.0664143383796563
ALS,7.387607982620382e-05,0.00022665296721201394,3.068015624884582,0.8192891684381112
ALS+SNV,0.09045963529654699,0.4990173605074769,5.516464430478699,2.8201297683054256
ALS+MSC,0.0001069139734389923,0.0003529117769075497,3.3008947806895392,1.200478679536927
ALS+MinMax,0.00217461614464578,0.011366241621232216,5.226780666195985,0.2638442756340489
ALS+L2,1.8173243714255222e-05,0.00010354388237058759,5.697600494366728,0.7370124801817127
Poly+SNV,0.09132151743837938,0.5468335909746997,5.9880037729737055,1.4507669275755384
ALS+SNV+D1,0.0009732117096137357,0.0010590948666100043,1.0882471472012551,6.012829441071757
ALS+L2+D1,1.8925047521180568e-07,2.1453120325446516e-07,1.1335834322971488,7.602772472314707
