Pipeline,Composite Score,Fisher Ratio,Silhouette Score,Davies-Bouldin,Within-Class Var,Between-Class Var,Mean CV,PC1+PC2 Var (%)
Poly+SNV,0.8270407320337014,5.9880037729737055,0.33735371656942165,1.3151745777705526,0.09132151743837938,0.5468335909746997,1.4507669275755384,72.088405796995
ALS+L2,0.8258809277898108,5.697600494366728,0.3830171958948308,1.2555556212822867,1.8173243714255222e-05,0.00010354388237058759,0.7370124801817127,69.53561145493777
ALS+SNV,0.8023628202349431,5.516464430478699,0.3872740796552534,1.2861456099258723,0.09045963529654699,0.4990173605074769,2.8201297683054256,68.7359218143835
ALS+MinMax,0.7916620970304913,5.226780666195985,0.34976719862552275,1.284790549515066,0.00217461614464578,0.011366241621232216,0.2638442756340489,71.17815323382854
ALS+MSC,0.6800397656637042,3.3008947806895392,0.35452419012664294,1.308129931234989,0.0001069139734389923,0.0003529117769075497,1.200478679536927,66.44441898955817
ALS,0.48014994677660694,3.068015624884582,-0.013683040004198914,2.2641539873240393,7.387607982620382e-05,0.00022665296721201394,0.8192891684381112,70.54007126579262
ALS+L2+D1,0.354101023921824,1.1335834322971488,0.0794053148101551,1.790211392992179,1.8925047521180568e-07,2.1453120325446516e-07,7.602772472314707,39.84059018052366
ALS+SNV+D1,0.336883019248038,1.0882471472012551,0.06685422660528072,1.8791277290366175,0.0009732117096137357,0.0010590948666100043,6.012829441071757,38.70815411816497
Raw,0.2845464609586855,1.8959987247658479,-0.12776661405539608,3.7575745407861034,0.00024282961786176483,0.0004604046458012843,2.0664143383796563,69.95371030098063
