Spectrum_ID,Sample_ID,Type,Origin,Min_Transmittance,Max_Transmittance,Mean_Transmittance,Std_Transmittance,Range_Transmittance,Spectral_Points
0070,RAY_188,Regenerated cellulose (Rayon),Man-made,74.21,101.85,96.1266444508844,5.834901592904706,27.64,3451
0071,RAY_197,Regenerated cellulose (Rayon),Man-made,72.44,100.98,95.10722109533435,5.91869258791564,28.540000000000006,3451
0072,RAY_198,Regenerated cellulose (Rayon),Man-made,84.15,101.48,98.06543900318778,3.6108620306564534,17.33,3451
0073,RAY_186,Regenerated cellulose (Rayon),Man-made,59.79,96.17,87.97058533758326,7.723120496978063,36.38,3451
0074,RAY_189,Regenerated cellulose (Rayon),Man-made,70.46,99.63,93.67077368878593,5.905128439064317,29.17,3451
0075,RAY_190,Regenerated cellulose (Rayon),Man-made,61.26,100.3,92.43597218197628,7.795105750640669,39.04,3451
0076,RAY_191,Regenerated cellulose (Rayon),Man-made,69.67,98.3,92.52184873949571,5.618342657032844,28.629999999999995,3451
0077,RAY_192,Regenerated cellulose (Rayon),Man-made,77.79,100.92,95.33372645609961,4.935337338458799,23.129999999999995,3451
0078,RAY_193,Regenerated cellulose (Rayon),Man-made,65.32,96.16,91.19584758041144,5.816783827275708,30.840000000000003,3451
0079,RAY_194,Regenerated cellulose (Rayon),Man-made,78.0,100.67,95.93735149232086,4.623582990854998,22.67,3451
0080,RAY_195,Regenerated cellulose (Rayon),Man-made,70.44,98.71,93.47648217907845,5.806349777437346,28.269999999999996,3451
0081,RAY_196,Regenerated cellulose (Rayon),Man-made,74.82,100.46,95.31051869023457,5.166413179749002,25.64,3451
0082,SIL_16_2,Protein,Natural,63.88,97.64,90.58501593740955,7.158801114928897,33.76,3451
0083,SIL_16_3,Protein,Natural,67.87,99.63,91.39845841784987,7.741766424868365,31.75999999999999,3451
0084,SIL_16_4,Protein,Natural,88.67,101.49,98.75865835989562,2.4288848044481575,12.819999999999993,3451
0085,SIL_16_3,Protein,Natural,70.06,97.59,91.91319327731131,5.816423340193804,27.53,3451
0086,SIL_16_4,Protein,Natural,73.26,99.52,92.93246595189821,5.973481538495087,26.25999999999999,3451
0087,SIL_17_1,Protein,Natural,84.84,100.35,96.36409156766176,3.4788499778067368,15.509999999999991,3451
0088,SIL_17_4,Protein,Natural,81.81,102.24,97.6307418139668,4.635646792254891,20.429999999999993,3451
0089,SIL_18_1,Protein,Natural,73.66,101.32,94.42438133874248,6.708877901629589,27.659999999999997,3451
0090,SIL_18_1,Protein,Natural,85.33,103.23,98.67784989858026,4.256407937765245,17.900000000000006,3451
0091,SIL_17_3,Protein,Natural,61.44,99.67,89.42567371776303,9.361642760483212,38.230000000000004,3451
0092,SIL_16_3,Protein,Natural,75.8,100.6,95.5501159084321,4.960691586095118,24.799999999999997,3451
0093,VIS_A,Regenerated cellulose (Rayon),Man-made,69.73,97.57,92.79692842654302,5.708537466985202,27.83999999999999,3451
0094,WOL_11_3,Protein,Natural,70.58,98.53,91.08760938858299,6.727352346687433,27.950000000000003,3451
0095,WOL_13_4,Protein,Natural,67.01,98.49,90.20244277021125,7.707997512123265,31.47999999999999,3451
0096,WOL_14_1,Protein,Natural,66.5,101.05,91.06960301361912,8.581412641946638,34.55,3451
0097,WOL_14_2,Protein,Natural,49.02,99.69,86.47122573167204,12.233926673048984,50.669999999999995,3451
0098,WOL_14_3,Protein,Natural,68.23,97.58,89.31021732831081,6.837685119751545,29.349999999999994,3451
0099,WOL_14_4,Protein,Natural,77.23,97.35,92.13474645030416,4.9248237742012995,20.11999999999999,3451
0100,WOL_15_1,Protein,Natural,80.9,101.53,95.98211532889002,4.684408541531726,20.629999999999995,3451
0101,WOL_15_2,Protein,Natural,74.62,99.74,92.73431758910456,5.88820101846248,25.11999999999999,3451
0102,WOL_15_3,Protein,Natural,78.21,97.07,92.32773399014768,4.399621314800751,18.86,3451
0103,WOL_15_4,Protein,Natural,88.73,100.92,97.87551144595783,2.7384636965033704,12.189999999999998,3451
0104,WOL_11_3,Protein,Natural,85.26,100.46,95.60438133874213,3.76860287749502,15.199999999999989,3451
0105,WOL_11_3,Protein,Natural,71.92,99.51,92.28037960011615,6.476068398024536,27.590000000000003,3451
0106,WOL_11_4,Protein,Natural,76.49,103.56,95.97827586206867,6.4318326950616775,27.070000000000007,3451
0107,WOL_12_1,Protein,Natural,73.58,101.28,93.38903216459,6.809467754985024,27.700000000000003,3451
0108,WOL_12_2,Protein,Natural,73.49,102.38,93.6223123732251,7.129139836979066,28.89,3451
0109,WOL_12_3,Protein,Natural,73.28,102.81,94.33661257606498,7.316260655554163,29.53,3451
0110,WOL_14_3,Protein,Natural,65.09,97.92,88.38768472906416,7.941408691686838,32.83,3451
0111,WOL_12_3,Protein,Natural,59.05,101.42,90.0141958852506,10.409764638970765,42.370000000000005,3451
0112,WOL_A,Protein,Natural,77.95,100.73,95.14047812228351,4.879874420359129,22.78,3451
0113,WOL_12_4,Protein,Natural,69.74,98.66,92.39055056505372,5.962023205698002,28.92,3451
0114,WOL_13_1,Protein,Natural,74.59,94.67,89.2936829904375,4.746164566276046,20.08,3451
0115,WOL_13_2,Protein,Natural,60.02,99.4,89.55148942335563,9.753145759221841,39.38,3451
0116,WOL_13_3,Protein,Natural,49.37,100.78,87.77774847870171,12.203501036832737,51.410000000000004,3451
