Created as New Dataset,Forensic, 3
cm-1,%T
3648.00,96.82
3647.00,96.81
3646.00,96.81
3645.00,96.79
3644.00,96.76
3643.00,96.72
3642.00,96.69
3641.00,96.69
3640.00,96.69
3639.00,96.69
3638.00,96.68
3637.00,96.66
3636.00,96.64
3635.00,96.62
3634.00,96.62
3633.00,96.63
3632.00,96.63
3631.00,96.60
3630.00,96.55
3629.00,96.50
3628.00,96.47
3627.00,96.46
3626.00,96.43
3625.00,96.40
3624.00,96.39
3623.00,96.39
3622.00,96.38
3621.00,96.37
3620.00,96.35
3619.00,96.32
3618.00,96.31
3617.00,96.29
3616.00,96.27
3615.00,96.24
3614.00,96.22
3613.00,96.21
3612.00,96.21
3611.00,96.19
3610.00,96.17
3609.00,96.16
3608.00,96.15
3607.00,96.15
3606.00,96.14
3605.00,96.12
3604.00,96.12
3603.00,96.12
3602.00,96.11
3601.00,96.09
3600.00,96.07
3599.00,96.06
3598.00,96.05
3597.00,96.05
3596.00,96.03
3595.00,96.01
3594.00,95.98
3593.00,95.97
3592.00,95.97
3591.00,95.98
3590.00,95.99
3589.00,95.98
3588.00,95.97
3587.00,95.96
3586.00,95.94
3585.00,95.91
3584.00,95.87
3583.00,95.83
3582.00,95.81
3581.00,95.80
3580.00,95.79
3579.00,95.77
3578.00,95.75
3577.00,95.72
3576.00,95.68
3575.00,95.65
3574.00,95.62
3573.00,95.60
3572.00,95.59
3571.00,95.60
3570.00,95.60
3569.00,95.60
3568.00,95.58
3567.00,95.55
3566.00,95.52
3565.00,95.48
3564.00,95.44
3563.00,95.41
3562.00,95.39
3561.00,95.36
3560.00,95.32
3559.00,95.27
3558.00,95.23
3557.00,95.20
3556.00,95.20
3555.00,95.20
3554.00,95.19
3553.00,95.17
3552.00,95.13
3551.00,95.10
3550.00,95.07
3549.00,95.04
3548.00,95.00
3547.00,94.97
3546.00,94.95
3545.00,94.95
3544.00,94.93
3543.00,94.90
3542.00,94.86
3541.00,94.82
3540.00,94.81
3539.00,94.80
3538.00,94.80
3537.00,94.79
3536.00,94.77
3535.00,94.76
3534.00,94.76
3533.00,94.75
3532.00,94.73
3531.00,94.69
3530.00,94.64
3529.00,94.60
3528.00,94.59
3527.00,94.60
3526.00,94.61
3525.00,94.61
3524.00,94.58
3523.00,94.55
3522.00,94.51
3521.00,94.48
3520.00,94.46
3519.00,94.44
3518.00,94.42
3517.00,94.40
3516.00,94.39
3515.00,94.37
3514.00,94.36
3513.00,94.33
3512.00,94.28
3511.00,94.23
3510.00,94.19
3509.00,94.16
3508.00,94.15
3507.00,94.15
3506.00,94.13
3505.00,94.10
3504.00,94.07
3503.00,94.04
3502.00,94.04
3501.00,94.03
3500.00,94.02
3499.00,94.00
3498.00,93.98
3497.00,93.96
3496.00,93.95
3495.00,93.94
3494.00,93.95
3493.00,93.97
3492.00,93.97
3491.00,93.97
3490.00,93.95
3489.00,93.93
3488.00,93.92
3487.00,93.93
3486.00,93.93
3485.00,93.92
3484.00,93.90
3483.00,93.87
3482.00,93.84
3481.00,93.83
3480.00,93.83
3479.00,93.84
3478.00,93.85
3477.00,93.87
3476.00,93.89
3475.00,93.91
3474.00,93.91
3473.00,93.91
3472.00,93.91
3471.00,93.92
3470.00,93.94
3469.00,93.95
3468.00,93.95
3467.00,93.94
3466.00,93.92
3465.00,93.90
3464.00,93.89
3463.00,93.89
3462.00,93.90
3461.00,93.92
3460.00,93.94
3459.00,93.95
3458.00,93.96
3457.00,93.97
3456.00,93.99
3455.00,94.00
3454.00,94.01
3453.00,94.01
3452.00,94.01
3451.00,94.01
3450.00,94.02
3449.00,94.04
3448.00,94.08
3447.00,94.13
3446.00,94.18
3445.00,94.22
3444.00,94.25
3443.00,94.26
3442.00,94.26
3441.00,94.27
3440.00,94.28
3439.00,94.31
3438.00,94.33
3437.00,94.33
3436.00,94.33
3435.00,94.32
3434.00,94.35
3433.00,94.39
3432.00,94.43
3431.00,94.45
3430.00,94.45
3429.00,94.44
3428.00,94.45
3427.00,94.48
3426.00,94.53
3425.00,94.57
3424.00,94.59
3423.00,94.59
3422.00,94.58
3421.00,94.57
3420.00,94.58
3419.00,94.60
3418.00,94.62
3417.00,94.63
3416.00,94.65
3415.00,94.67
3414.00,94.70
3413.00,94.72
3412.00,94.74
3411.00,94.77
3410.00,94.80
3409.00,94.82
3408.00,94.82
3407.00,94.82
3406.00,94.81
3405.00,94.80
3404.00,94.80
3403.00,94.82
3402.00,94.84
3401.00,94.85
3400.00,94.86
3399.00,94.86
3398.00,94.86
3397.00,94.87
3396.00,94.89
3395.00,94.91
3394.00,94.93
3393.00,94.94
3392.00,94.94
3391.00,94.95
3390.00,94.97
3389.00,94.99
3388.00,95.00
3387.00,95.00
3386.00,95.00
3385.00,94.98
3384.00,94.97
3383.00,94.96
3382.00,94.96
3381.00,94.98
3380.00,95.01
3379.00,95.05
3378.00,95.09
3377.00,95.12
3376.00,95.14
3375.00,95.16
3374.00,95.16
3373.00,95.16
3372.00,95.16
3371.00,95.15
3370.00,95.16
3369.00,95.17
3368.00,95.19
3367.00,95.20
3366.00,95.20
3365.00,95.19
3364.00,95.18
3363.00,95.18
3362.00,95.19
3361.00,95.22
3360.00,95.25
3359.00,95.28
3358.00,95.29
3357.00,95.31
3356.00,95.32
3355.00,95.33
3354.00,95.34
3353.00,95.34
3352.00,95.35
3351.00,95.37
3350.00,95.38
3349.00,95.39
3348.00,95.40
3347.00,95.41
3346.00,95.42
3345.00,95.42
3344.00,95.43
3343.00,95.44
3342.00,95.46
3341.00,95.48
3340.00,95.51
3339.00,95.53
3338.00,95.55
3337.00,95.57
3336.00,95.57
3335.00,95.56
3334.00,95.55
3333.00,95.55
3332.00,95.55
3331.00,95.56
3330.00,95.59
3329.00,95.62
3328.00,95.66
3327.00,95.68
3326.00,95.68
3325.00,95.67
3324.00,95.66
3323.00,95.67
3322.00,95.69
3321.00,95.70
3320.00,95.71
3319.00,95.70
3318.00,95.70
3317.00,95.71
3316.00,95.72
3315.00,95.74
3314.00,95.76
3313.00,95.78
3312.00,95.80
3311.00,95.81
3310.00,95.82
3309.00,95.81
3308.00,95.80
3307.00,95.79
3306.00,95.77
3305.00,95.76
3304.00,95.76
3303.00,95.78
3302.00,95.80
3301.00,95.81
3300.00,95.82
3299.00,95.82
3298.00,95.83
3297.00,95.84
3296.00,95.85
3295.00,95.85
3294.00,95.85
3293.00,95.84
3292.00,95.84
3291.00,95.84
3290.00,95.85
3289.00,95.87
3288.00,95.88
3287.00,95.88
3286.00,95.88
3285.00,95.89
3284.00,95.90
3283.00,95.91
3282.00,95.91
3281.00,95.90
3280.00,95.90
3279.00,95.90
3278.00,95.91
3277.00,95.91
3276.00,95.90
3275.00,95.89
3274.00,95.88
3273.00,95.89
3272.00,95.91
3271.00,95.94
3270.00,95.98
3269.00,96.00
3268.00,96.01
3267.00,96.01
3266.00,96.02
3265.00,96.04
3264.00,96.05
3263.00,96.07
3262.00,96.07
3261.00,96.07
3260.00,96.06
3259.00,96.05
3258.00,96.03
3257.00,96.03
3256.00,96.04
3255.00,96.07
3254.00,96.09
3253.00,96.10
3252.00,96.10
3251.00,96.09
3250.00,96.10
3249.00,96.10
3248.00,96.11
3247.00,96.11
3246.00,96.11
3245.00,96.10
3244.00,96.10
3243.00,96.09
3242.00,96.08
3241.00,96.07
3240.00,96.09
3239.00,96.11
3238.00,96.14
3237.00,96.16
3236.00,96.16
3235.00,96.15
3234.00,96.15
3233.00,96.16
3232.00,96.18
3231.00,96.20
3230.00,96.21
3229.00,96.19
3228.00,96.17
3227.00,96.16
3226.00,96.18
3225.00,96.21
3224.00,96.23
3223.00,96.24
3222.00,96.23
3221.00,96.22
3220.00,96.22
3219.00,96.23
3218.00,96.24
3217.00,96.27
3216.00,96.30
3215.00,96.33
3214.00,96.33
3213.00,96.33
3212.00,96.31
3211.00,96.30
3210.00,96.28
3209.00,96.27
3208.00,96.28
3207.00,96.29
3206.00,96.32
3205.00,96.34
3204.00,96.35
3203.00,96.35
3202.00,96.35
3201.00,96.34
3200.00,96.34
3199.00,96.35
3198.00,96.36
3197.00,96.37
3196.00,96.37
3195.00,96.38
3194.00,96.39
3193.00,96.41
3192.00,96.43
3191.00,96.43
3190.00,96.42
3189.00,96.41
3188.00,96.42
3187.00,96.44
3186.00,96.46
3185.00,96.49
3184.00,96.50
3183.00,96.50
3182.00,96.50
3181.00,96.50
3180.00,96.50
3179.00,96.50
3178.00,96.49
3177.00,96.48
3176.00,96.47
3175.00,96.48
3174.00,96.49
3173.00,96.50
3172.00,96.51
3171.00,96.51
3170.00,96.51
3169.00,96.51
3168.00,96.52
3167.00,96.53
3166.00,96.54
3165.00,96.55
3164.00,96.56
3163.00,96.56
3162.00,96.56
3161.00,96.55
3160.00,96.54
3159.00,96.53
3158.00,96.53
3157.00,96.53
3156.00,96.53
3155.00,96.54
3154.00,96.55
3153.00,96.56
3152.00,96.58
3151.00,96.58
3150.00,96.59
3149.00,96.59
3148.00,96.59
3147.00,96.61
3146.00,96.62
3145.00,96.63
3144.00,96.63
3143.00,96.64
3142.00,96.64
3141.00,96.65
3140.00,96.65
3139.00,96.64
3138.00,96.64
3137.00,96.64
3136.00,96.63
3135.00,96.62
3134.00,96.60
3133.00,96.59
3132.00,96.59
3131.00,96.62
3130.00,96.64
3129.00,96.66
3128.00,96.66
3127.00,96.66
3126.00,96.66
3125.00,96.66
3124.00,96.66
3123.00,96.66
3122.00,96.65
3121.00,96.65
3120.00,96.64
3119.00,96.64
3118.00,96.65
3117.00,96.66
3116.00,96.67
3115.00,96.67
3114.00,96.66
3113.00,96.66
3112.00,96.66
3111.00,96.67
3110.00,96.68
3109.00,96.70
3108.00,96.70
3107.00,96.71
3106.00,96.71
3105.00,96.71
3104.00,96.70
3103.00,96.69
3102.00,96.67
3101.00,96.66
3100.00,96.65
3099.00,96.65
3098.00,96.66
3097.00,96.66
3096.00,96.67
3095.00,96.67
3094.00,96.67
3093.00,96.67
3092.00,96.67
3091.00,96.67
3090.00,96.68
3089.00,96.68
3088.00,96.68
3087.00,96.69
3086.00,96.70
3085.00,96.71
3084.00,96.71
3083.00,96.71
3082.00,96.69
3081.00,96.69
3080.00,96.68
3079.00,96.68
3078.00,96.69
3077.00,96.69
3076.00,96.69
3075.00,96.69
3074.00,96.68
3073.00,96.68
3072.00,96.68
3071.00,96.68
3070.00,96.68
3069.00,96.67
3068.00,96.67
3067.00,96.66
3066.00,96.65
3065.00,96.65
3064.00,96.66
3063.00,96.66
3062.00,96.66
3061.00,96.66
3060.00,96.67
3059.00,96.66
3058.00,96.67
3057.00,96.67
3056.00,96.68
3055.00,96.69
3054.00,96.70
3053.00,96.70
3052.00,96.70
3051.00,96.69
3050.00,96.68
3049.00,96.67
3048.00,96.64
3047.00,96.62
3046.00,96.60
3045.00,96.59
3044.00,96.59
3043.00,96.59
3042.00,96.59
3041.00,96.58
3040.00,96.58
3039.00,96.56
3038.00,96.55
3037.00,96.53
3036.00,96.53
3035.00,96.52
3034.00,96.50
3033.00,96.49
3032.00,96.47
3031.00,96.45
3030.00,96.42
3029.00,96.40
3028.00,96.38
3027.00,96.37
3026.00,96.36
3025.00,96.36
3024.00,96.35
3023.00,96.35
3022.00,96.34
3021.00,96.33
3020.00,96.33
3019.00,96.32
3018.00,96.32
3017.00,96.31
3016.00,96.30
3015.00,96.28
3014.00,96.26
3013.00,96.26
3012.00,96.27
3011.00,96.27
3010.00,96.27
3009.00,96.26
