Created as New Dataset,Natural, 7.4. 
cm-1,%T
3648.00,98.32
3647.00,98.28
3646.00,98.24
3645.00,98.21
3644.00,98.19
3643.00,98.16
3642.00,98.14
3641.00,98.13
3640.00,98.12
3639.00,98.11
3638.00,98.11
3637.00,98.11
3636.00,98.10
3635.00,98.09
3634.00,98.08
3633.00,98.07
3632.00,98.08
3631.00,98.09
3630.00,98.09
3629.00,98.08
3628.00,98.05
3627.00,98.00
3626.00,97.95
3625.00,97.91
3624.00,97.88
3623.00,97.87
3622.00,97.87
3621.00,97.88
3620.00,97.89
3619.00,97.89
3618.00,97.87
3617.00,97.84
3616.00,97.81
3615.00,97.77
3614.00,97.73
3613.00,97.70
3612.00,97.67
3611.00,97.64
3610.00,97.62
3609.00,97.61
3608.00,97.61
3607.00,97.60
3606.00,97.57
3605.00,97.53
3604.00,97.50
3603.00,97.47
3602.00,97.46
3601.00,97.46
3600.00,97.46
3599.00,97.45
3598.00,97.42
3597.00,97.38
3596.00,97.35
3595.00,97.33
3594.00,97.31
3593.00,97.29
3592.00,97.28
3591.00,97.27
3590.00,97.28
3589.00,97.30
3588.00,97.30
3587.00,97.27
3586.00,97.21
3585.00,97.16
3584.00,97.13
3583.00,97.12
3582.00,97.11
3581.00,97.09
3580.00,97.06
3579.00,97.02
3578.00,97.00
3577.00,96.98
3576.00,96.97
3575.00,96.96
3574.00,96.95
3573.00,96.94
3572.00,96.91
3571.00,96.88
3570.00,96.85
3569.00,96.84
3568.00,96.84
3567.00,96.83
3566.00,96.81
3565.00,96.77
3564.00,96.72
3563.00,96.67
3562.00,96.62
3561.00,96.58
3560.00,96.53
3559.00,96.50
3558.00,96.48
3557.00,96.48
3556.00,96.49
3555.00,96.49
3554.00,96.48
3553.00,96.46
3552.00,96.42
3551.00,96.39
3550.00,96.36
3549.00,96.34
3548.00,96.33
3547.00,96.31
3546.00,96.29
3545.00,96.25
3544.00,96.22
3543.00,96.20
3542.00,96.18
3541.00,96.18
3540.00,96.17
3539.00,96.15
3538.00,96.12
3537.00,96.09
3536.00,96.06
3535.00,96.04
3534.00,96.02
3533.00,96.01
3532.00,96.01
3531.00,96.02
3530.00,96.00
3529.00,95.98
3528.00,95.94
