Created as New Dataset,Natural, 14.3
cm-1,%T
3648.00,96.57
3647.00,96.57
3646.00,96.58
3645.00,96.59
3644.00,96.60
3643.00,96.60
3642.00,96.59
3641.00,96.56
3640.00,96.52
3639.00,96.48
3638.00,96.44
3637.00,96.40
3636.00,96.37
3635.00,96.35
3634.00,96.32
3633.00,96.28
3632.00,96.23
3631.00,96.19
3630.00,96.18
3629.00,96.16
3628.00,96.11
3627.00,96.07
3626.00,96.04
3625.00,96.03
3624.00,96.02
3623.00,95.99
3622.00,95.94
3621.00,95.88
3620.00,95.83
3619.00,95.78
3618.00,95.73
3617.00,95.70
3616.00,95.67
3615.00,95.65
3614.00,95.64
3613.00,95.62
3612.00,95.60
3611.00,95.58
3610.00,95.56
3609.00,95.54
3608.00,95.51
3607.00,95.48
3606.00,95.45
3605.00,95.42
3604.00,95.39
3603.00,95.36
3602.00,95.34
3601.00,95.31
3600.00,95.29
3599.00,95.26
3598.00,95.23
3597.00,95.20
3596.00,95.16
3595.00,95.12
3594.00,95.07
3593.00,95.01
3592.00,94.96
3591.00,94.92
3590.00,94.90
3589.00,94.89
3588.00,94.87
3587.00,94.83
3586.00,94.79
3585.00,94.76
3584.00,94.73
3583.00,94.70
3582.00,94.67
3581.00,94.63
3580.00,94.59
3579.00,94.54
3578.00,94.51
3577.00,94.50
3576.00,94.49
3575.00,94.47
3574.00,94.45
3573.00,94.41
3572.00,94.35
3571.00,94.28
3570.00,94.21
3569.00,94.15
3568.00,94.12
3567.00,94.09
3566.00,94.05
3565.00,94.00
3564.00,93.96
3563.00,93.92
3562.00,93.89
3561.00,93.85
3560.00,93.81
3559.00,93.76
3558.00,93.72
3557.00,93.68
3556.00,93.64
3555.00,93.60
3554.00,93.58
3553.00,93.55
3552.00,93.51
3551.00,93.46
3550.00,93.40
3549.00,93.35
3548.00,93.32
3547.00,93.30
3546.00,93.26
3545.00,93.21
3544.00,93.16
3543.00,93.12
3542.00,93.09
3541.00,93.06
3540.00,93.04
3539.00,93.02
3538.00,92.99
3537.00,92.96
3536.00,92.93
3535.00,92.89
3534.00,92.84
3533.00,92.80
3532.00,92.76
3531.00,92.74
3530.00,92.71
3529.00,92.68
3528.00,92.62
3527.00,92.57
3526.00,92.52
3525.00,92.48
3524.00,92.47
3523.00,92.47
3522.00,92.46
3521.00,92.44
3520.00,92.41
3519.00,92.37
3518.00,92.35
3517.00,92.34
3516.00,92.33
3515.00,92.31
3514.00,92.27
3513.00,92.21
3512.00,92.16
3511.00,92.12
3510.00,92.08
3509.00,92.05
3508.00,92.02
3507.00,91.97
3506.00,91.91
3505.00,91.85
3504.00,91.80
3503.00,91.75
3502.00,91.73
3501.00,91.72
3500.00,91.71
3499.00,91.69
3498.00,91.66
3497.00,91.63
3496.00,91.59
3495.00,91.55
3494.00,91.51
3493.00,91.48
3492.00,91.45
3491.00,91.43
3490.00,91.41
3489.00,91.38
3488.00,91.35
3487.00,91.32
3486.00,91.30
3485.00,91.26
3484.00,91.22
3483.00,91.17
3482.00,91.11
3481.00,91.05
3480.00,91.00
3479.00,90.97
3478.00,90.96
3477.00,90.96
3476.00,90.97
3475.00,90.96
3474.00,90.95
3473.00,90.92
3472.00,90.89
3471.00,90.84
3470.00,90.80
3469.00,90.78
3468.00,90.77
3467.00,90.77
3466.00,90.75
3465.00,90.71
3464.00,90.66
3463.00,90.62
3462.00,90.59
3461.00,90.57
3460.00,90.53
3459.00,90.49
3458.00,90.44
3457.00,90.39
3456.00,90.35
3455.00,90.32
3454.00,90.29
3453.00,90.28
3452.00,90.27
3451.00,90.27
3450.00,90.25
3449.00,90.21
3448.00,90.16
3447.00,90.11
3446.00,90.06
3445.00,90.01
3444.00,89.98
3443.00,89.96
3442.00,89.94
3441.00,89.93
3440.00,89.89
3439.00,89.85
3438.00,89.81
3437.00,89.77
3436.00,89.74
3435.00,89.72
3434.00,89.69
3433.00,89.66
3432.00,89.63
3431.00,89.61
3430.00,89.59
3429.00,89.57
3428.00,89.54
3427.00,89.50
3426.00,89.46
3425.00,89.42
3424.00,89.37
3423.00,89.33
3422.00,89.28
3421.00,89.24
3420.00,89.21
3419.00,89.19
3418.00,89.18
3417.00,89.15
3416.00,89.12
3415.00,89.07
3414.00,89.03
3413.00,88.98
3412.00,88.94
3411.00,88.91
3410.00,88.88
3409.00,88.85
3408.00,88.82
3407.00,88.76
3406.00,88.70
3405.00,88.63
3404.00,88.58
3403.00,88.55
3402.00,88.53
3401.00,88.50
3400.00,88.47
3399.00,88.45
3398.00,88.42
3397.00,88.40
3396.00,88.37
3395.00,88.35
3394.00,88.33
3393.00,88.32
3392.00,88.29
3391.00,88.24
3390.00,88.19
3389.00,88.14
3388.00,88.12
3387.00,88.10
3386.00,88.08
3385.00,88.05
3384.00,88.01
3383.00,87.96
3382.00,87.91
3381.00,87.86
3380.00,87.81
3379.00,87.78
3378.00,87.75
3377.00,87.73
3376.00,87.70
3375.00,87.67
3374.00,87.63
3373.00,87.60
3372.00,87.56
3371.00,87.51
3370.00,87.45
3369.00,87.39
3368.00,87.32
3367.00,87.27
3366.00,87.22
3365.00,87.19
3364.00,87.17
3363.00,87.15
3362.00,87.13
3361.00,87.10
3360.00,87.07
3359.00,87.02
3358.00,86.97
3357.00,86.92
3356.00,86.88
3355.00,86.84
3354.00,86.80
3353.00,86.76
3352.00,86.72
3351.00,86.69
3350.00,86.66
3349.00,86.62
3348.00,86.57
3347.00,86.52
3346.00,86.48
3345.00,86.44
3344.00,86.39
3343.00,86.35
3342.00,86.30
3341.00,86.25
3340.00,86.21
3339.00,86.17
3338.00,86.13
3337.00,86.07
3336.00,86.00
3335.00,85.93
3334.00,85.87
3333.00,85.83
3332.00,85.79
3331.00,85.73
3330.00,85.67
3329.00,85.61
3328.00,85.56
3327.00,85.52
3326.00,85.47
3325.00,85.42
3324.00,85.37
3323.00,85.32
3322.00,85.27
3321.00,85.22
3320.00,85.15
3319.00,85.08
3318.00,85.00
3317.00,84.91
3316.00,84.84
3315.00,84.78
3314.00,84.73
3313.00,84.70
3312.00,84.67
3311.00,84.64
3310.00,84.59
3309.00,84.53
3308.00,84.47
3307.00,84.40
3306.00,84.33
3305.00,84.27
3304.00,84.21
3303.00,84.15
3302.00,84.09
3301.00,84.03
3300.00,83.95
3299.00,83.89
3298.00,83.84
3297.00,83.81
3296.00,83.79
3295.00,83.75
3294.00,83.70
3293.00,83.64
3292.00,83.59
3291.00,83.55
3290.00,83.51
3289.00,83.48
3288.00,83.44
3287.00,83.40
3286.00,83.38
3285.00,83.36
3284.00,83.34
3283.00,83.33
3282.00,83.31
3281.00,83.29
3280.00,83.28
3279.00,83.28
3278.00,83.27
3277.00,83.26
3276.00,83.24
3275.00,83.22
3274.00,83.21
3273.00,83.21
3272.00,83.23
3271.00,83.25
3270.00,83.26
3269.00,83.27
3268.00,83.28
3267.00,83.28
3266.00,83.30
3265.00,83.34
3264.00,83.39
3263.00,83.45
3262.00,83.52
3261.00,83.58
3260.00,83.64
3259.00,83.69
3258.00,83.74
3257.00,83.78
3256.00,83.84
3255.00,83.90
3254.00,83.97
3253.00,84.02
3252.00,84.05
3251.00,84.08
3250.00,84.11
3249.00,84.15
3248.00,84.21
3247.00,84.26
3246.00,84.32
3245.00,84.37
3244.00,84.42
3243.00,84.47
3242.00,84.52
3241.00,84.57
3240.00,84.61
3239.00,84.65
3238.00,84.69
3237.00,84.74
3236.00,84.78
3235.00,84.82
3234.00,84.84
3233.00,84.86
3232.00,84.87
3231.00,84.90
3230.00,84.94
3229.00,84.99
3228.00,85.05
3227.00,85.10
3226.00,85.15
3225.00,85.20
3224.00,85.24
3223.00,85.27
3222.00,85.29
3221.00,85.30
3220.00,85.32
3219.00,85.34
3218.00,85.37
3217.00,85.41
3216.00,85.47
3215.00,85.52
3214.00,85.57
3213.00,85.61
3212.00,85.63
3211.00,85.65
3210.00,85.67
3209.00,85.70
3208.00,85.72
3207.00,85.76
3206.00,85.79
3205.00,85.82
3204.00,85.85
3203.00,85.88
3202.00,85.92
3201.00,85.96
3200.00,86.01
3199.00,86.05
3198.00,86.09
3197.00,86.13
3196.00,86.18
3195.00,86.23
3194.00,86.28
3193.00,86.31
3192.00,86.34
3191.00,86.38
3190.00,86.41
3189.00,86.44
3188.00,86.47
3187.00,86.52
3186.00,86.57
3185.00,86.62
3184.00,86.67
3183.00,86.72
3182.00,86.78
3181.00,86.84
3180.00,86.90
3179.00,86.96
3178.00,87.02
3177.00,87.07
3176.00,87.12
3175.00,87.17
3174.00,87.21
3173.00,87.25
3172.00,87.29
3171.00,87.35
3170.00,87.42
3169.00,87.49
3168.00,87.54
3167.00,87.59
3166.00,87.62
3165.00,87.66
3164.00,87.70
3163.00,87.75
3162.00,87.81
3161.00,87.87
3160.00,87.92
3159.00,87.97
3158.00,88.02
3157.00,88.08
3156.00,88.15
3155.00,88.21
3154.00,88.27
3153.00,88.31
3152.00,88.35
3151.00,88.39
3150.00,88.44
3149.00,88.49
3148.00,88.55
3147.00,88.59
3146.00,88.62
3145.00,88.64
3144.00,88.65
3143.00,88.69
3142.00,88.73
3141.00,88.77
3140.00,88.82
3139.00,88.86
3138.00,88.90
3137.00,88.93
3136.00,88.97
3135.00,89.00
3134.00,89.03
3133.00,89.06
3132.00,89.08
3131.00,89.11
3130.00,89.15
3129.00,89.19
3128.00,89.24
3127.00,89.28
3126.00,89.31
3125.00,89.32
3124.00,89.33
3123.00,89.35
3122.00,89.37
3121.00,89.40
3120.00,89.41
3119.00,89.43
3118.00,89.44
3117.00,89.46
3116.00,89.47
3115.00,89.49
3114.00,89.51
3113.00,89.52
3112.00,89.53
3111.00,89.53
3110.00,89.53
3109.00,89.54
3108.00,89.56
3107.00,89.58
3106.00,89.58
3105.00,89.57
3104.00,89.55
3103.00,89.53
3102.00,89.51
3101.00,89.50
3100.00,89.49
3099.00,89.49
3098.00,89.49
3097.00,89.50
3096.00,89.51
3095.00,89.52
3094.00,89.51
3093.00,89.50
3092.00,89.49
