Created as New Dataset,3.2 Jute cord
cm-1,%T
3648.00,98.98
3647.00,98.97
3646.00,98.96
3645.00,98.95
3644.00,98.94
3643.00,98.93
3642.00,98.93
3641.00,98.94
3640.00,98.96
3639.00,98.97
3638.00,98.97
3637.00,98.96
3636.00,98.92
3635.00,98.89
3634.00,98.86
3633.00,98.85
3632.00,98.84
3631.00,98.83
3630.00,98.80
3629.00,98.75
3628.00,98.69
3627.00,98.64
3626.00,98.62
3625.00,98.62
3624.00,98.62
3623.00,98.61
3622.00,98.59
3621.00,98.58
3620.00,98.59
3619.00,98.59
3618.00,98.59
3617.00,98.58
3616.00,98.58
3615.00,98.58
3614.00,98.58
3613.00,98.57
3612.00,98.55
3611.00,98.51
3610.00,98.49
3609.00,98.48
3608.00,98.48
3607.00,98.49
3606.00,98.49
3605.00,98.46
3604.00,98.42
3603.00,98.37
3602.00,98.32
3601.00,98.30
3600.00,98.29
3599.00,98.29
3598.00,98.28
3597.00,98.26
3596.00,98.25
3595.00,98.25
3594.00,98.26
3593.00,98.28
3592.00,98.28
3591.00,98.27
3590.00,98.25
3589.00,98.22
3588.00,98.19
3587.00,98.17
3586.00,98.14
3585.00,98.12
3584.00,98.10
3583.00,98.08
3582.00,98.07
3581.00,98.05
3580.00,98.03
3579.00,98.01
3578.00,97.98
3577.00,97.96
3576.00,97.93
3575.00,97.89
3574.00,97.85
3573.00,97.81
3572.00,97.78
3571.00,97.78
3570.00,97.79
3569.00,97.80
3568.00,97.80
3567.00,97.79
3566.00,97.75
3565.00,97.72
3564.00,97.70
3563.00,97.68
3562.00,97.67
3561.00,97.65
3560.00,97.61
3559.00,97.57
3558.00,97.53
3557.00,97.49
3556.00,97.46
3555.00,97.43
3554.00,97.41
3553.00,97.39
3552.00,97.37
3551.00,97.34
3550.00,97.32
3549.00,97.31
3548.00,97.30
3547.00,97.28
3546.00,97.23
3545.00,97.16
3544.00,97.10
3543.00,97.06
3542.00,97.06
3541.00,97.08
3540.00,97.11
3539.00,97.11
3538.00,97.10
3537.00,97.08
3536.00,97.05
3535.00,97.01
3534.00,96.97
3533.00,96.93
3532.00,96.90
3531.00,96.87
3530.00,96.86
3529.00,96.84
3528.00,96.81
3527.00,96.79
3526.00,96.76
3525.00,96.75
3524.00,96.73
3523.00,96.70
3522.00,96.67
3521.00,96.65
3520.00,96.63
3519.00,96.62
3518.00,96.60
3517.00,96.57
3516.00,96.54
3515.00,96.51
3514.00,96.50
3513.00,96.48
3512.00,96.46
3511.00,96.42
3510.00,96.38
3509.00,96.35
3508.00,96.31
3507.00,96.29
3506.00,96.27
3505.00,96.26
3504.00,96.24
3503.00,96.22
3502.00,96.18
3501.00,96.14
3500.00,96.10
3499.00,96.07
3498.00,96.05
3497.00,96.04
3496.00,96.03
3495.00,96.01
3494.00,95.98
3493.00,95.95
3492.00,95.92
3491.00,95.90
3490.00,95.87
3489.00,95.85
3488.00,95.83
3487.00,95.81
3486.00,95.79
3485.00,95.77
3484.00,95.74
3483.00,95.72
3482.00,95.71
3481.00,95.70
3480.00,95.69
3479.00,95.66
3478.00,95.61
3477.00,95.56
3476.00,95.51
3475.00,95.47
3474.00,95.43
3473.00,95.38
3472.00,95.34
3471.00,95.29
3470.00,95.26
3469.00,95.24
3468.00,95.23
3467.00,95.23
3466.00,95.22
3465.00,95.20
3464.00,95.17
3463.00,95.13
3462.00,95.10
3461.00,95.07
3460.00,95.06
3459.00,95.05
3458.00,95.05
3457.00,95.04
3456.00,95.03
3455.00,94.99
3454.00,94.95
3453.00,94.91
3452.00,94.88
3451.00,94.85
3450.00,94.83
3449.00,94.80
3448.00,94.77
3447.00,94.74
3446.00,94.71
3445.00,94.69
3444.00,94.67
3443.00,94.66
3442.00,94.63
3441.00,94.59
3440.00,94.54
3439.00,94.50
3438.00,94.47
3437.00,94.45
3436.00,94.43
3435.00,94.41
3434.00,94.39
3433.00,94.36
3432.00,94.32
3431.00,94.28
3430.00,94.25
3429.00,94.22
3428.00,94.19
3427.00,94.16
3426.00,94.14
3425.00,94.12
3424.00,94.11
3423.00,94.09
3422.00,94.07
3421.00,94.03
3420.00,94.00
3419.00,93.98
3418.00,93.97
3417.00,93.96
3416.00,93.95
3415.00,93.93
3414.00,93.91
3413.00,93.89
3412.00,93.88
3411.00,93.87
3410.00,93.87
3409.00,93.86
3408.00,93.85
3407.00,93.84
3406.00,93.83
3405.00,93.81
