Created as New Dataset,11.4 Red Cormo sheep
cm-1,%T
3648.00,102.69
3647.00,102.64
3646.00,102.63
3645.00,102.63
3644.00,102.63
3643.00,102.65
3642.00,102.66
3641.00,102.65
3640.00,102.61
3639.00,102.57
3638.00,102.55
3637.00,102.56
3636.00,102.56
3635.00,102.58
3634.00,102.60
3633.00,102.60
3632.00,102.55
3631.00,102.45
3630.00,102.38
3629.00,102.37
3628.00,102.36
3627.00,102.33
3626.00,102.28
3625.00,102.24
3624.00,102.24
3623.00,102.25
3622.00,102.24
3621.00,102.22
3620.00,102.19
3619.00,102.17
3618.00,102.14
3617.00,102.12
3616.00,102.09
3615.00,102.06
3614.00,102.04
3613.00,102.03
3612.00,102.00
3611.00,101.95
3610.00,101.90
3609.00,101.86
3608.00,101.84
3607.00,101.82
3606.00,101.80
3605.00,101.78
3604.00,101.77
3603.00,101.75
3602.00,101.73
3601.00,101.69
3600.00,101.66
3599.00,101.62
3598.00,101.59
3597.00,101.57
3596.00,101.57
3595.00,101.58
3594.00,101.59
3593.00,101.60
3592.00,101.60
3591.00,101.56
3590.00,101.49
3589.00,101.41
3588.00,101.37
3587.00,101.35
3586.00,101.33
3585.00,101.31
3584.00,101.27
3583.00,101.24
3582.00,101.22
3581.00,101.20
3580.00,101.19
3579.00,101.19
3578.00,101.17
3577.00,101.14
3576.00,101.11
3575.00,101.09
3574.00,101.08
3573.00,101.08
3572.00,101.06
3571.00,101.02
3570.00,100.96
3569.00,100.90
3568.00,100.85
3567.00,100.80
3566.00,100.76
3565.00,100.72
3564.00,100.68
3563.00,100.65
3562.00,100.63
3561.00,100.61
3560.00,100.57
3559.00,100.53
3558.00,100.51
3557.00,100.50
3556.00,100.50
3555.00,100.50
3554.00,100.47
3553.00,100.40
3552.00,100.34
3551.00,100.28
3550.00,100.25
3549.00,100.23
3548.00,100.23
3547.00,100.23
3546.00,100.22
3545.00,100.19
3544.00,100.15
3543.00,100.12
3542.00,100.09
3541.00,100.07
3540.00,100.04
3539.00,100.00
3538.00,99.95
3537.00,99.92
3536.00,99.89
3535.00,99.88
3534.00,99.87
3533.00,99.84
3532.00,99.81
3531.00,99.76
3530.00,99.72
3529.00,99.69
3528.00,99.68
3527.00,99.68
3526.00,99.67
3525.00,99.65
3524.00,99.61
3523.00,99.57
3522.00,99.52
3521.00,99.47
3520.00,99.44
3519.00,99.42
3518.00,99.42
3517.00,99.42
3516.00,99.40
3515.00,99.37
3514.00,99.34
3513.00,99.31
3512.00,99.29
3511.00,99.26
3510.00,99.23
3509.00,99.20
3508.00,99.16
3507.00,99.14
3506.00,99.12
3505.00,99.12
3504.00,99.14
3503.00,99.15
3502.00,99.15
3501.00,99.13
3500.00,99.10
3499.00,99.07
3498.00,99.05
3497.00,99.02
3496.00,98.98
3495.00,98.94
3494.00,98.89
3493.00,98.87
3492.00,98.85
3491.00,98.84
3490.00,98.83
3489.00,98.81
3488.00,98.80
3487.00,98.79
3486.00,98.77
3485.00,98.74
3484.00,98.70
3483.00,98.66
3482.00,98.63
3481.00,98.62
3480.00,98.62
3479.00,98.62
3478.00,98.60
3477.00,98.58
3476.00,98.55
3475.00,98.53
3474.00,98.51
3473.00,98.49
3472.00,98.48
3471.00,98.47
3470.00,98.45
3469.00,98.42
3468.00,98.38
3467.00,98.35
3466.00,98.32
3465.00,98.30
3464.00,98.28
3463.00,98.25
3462.00,98.23
3461.00,98.21
3460.00,98.20
3459.00,98.20
3458.00,98.18
3457.00,98.15
3456.00,98.12
3455.00,98.10
3454.00,98.10
3453.00,98.11
3452.00,98.11
3451.00,98.12
3450.00,98.11
3449.00,98.08
3448.00,98.03
3447.00,97.97
3446.00,97.92
3445.00,97.89
3444.00,97.88
3443.00,97.87
3442.00,97.87
3441.00,97.86
3440.00,97.84
