Created as New Dataset,94. Du Pont
cm-1,%T
3648.00,99.39
3647.00,99.38
3646.00,99.36
3645.00,99.34
3644.00,99.32
3643.00,99.30
3642.00,99.30
3641.00,99.30
3640.00,99.30
3639.00,99.31
3638.00,99.32
3637.00,99.33
3636.00,99.34
3635.00,99.35
3634.00,99.35
3633.00,99.34
3632.00,99.32
3631.00,99.31
3630.00,99.30
3629.00,99.31
3628.00,99.32
3627.00,99.31
3626.00,99.30
3625.00,99.28
3624.00,99.27
3623.00,99.26
3622.00,99.24
3621.00,99.20
3620.00,99.16
3619.00,99.13
3618.00,99.14
3617.00,99.15
3616.00,99.16
3615.00,99.17
3614.00,99.17
3613.00,99.19
3612.00,99.22
3611.00,99.23
3610.00,99.22
3609.00,99.19
3608.00,99.17
3607.00,99.16
3606.00,99.16
3605.00,99.16
3604.00,99.14
3603.00,99.12
3602.00,99.11
3601.00,99.13
3600.00,99.15
3599.00,99.16
3598.00,99.16
3597.00,99.14
3596.00,99.13
3595.00,99.13
3594.00,99.15
3593.00,99.17
3592.00,99.17
3591.00,99.15
3590.00,99.10
3589.00,99.05
3588.00,99.01
3587.00,99.00
3586.00,99.02
3585.00,99.03
3584.00,99.03
3583.00,99.01
3582.00,98.99
3581.00,98.97
3580.00,98.96
3579.00,98.95
3578.00,98.95
3577.00,98.94
3576.00,98.93
3575.00,98.91
3574.00,98.90
3573.00,98.88
3572.00,98.87
3571.00,98.87
3570.00,98.89
3569.00,98.90
3568.00,98.90
3567.00,98.89
3566.00,98.88
3565.00,98.86
3564.00,98.83
3563.00,98.80
3562.00,98.78
3561.00,98.77
3560.00,98.76
3559.00,98.76
3558.00,98.76
3557.00,98.75
3556.00,98.74
3555.00,98.72
3554.00,98.71
3553.00,98.70
3552.00,98.69
3551.00,98.69
3550.00,98.68
3549.00,98.67
3548.00,98.66
3547.00,98.66
3546.00,98.66
3545.00,98.66
3544.00,98.65
3543.00,98.64
3542.00,98.61
3541.00,98.58
3540.00,98.54
3539.00,98.50
3538.00,98.48
3537.00,98.48
3536.00,98.49
3535.00,98.50
3534.00,98.49
3533.00,98.49
3532.00,98.50
3531.00,98.52
3530.00,98.52
3529.00,98.51
3528.00,98.48
3527.00,98.45
3526.00,98.42
3525.00,98.39
3524.00,98.35
3523.00,98.30
3522.00,98.26
3521.00,98.24
3520.00,98.25
3519.00,98.27
3518.00,98.30
3517.00,98.31
3516.00,98.32
3515.00,98.30
3514.00,98.28
3513.00,98.25
3512.00,98.22
3511.00,98.19
3510.00,98.18
3509.00,98.18
3508.00,98.17
3507.00,98.17
3506.00,98.18
3505.00,98.18
3504.00,98.17
3503.00,98.16
3502.00,98.15
3501.00,98.14
3500.00,98.13
3499.00,98.11
3498.00,98.09
3497.00,98.07
3496.00,98.05
3495.00,98.04
3494.00,98.03
3493.00,98.02
3492.00,98.01
3491.00,98.00
3490.00,97.99
3489.00,97.99
3488.00,97.99
3487.00,97.99
3486.00,97.99
3485.00,97.98
3484.00,97.98
3483.00,98.00
3482.00,98.02
3481.00,98.05
3480.00,98.07
3479.00,98.07
3478.00,98.06
3477.00,98.04
3476.00,98.01
3475.00,97.96
3474.00,97.91
3473.00,97.88
3472.00,97.90
3471.00,97.93
3470.00,97.95
3469.00,97.93
3468.00,97.89
3467.00,97.85
3466.00,97.84
3465.00,97.86
3464.00,97.89
3463.00,97.89
3462.00,97.89
3461.00,97.88
3460.00,97.87
3459.00,97.87
3458.00,97.86
3457.00,97.86
3456.00,97.86
3455.00,97.87
3454.00,97.87
3453.00,97.87
3452.00,97.86
3451.00,97.85
3450.00,97.84
3449.00,97.83
3448.00,97.82
3447.00,97.81
3446.00,97.80
3445.00,97.81
3444.00,97.82
3443.00,97.83
3442.00,97.83
3441.00,97.82
3440.00,97.80
3439.00,97.77
3438.00,97.75
3437.00,97.75
3436.00,97.77
3435.00,97.80
3434.00,97.81
3433.00,97.81
3432.00,97.79
3431.00,97.78
3430.00,97.77
3429.00,97.78
3428.00,97.77
3427.00,97.76
3426.00,97.75
3425.00,97.75
3424.00,97.76
3423.00,97.77
3422.00,97.76
3421.00,97.72
3420.00,97.69
3419.00,97.66
3418.00,97.66
3417.00,97.67
3416.00,97.68
3415.00,97.68
3414.00,97.66
3413.00,97.63
3412.00,97.60
3411.00,97.57
3410.00,97.56
3409.00,97.55
3408.00,97.56
3407.00,97.58
3406.00,97.59
3405.00,97.60
3404.00,97.60
3403.00,97.59
3402.00,97.57
3401.00,97.55
3400.00,97.54
3399.00,97.54
3398.00,97.54
3397.00,97.53
3396.00,97.52
3395.00,97.49
3394.00,97.47
3393.00,97.46
3392.00,97.46
3391.00,97.45
3390.00,97.43
3389.00,97.41
3388.00,97.38
3387.00,97.35
3386.00,97.33
3385.00,97.32
3384.00,97.31
3383.00,97.30
3382.00,97.28
3381.00,97.26
3380.00,97.24
3379.00,97.22
3378.00,97.20
3377.00,97.17
3376.00,97.14
3375.00,97.11
3374.00,97.07
3373.00,97.02
3372.00,96.98
3371.00,96.94
3370.00,96.90
3369.00,96.86
3368.00,96.83
3367.00,96.80
3366.00,96.77
3365.00,96.73
3364.00,96.69
3363.00,96.65
3362.00,96.60
3361.00,96.55
3360.00,96.50
3359.00,96.43
3358.00,96.36
3357.00,96.29
3356.00,96.23
3355.00,96.17
3354.00,96.13
3353.00,96.08
3352.00,96.03
3351.00,95.96
3350.00,95.88
3349.00,95.79
3348.00,95.69
3347.00,95.59
3346.00,95.49
3345.00,95.38
3344.00,95.28
3343.00,95.17
3342.00,95.06
3341.00,94.92
3340.00,94.79
3339.00,94.66
3338.00,94.53
3337.00,94.42
3336.00,94.30
3335.00,94.16
3334.00,94.00
3333.00,93.80
3332.00,93.60
3331.00,93.39
3330.00,93.19
3329.00,92.98
3328.00,92.76
3327.00,92.52
3326.00,92.25
3325.00,91.96
3324.00,91.65
3323.00,91.34
3322.00,91.01
3321.00,90.68
3320.00,90.32
3319.00,89.93
3318.00,89.50
3317.00,89.05
3316.00,88.56
3315.00,88.07
3314.00,87.56
3313.00,87.06
3312.00,86.55
3311.00,86.04
3310.00,85.53
3309.00,85.02
3308.00,84.52
3307.00,84.04
3306.00,83.59
3305.00,83.19
3304.00,82.84
3303.00,82.55
3302.00,82.31
3301.00,82.14
3300.00,82.03
3299.00,81.98
3298.00,81.99
3297.00,82.05
3296.00,82.17
3295.00,82.34
3294.00,82.56
3293.00,82.80
3292.00,83.07
3291.00,83.35
3290.00,83.66
3289.00,83.99
3288.00,84.33
3287.00,84.66
3286.00,84.98
