Created as New Dataset,Linen Hand supun thread
cm-1,%T
3648.00,100.14
3647.00,100.15
3646.00,100.17
3645.00,100.18
3644.00,100.19
3643.00,100.19
3642.00,100.19
3641.00,100.20
3640.00,100.20
3639.00,100.20
3638.00,100.19
3637.00,100.18
3636.00,100.16
3635.00,100.15
3634.00,100.14
3633.00,100.13
3632.00,100.13
3631.00,100.12
3630.00,100.10
3629.00,100.05
3628.00,100.02
3627.00,100.02
3626.00,100.03
3625.00,100.03
3624.00,100.02
3623.00,99.99
3622.00,99.95
3621.00,99.92
3620.00,99.89
3619.00,99.87
3618.00,99.83
3617.00,99.80
3616.00,99.79
3615.00,99.81
3614.00,99.83
3613.00,99.85
3612.00,99.84
3611.00,99.82
3610.00,99.79
3609.00,99.77
3608.00,99.75
3607.00,99.74
3606.00,99.73
3605.00,99.71
3604.00,99.69
3603.00,99.67
3602.00,99.65
3601.00,99.63
3600.00,99.61
3599.00,99.61
3598.00,99.61
3597.00,99.62
3596.00,99.62
3595.00,99.61
3594.00,99.58
3593.00,99.53
3592.00,99.48
3591.00,99.44
3590.00,99.40
3589.00,99.39
3588.00,99.38
3587.00,99.37
3586.00,99.36
3585.00,99.38
3584.00,99.40
3583.00,99.41
3582.00,99.39
3581.00,99.36
3580.00,99.33
3579.00,99.30
3578.00,99.27
3577.00,99.25
3576.00,99.22
3575.00,99.19
3574.00,99.16
3573.00,99.12
3572.00,99.08
3571.00,99.04
3570.00,99.01
3569.00,98.98
3568.00,98.98
3567.00,98.98
3566.00,98.97
3565.00,98.96
3564.00,98.94
3563.00,98.91
3562.00,98.89
3561.00,98.87
3560.00,98.87
3559.00,98.86
3558.00,98.85
3557.00,98.82
3556.00,98.78
3555.00,98.75
3554.00,98.73
3553.00,98.72
3552.00,98.70
3551.00,98.67
3550.00,98.64
3549.00,98.60
3548.00,98.55
3547.00,98.52
3546.00,98.49
3545.00,98.48
3544.00,98.48
3543.00,98.48
3542.00,98.48
3541.00,98.49
3540.00,98.49
3539.00,98.50
3538.00,98.50
3537.00,98.50
3536.00,98.47
3535.00,98.43
3534.00,98.39
3533.00,98.33
3532.00,98.28
3531.00,98.24
3530.00,98.21
3529.00,98.19
3528.00,98.16
3527.00,98.14
3526.00,98.11
3525.00,98.10
3524.00,98.10
3523.00,98.10
3522.00,98.09
3521.00,98.08
3520.00,98.06
3519.00,98.02
3518.00,97.99
3517.00,97.97
3516.00,97.95
3515.00,97.93
3514.00,97.89
3513.00,97.85
3512.00,97.80
3511.00,97.76
3510.00,97.74
3509.00,97.74
3508.00,97.74
3507.00,97.74
3506.00,97.73
3505.00,97.71
3504.00,97.68
3503.00,97.65
3502.00,97.61
3501.00,97.57
3500.00,97.55
3499.00,97.54
3498.00,97.53
3497.00,97.51
3496.00,97.48
3495.00,97.43
3494.00,97.39
3493.00,97.35
3492.00,97.31
3491.00,97.29
3490.00,97.27
3489.00,97.26
3488.00,97.23
3487.00,97.20
3486.00,97.17
3485.00,97.14
3484.00,97.10
3483.00,97.06
3482.00,97.03
3481.00,97.00
3480.00,96.97
3479.00,96.94
3478.00,96.90
3477.00,96.86
3476.00,96.83
3475.00,96.83
3474.00,96.84
3473.00,96.84
3472.00,96.81
3471.00,96.76
3470.00,96.69
3469.00,96.64
3468.00,96.60
3467.00,96.58
3466.00,96.56
3465.00,96.53
3464.00,96.49
3463.00,96.47
3462.00,96.45
