Created as New Dataset,197 Hoechst AG
cm-1,%T
3648.00,100.51
3647.00,100.51
3646.00,100.52
3645.00,100.53
3644.00,100.53
3643.00,100.52
3642.00,100.51
3641.00,100.49
3640.00,100.48
3639.00,100.47
3638.00,100.46
3637.00,100.44
3636.00,100.42
3635.00,100.39
3634.00,100.35
3633.00,100.31
3632.00,100.28
3631.00,100.25
3630.00,100.21
3629.00,100.19
3628.00,100.19
3627.00,100.21
3626.00,100.22
3625.00,100.23
3624.00,100.22
3623.00,100.20
3622.00,100.17
3621.00,100.15
3620.00,100.13
3619.00,100.13
3618.00,100.13
3617.00,100.13
3616.00,100.13
3615.00,100.13
3614.00,100.10
3613.00,100.06
3612.00,100.01
3611.00,99.96
3610.00,99.91
3609.00,99.88
3608.00,99.86
3607.00,99.84
3606.00,99.83
3605.00,99.83
3604.00,99.83
3603.00,99.84
3602.00,99.84
3601.00,99.82
3600.00,99.79
3599.00,99.73
3598.00,99.67
3597.00,99.61
3596.00,99.57
3595.00,99.54
3594.00,99.52
3593.00,99.50
3592.00,99.48
3591.00,99.47
3590.00,99.46
3589.00,99.43
3588.00,99.38
3587.00,99.34
3586.00,99.31
3585.00,99.29
3584.00,99.30
3583.00,99.30
3582.00,99.28
3581.00,99.26
3580.00,99.23
3579.00,99.20
3578.00,99.17
3577.00,99.15
3576.00,99.14
3575.00,99.12
3574.00,99.09
3573.00,99.05
3572.00,99.00
3571.00,98.97
3570.00,98.94
3569.00,98.91
3568.00,98.87
3567.00,98.83
3566.00,98.76
3565.00,98.70
3564.00,98.65
3563.00,98.63
3562.00,98.63
3561.00,98.63
3560.00,98.63
3559.00,98.63
3558.00,98.62
3557.00,98.60
3556.00,98.56
3555.00,98.50
3554.00,98.44
3553.00,98.40
3552.00,98.37
3551.00,98.35
3550.00,98.32
3549.00,98.27
3548.00,98.22
3547.00,98.17
3546.00,98.13
3545.00,98.10
3544.00,98.07
3543.00,98.04
3542.00,98.01
3541.00,97.97
3540.00,97.92
3539.00,97.87
3538.00,97.82
3537.00,97.78
3536.00,97.75
3535.00,97.74
3534.00,97.75
3533.00,97.75
3532.00,97.74
3531.00,97.71
3530.00,97.66
3529.00,97.61
3528.00,97.57
3527.00,97.53
3526.00,97.49
3525.00,97.45
3524.00,97.41
3523.00,97.37
3522.00,97.34
3521.00,97.30
3520.00,97.26
3519.00,97.19
3518.00,97.12
3517.00,97.06
3516.00,97.02
3515.00,96.99
3514.00,96.95
3513.00,96.90
3512.00,96.84
3511.00,96.79
3510.00,96.75
3509.00,96.71
3508.00,96.67
3507.00,96.60
3506.00,96.52
3505.00,96.44
3504.00,96.38
3503.00,96.32
3502.00,96.26
3501.00,96.20
3500.00,96.16
3499.00,96.12
3498.00,96.08
3497.00,96.03
3496.00,95.98
3495.00,95.93
3494.00,95.87
3493.00,95.81
3492.00,95.75
3491.00,95.69
3490.00,95.65
3489.00,95.63
3488.00,95.62
3487.00,95.60
3486.00,95.55
3485.00,95.49
3484.00,95.44
3483.00,95.41
3482.00,95.39
3481.00,95.36
3480.00,95.33
3479.00,95.28
3478.00,95.23
3477.00,95.19
