Created as New Dataset,Bio-Couture 20/2 Linen (NC)
cm-1,%T
3649.00,100.21
3648.00,100.19
3647.00,100.18
3646.00,100.17
3645.00,100.16
3644.00,100.14
3643.00,100.11
3642.00,100.09
3641.00,100.09
3640.00,100.09
3639.00,100.08
3638.00,100.07
3637.00,100.05
3636.00,100.03
3635.00,100.02
3634.00,100.02
3633.00,100.02
3632.00,100.02
3631.00,99.99
3630.00,99.94
3629.00,99.90
3628.00,99.90
3627.00,99.91
3626.00,99.92
3625.00,99.91
3624.00,99.89
3623.00,99.87
3622.00,99.86
3621.00,99.87
3620.00,99.86
3619.00,99.84
3618.00,99.81
3617.00,99.79
3616.00,99.79
3615.00,99.79
3614.00,99.78
3613.00,99.75
3612.00,99.72
3611.00,99.70
3610.00,99.68
3609.00,99.65
3608.00,99.62
3607.00,99.61
3606.00,99.60
3605.00,99.62
3604.00,99.63
3603.00,99.63
3602.00,99.61
3601.00,99.57
3600.00,99.53
3599.00,99.49
3598.00,99.46
3597.00,99.43
3596.00,99.40
3595.00,99.39
3594.00,99.37
3593.00,99.36
3592.00,99.33
3591.00,99.30
3590.00,99.26
3589.00,99.23
3588.00,99.22
3587.00,99.23
3586.00,99.25
3585.00,99.26
3584.00,99.24
3583.00,99.20
3582.00,99.15
3581.00,99.10
3580.00,99.06
3579.00,99.04
3578.00,99.04
3577.00,99.03
3576.00,99.02
3575.00,98.99
3574.00,98.95
3573.00,98.91
3572.00,98.87
3571.00,98.85
3570.00,98.84
3569.00,98.84
3568.00,98.84
3567.00,98.83
3566.00,98.81
3565.00,98.79
3564.00,98.77
3563.00,98.74
3562.00,98.70
3561.00,98.65
3560.00,98.60
3559.00,98.57
3558.00,98.54
3557.00,98.53
3556.00,98.52
3555.00,98.51
3554.00,98.51
3553.00,98.49
3552.00,98.46
3551.00,98.43
3550.00,98.41
3549.00,98.39
3548.00,98.37
3547.00,98.35
3546.00,98.32
3545.00,98.30
3544.00,98.26
3543.00,98.21
3542.00,98.15
3541.00,98.09
3540.00,98.04
3539.00,98.01
3538.00,97.99
3537.00,97.97
3536.00,97.96
3535.00,97.96
3534.00,97.94
3533.00,97.93
3532.00,97.91
3531.00,97.89
3530.00,97.87
3529.00,97.84
3528.00,97.81
3527.00,97.76
3526.00,97.71
3525.00,97.67
3524.00,97.64
3523.00,97.60
3522.00,97.56
3521.00,97.53
3520.00,97.51
3519.00,97.51
3518.00,97.51
3517.00,97.50
3516.00,97.47
3515.00,97.43
3514.00,97.39
3513.00,97.35
3512.00,97.31
3511.00,97.28
3510.00,97.25
3509.00,97.23
3508.00,97.22
3507.00,97.20
3506.00,97.16
3505.00,97.10
3504.00,97.05
3503.00,97.02
3502.00,97.00
3501.00,96.97
3500.00,96.93
3499.00,96.87
3498.00,96.82
3497.00,96.78
3496.00,96.75
3495.00,96.72
3494.00,96.68
3493.00,96.64
3492.00,96.61
3491.00,96.58
3490.00,96.56
3489.00,96.54
3488.00,96.51
3487.00,96.47
3486.00,96.43
3485.00,96.40
3484.00,96.37
3483.00,96.35
3482.00,96.32
3481.00,96.29
3480.00,96.26
3479.00,96.22
3478.00,96.18
3477.00,96.13
3476.00,96.08
3475.00,96.04
3474.00,96.00
3473.00,95.96
3472.00,95.91
3471.00,95.88
3470.00,95.86
3469.00,95.86
3468.00,95.84
3467.00,95.81
3466.00,95.75
3465.00,95.69
3464.00,95.65
3463.00,95.63
3462.00,95.60
3461.00,95.56
3460.00,95.51
3459.00,95.45
3458.00,95.40
3457.00,95.36
3456.00,95.32
3455.00,95.27
3454.00,95.22
3453.00,95.18
3452.00,95.13
3451.00,95.07
3450.00,95.01
3449.00,94.96
3448.00,94.90
3447.00,94.86
3446.00,94.83
3445.00,94.80
3444.00,94.77
3443.00,94.75
3442.00,94.73
3441.00,94.71
3440.00,94.68
3439.00,94.63
3438.00,94.58
3437.00,94.53
3436.00,94.48
3435.00,94.43
3434.00,94.39
3433.00,94.35
3432.00,94.31
3431.00,94.28
3430.00,94.24
3429.00,94.21
3428.00,94.16
3427.00,94.09
3426.00,94.02
3425.00,93.94
3424.00,93.86
3423.00,93.81
3422.00,93.77
3421.00,93.74
3420.00,93.71
3419.00,93.69
3418.00,93.64
3417.00,93.58
3416.00,93.51
3415.00,93.45
3414.00,93.40
3413.00,93.35
3412.00,93.31
3411.00,93.27
3410.00,93.25
3409.00,93.22
3408.00,93.19
3407.00,93.14
3406.00,93.10
3405.00,93.05
3404.00,93.00
3403.00,92.95
3402.00,92.91
3401.00,92.87
3400.00,92.84
3399.00,92.81
3398.00,92.78
3397.00,92.76
3396.00,92.73
3395.00,92.69
3394.00,92.66
3393.00,92.63
3392.00,92.60
3391.00,92.58
3390.00,92.56
3389.00,92.54
3388.00,92.52
3387.00,92.48
3386.00,92.43
3385.00,92.37
3384.00,92.32
3383.00,92.27
3382.00,92.24
3381.00,92.21
3380.00,92.19
3379.00,92.18
3378.00,92.16
3377.00,92.14
3376.00,92.10
3375.00,92.06
3374.00,92.01
3373.00,91.95
3372.00,91.90
3371.00,91.87
3370.00,91.83
3369.00,91.79
3368.00,91.74
3367.00,91.69
3366.00,91.65
3365.00,91.62
3364.00,91.59
3363.00,91.55
3362.00,91.50
3361.00,91.45
3360.00,91.40
3359.00,91.35
3358.00,91.30
3357.00,91.25
3356.00,91.20
3355.00,91.14
3354.00,91.09
3353.00,91.06
3352.00,91.03
3351.00,91.00
3350.00,90.95
3349.00,90.90
3348.00,90.86
3347.00,90.84
3346.00,90.82
3345.00,90.79
3344.00,90.76
3343.00,90.72
3342.00,90.69
3341.00,90.67
3340.00,90.67
3339.00,90.67
3338.00,90.67
3337.00,90.68
3336.00,90.68
3335.00,90.69
3334.00,90.69
3333.00,90.70
3332.00,90.72
3331.00,90.73
3330.00,90.74
3329.00,90.74
3328.00,90.76
3327.00,90.79
3326.00,90.84
3325.00,90.89
3324.00,90.93
3323.00,90.94
3322.00,90.95
3321.00,90.96
3320.00,90.97
3319.00,90.99
3318.00,91.00
3317.00,91.01
3316.00,91.03
3315.00,91.05
3314.00,91.08
3313.00,91.10
3312.00,91.10
3311.00,91.08
3310.00,91.06
3309.00,91.04
3308.00,91.04
3307.00,91.04
3306.00,91.03
3305.00,91.01
3304.00,90.98
3303.00,90.96
3302.00,90.95
3301.00,90.95
3300.00,90.95
3299.00,90.94
3298.00,90.94
3297.00,90.93
3296.00,90.93
3295.00,90.93
3294.00,90.94
3293.00,90.95
3292.00,90.96
3291.00,90.96
3290.00,90.96
3289.00,90.99
3288.00,91.02
3287.00,91.04
3286.00,91.04
3285.00,91.03
3284.00,91.02
3283.00,91.03
3282.00,91.06
3281.00,91.08
3280.00,91.09
3279.00,91.09
3278.00,91.12
3277.00,91.16
3276.00,91.20
3275.00,91.25
3274.00,91.29
3273.00,91.33
3272.00,91.38
3271.00,91.44
3270.00,91.50
3269.00,91.54
3268.00,91.58
3267.00,91.63
3266.00,91.68
3265.00,91.73
3264.00,91.78
3263.00,91.82
3262.00,91.86
3261.00,91.90
3260.00,91.95
3259.00,92.00
3258.00,92.05
3257.00,92.11
3256.00,92.17
3255.00,92.23
3254.00,92.29
3253.00,92.34
3252.00,92.39
3251.00,92.44
3250.00,92.50
3249.00,92.56
3248.00,92.61
3247.00,92.65
3246.00,92.68
3245.00,92.70
3244.00,92.73
3243.00,92.77
3242.00,92.81
3241.00,92.85
3240.00,92.90
3239.00,92.95
3238.00,93.00
3237.00,93.05
3236.00,93.10
3235.00,93.14
3234.00,93.18
3233.00,93.22
3232.00,93.26
3231.00,93.31
3230.00,93.35
3229.00,93.38
3228.00,93.39
3227.00,93.40
3226.00,93.42
3225.00,93.46
3224.00,93.52
3223.00,93.58
3222.00,93.64
3221.00,93.69
3220.00,93.74
3219.00,93.79
