Created as New Dataset,34. Hoechst (Dark Red)
cm-1,%T
3648.00,98.03
3647.00,98.02
3646.00,98.01
3645.00,97.98
3644.00,97.96
3643.00,97.94
3642.00,97.92
3641.00,97.92
3640.00,97.94
3639.00,97.96
3638.00,97.99
3637.00,98.01
3636.00,98.03
3635.00,98.05
3634.00,98.06
3633.00,98.07
3632.00,98.05
3631.00,98.03
3630.00,98.02
3629.00,98.01
3628.00,97.98
3627.00,97.95
3626.00,97.94
3625.00,97.95
3624.00,97.97
3623.00,97.98
3622.00,97.97
3621.00,97.96
3620.00,97.97
3619.00,97.99
3618.00,98.00
3617.00,98.00
3616.00,98.00
3615.00,97.99
3614.00,98.00
3613.00,98.01
3612.00,98.01
3611.00,98.01
3610.00,98.01
3609.00,98.02
3608.00,98.02
3607.00,98.02
3606.00,98.00
3605.00,97.99
3604.00,97.98
3603.00,97.96
3602.00,97.95
3601.00,97.93
3600.00,97.92
3599.00,97.92
3598.00,97.93
3597.00,97.95
3596.00,97.97
3595.00,98.00
3594.00,98.02
3593.00,98.02
3592.00,98.01
3591.00,97.99
3590.00,97.96
3589.00,97.94
3588.00,97.94
3587.00,97.95
3586.00,97.97
3585.00,97.99
3584.00,98.00
3583.00,98.01
3582.00,98.02
3581.00,98.03
3580.00,98.04
3579.00,98.06
3578.00,98.07
3577.00,98.07
3576.00,98.07
3575.00,98.06
3574.00,98.07
3573.00,98.10
3572.00,98.12
3571.00,98.13
3570.00,98.12
3569.00,98.09
3568.00,98.04
3567.00,98.00
3566.00,97.97
3565.00,97.95
3564.00,97.95
3563.00,97.97
3562.00,97.99
3561.00,98.01
3560.00,98.02
3559.00,98.02
3558.00,98.00
3557.00,97.99
3556.00,97.97
3555.00,97.96
3554.00,97.95
3553.00,97.95
3552.00,97.95
3551.00,97.97
3550.00,97.99
3549.00,98.02
3548.00,98.03
3547.00,98.02
3546.00,97.99
3545.00,97.95
3544.00,97.91
3543.00,97.87
3542.00,97.86
3541.00,97.87
3540.00,97.89
3539.00,97.92
3538.00,97.94
3537.00,97.93
3536.00,97.92
3535.00,97.92
3534.00,97.93
3533.00,97.96
3532.00,98.01
3531.00,98.04
3530.00,98.06
3529.00,98.05
3528.00,98.02
3527.00,97.99
3526.00,97.96
3525.00,97.95
3524.00,97.93
3523.00,97.92
3522.00,97.92
3521.00,97.92
3520.00,97.94
3519.00,97.96
3518.00,97.99
3517.00,98.01
3516.00,98.01
3515.00,98.02
3514.00,98.03
3513.00,98.05
3512.00,98.05
3511.00,98.03
3510.00,98.00
3509.00,97.97
3508.00,97.96
3507.00,97.98
3506.00,98.01
3505.00,98.04
3504.00,98.06
3503.00,98.05
3502.00,98.03
3501.00,98.00
3500.00,97.98
3499.00,97.98
3498.00,97.99
3497.00,98.01
3496.00,98.02
3495.00,98.03
3494.00,98.03
3493.00,98.04
3492.00,98.05
3491.00,98.06
3490.00,98.07
3489.00,98.06
3488.00,98.06
3487.00,98.05
3486.00,98.05
3485.00,98.05
3484.00,98.06
3483.00,98.07
3482.00,98.06
3481.00,98.04
3480.00,98.01
3479.00,97.99
3478.00,97.99
3477.00,98.00
3476.00,98.01
3475.00,98.02
3474.00,98.01
3473.00,97.99
3472.00,97.97
3471.00,97.98
3470.00,98.00
3469.00,98.03
3468.00,98.07
3467.00,98.09
3466.00,98.08
3465.00,98.06
3464.00,98.03
3463.00,98.02
3462.00,98.02
3461.00,98.03
3460.00,98.04
3459.00,98.05
3458.00,98.05
3457.00,98.06
3456.00,98.07
3455.00,98.07
3454.00,98.08
3453.00,98.08
3452.00,98.07
3451.00,98.06
3450.00,98.04
3449.00,98.01
3448.00,97.99
3447.00,97.97
3446.00,97.96
3445.00,97.98
3444.00,98.02
3443.00,98.07
3442.00,98.11
3441.00,98.13
3440.00,98.14
3439.00,98.14
3438.00,98.13
3437.00,98.13
3436.00,98.12
3435.00,98.10
3434.00,98.06
3433.00,98.02
3432.00,97.99
3431.00,97.99
3430.00,98.01
3429.00,98.03
3428.00,98.05
3427.00,98.05
3426.00,98.05
3425.00,98.05
3424.00,98.04
3423.00,98.03
3422.00,98.02
3421.00,98.02
3420.00,98.03
3419.00,98.04
3418.00,98.05
3417.00,98.06
3416.00,98.07
3415.00,98.09
3414.00,98.10
3413.00,98.12
3412.00,98.13
3411.00,98.15
3410.00,98.16
3409.00,98.16
3408.00,98.13
3407.00,98.09
3406.00,98.06
3405.00,98.03
3404.00,98.03
3403.00,98.04
3402.00,98.08
3401.00,98.11
3400.00,98.15
3399.00,98.16
3398.00,98.15
3397.00,98.11
3396.00,98.08
3395.00,98.07
3394.00,98.07
3393.00,98.08
3392.00,98.09
3391.00,98.10
3390.00,98.10
3389.00,98.10
3388.00,98.10
3387.00,98.10
3386.00,98.09
3385.00,98.07
3384.00,98.05
3383.00,98.04
3382.00,98.04
3381.00,98.05
3380.00,98.06
3379.00,98.07
3378.00,98.07
3377.00,98.07
3376.00,98.05
3375.00,98.05
3374.00,98.04
3373.00,98.04
3372.00,98.05
3371.00,98.07
3370.00,98.08
3369.00,98.08
3368.00,98.07
3367.00,98.06
3366.00,98.06
3365.00,98.08
3364.00,98.10
3363.00,98.10
3362.00,98.09
3361.00,98.08
3360.00,98.07
3359.00,98.07
3358.00,98.08
3357.00,98.09
3356.00,98.09
3355.00,98.07
3354.00,98.05
3353.00,98.03
3352.00,98.02
3351.00,98.03
3350.00,98.04
3349.00,98.04
3348.00,98.04
3347.00,98.03
3346.00,98.02
3345.00,98.02
3344.00,98.01
3343.00,98.00
3342.00,97.99
3341.00,98.00
3340.00,98.02
3339.00,98.03
3338.00,98.04
3337.00,98.04
3336.00,98.03
3335.00,98.02
3334.00,98.03
3333.00,98.05
3332.00,98.05
3331.00,98.05
3330.00,98.04
3329.00,98.04
3328.00,98.05
3327.00,98.05
3326.00,98.04
3325.00,98.02
3324.00,97.99
3323.00,97.98
3322.00,97.98
3321.00,97.99
3320.00,97.99
3319.00,97.98
3318.00,97.96
3317.00,97.94
3316.00,97.94
3315.00,97.94
3314.00,97.96
3313.00,97.98
3312.00,98.00
3311.00,98.02
3310.00,98.02
3309.00,98.01
3308.00,98.01
3307.00,98.00
3306.00,98.00
3305.00,98.00
3304.00,97.99
3303.00,97.99
3302.00,98.00
3301.00,98.01
3300.00,98.01
3299.00,98.00
3298.00,97.98
3297.00,97.97
3296.00,97.95
3295.00,97.94
3294.00,97.93
3293.00,97.92
3292.00,97.93
3291.00,97.94
3290.00,97.95
3289.00,97.95
3288.00,97.94
3287.00,97.93
3286.00,97.93
3285.00,97.93
3284.00,97.93
3283.00,97.93
3282.00,97.94
3281.00,97.95
3280.00,97.95
3279.00,97.95
3278.00,97.94
3277.00,97.91
3276.00,97.89
3275.00,97.89
3274.00,97.91
3273.00,97.95
3272.00,97.97
3271.00,97.97
3270.00,97.96
3269.00,97.95
3268.00,97.95
3267.00,97.95
3266.00,97.95
3265.00,97.94
3264.00,97.93
3263.00,97.93
3262.00,97.92
3261.00,97.92
3260.00,97.91
3259.00,97.91
3258.00,97.90
3257.00,97.90
3256.00,97.89
3255.00,97.88
3254.00,97.88
3253.00,97.89
3252.00,97.89
3251.00,97.90
3250.00,97.91
3249.00,97.92
3248.00,97.94
3247.00,97.93
3246.00,97.92
3245.00,97.89
3244.00,97.87
3243.00,97.86
3242.00,97.86
3241.00,97.86
3240.00,97.86
3239.00,97.86
3238.00,97.86
3237.00,97.86
3236.00,97.86
3235.00,97.87
3234.00,97.87
3233.00,97.87
3232.00,97.86
3231.00,97.86
3230.00,97.86
3229.00,97.85
3228.00,97.84
3227.00,97.83
3226.00,97.84
3225.00,97.86
3224.00,97.88
3223.00,97.89
3222.00,97.89
3221.00,97.89
3220.00,97.89
3219.00,97.89
3218.00,97.89
3217.00,97.89
3216.00,97.89
3215.00,97.91
3214.00,97.92
3213.00,97.91
3212.00,97.89
3211.00,97.87
3210.00,97.86
3209.00,97.86
3208.00,97.86
3207.00,97.86
3206.00,97.85
3205.00,97.84
3204.00,97.84
3203.00,97.84
3202.00,97.86
3201.00,97.87
3200.00,97.87
3199.00,97.88
3198.00,97.88
3197.00,97.88
3196.00,97.88
3195.00,97.90
3194.00,97.91
3193.00,97.91
3192.00,97.90
3191.00,97.89
3190.00,97.88
3189.00,97.88
3188.00,97.87
3187.00,97.86
3186.00,97.85
3185.00,97.84
3184.00,97.85
3183.00,97.86
3182.00,97.88
3181.00,97.90
3180.00,97.91
3179.00,97.92
3178.00,97.91
3177.00,97.91
3176.00,97.91
3175.00,97.91
3174.00,97.91
3173.00,97.89
3172.00,97.87
3171.00,97.85
3170.00,97.85
3169.00,97.86
3168.00,97.87
3167.00,97.89
3166.00,97.90
3165.00,97.90
3164.00,97.90
3163.00,97.90
3162.00,97.89
3161.00,97.87
3160.00,97.85
3159.00,97.83
3158.00,97.83
3157.00,97.84
3156.00,97.86
3155.00,97.87
3154.00,97.88
3153.00,97.89
3152.00,97.90
3151.00,97.90
3150.00,97.90
3149.00,97.89
3148.00,97.89
3147.00,97.89
3146.00,97.90
3145.00,97.89
3144.00,97.89
3143.00,97.88
3142.00,97.89
3141.00,97.90
3140.00,97.91
3139.00,97.91
3138.00,97.92
3137.00,97.92
3136.00,97.92
3135.00,97.91
3134.00,97.91
3133.00,97.92
3132.00,97.92
3131.00,97.93
3130.00,97.92
3129.00,97.90
3128.00,97.89
3127.00,97.90
3126.00,97.92
3125.00,97.94
3124.00,97.95
3123.00,97.94
3122.00,97.92
3121.00,97.89
3120.00,97.89
3119.00,97.89
3118.00,97.91
3117.00,97.91
3116.00,97.91
3115.00,97.90
3114.00,97.90
3113.00,97.89
3112.00,97.89
3111.00,97.89
3110.00,97.90
3109.00,97.90
3108.00,97.90
3107.00,97.88
3106.00,97.86
3105.00,97.85
3104.00,97.86
3103.00,97.87
3102.00,97.88
3101.00,97.90
3100.00,97.91
3099.00,97.91
3098.00,97.91
3097.00,97.90
3096.00,97.89
3095.00,97.88
3094.00,97.88
3093.00,97.87
3092.00,97.87
3091.00,97.88
3090.00,97.88
3089.00,97.88
3088.00,97.87
3087.00,97.86
3086.00,97.85
3085.00,97.85
3084.00,97.85
3083.00,97.85
3082.00,97.85
3081.00,97.84
3080.00,97.83
3079.00,97.83
3078.00,97.84
3077.00,97.86
3076.00,97.86
3075.00,97.85
3074.00,97.83
3073.00,97.80
3072.00,97.80
3071.00,97.81
3070.00,97.82
3069.00,97.83
3068.00,97.83
3067.00,97.83
3066.00,97.82
3065.00,97.83
3064.00,97.83
3063.00,97.83
3062.00,97.83
3061.00,97.82
3060.00,97.82
3059.00,97.82
3058.00,97.82
3057.00,97.81
3056.00,97.79
3055.00,97.77
3054.00,97.76
3053.00,97.76
3052.00,97.76
3051.00,97.77
3050.00,97.78
3049.00,97.79
3048.00,97.82
3047.00,97.84
3046.00,97.84
3045.00,97.84
3044.00,97.83
3043.00,97.82
3042.00,97.82
3041.00,97.82
3040.00,97.82
3039.00,97.81
3038.00,97.80
3037.00,97.78
3036.00,97.78
3035.00,97.78
3034.00,97.79
3033.00,97.80
3032.00,97.80
3031.00,97.79
3030.00,97.77
3029.00,97.76
3028.00,97.75
3027.00,97.76
3026.00,97.77
3025.00,97.78
3024.00,97.78
3023.00,97.79
3022.00,97.79
3021.00,97.79
3020.00,97.78
3019.00,97.77
3018.00,97.76
3017.00,97.76
3016.00,97.75
3015.00,97.74
3014.00,97.74
3013.00,97.74
3012.00,97.72
3011.00,97.70
