Created as New Dataset,7.2. Cotton sSeed with lint
cm-1,%T
3649.00,100.79
3648.00,100.76
3647.00,100.72
3646.00,100.68
3645.00,100.67
3644.00,100.66
3643.00,100.66
3642.00,100.66
3641.00,100.66
3640.00,100.65
3639.00,100.64
3638.00,100.63
3637.00,100.61
3636.00,100.58
3635.00,100.54
3634.00,100.51
3633.00,100.49
3632.00,100.49
3631.00,100.52
3630.00,100.55
3629.00,100.57
3628.00,100.57
3627.00,100.57
3626.00,100.54
3625.00,100.51
3624.00,100.47
3623.00,100.42
3622.00,100.37
3621.00,100.32
3620.00,100.27
3619.00,100.24
3618.00,100.23
3617.00,100.23
3616.00,100.22
3615.00,100.20
3614.00,100.16
3613.00,100.12
3612.00,100.08
3611.00,100.05
3610.00,100.03
3609.00,100.01
3608.00,100.00
3607.00,99.98
3606.00,99.98
3605.00,99.97
3604.00,99.95
3603.00,99.94
3602.00,99.92
3601.00,99.90
3600.00,99.87
3599.00,99.85
3598.00,99.81
3597.00,99.77
3596.00,99.73
3595.00,99.68
3594.00,99.63
3593.00,99.59
3592.00,99.56
3591.00,99.54
3590.00,99.52
3589.00,99.51
3588.00,99.49
3587.00,99.47
3586.00,99.45
3585.00,99.43
3584.00,99.40
3583.00,99.37
3582.00,99.32
3581.00,99.28
3580.00,99.25
3579.00,99.23
3578.00,99.20
3577.00,99.15
3576.00,99.11
3575.00,99.07
3574.00,99.04
3573.00,99.03
3572.00,99.03
3571.00,99.04
3570.00,99.04
3569.00,99.03
3568.00,98.99
3567.00,98.92
3566.00,98.85
3565.00,98.79
3564.00,98.75
3563.00,98.71
3562.00,98.68
3561.00,98.66
3560.00,98.64
3559.00,98.62
3558.00,98.59
3557.00,98.57
3556.00,98.54
3555.00,98.50
3554.00,98.46
3553.00,98.40
3552.00,98.35
3551.00,98.29
3550.00,98.24
3549.00,98.20
3548.00,98.16
3547.00,98.12
3546.00,98.10
3545.00,98.07
3544.00,98.05
3543.00,98.01
3542.00,97.97
3541.00,97.94
3540.00,97.91
3539.00,97.87
3538.00,97.84
3537.00,97.80
3536.00,97.77
3535.00,97.75
3534.00,97.74
3533.00,97.73
3532.00,97.70
3531.00,97.67
3530.00,97.63
3529.00,97.60
3528.00,97.56
3527.00,97.51
3526.00,97.45
3525.00,97.41
3524.00,97.37
3523.00,97.33
3522.00,97.29
3521.00,97.26
3520.00,97.23
3519.00,97.21
3518.00,97.17
3517.00,97.11
3516.00,97.06
3515.00,97.02
3514.00,97.00
3513.00,96.97
3512.00,96.93
3511.00,96.88
3510.00,96.82
3509.00,96.78
3508.00,96.74
3507.00,96.70
3506.00,96.64
3505.00,96.58
3504.00,96.51
3503.00,96.46
3502.00,96.42
3501.00,96.39
3500.00,96.37
3499.00,96.33
3498.00,96.29
3497.00,96.24
3496.00,96.20
3495.00,96.16
3494.00,96.12
3493.00,96.08
3492.00,96.04
3491.00,95.99
3490.00,95.94
3489.00,95.88
3488.00,95.81
3487.00,95.74
3486.00,95.68
3485.00,95.62
3484.00,95.56
3483.00,95.52
3482.00,95.48
3481.00,95.44
3480.00,95.39
3479.00,95.33
3478.00,95.27
3477.00,95.21
3476.00,95.15
3475.00,95.09
3474.00,95.02
3473.00,94.96
3472.00,94.92
3471.00,94.89
3470.00,94.86
3469.00,94.81
3468.00,94.74
3467.00,94.68
3466.00,94.62
3465.00,94.56
3464.00,94.51
3463.00,94.46
3462.00,94.40
3461.00,94.35
3460.00,94.29
3459.00,94.22
3458.00,94.15
3457.00,94.08
3456.00,94.01
3455.00,93.94
3454.00,93.87
3453.00,93.80
3452.00,93.76
3451.00,93.72
3450.00,93.69
3449.00,93.64
3448.00,93.57
3447.00,93.50
3446.00,93.46
3445.00,93.42
3444.00,93.37
3443.00,93.31
3442.00,93.24
3441.00,93.17
3440.00,93.11
3439.00,93.06
3438.00,93.01
3437.00,92.97
3436.00,92.91
3435.00,92.84
3434.00,92.77
3433.00,92.69
3432.00,92.61
3431.00,92.54
3430.00,92.47
3429.00,92.42
3428.00,92.36
3427.00,92.29
3426.00,92.22
3425.00,92.15
3424.00,92.08
3423.00,92.01
3422.00,91.94
3421.00,91.87
3420.00,91.80
3419.00,91.74
3418.00,91.68
3417.00,91.62
3416.00,91.55
3415.00,91.49
3414.00,91.42
3413.00,91.35
3412.00,91.26
3411.00,91.19
3410.00,91.11
3409.00,91.06
3408.00,91.01
3407.00,90.96
3406.00,90.91
3405.00,90.86
3404.00,90.81
3403.00,90.77
3402.00,90.73
3401.00,90.68
3400.00,90.63
3399.00,90.58
3398.00,90.52
3397.00,90.47
3396.00,90.43
3395.00,90.39
3394.00,90.34
3393.00,90.29
3392.00,90.23
3391.00,90.18
3390.00,90.13
3389.00,90.09
3388.00,90.04
3387.00,89.99
3386.00,89.94
3385.00,89.89
3384.00,89.85
3383.00,89.82
3382.00,89.78
3381.00,89.72
3380.00,89.67
3379.00,89.62
3378.00,89.57
3377.00,89.53
3376.00,89.48
3375.00,89.42
3374.00,89.37
3373.00,89.31
3372.00,89.24
3371.00,89.18
3370.00,89.12
3369.00,89.05
3368.00,88.99
3367.00,88.91
3366.00,88.82
3365.00,88.74
3364.00,88.68
3363.00,88.63
3362.00,88.58
3361.00,88.51
3360.00,88.44
3359.00,88.36
3358.00,88.28
3357.00,88.20
3356.00,88.12
3355.00,88.04
3354.00,87.97
3353.00,87.89
3352.00,87.81
3351.00,87.74
3350.00,87.67
3349.00,87.61
3348.00,87.56
3347.00,87.51
3346.00,87.44
3345.00,87.37
3344.00,87.29
3343.00,87.22
3342.00,87.16
3341.00,87.12
3340.00,87.07
3339.00,87.03
3338.00,87.00
3337.00,86.98
3336.00,86.96
3335.00,86.96
3334.00,86.97
3333.00,86.99
3332.00,87.00
