Created as New Dataset,14.2 Red Wool Targhee sheep
cm-1,%T
3649.00,97.26
3648.00,97.19
3647.00,97.16
3646.00,97.15
3645.00,97.13
3644.00,97.11
3643.00,97.08
3642.00,97.05
3641.00,97.03
3640.00,97.01
3639.00,96.98
3638.00,96.93
3637.00,96.86
3636.00,96.78
3635.00,96.70
3634.00,96.63
3633.00,96.56
3632.00,96.47
3631.00,96.37
3630.00,96.29
3629.00,96.22
3628.00,96.16
3627.00,96.12
3626.00,96.09
3625.00,96.06
3624.00,96.02
3623.00,95.95
3622.00,95.86
3621.00,95.75
3620.00,95.66
3619.00,95.60
3618.00,95.58
3617.00,95.54
3616.00,95.48
3615.00,95.39
3614.00,95.29
3613.00,95.20
3612.00,95.14
3611.00,95.08
3610.00,95.04
3609.00,95.00
3608.00,94.94
3607.00,94.87
3606.00,94.80
3605.00,94.72
3604.00,94.65
3603.00,94.58
3602.00,94.52
3601.00,94.45
3600.00,94.38
3599.00,94.32
3598.00,94.25
3597.00,94.19
3596.00,94.13
3595.00,94.08
3594.00,94.02
3593.00,93.96
3592.00,93.90
3591.00,93.84
3590.00,93.76
3589.00,93.67
3588.00,93.57
3587.00,93.49
3586.00,93.44
3585.00,93.40
3584.00,93.36
3583.00,93.31
3582.00,93.24
3581.00,93.17
3580.00,93.11
3579.00,93.05
3578.00,92.99
3577.00,92.92
3576.00,92.85
3575.00,92.77
3574.00,92.70
3573.00,92.63
3572.00,92.56
3571.00,92.49
3570.00,92.43
3569.00,92.36
3568.00,92.28
3567.00,92.19
3566.00,92.11
3565.00,92.05
3564.00,91.99
3563.00,91.93
3562.00,91.86
3561.00,91.78
3560.00,91.70
3559.00,91.63
3558.00,91.54
3557.00,91.46
3556.00,91.37
3555.00,91.29
3554.00,91.21
3553.00,91.13
3552.00,91.06
3551.00,90.99
3550.00,90.91
3549.00,90.84
3548.00,90.77
3547.00,90.68
3546.00,90.61
3545.00,90.54
3544.00,90.48
3543.00,90.42
3542.00,90.36
3541.00,90.31
3540.00,90.26
3539.00,90.22
3538.00,90.17
3537.00,90.11
3536.00,90.02
3535.00,89.92
3534.00,89.82
3533.00,89.73
3532.00,89.65
3531.00,89.56
3530.00,89.49
3529.00,89.42
3528.00,89.36
3527.00,89.29
3526.00,89.22
3525.00,89.16
3524.00,89.10
3523.00,89.06
3522.00,89.00
3521.00,88.93
3520.00,88.86
3519.00,88.78
3518.00,88.70
3517.00,88.62
3516.00,88.54
3515.00,88.46
3514.00,88.40
3513.00,88.35
3512.00,88.29
3511.00,88.22
3510.00,88.15
3509.00,88.07
3508.00,88.00
3507.00,87.94
3506.00,87.88
3505.00,87.82
3504.00,87.76
3503.00,87.70
3502.00,87.64
3501.00,87.58
3500.00,87.50
3499.00,87.42
3498.00,87.35
3497.00,87.29
3496.00,87.25
3495.00,87.21
3494.00,87.17
3493.00,87.11
3492.00,87.05
3491.00,87.00
3490.00,86.96
3489.00,86.92
3488.00,86.88
3487.00,86.84
3486.00,86.79
3485.00,86.73
3484.00,86.66
3483.00,86.58
3482.00,86.49
3481.00,86.40
3480.00,86.31
3479.00,86.24
3478.00,86.16
3477.00,86.09
3476.00,86.02
3475.00,85.97
3474.00,85.93
3473.00,85.88
3472.00,85.84
3471.00,85.78
3470.00,85.72
3469.00,85.65
3468.00,85.59
3467.00,85.54
3466.00,85.50
3465.00,85.46
3464.00,85.42
3463.00,85.37
3462.00,85.32
3461.00,85.25
3460.00,85.17
3459.00,85.10
3458.00,85.04
3457.00,85.00
3456.00,84.97
3455.00,84.93
3454.00,84.88
3453.00,84.82
3452.00,84.76
3451.00,84.70
3450.00,84.65
3449.00,84.60
3448.00,84.55
3447.00,84.50
3446.00,84.45
3445.00,84.40
3444.00,84.35
3443.00,84.31
3442.00,84.27
3441.00,84.23
3440.00,84.17
3439.00,84.12
3438.00,84.08
3437.00,84.06
3436.00,84.03
3435.00,84.00
3434.00,83.94
3433.00,83.87
3432.00,83.80
3431.00,83.72
3430.00,83.66
3429.00,83.61
3428.00,83.57
3427.00,83.54
3426.00,83.50
3425.00,83.45
3424.00,83.38
3423.00,83.31
3422.00,83.25
3421.00,83.19
3420.00,83.15
3419.00,83.11
3418.00,83.07
3417.00,83.03
3416.00,82.99
3415.00,82.95
3414.00,82.90
3413.00,82.85
3412.00,82.82
3411.00,82.79
3410.00,82.76
3409.00,82.72
3408.00,82.66
3407.00,82.60
3406.00,82.55
3405.00,82.52
3404.00,82.50
3403.00,82.47
3402.00,82.43
3401.00,82.38
3400.00,82.33
3399.00,82.27
3398.00,82.23
3397.00,82.21
3396.00,82.19
3395.00,82.17
3394.00,82.14
3393.00,82.10
3392.00,82.07
3391.00,82.05
3390.00,82.02
3389.00,81.99
3388.00,81.95
3387.00,81.91
3386.00,81.86
3385.00,81.82
3384.00,81.78
3383.00,81.74
3382.00,81.70
3381.00,81.67
3380.00,81.64
3379.00,81.62
3378.00,81.58
3377.00,81.54
3376.00,81.52
3375.00,81.50
3374.00,81.49
3373.00,81.46
3372.00,81.43
3371.00,81.39
3370.00,81.35
3369.00,81.32
3368.00,81.29
3367.00,81.25
3366.00,81.21
3365.00,81.17
3364.00,81.15
3363.00,81.13
3362.00,81.11
3361.00,81.09
3360.00,81.05
3359.00,81.02
3358.00,80.98
3357.00,80.96
3356.00,80.93
3355.00,80.90
3354.00,80.87
3353.00,80.83
3352.00,80.80
3351.00,80.77
3350.00,80.74
3349.00,80.70
3348.00,80.65
3347.00,80.61
3346.00,80.58
3345.00,80.57
3344.00,80.55
3343.00,80.52
3342.00,80.49
3341.00,80.46
3340.00,80.44
3339.00,80.42
3338.00,80.40
3337.00,80.38
3336.00,80.36
3335.00,80.34
3334.00,80.31
3333.00,80.28
3332.00,80.25
3331.00,80.20
3330.00,80.15
3329.00,80.11
3328.00,80.07
3327.00,80.05
3326.00,80.03
3325.00,80.00
3324.00,79.97
3323.00,79.93
3322.00,79.88
3321.00,79.84
3320.00,79.80
3319.00,79.76
3318.00,79.73
3317.00,79.69
3316.00,79.65
3315.00,79.60
3314.00,79.55
3313.00,79.49
3312.00,79.44
3311.00,79.39
3310.00,79.35
3309.00,79.32
3308.00,79.29
3307.00,79.26
3306.00,79.23
3305.00,79.19
3304.00,79.14
3303.00,79.10
3302.00,79.07
3301.00,79.05
3300.00,79.03
3299.00,79.00
3298.00,78.97
3297.00,78.93
3296.00,78.90
3295.00,78.88
3294.00,78.86
3293.00,78.84
3292.00,78.82
3291.00,78.79
3290.00,78.76
3289.00,78.72
3288.00,78.70
3287.00,78.68
3286.00,78.67
3285.00,78.66
3284.00,78.67
3283.00,78.67
3282.00,78.68
3281.00,78.67
3280.00,78.65
3279.00,78.62
3278.00,78.60
3277.00,78.60
3276.00,78.62
3275.00,78.67
3274.00,78.71
3273.00,78.73
3272.00,78.75
3271.00,78.76
3270.00,78.78
3269.00,78.80
3268.00,78.84
3267.00,78.89
3266.00,78.94
3265.00,78.99
3264.00,79.03
3263.00,79.08
3262.00,79.12
3261.00,79.17
3260.00,79.21
3259.00,79.25
3258.00,79.28
3257.00,79.30
3256.00,79.34
3255.00,79.39
3254.00,79.46
3253.00,79.53
3252.00,79.59
3251.00,79.65
3250.00,79.69
3249.00,79.74
3248.00,79.78
3247.00,79.82
3246.00,79.86
3245.00,79.91
3244.00,79.97
3243.00,80.04
3242.00,80.10
3241.00,80.15
3240.00,80.19
3239.00,80.23
3238.00,80.28
3237.00,80.33
3236.00,80.38
3235.00,80.43
3234.00,80.48
3233.00,80.52
3232.00,80.56
3231.00,80.60
3230.00,80.64
3229.00,80.67
3228.00,80.71
3227.00,80.76
3226.00,80.80
3225.00,80.84
3224.00,80.88
3223.00,80.92
3222.00,80.97
3221.00,81.03
3220.00,81.09
3219.00,81.12
3218.00,81.15
3217.00,81.19
3216.00,81.25
3215.00,81.33
3214.00,81.40
3213.00,81.44
3212.00,81.47
3211.00,81.49
3210.00,81.53
3209.00,81.57
3208.00,81.61
3207.00,81.65
3206.00,81.68
3205.00,81.72
3204.00,81.76
3203.00,81.81
3202.00,81.87
3201.00,81.93
3200.00,81.99
3199.00,82.05
3198.00,82.10
3197.00,82.15
3196.00,82.21
3195.00,82.28
3194.00,82.35
3193.00,82.41
3192.00,82.49
3191.00,82.56
3190.00,82.63
3189.00,82.69
3188.00,82.74
3187.00,82.77
3186.00,82.82
3185.00,82.89
3184.00,82.98
3183.00,83.07
3182.00,83.14
3181.00,83.22
3180.00,83.29
3179.00,83.37
3178.00,83.44
3177.00,83.51
3176.00,83.58
3175.00,83.65
3174.00,83.72
3173.00,83.78
3172.00,83.84
3171.00,83.89
3170.00,83.96
3169.00,84.04
3168.00,84.12
3167.00,84.21
3166.00,84.29
3165.00,84.36
3164.00,84.43
3163.00,84.50
3162.00,84.55
3161.00,84.62
3160.00,84.69
3159.00,84.77
3158.00,84.85
3157.00,84.92
3156.00,85.00
3155.00,85.06
3154.00,85.12
3153.00,85.19
3152.00,85.26
3151.00,85.34
3150.00,85.42
3149.00,85.50
3148.00,85.56
3147.00,85.60
3146.00,85.65
3145.00,85.71
3144.00,85.79
3143.00,85.87
3142.00,85.93
3141.00,85.99
3140.00,86.04
3139.00,86.09
3138.00,86.15
3137.00,86.21
3136.00,86.27
3135.00,86.32
3134.00,86.37
3133.00,86.41
3132.00,86.44
3131.00,86.48
3130.00,86.53
3129.00,86.58
3128.00,86.63
3127.00,86.69
3126.00,86.74
3125.00,86.78
3124.00,86.83
3123.00,86.88
3122.00,86.93
3121.00,86.99
3120.00,87.04
3119.00,87.09
3118.00,87.12
3117.00,87.15
3116.00,87.18
3115.00,87.20
3114.00,87.22
3113.00,87.25
3112.00,87.28
3111.00,87.31
3110.00,87.35
3109.00,87.38
3108.00,87.40
3107.00,87.42
3106.00,87.44
3105.00,87.47
3104.00,87.51
3103.00,87.55
3102.00,87.57
3101.00,87.58
3100.00,87.58
3099.00,87.58
3098.00,87.60
3097.00,87.62
3096.00,87.64
3095.00,87.66
3094.00,87.68
3093.00,87.69
3092.00,87.71
3091.00,87.72
3090.00,87.73
3089.00,87.73
3088.00,87.74
3087.00,87.76
3086.00,87.79
3085.00,87.82
3084.00,87.85
3083.00,87.86
3082.00,87.87
3081.00,87.87
3080.00,87.86
3079.00,87.86
3078.00,87.87
3077.00,87.89
3076.00,87.91
3075.00,87.93
3074.00,87.94
3073.00,87.96
3072.00,87.98
3071.00,88.00
3070.00,88.03
3069.00,88.06
3068.00,88.09
3067.00,88.11
3066.00,88.12
3065.00,88.13
3064.00,88.15
3063.00,88.18
3062.00,88.23
3061.00,88.28
3060.00,88.35
3059.00,88.40
3058.00,88.44
3057.00,88.48
3056.00,88.52
3055.00,88.56
3054.00,88.60
3053.00,88.64
3052.00,88.68
3051.00,88.73
3050.00,88.79
3049.00,88.85
3048.00,88.91
3047.00,88.97
3046.00,89.01
3045.00,89.05
3044.00,89.10
3043.00,89.14
3042.00,89.19
3041.00,89.24
3040.00,89.29
3039.00,89.34
3038.00,89.38
3037.00,89.41
3036.00,89.45
3035.00,89.50
3034.00,89.55
3033.00,89.61
3032.00,89.67
3031.00,89.73
3030.00,89.79
3029.00,89.85
3028.00,89.91
3027.00,89.96
3026.00,89.99
3025.00,90.02
3024.00,90.04
3023.00,90.07
3022.00,90.11
3021.00,90.16
3020.00,90.21
3019.00,90.26
3018.00,90.30
3017.00,90.34
3016.00,90.38
3015.00,90.43
3014.00,90.47
3013.00,90.49
3012.00,90.50
3011.00,90.51
3010.00,90.51
3009.00,90.52
3008.00,90.52
3007.00,90.53
3006.00,90.54
3005.00,90.55
3004.00,90.56
3003.00,90.55
3002.00,90.54
3001.00,90.53
3000.00,90.52
2999.00,90.52
2998.00,90.50
2997.00,90.47
2996.00,90.43
2995.00,90.38
2994.00,90.32
2993.00,90.25
2992.00,90.18
2991.00,90.11
2990.00,90.02
2989.00,89.91
2988.00,89.81
2987.00,89.70
2986.00,89.61
2985.00,89.51
2984.00,89.41
2983.00,89.29
2982.00,89.16
2981.00,89.01
2980.00,88.84
2979.00,88.66
2978.00,88.47
2977.00,88.29
2976.00,88.10
2975.00,87.91
2974.00,87.71
2973.00,87.50
2972.00,87.29
2971.00,87.07
2970.00,86.85
2969.00,86.63
2968.00,86.40
2967.00,86.19
2966.00,85.98
2965.00,85.78
2964.00,85.60
2963.00,85.43
2962.00,85.27
2961.00,85.13
2960.00,85.01
2959.00,84.90
2958.00,84.81
2957.00,84.73
2956.00,84.67
2955.00,84.63
2954.00,84.61
2953.00,84.61
2952.00,84.64
2951.00,84.68
2950.00,84.73
2949.00,84.76
2948.00,84.78
2947.00,84.75
2946.00,84.68
2945.00,84.57
2944.00,84.43
2943.00,84.27
2942.00,84.07
2941.00,83.83
2940.00,83.55
2939.00,83.22
2938.00,82.87
2937.00,82.51
2936.00,82.15
2935.00,81.78
2934.00,81.42
2933.00,81.05
2932.00,80.67
2931.00,80.27
2930.00,79.86
2929.00,79.43
2928.00,79.01
