Created as New Dataset,124 Philips (Green)
cm-1,%T
3648.00,100.02
3647.00,100.03
3646.00,100.06
3645.00,100.08
3644.00,100.10
3643.00,100.10
3642.00,100.11
3641.00,100.13
3640.00,100.14
3639.00,100.14
3638.00,100.15
3637.00,100.15
3636.00,100.16
3635.00,100.17
3634.00,100.18
3633.00,100.20
3632.00,100.22
3631.00,100.24
3630.00,100.24
3629.00,100.23
3628.00,100.20
3627.00,100.17
3626.00,100.14
3625.00,100.11
3624.00,100.12
3623.00,100.15
3622.00,100.18
3621.00,100.19
3620.00,100.17
3619.00,100.14
3618.00,100.12
3617.00,100.10
3616.00,100.08
3615.00,100.07
3614.00,100.07
3613.00,100.08
3612.00,100.09
3611.00,100.08
3610.00,100.06
3609.00,100.05
3608.00,100.06
3607.00,100.08
3606.00,100.10
3605.00,100.12
3604.00,100.13
3603.00,100.14
3602.00,100.14
3601.00,100.13
3600.00,100.14
3599.00,100.16
3598.00,100.20
3597.00,100.23
3596.00,100.24
3595.00,100.22
3594.00,100.19
3593.00,100.17
3592.00,100.15
3591.00,100.15
3590.00,100.15
3589.00,100.16
3588.00,100.16
3587.00,100.16
3586.00,100.16
3585.00,100.15
3584.00,100.14
3583.00,100.13
3582.00,100.12
3581.00,100.10
3580.00,100.08
3579.00,100.08
3578.00,100.08
3577.00,100.09
3576.00,100.09
3575.00,100.10
3574.00,100.10
3573.00,100.11
3572.00,100.11
3571.00,100.11
3570.00,100.11
3569.00,100.11
3568.00,100.11
3567.00,100.11
3566.00,100.12
3565.00,100.12
3564.00,100.12
3563.00,100.11
3562.00,100.09
3561.00,100.08
3560.00,100.06
3559.00,100.06
3558.00,100.05
3557.00,100.05
3556.00,100.06
3555.00,100.09
3554.00,100.12
3553.00,100.14
3552.00,100.15
3551.00,100.14
3550.00,100.13
3549.00,100.12
3548.00,100.12
3547.00,100.13
3546.00,100.13
3545.00,100.12
3544.00,100.10
3543.00,100.08
3542.00,100.07
3541.00,100.06
3540.00,100.07
3539.00,100.07
3538.00,100.07
3537.00,100.08
3536.00,100.08
3535.00,100.09
