Created as New Dataset,144 Enka
cm-1,%T
3647.00,99.75
3646.00,99.78
3645.00,99.82
3644.00,99.84
3643.00,99.86
3642.00,99.88
3641.00,99.90
3640.00,99.92
3639.00,99.93
3638.00,99.93
3637.00,99.92
3636.00,99.91
3635.00,99.92
3634.00,99.93
3633.00,99.94
3632.00,99.92
3631.00,99.91
3630.00,99.90
3629.00,99.89
3628.00,99.86
3627.00,99.84
3626.00,99.85
3625.00,99.87
3624.00,99.90
3623.00,99.91
3622.00,99.90
3621.00,99.88
3620.00,99.86
3619.00,99.85
3618.00,99.85
3617.00,99.85
3616.00,99.85
3615.00,99.88
3614.00,99.91
3613.00,99.94
3612.00,99.94
3611.00,99.92
3610.00,99.88
3609.00,99.87
3608.00,99.87
3607.00,99.88
3606.00,99.89
3605.00,99.90
3604.00,99.91
3603.00,99.92
3602.00,99.94
3601.00,99.95
3600.00,99.95
3599.00,99.93
3598.00,99.92
3597.00,99.92
3596.00,99.93
3595.00,99.94
3594.00,99.95
3593.00,99.96
3592.00,99.96
3591.00,99.95
3590.00,99.95
3589.00,99.95
3588.00,99.95
3587.00,99.96
3586.00,99.95
3585.00,99.95
3584.00,99.96
3583.00,99.97
3582.00,99.97
3581.00,99.97
3580.00,99.96
3579.00,99.94
3578.00,99.93
3577.00,99.92
3576.00,99.91
3575.00,99.90
3574.00,99.91
3573.00,99.92
3572.00,99.93
3571.00,99.92
3570.00,99.90
3569.00,99.90
3568.00,99.90
3567.00,99.90
3566.00,99.88
3565.00,99.86
3564.00,99.84
3563.00,99.85
3562.00,99.86
3561.00,99.88
3560.00,99.90
3559.00,99.90
3558.00,99.90
3557.00,99.89
3556.00,99.89
3555.00,99.89
3554.00,99.88
3553.00,99.86
3552.00,99.84
3551.00,99.84
3550.00,99.86
3549.00,99.91
3548.00,99.95
3547.00,99.97
3546.00,99.95
3545.00,99.92
3544.00,99.89
3543.00,99.86
3542.00,99.84
3541.00,99.83
3540.00,99.81
3539.00,99.81
3538.00,99.82
3537.00,99.85
3536.00,99.87
3535.00,99.90
3534.00,99.91
3533.00,99.91
3532.00,99.90
3531.00,99.89
3530.00,99.88
3529.00,99.88
3528.00,99.89
3527.00,99.89
3526.00,99.89
3525.00,99.90
3524.00,99.94
3523.00,99.98
3522.00,100.01
3521.00,100.02
3520.00,100.02
3519.00,100.01
3518.00,100.00
3517.00,99.99
3516.00,99.98
3515.00,99.98
3514.00,99.98
3513.00,99.98
3512.00,99.96
3511.00,99.94
3510.00,99.91
3509.00,99.90
3508.00,99.91
3507.00,99.93
3506.00,99.97
3505.00,100.01
3504.00,100.03
3503.00,100.02
3502.00,100.00
3501.00,99.98
3500.00,99.96
3499.00,99.94
3498.00,99.93
3497.00,99.91
3496.00,99.90
3495.00,99.91
3494.00,99.93
3493.00,99.95
3492.00,99.97
3491.00,99.98
3490.00,99.99
3489.00,100.00
3488.00,100.00
3487.00,99.99
3486.00,99.98
3485.00,99.97
3484.00,99.98
3483.00,99.99
3482.00,100.00
3481.00,99.98
3480.00,99.96
3479.00,99.93
3478.00,99.91
3477.00,99.90
3476.00,99.90
3475.00,99.90
3474.00,99.91
3473.00,99.92
3472.00,99.95
3471.00,99.97
3470.00,99.99
3469.00,99.98
3468.00,99.96
3467.00,99.93
3466.00,99.91
3465.00,99.89
3464.00,99.88
3463.00,99.87
3462.00,99.86
3461.00,99.85
3460.00,99.84
3459.00,99.83
3458.00,99.83
3457.00,99.82
3456.00,99.81
3455.00,99.79
3454.00,99.77
3453.00,99.74
3452.00,99.73
3451.00,99.72
3450.00,99.73
3449.00,99.74
3448.00,99.74
3447.00,99.72
3446.00,99.69
3445.00,99.64
3444.00,99.61
3443.00,99.58
3442.00,99.55
3441.00,99.52
3440.00,99.50
3439.00,99.49
3438.00,99.48
3437.00,99.47
3436.00,99.46
3435.00,99.45
3434.00,99.44
3433.00,99.43
3432.00,99.43
3431.00,99.43
3430.00,99.45
3429.00,99.47
3428.00,99.50
3427.00,99.52
3426.00,99.53
3425.00,99.54
3424.00,99.55
3423.00,99.58
3422.00,99.61
3421.00,99.64
3420.00,99.66
3419.00,99.66
3418.00,99.66
3417.00,99.67
3416.00,99.70
3415.00,99.74
3414.00,99.79
3413.00,99.83
3412.00,99.85
3411.00,99.85
3410.00,99.84
3409.00,99.83
3408.00,99.83
3407.00,99.84
3406.00,99.85
3405.00,99.87
3404.00,99.89
3403.00,99.91
3402.00,99.93
3401.00,99.94
3400.00,99.93
3399.00,99.92
3398.00,99.91
3397.00,99.92
3396.00,99.95
3395.00,99.97
3394.00,99.98
3393.00,99.98
3392.00,99.96
3391.00,99.93
3390.00,99.91
3389.00,99.91
3388.00,99.91
3387.00,99.92
3386.00,99.93
3385.00,99.93
3384.00,99.93
3383.00,99.92
3382.00,99.92
3381.00,99.90
3380.00,99.89
3379.00,99.88
3378.00,99.89
3377.00,99.92
3376.00,99.94
3375.00,99.95
3374.00,99.94
3373.00,99.93
3372.00,99.93
3371.00,99.93
3370.00,99.92
3369.00,99.92
3368.00,99.91
3367.00,99.90
3366.00,99.89
3365.00,99.89
3364.00,99.89
3363.00,99.89
3362.00,99.90
3361.00,99.90
3360.00,99.90
3359.00,99.90
3358.00,99.89
3357.00,99.88
3356.00,99.88
3355.00,99.90
3354.00,99.92
3353.00,99.94
3352.00,99.94
3351.00,99.93
3350.00,99.92
3349.00,99.91
3348.00,99.90
3347.00,99.90
3346.00,99.91
3345.00,99.91
3344.00,99.90
3343.00,99.89
3342.00,99.90
3341.00,99.92
3340.00,99.93
3339.00,99.93
3338.00,99.91
3337.00,99.89
3336.00,99.89
3335.00,99.89
3334.00,99.88
3333.00,99.88
3332.00,99.87
3331.00,99.87
3330.00,99.88
3329.00,99.89
3328.00,99.87
3327.00,99.85
3326.00,99.84
3325.00,99.83
3324.00,99.84
3323.00,99.85
3322.00,99.85
3321.00,99.85
3320.00,99.84
3319.00,99.84
3318.00,99.84
3317.00,99.83
3316.00,99.83
3315.00,99.83
3314.00,99.84
3313.00,99.87
3312.00,99.89
3311.00,99.90
3310.00,99.90
3309.00,99.88
3308.00,99.86
3307.00,99.85
3306.00,99.84
3305.00,99.84
3304.00,99.85
3303.00,99.86
3302.00,99.87
3301.00,99.87
3300.00,99.84
3299.00,99.81
3298.00,99.80
3297.00,99.80
3296.00,99.81
3295.00,99.82
3294.00,99.82
3293.00,99.82
3292.00,99.82
3291.00,99.83
3290.00,99.84
3289.00,99.85
3288.00,99.85
3287.00,99.85
3286.00,99.85
3285.00,99.84
3284.00,99.83
3283.00,99.80
3282.00,99.79
3281.00,99.78
3280.00,99.79
3279.00,99.81
3278.00,99.83
