Created as New Dataset,141. Du Pont
cm-1,%T
3648.00,98.61
3647.00,98.60
3646.00,98.59
3645.00,98.58
3644.00,98.58
3643.00,98.58
3642.00,98.59
3641.00,98.59
3640.00,98.60
3639.00,98.62
3638.00,98.64
3637.00,98.66
3636.00,98.66
3635.00,98.67
3634.00,98.68
3633.00,98.68
3632.00,98.66
3631.00,98.63
3630.00,98.61
3629.00,98.59
3628.00,98.57
3627.00,98.56
3626.00,98.55
3625.00,98.56
3624.00,98.59
3623.00,98.61
3622.00,98.61
3621.00,98.59
3620.00,98.57
3619.00,98.55
3618.00,98.54
3617.00,98.53
3616.00,98.52
3615.00,98.53
3614.00,98.56
3613.00,98.58
3612.00,98.60
3611.00,98.59
3610.00,98.58
3609.00,98.58
3608.00,98.58
3607.00,98.58
3606.00,98.59
3605.00,98.61
3604.00,98.63
3603.00,98.64
3602.00,98.63
3601.00,98.62
3600.00,98.62
3599.00,98.63
3598.00,98.64
3597.00,98.65
3596.00,98.66
3595.00,98.67
3594.00,98.67
3593.00,98.66
3592.00,98.62
3591.00,98.58
3590.00,98.54
3589.00,98.54
3588.00,98.55
3587.00,98.58
3586.00,98.59
3585.00,98.58
3584.00,98.58
3583.00,98.59
3582.00,98.60
3581.00,98.60
3580.00,98.59
3579.00,98.57
3578.00,98.55
3577.00,98.54
3576.00,98.54
3575.00,98.54
3574.00,98.55
3573.00,98.56
3572.00,98.58
3571.00,98.58
3570.00,98.57
3569.00,98.55
3568.00,98.53
3567.00,98.51
3566.00,98.50
3565.00,98.49
3564.00,98.47
3563.00,98.45
3562.00,98.44
3561.00,98.44
3560.00,98.46
3559.00,98.48
3558.00,98.50
3557.00,98.50
3556.00,98.50
3555.00,98.49
3554.00,98.48
3553.00,98.47
3552.00,98.47
3551.00,98.48
3550.00,98.50
3549.00,98.51
3548.00,98.52
3547.00,98.51
3546.00,98.49
3545.00,98.47
3544.00,98.44
3543.00,98.42
3542.00,98.42
3541.00,98.43
3540.00,98.44
3539.00,98.46
3538.00,98.48
3537.00,98.50
3536.00,98.51
3535.00,98.52
3534.00,98.52
3533.00,98.53
3532.00,98.55
3531.00,98.56
3530.00,98.57
3529.00,98.55
3528.00,98.52
3527.00,98.49
3526.00,98.47
3525.00,98.47
3524.00,98.49
3523.00,98.51
3522.00,98.52
3521.00,98.54
3520.00,98.54
3519.00,98.54
3518.00,98.53
3517.00,98.52
3516.00,98.51
3515.00,98.52
3514.00,98.54
3513.00,98.56
3512.00,98.58
3511.00,98.57
3510.00,98.54
3509.00,98.52
3508.00,98.51
3507.00,98.52
3506.00,98.53
3505.00,98.53
3504.00,98.53
3503.00,98.53
3502.00,98.53
3501.00,98.55
