Created as New Dataset,11.3 Red Wool Coopworth sheep 
cm-1,%T
3649.00,99.39
3648.00,99.33
3647.00,99.33
3646.00,99.38
3645.00,99.44
3644.00,99.48
3643.00,99.50
3642.00,99.53
3641.00,99.54
3640.00,99.53
3639.00,99.52
3638.00,99.52
3637.00,99.51
3636.00,99.50
3635.00,99.48
3634.00,99.46
3633.00,99.40
3632.00,99.30
3631.00,99.21
3630.00,99.17
3629.00,99.18
3628.00,99.21
3627.00,99.20
3626.00,99.17
3625.00,99.16
3624.00,99.17
3623.00,99.18
3622.00,99.15
3621.00,99.11
3620.00,99.07
3619.00,99.05
3618.00,99.02
3617.00,98.99
3616.00,98.95
3615.00,98.91
3614.00,98.90
3613.00,98.89
3612.00,98.88
3611.00,98.85
3610.00,98.83
3609.00,98.83
3608.00,98.84
3607.00,98.85
3606.00,98.86
3605.00,98.86
3604.00,98.85
3603.00,98.82
3602.00,98.79
3601.00,98.75
3600.00,98.73
3599.00,98.72
3598.00,98.71
3597.00,98.69
3596.00,98.66
3595.00,98.63
3594.00,98.60
3593.00,98.58
3592.00,98.56
3591.00,98.54
3590.00,98.52
3589.00,98.51
3588.00,98.49
3587.00,98.46
3586.00,98.43
3585.00,98.41
3584.00,98.39
3583.00,98.39
3582.00,98.38
3581.00,98.37
3580.00,98.36
3579.00,98.35
3578.00,98.35
3577.00,98.34
3576.00,98.33
3575.00,98.31
3574.00,98.30
3573.00,98.28
3572.00,98.25
3571.00,98.21
3570.00,98.16
3569.00,98.12
3568.00,98.07
3567.00,98.02
3566.00,97.96
3565.00,97.93
3564.00,97.92
3563.00,97.94
3562.00,97.95
3561.00,97.94
3560.00,97.90
3559.00,97.86
3558.00,97.84
3557.00,97.83
3556.00,97.82
3555.00,97.80
3554.00,97.77
3553.00,97.74
3552.00,97.71
3551.00,97.68
3550.00,97.64
3549.00,97.61
3548.00,97.60
3547.00,97.60
3546.00,97.59
3545.00,97.56
3544.00,97.53
3543.00,97.50
3542.00,97.47
3541.00,97.45
3540.00,97.42
3539.00,97.39
3538.00,97.37
3537.00,97.36
3536.00,97.36
3535.00,97.35
3534.00,97.33
3533.00,97.32
3532.00,97.31
3531.00,97.30
3530.00,97.30
3529.00,97.30
3528.00,97.28
3527.00,97.25
3526.00,97.20
3525.00,97.16
3524.00,97.12
3523.00,97.10
3522.00,97.09
3521.00,97.07
3520.00,97.04
3519.00,97.02
3518.00,97.01
3517.00,97.00
3516.00,96.97
