Created as New Dataset,138. Polyester Du Pont
cm-1,%T
3648.00,99.45
3647.00,99.39
3646.00,99.33
3645.00,99.26
3644.00,99.19
3643.00,99.12
3642.00,99.06
3641.00,99.01
3640.00,98.98
3639.00,98.96
3638.00,98.96
3637.00,98.97
3636.00,98.98
3635.00,99.00
3634.00,99.04
3633.00,99.10
3632.00,99.20
3631.00,99.28
3630.00,99.31
3629.00,99.27
3628.00,99.24
3627.00,99.27
3626.00,99.28
3625.00,99.24
3624.00,99.17
3623.00,99.13
3622.00,99.12
3621.00,99.15
3620.00,99.17
3619.00,99.19
3618.00,99.22
3617.00,99.24
3616.00,99.26
3615.00,99.24
3614.00,99.20
3613.00,99.17
3612.00,99.17
3611.00,99.20
3610.00,99.23
3609.00,99.24
3608.00,99.23
3607.00,99.20
3606.00,99.17
3605.00,99.14
3604.00,99.13
3603.00,99.13
3602.00,99.15
3601.00,99.17
3600.00,99.19
3599.00,99.20
3598.00,99.21
3597.00,99.23
3596.00,99.24
3595.00,99.24
3594.00,99.24
3593.00,99.24
3592.00,99.24
3591.00,99.24
3590.00,99.25
3589.00,99.26
3588.00,99.26
3587.00,99.25
3586.00,99.23
3585.00,99.22
3584.00,99.19
3583.00,99.16
3582.00,99.13
3581.00,99.10
3580.00,99.09
3579.00,99.07
3578.00,99.06
3577.00,99.04
3576.00,99.02
3575.00,99.00
3574.00,98.99
3573.00,99.01
3572.00,99.05
3571.00,99.10
3570.00,99.13
3569.00,99.13
3568.00,99.11
3567.00,99.08
3566.00,99.06
3565.00,99.05
3564.00,99.02
3563.00,98.99
3562.00,98.96
3561.00,98.94
3560.00,98.94
3559.00,98.94
3558.00,98.94
3557.00,98.93
3556.00,98.92
3555.00,98.91
3554.00,98.91
3553.00,98.92
3552.00,98.92
3551.00,98.91
3550.00,98.89
3549.00,98.88
3548.00,98.88
3547.00,98.90
3546.00,98.93
3545.00,98.94
3544.00,98.92
3543.00,98.89
3542.00,98.86
3541.00,98.84
3540.00,98.84
3539.00,98.85
3538.00,98.87
3537.00,98.90
3536.00,98.91
3535.00,98.92
3534.00,98.91
3533.00,98.91
3532.00,98.92
3531.00,98.93
3530.00,98.95
3529.00,98.97
3528.00,98.98
3527.00,99.00
3526.00,99.02
3525.00,99.03
3524.00,99.02
3523.00,99.00
3522.00,98.98
3521.00,98.96
3520.00,98.95
3519.00,98.96
3518.00,98.97
3517.00,99.00
3516.00,99.03
3515.00,99.05
3514.00,99.06
3513.00,99.06
3512.00,99.07
3511.00,99.07
3510.00,99.07
3509.00,99.06
3508.00,99.04
3507.00,99.04
3506.00,99.05
3505.00,99.06
3504.00,99.07
3503.00,99.08
3502.00,99.09
3501.00,99.11
3500.00,99.12
3499.00,99.13
3498.00,99.12
3497.00,99.11
3496.00,99.09
3495.00,99.08
3494.00,99.09
3493.00,99.11
3492.00,99.13
3491.00,99.15
3490.00,99.15
3489.00,99.14
3488.00,99.13
3487.00,99.13
3486.00,99.14
3485.00,99.13
3484.00,99.12
3483.00,99.11
3482.00,99.09
3481.00,99.07
3480.00,99.05
3479.00,99.04
3478.00,99.03
3477.00,99.04
3476.00,99.05
3475.00,99.06
3474.00,99.07
3473.00,99.08
3472.00,99.09
3471.00,99.11
3470.00,99.11
3469.00,99.10
3468.00,99.08
3467.00,99.04
3466.00,99.00
3465.00,98.98
3464.00,98.96
3463.00,98.95
3462.00,98.94
3461.00,98.93
3460.00,98.92
3459.00,98.90
3458.00,98.87
3457.00,98.84
3456.00,98.82
3455.00,98.83
3454.00,98.85
3453.00,98.87
3452.00,98.88
3451.00,98.86
3450.00,98.81
3449.00,98.76
3448.00,98.71
3447.00,98.69
3446.00,98.69
3445.00,98.70
3444.00,98.72
3443.00,98.72
3442.00,98.71
3441.00,98.68
3440.00,98.64
3439.00,98.60
3438.00,98.57
3437.00,98.56
3436.00,98.55
3435.00,98.56
3434.00,98.56
3433.00,98.55
3432.00,98.54
3431.00,98.54
3430.00,98.53
3429.00,98.53
3428.00,98.54
3427.00,98.57
3426.00,98.60
3425.00,98.62
3424.00,98.63
3423.00,98.62
3422.00,98.61
3421.00,98.61
3420.00,98.64
3419.00,98.68
3418.00,98.72
3417.00,98.76
3416.00,98.79
3415.00,98.81
3414.00,98.83
3413.00,98.85
3412.00,98.87
3411.00,98.90
3410.00,98.93
3409.00,98.96
3408.00,98.99
3407.00,99.01
3406.00,99.03
3405.00,99.03
3404.00,99.03
3403.00,99.03
3402.00,99.03
3401.00,99.04
3400.00,99.05
3399.00,99.07
3398.00,99.08
3397.00,99.10
3396.00,99.11
3395.00,99.12
3394.00,99.13
3393.00,99.14
3392.00,99.15
3391.00,99.16
3390.00,99.15
3389.00,99.13
3388.00,99.11
3387.00,99.10
3386.00,99.12
3385.00,99.14
3384.00,99.16
3383.00,99.17
3382.00,99.17
3381.00,99.15
3380.00,99.13
3379.00,99.12
3378.00,99.12
3377.00,99.12
3376.00,99.13
3375.00,99.13
3374.00,99.12
3373.00,99.12
3372.00,99.13
3371.00,99.14
3370.00,99.16
3369.00,99.18
3368.00,99.19
3367.00,99.18
3366.00,99.16
3365.00,99.13
3364.00,99.12
3363.00,99.11
3362.00,99.10
3361.00,99.10
3360.00,99.10
3359.00,99.10
3358.00,99.11
3357.00,99.10
3356.00,99.08
3355.00,99.07
3354.00,99.08
3353.00,99.10
3352.00,99.11
3351.00,99.12
3350.00,99.12
3349.00,99.10
3348.00,99.09
3347.00,99.09
3346.00,99.09
3345.00,99.10
3344.00,99.10
3343.00,99.09
