Created as New Dataset,37 Hoechst
cm-1,%T
3648.00,96.16
3647.00,96.15
3646.00,96.15
3645.00,96.16
3644.00,96.17
3643.00,96.20
3642.00,96.22
3641.00,96.22
3640.00,96.20
3639.00,96.17
3638.00,96.16
3637.00,96.16
3636.00,96.18
3635.00,96.22
3634.00,96.26
3633.00,96.27
3632.00,96.27
3631.00,96.25
3630.00,96.25
3629.00,96.24
3628.00,96.21
3627.00,96.15
3626.00,96.12
3625.00,96.12
3624.00,96.13
3623.00,96.14
3622.00,96.13
3621.00,96.12
3620.00,96.11
3619.00,96.11
3618.00,96.10
3617.00,96.09
3616.00,96.09
3615.00,96.11
3614.00,96.15
3613.00,96.19
3612.00,96.20
3611.00,96.18
3610.00,96.17
3609.00,96.15
3608.00,96.15
3607.00,96.15
3606.00,96.14
3605.00,96.14
3604.00,96.13
3603.00,96.11
3602.00,96.08
3601.00,96.07
3600.00,96.08
3599.00,96.10
3598.00,96.12
3597.00,96.15
3596.00,96.17
3595.00,96.19
3594.00,96.20
3593.00,96.20
3592.00,96.18
3591.00,96.15
3590.00,96.11
3589.00,96.09
3588.00,96.10
3587.00,96.14
3586.00,96.18
3585.00,96.22
3584.00,96.23
3583.00,96.24
3582.00,96.24
3581.00,96.23
3580.00,96.23
3579.00,96.23
3578.00,96.22
3577.00,96.22
3576.00,96.22
3575.00,96.22
3574.00,96.22
3573.00,96.22
3572.00,96.21
3571.00,96.19
3570.00,96.15
3569.00,96.11
3568.00,96.10
3567.00,96.12
3566.00,96.14
3565.00,96.16
3564.00,96.18
3563.00,96.20
3562.00,96.22
3561.00,96.23
3560.00,96.23
3559.00,96.21
3558.00,96.20
3557.00,96.19
3556.00,96.18
3555.00,96.18
3554.00,96.16
3553.00,96.15
3552.00,96.14
3551.00,96.15
3550.00,96.16
3549.00,96.18
3548.00,96.18
3547.00,96.18
3546.00,96.17
3545.00,96.16
3544.00,96.16
3543.00,96.17
3542.00,96.17
3541.00,96.17
3540.00,96.17
3539.00,96.17
3538.00,96.17
3537.00,96.17
3536.00,96.18
3535.00,96.19
3534.00,96.20
3533.00,96.20
3532.00,96.20
3531.00,96.21
3530.00,96.22
3529.00,96.22
3528.00,96.22
3527.00,96.20
3526.00,96.18
3525.00,96.16
3524.00,96.17
3523.00,96.19
3522.00,96.23
3521.00,96.25
3520.00,96.26
3519.00,96.26
3518.00,96.26
3517.00,96.25
3516.00,96.24
3515.00,96.23
3514.00,96.23
3513.00,96.24
3512.00,96.24
3511.00,96.23
3510.00,96.21
3509.00,96.19
3508.00,96.19
3507.00,96.19
3506.00,96.21
3505.00,96.23
3504.00,96.24
3503.00,96.24
3502.00,96.23
3501.00,96.21
3500.00,96.21
3499.00,96.22
3498.00,96.25
3497.00,96.27
3496.00,96.28
3495.00,96.28
3494.00,96.28
3493.00,96.29
3492.00,96.32
3491.00,96.35
3490.00,96.37
3489.00,96.37
3488.00,96.37
3487.00,96.35
3486.00,96.33
3485.00,96.32
3484.00,96.32
3483.00,96.34
3482.00,96.36
3481.00,96.37
3480.00,96.35
3479.00,96.32
3478.00,96.30
3477.00,96.30
3476.00,96.30
3475.00,96.29
3474.00,96.27
3473.00,96.25
3472.00,96.24
3471.00,96.23
3470.00,96.23
3469.00,96.24
3468.00,96.25
3467.00,96.27
3466.00,96.28
3465.00,96.29
3464.00,96.28
3463.00,96.28
3462.00,96.28
3461.00,96.28
3460.00,96.27
3459.00,96.26
3458.00,96.26
3457.00,96.26
3456.00,96.28
3455.00,96.30
3454.00,96.32
3453.00,96.33
3452.00,96.32
3451.00,96.31
3450.00,96.30
3449.00,96.29
3448.00,96.30
3447.00,96.30
3446.00,96.30
3445.00,96.30
3444.00,96.30
3443.00,96.31
3442.00,96.34
3441.00,96.36
3440.00,96.35
3439.00,96.33
3438.00,96.30
3437.00,96.29
3436.00,96.28
3435.00,96.27
3434.00,96.27
3433.00,96.27
3432.00,96.27
3431.00,96.28
3430.00,96.30
3429.00,96.31
3428.00,96.31
3427.00,96.32
3426.00,96.31
3425.00,96.30
3424.00,96.29
3423.00,96.28
3422.00,96.27
3421.00,96.28
3420.00,96.30
3419.00,96.33
3418.00,96.34
3417.00,96.35
3416.00,96.35
3415.00,96.36
3414.00,96.37
3413.00,96.38
3412.00,96.40
3411.00,96.41
3410.00,96.40
3409.00,96.39
3408.00,96.37
3407.00,96.35
3406.00,96.32
3405.00,96.31
3404.00,96.30
3403.00,96.30
3402.00,96.31
3401.00,96.32
3400.00,96.32
3399.00,96.33
3398.00,96.33
3397.00,96.33
3396.00,96.31
3395.00,96.30
3394.00,96.30
3393.00,96.30
3392.00,96.31
3391.00,96.30
3390.00,96.30
3389.00,96.28
3388.00,96.27
3387.00,96.26
3386.00,96.26
3385.00,96.26
3384.00,96.27
3383.00,96.29
3382.00,96.30
3381.00,96.32
3380.00,96.33
3379.00,96.34
3378.00,96.34
3377.00,96.34
3376.00,96.32
3375.00,96.31
3374.00,96.31
3373.00,96.31
3372.00,96.32
3371.00,96.33
3370.00,96.34
3369.00,96.34
3368.00,96.33
3367.00,96.31
3366.00,96.30
3365.00,96.30
3364.00,96.30
3363.00,96.30
3362.00,96.29
3361.00,96.28
3360.00,96.27
3359.00,96.26
3358.00,96.26
3357.00,96.27
3356.00,96.27
3355.00,96.28
3354.00,96.28
3353.00,96.28
3352.00,96.27
3351.00,96.26
3350.00,96.26
3349.00,96.27
3348.00,96.29
3347.00,96.30
3346.00,96.32
3345.00,96.33
3344.00,96.33
3343.00,96.31
3342.00,96.27
3341.00,96.25
3340.00,96.26
3339.00,96.28
3338.00,96.29
3337.00,96.29
3336.00,96.29
3335.00,96.29
3334.00,96.29
3333.00,96.29
3332.00,96.28
3331.00,96.26
3330.00,96.25
3329.00,96.24
3328.00,96.25
3327.00,96.25
3326.00,96.25
3325.00,96.24
3324.00,96.23
3323.00,96.23
3322.00,96.23
3321.00,96.23
3320.00,96.23
3319.00,96.23
3318.00,96.22
3317.00,96.22
3316.00,96.23
3315.00,96.23
3314.00,96.23
3313.00,96.23
3312.00,96.22
3311.00,96.21
3310.00,96.22
3309.00,96.23
3308.00,96.24
3307.00,96.23
3306.00,96.22
3305.00,96.21
3304.00,96.22
3303.00,96.24
3302.00,96.26
3301.00,96.27
3300.00,96.26
3299.00,96.25
3298.00,96.22
3297.00,96.19
3296.00,96.16
3295.00,96.15
3294.00,96.15
3293.00,96.16
3292.00,96.16
3291.00,96.17
3290.00,96.17
3289.00,96.17
3288.00,96.16
3287.00,96.15
3286.00,96.14
3285.00,96.14
3284.00,96.13
3283.00,96.13
3282.00,96.13
3281.00,96.13
3280.00,96.13
3279.00,96.13
3278.00,96.12
3277.00,96.10
3276.00,96.08
3275.00,96.07
3274.00,96.07
3273.00,96.08
3272.00,96.09
3271.00,96.10
3270.00,96.11
3269.00,96.12
3268.00,96.12
3267.00,96.12
3266.00,96.12
3265.00,96.12
3264.00,96.12
3263.00,96.12
3262.00,96.11
3261.00,96.09
3260.00,96.07
3259.00,96.06
3258.00,96.05
3257.00,96.06
3256.00,96.08
3255.00,96.09
3254.00,96.10
3253.00,96.10
3252.00,96.08
3251.00,96.07
3250.00,96.08
3249.00,96.09
3248.00,96.11
3247.00,96.13
3246.00,96.13
3245.00,96.13
3244.00,96.12
3243.00,96.10
3242.00,96.08
3241.00,96.06
3240.00,96.04
3239.00,96.03
3238.00,96.02
3237.00,96.01
3236.00,96.01
3235.00,96.02
3234.00,96.03
3233.00,96.03
3232.00,96.04
3231.00,96.04
3230.00,96.05
3229.00,96.04
3228.00,96.04
3227.00,96.05
3226.00,96.06
3225.00,96.06
3224.00,96.06
3223.00,96.05
3222.00,96.05
3221.00,96.06
3220.00,96.09
3219.00,96.10
3218.00,96.10
3217.00,96.07
3216.00,96.04
3215.00,96.02
3214.00,96.01
3213.00,96.01
3212.00,96.00
3211.00,95.99
3210.00,96.00
3209.00,96.01
3208.00,96.03
3207.00,96.04
3206.00,96.03
3205.00,96.02
3204.00,96.02
3203.00,96.03
3202.00,96.03
3201.00,96.04
3200.00,96.03
3199.00,96.02
3198.00,96.02
3197.00,96.03
3196.00,96.05
3195.00,96.07
3194.00,96.09
3193.00,96.09
3192.00,96.08
3191.00,96.07
3190.00,96.06
3189.00,96.06
3188.00,96.04
3187.00,96.02
3186.00,96.01
3185.00,96.01
3184.00,96.02
3183.00,96.04
3182.00,96.06
3181.00,96.07
3180.00,96.08
3179.00,96.08
3178.00,96.07
3177.00,96.06
3176.00,96.05
3175.00,96.05
3174.00,96.04
3173.00,96.04
3172.00,96.03
3171.00,96.02
3170.00,96.03
3169.00,96.04
3168.00,96.05
3167.00,96.06
3166.00,96.07
3165.00,96.07
3164.00,96.07
3163.00,96.08
3162.00,96.08
3161.00,96.06
3160.00,96.04
3159.00,96.02
3158.00,96.03
3157.00,96.04
3156.00,96.05
3155.00,96.06
3154.00,96.07
3153.00,96.07
3152.00,96.08
3151.00,96.08
3150.00,96.08
3149.00,96.08
3148.00,96.07
3147.00,96.07
3146.00,96.08
3145.00,96.09
3144.00,96.09
3143.00,96.10
3142.00,96.10
3141.00,96.12
3140.00,96.13
3139.00,96.13
3138.00,96.12
3137.00,96.11
3136.00,96.09
3135.00,96.09
3134.00,96.09
3133.00,96.10
3132.00,96.11
3131.00,96.12
3130.00,96.10
3129.00,96.08
3128.00,96.06
3127.00,96.07
3126.00,96.08
3125.00,96.10
3124.00,96.11
3123.00,96.12
3122.00,96.11
3121.00,96.09
3120.00,96.07
3119.00,96.06
3118.00,96.05
3117.00,96.04
3116.00,96.04
3115.00,96.05
3114.00,96.06
3113.00,96.07
3112.00,96.09
3111.00,96.10
3110.00,96.10
3109.00,96.09
3108.00,96.06
3107.00,96.04
3106.00,96.02
3105.00,96.01
3104.00,96.02
3103.00,96.03
3102.00,96.04
3101.00,96.06
3100.00,96.08
3099.00,96.11
3098.00,96.12
3097.00,96.12
3096.00,96.10
3095.00,96.09
3094.00,96.09
3093.00,96.08
3092.00,96.08
3091.00,96.08
3090.00,96.06
3089.00,96.04
3088.00,96.03
3087.00,96.03
3086.00,96.03
3085.00,96.03
3084.00,96.02
3083.00,96.01
3082.00,96.00
3081.00,95.99
3080.00,95.99
3079.00,96.00
3078.00,96.02
3077.00,96.03
3076.00,96.04
3075.00,96.02
3074.00,95.99
3073.00,95.96
3072.00,95.95
3071.00,95.95
3070.00,95.96
3069.00,95.97
3068.00,95.97
3067.00,95.97
3066.00,95.97
3065.00,95.97
3064.00,95.97
3063.00,95.97
3062.00,95.98
3061.00,95.98
3060.00,95.98
3059.00,95.98
3058.00,95.99
3057.00,95.99
3056.00,95.98
3055.00,95.97
3054.00,95.96
3053.00,95.95
3052.00,95.94
3051.00,95.95
3050.00,95.96
3049.00,95.98
3048.00,95.99
3047.00,96.00
3046.00,95.99
3045.00,95.98
3044.00,95.96
3043.00,95.95
3042.00,95.95
3041.00,95.96
3040.00,95.97
3039.00,95.97
3038.00,95.96
3037.00,95.95
3036.00,95.94
3035.00,95.94
3034.00,95.94
3033.00,95.93
3032.00,95.92
3031.00,95.91
3030.00,95.92
3029.00,95.92
3028.00,95.92
3027.00,95.92
3026.00,95.92
3025.00,95.93
3024.00,95.93
3023.00,95.93
3022.00,95.92
3021.00,95.91
3020.00,95.89
3019.00,95.89
3018.00,95.89
3017.00,95.88
3016.00,95.86
3015.00,95.84
3014.00,95.82
3013.00,95.81
3012.00,95.80
3011.00,95.80
3010.00,95.79
3009.00,95.78
3008.00,95.78
3007.00,95.77
3006.00,95.76
3005.00,95.76
3004.00,95.75
3003.00,95.74
3002.00,95.72
3001.00,95.69
3000.00,95.65
2999.00,95.62
2998.00,95.61
2997.00,95.60
2996.00,95.60
2995.00,95.59
2994.00,95.58
2993.00,95.56
2992.00,95.55
2991.00,95.55
2990.00,95.55
2989.00,95.54
2988.00,95.52
2987.00,95.50
2986.00,95.49
2985.00,95.49
2984.00,95.49
2983.00,95.49
2982.00,95.48
2981.00,95.47
2980.00,95.46
2979.00,95.46
2978.00,95.45
2977.00,95.44
2976.00,95.42
2975.00,95.40
2974.00,95.38
2973.00,95.35
2972.00,95.34
2971.00,95.34
2970.00,95.34
2969.00,95.34
2968.00,95.33
2967.00,95.32
2966.00,95.30
2965.00,95.28
2964.00,95.26
2963.00,95.25
2962.00,95.22
2961.00,95.19
2960.00,95.15
2959.00,95.09
2958.00,95.04
2957.00,94.99
2956.00,94.93
2955.00,94.88
2954.00,94.82
2953.00,94.77
2952.00,94.72
2951.00,94.67
