Created as New Dataset,135 Bayer
cm-1,%T
4000.00,99.16
3999.00,99.15
3998.00,99.14
3997.00,99.15
3996.00,99.17
3995.00,99.19
3994.00,99.21
3993.00,99.21
3992.00,99.20
3991.00,99.19
3990.00,99.18
3989.00,99.16
3988.00,99.16
3987.00,99.16
3986.00,99.16
3985.00,99.15
3984.00,99.14
3983.00,99.14
3982.00,99.15
3981.00,99.15
3980.00,99.16
3979.00,99.15
3978.00,99.14
3977.00,99.14
3976.00,99.14
3975.00,99.16
3974.00,99.17
3973.00,99.19
3972.00,99.18
3971.00,99.16
3970.00,99.14
3969.00,99.12
3968.00,99.12
3967.00,99.12
3966.00,99.13
3965.00,99.14
3964.00,99.15
3963.00,99.16
3962.00,99.17
3961.00,99.18
3960.00,99.19
3959.00,99.18
3958.00,99.17
3957.00,99.16
3956.00,99.16
3955.00,99.15
3954.00,99.13
3953.00,99.11
3952.00,99.10
3951.00,99.10
3950.00,99.11
3949.00,99.12
3948.00,99.12
3947.00,99.12
3946.00,99.11
3945.00,99.10
3944.00,99.11
3943.00,99.13
3942.00,99.15
3941.00,99.16
3940.00,99.16
3939.00,99.15
3938.00,99.14
3937.00,99.13
3936.00,99.13
3935.00,99.13
3934.00,99.13
3933.00,99.13
3932.00,99.12
3931.00,99.10
3930.00,99.09
3929.00,99.08
3928.00,99.07
3927.00,99.07
3926.00,99.09
3925.00,99.11
3924.00,99.14
3923.00,99.15
3922.00,99.14
3921.00,99.14
3920.00,99.14
3919.00,99.13
3918.00,99.13
3917.00,99.14
3916.00,99.14
3915.00,99.14
3914.00,99.12
3913.00,99.11
3912.00,99.09
3911.00,99.08
3910.00,99.07
3909.00,99.07
3908.00,99.06
3907.00,99.06
3906.00,99.07
3905.00,99.09
3904.00,99.09
3903.00,99.08
3902.00,99.05
3901.00,99.03
3900.00,99.03
3899.00,99.05
3898.00,99.08
3897.00,99.11
3896.00,99.11
3895.00,99.09
3894.00,99.06
3893.00,99.03
3892.00,99.03
3891.00,99.05
3890.00,99.08
3889.00,99.08
3888.00,99.07
3887.00,99.07
3886.00,99.08
3885.00,99.09
3884.00,99.07
3883.00,99.04
3882.00,99.03
3881.00,99.03
3880.00,99.04
3879.00,99.03
3878.00,99.01
3877.00,98.99
3876.00,98.99
3875.00,99.01
3874.00,99.03
3873.00,99.01
3872.00,98.99
3871.00,98.98
3870.00,98.99
3869.00,98.98
3868.00,98.94
3867.00,98.91
3866.00,98.90
3865.00,98.92
3864.00,98.95
3863.00,98.97
3862.00,98.99
3861.00,99.01
3860.00,99.03
3859.00,99.03
3858.00,99.01
3857.00,98.97
3856.00,98.92
3855.00,98.91
3854.00,98.93
3853.00,98.93
3852.00,98.93
3851.00,98.94
3850.00,98.96
3849.00,98.99
3848.00,99.01
3847.00,99.01
3846.00,98.99
3845.00,98.98
3844.00,98.98
3843.00,98.97
3842.00,98.96
3841.00,98.93
3840.00,98.91
3839.00,98.90
3838.00,98.90
3837.00,98.91
3836.00,98.90
3835.00,98.89
3834.00,98.89
3833.00,98.90
3832.00,98.94
3831.00,98.97
3830.00,98.99
3829.00,98.98
3828.00,98.97
3827.00,98.97
3826.00,98.96
3825.00,98.94
3824.00,98.91
3823.00,98.89
3822.00,98.89
3821.00,98.90
3820.00,98.89
3819.00,98.86
3818.00,98.84
3817.00,98.85
3816.00,98.88
3815.00,98.89
3814.00,98.88
3813.00,98.88
3812.00,98.88
3811.00,98.87
3810.00,98.84
3809.00,98.81
3808.00,98.81
3807.00,98.83
3806.00,98.84
3805.00,98.82
3804.00,98.78
3803.00,98.78
3802.00,98.81
3801.00,98.83
3800.00,98.84
3799.00,98.84
3798.00,98.84
3797.00,98.86
3796.00,98.87
3795.00,98.88
3794.00,98.88
3793.00,98.90
3792.00,98.91
3791.00,98.90
3790.00,98.89
3789.00,98.87
3788.00,98.87
3787.00,98.87
3786.00,98.88
3785.00,98.89
3784.00,98.88
3783.00,98.87
3782.00,98.87
3781.00,98.88
3780.00,98.90
3779.00,98.91
3778.00,98.90
3777.00,98.88
3776.00,98.87
3775.00,98.88
3774.00,98.88
3773.00,98.88
3772.00,98.88
3771.00,98.88
3770.00,98.88
3769.00,98.86
3768.00,98.83
3767.00,98.81
3766.00,98.80
3765.00,98.80
3764.00,98.78
3763.00,98.76
3762.00,98.74
3761.00,98.73
3760.00,98.74
3759.00,98.74
3758.00,98.74
3757.00,98.74
3756.00,98.74
3755.00,98.74
3754.00,98.74
3753.00,98.73
3752.00,98.71
3751.00,98.68
3750.00,98.66
3749.00,98.66
3748.00,98.66
3747.00,98.66
3746.00,98.67
3745.00,98.70
3744.00,98.73
3743.00,98.74
3742.00,98.75
3741.00,98.77
