Created as New Dataset,12. Acrylic Courtaulds Dyed
cm-1,%T
3649.00,93.57
3648.00,93.60
3647.00,93.63
3646.00,93.66
3645.00,93.70
3644.00,93.74
3643.00,93.78
3642.00,93.81
3641.00,93.82
3640.00,93.82
3639.00,93.79
3638.00,93.75
3637.00,93.71
3636.00,93.70
3635.00,93.71
3634.00,93.72
3633.00,93.72
3632.00,93.69
3631.00,93.63
3630.00,93.59
3629.00,93.59
3628.00,93.62
3627.00,93.63
3626.00,93.63
3625.00,93.63
3624.00,93.63
3623.00,93.62
3622.00,93.61
3621.00,93.61
3620.00,93.61
3619.00,93.63
3618.00,93.63
3617.00,93.62
3616.00,93.62
3615.00,93.61
3614.00,93.60
3613.00,93.59
3612.00,93.58
3611.00,93.59
3610.00,93.61
3609.00,93.63
3608.00,93.65
3607.00,93.65
3606.00,93.64
3605.00,93.64
3604.00,93.63
3603.00,93.63
3602.00,93.63
3601.00,93.64
3600.00,93.65
3599.00,93.66
3598.00,93.66
3597.00,93.67
3596.00,93.67
3595.00,93.68
3594.00,93.70
3593.00,93.72
3592.00,93.73
3591.00,93.72
3590.00,93.68
3589.00,93.65
3588.00,93.63
3587.00,93.64
3586.00,93.66
3585.00,93.66
3584.00,93.65
3583.00,93.63
3582.00,93.64
3581.00,93.66
3580.00,93.68
3579.00,93.71
3578.00,93.71
3577.00,93.71
3576.00,93.70
3575.00,93.70
3574.00,93.72
3573.00,93.73
3572.00,93.74
3571.00,93.73
3570.00,93.72
3569.00,93.70
3568.00,93.69
3567.00,93.68
3566.00,93.68
3565.00,93.68
3564.00,93.67
3563.00,93.67
3562.00,93.66
3561.00,93.66
3560.00,93.66
3559.00,93.67
3558.00,93.67
3557.00,93.67
3556.00,93.65
3555.00,93.64
3554.00,93.64
3553.00,93.64
3552.00,93.64
3551.00,93.63
3550.00,93.62
3549.00,93.60
3548.00,93.60
3547.00,93.60
3546.00,93.60
3545.00,93.59
3544.00,93.57
3543.00,93.56
3542.00,93.55
3541.00,93.57
3540.00,93.59
3539.00,93.62
3538.00,93.64
3537.00,93.65
3536.00,93.64
3535.00,93.62
3534.00,93.58
3533.00,93.56
3532.00,93.55
3531.00,93.55
3530.00,93.56
3529.00,93.57
3528.00,93.58
3527.00,93.59
3526.00,93.60
3525.00,93.60
3524.00,93.61
3523.00,93.62
3522.00,93.63
3521.00,93.64
3520.00,93.65
3519.00,93.66
3518.00,93.67
3517.00,93.68
3516.00,93.69
3515.00,93.70
3514.00,93.70
3513.00,93.70
3512.00,93.69
3511.00,93.66
3510.00,93.63
3509.00,93.61
3508.00,93.59
3507.00,93.57
3506.00,93.56
3505.00,93.57
3504.00,93.59
3503.00,93.63
3502.00,93.67
3501.00,93.69
3500.00,93.70
3499.00,93.69
3498.00,93.67
3497.00,93.66
3496.00,93.65
3495.00,93.65
3494.00,93.65
3493.00,93.64
3492.00,93.62
3491.00,93.62
3490.00,93.63
3489.00,93.65
3488.00,93.66
3487.00,93.67
3486.00,93.67
3485.00,93.67
3484.00,93.67
3483.00,93.67
3482.00,93.66
3481.00,93.65
3480.00,93.64
3479.00,93.63
3478.00,93.62
3477.00,93.62
3476.00,93.62
3475.00,93.63
3474.00,93.65
3473.00,93.67
3472.00,93.68
3471.00,93.67
3470.00,93.67
3469.00,93.67
3468.00,93.68
3467.00,93.69
3466.00,93.68
3465.00,93.66
3464.00,93.62
3463.00,93.59
3462.00,93.58
3461.00,93.59
3460.00,93.62
3459.00,93.67
3458.00,93.71
3457.00,93.73
3456.00,93.73
3455.00,93.73
3454.00,93.71
3453.00,93.69
3452.00,93.66
3451.00,93.63
3450.00,93.62
3449.00,93.63
3448.00,93.65
3447.00,93.67
3446.00,93.68
3445.00,93.69
3444.00,93.70
3443.00,93.71
3442.00,93.71
3441.00,93.71
3440.00,93.70
3439.00,93.69
3438.00,93.68
3437.00,93.68
3436.00,93.68
3435.00,93.67
3434.00,93.66
3433.00,93.65
3432.00,93.66
3431.00,93.67
3430.00,93.68
3429.00,93.70
3428.00,93.71
3427.00,93.72
3426.00,93.72
3425.00,93.72
3424.00,93.73
3423.00,93.73
3422.00,93.73
3421.00,93.71
3420.00,93.69
3419.00,93.69
3418.00,93.70
3417.00,93.72
3416.00,93.74
3415.00,93.75
3414.00,93.74
3413.00,93.73
3412.00,93.73
3411.00,93.72
3410.00,93.71
3409.00,93.70
3408.00,93.69
3407.00,93.68
3406.00,93.67
3405.00,93.67
3404.00,93.68
3403.00,93.70
3402.00,93.72
3401.00,93.73
3400.00,93.71
3399.00,93.68
3398.00,93.66
3397.00,93.66
3396.00,93.67
3395.00,93.68
3394.00,93.69
3393.00,93.69
3392.00,93.69
3391.00,93.69
3390.00,93.69
3389.00,93.69
3388.00,93.68
3387.00,93.68
3386.00,93.69
3385.00,93.70
3384.00,93.71
3383.00,93.72
3382.00,93.72
3381.00,93.71
3380.00,93.69
3379.00,93.68
3378.00,93.67
3377.00,93.67
3376.00,93.67
