Created as New Dataset,61 Monsanto
cm-1,%T
3648.00,100.52
3647.00,100.57
3646.00,100.59
3645.00,100.60
3644.00,100.62
3643.00,100.64
3642.00,100.66
3641.00,100.68
3640.00,100.68
3639.00,100.67
3638.00,100.67
3637.00,100.67
3636.00,100.66
3635.00,100.65
3634.00,100.64
3633.00,100.62
3632.00,100.61
3631.00,100.59
3630.00,100.58
3629.00,100.58
3628.00,100.57
3627.00,100.57
3626.00,100.58
3625.00,100.61
3624.00,100.66
3623.00,100.69
3622.00,100.69
3621.00,100.65
3620.00,100.61
3619.00,100.59
3618.00,100.59
3617.00,100.59
3616.00,100.59
3615.00,100.57
3614.00,100.55
3613.00,100.55
3612.00,100.55
3611.00,100.55
3610.00,100.56
3609.00,100.57
3608.00,100.57
3607.00,100.58
3606.00,100.58
3605.00,100.59
3604.00,100.60
3603.00,100.60
3602.00,100.59
3601.00,100.60
3600.00,100.60
3599.00,100.60
3598.00,100.59
3597.00,100.58
3596.00,100.58
3595.00,100.59
3594.00,100.62
3593.00,100.63
3592.00,100.61
3591.00,100.59
3590.00,100.57
3589.00,100.57
3588.00,100.58
3587.00,100.57
3586.00,100.57
3585.00,100.57
3584.00,100.59
3583.00,100.60
3582.00,100.61
3581.00,100.62
3580.00,100.64
3579.00,100.66
3578.00,100.68
3577.00,100.68
3576.00,100.68
3575.00,100.67
3574.00,100.66
3573.00,100.65
3572.00,100.63
3571.00,100.61
3570.00,100.59
3569.00,100.58
3568.00,100.58
3567.00,100.58
3566.00,100.58
3565.00,100.56
3564.00,100.56
3563.00,100.56
3562.00,100.59
3561.00,100.63
3560.00,100.66
3559.00,100.68
3558.00,100.68
3557.00,100.66
3556.00,100.65
3555.00,100.64
3554.00,100.63
3553.00,100.61
3552.00,100.58
3551.00,100.57
3550.00,100.57
3549.00,100.58
3548.00,100.58
3547.00,100.58
3546.00,100.57
3545.00,100.57
3544.00,100.58
3543.00,100.60
3542.00,100.62
3541.00,100.63
3540.00,100.63
3539.00,100.62
3538.00,100.61
3537.00,100.60
3536.00,100.60
3535.00,100.61
3534.00,100.61
3533.00,100.61
3532.00,100.61
3531.00,100.62
3530.00,100.62
3529.00,100.62
3528.00,100.63
3527.00,100.64
3526.00,100.66
3525.00,100.67
3524.00,100.66
3523.00,100.64
3522.00,100.62
3521.00,100.61
3520.00,100.60
3519.00,100.61
3518.00,100.62
3517.00,100.63
3516.00,100.64
3515.00,100.64
3514.00,100.64
3513.00,100.63
3512.00,100.63
3511.00,100.63
3510.00,100.64
3509.00,100.64
3508.00,100.64
3507.00,100.64
3506.00,100.63
3505.00,100.63
3504.00,100.63
3503.00,100.64
3502.00,100.66
3501.00,100.68
3500.00,100.70
3499.00,100.71
3498.00,100.71
3497.00,100.70
3496.00,100.69
3495.00,100.68
3494.00,100.66
3493.00,100.64
3492.00,100.63
3491.00,100.63
3490.00,100.64
3489.00,100.66
3488.00,100.67
3487.00,100.68
3486.00,100.68
3485.00,100.69
3484.00,100.69
3483.00,100.68
3482.00,100.66
3481.00,100.65
3480.00,100.65
3479.00,100.66
3478.00,100.67
3477.00,100.69
3476.00,100.70
3475.00,100.71
3474.00,100.71
3473.00,100.71
3472.00,100.70
3471.00,100.69
3470.00,100.68
3469.00,100.66
3468.00,100.65
3467.00,100.63
3466.00,100.61
3465.00,100.59
3464.00,100.58
3463.00,100.58
3462.00,100.59
3461.00,100.61
3460.00,100.65
3459.00,100.68
3458.00,100.70
3457.00,100.71
3456.00,100.70
3455.00,100.69
3454.00,100.68
3453.00,100.67
3452.00,100.66
3451.00,100.65
3450.00,100.64
3449.00,100.64
3448.00,100.66
3447.00,100.69
3446.00,100.72
3445.00,100.73
3444.00,100.72
3443.00,100.70
3442.00,100.67
3441.00,100.66
3440.00,100.66
3439.00,100.67
3438.00,100.67
3437.00,100.66
3436.00,100.64
3435.00,100.63
3434.00,100.63
3433.00,100.64
3432.00,100.66
3431.00,100.68
3430.00,100.69
3429.00,100.70
3428.00,100.70
3427.00,100.70
3426.00,100.70
3425.00,100.69
3424.00,100.67
3423.00,100.65
3422.00,100.63
3421.00,100.62
3420.00,100.63
3419.00,100.65
3418.00,100.66
3417.00,100.67
3416.00,100.68
3415.00,100.68
3414.00,100.67
3413.00,100.67
3412.00,100.67
3411.00,100.67
3410.00,100.68
3409.00,100.68
3408.00,100.68
3407.00,100.68
3406.00,100.67
3405.00,100.66
3404.00,100.64
3403.00,100.64
3402.00,100.66
3401.00,100.69
3400.00,100.72
3399.00,100.74
3398.00,100.74
3397.00,100.73
3396.00,100.71
3395.00,100.69
3394.00,100.68
3393.00,100.67
3392.00,100.67
3391.00,100.67
3390.00,100.68
3389.00,100.68
3388.00,100.69
3387.00,100.69
3386.00,100.70
3385.00,100.70
3384.00,100.71
3383.00,100.70
3382.00,100.69
3381.00,100.67
3380.00,100.66
3379.00,100.66
3378.00,100.66
3377.00,100.66
3376.00,100.66
3375.00,100.66
3374.00,100.65
3373.00,100.65
3372.00,100.66
3371.00,100.66
3370.00,100.65
3369.00,100.64
3368.00,100.62
3367.00,100.62
3366.00,100.63
3365.00,100.65
3364.00,100.67
3363.00,100.68
3362.00,100.68
3361.00,100.67
3360.00,100.66
3359.00,100.65
3358.00,100.63
3357.00,100.63
3356.00,100.63
3355.00,100.65
3354.00,100.66
3353.00,100.67
3352.00,100.66
3351.00,100.63
3350.00,100.60
3349.00,100.58
3348.00,100.58
3347.00,100.58
3346.00,100.60
3345.00,100.61
3344.00,100.61
3343.00,100.61
3342.00,100.62
3341.00,100.63
3340.00,100.64
3339.00,100.64
3338.00,100.64
3337.00,100.63
3336.00,100.62
3335.00,100.61
3334.00,100.61
3333.00,100.62
3332.00,100.63
3331.00,100.66
3330.00,100.69
3329.00,100.70
3328.00,100.71
3327.00,100.72
3326.00,100.71
3325.00,100.70
3324.00,100.68
3323.00,100.66
3322.00,100.65
3321.00,100.67
3320.00,100.69
3319.00,100.70
3318.00,100.69
3317.00,100.68
3316.00,100.68
3315.00,100.69
3314.00,100.69
3313.00,100.67
3312.00,100.65
3311.00,100.62
3310.00,100.60
3309.00,100.60
3308.00,100.62
3307.00,100.66
3306.00,100.70
3305.00,100.72
3304.00,100.71
3303.00,100.69
3302.00,100.67
3301.00,100.67
3300.00,100.67
3299.00,100.68
3298.00,100.67
3297.00,100.65
3296.00,100.63
3295.00,100.62
3294.00,100.62
3293.00,100.63
3292.00,100.64
3291.00,100.65
3290.00,100.66
3289.00,100.67
3288.00,100.67
3287.00,100.67
3286.00,100.67
3285.00,100.67
3284.00,100.68
3283.00,100.70
3282.00,100.71
3281.00,100.72
3280.00,100.72
3279.00,100.71
3278.00,100.69
3277.00,100.68
3276.00,100.68
3275.00,100.68
3274.00,100.67
3273.00,100.65
3272.00,100.64
3271.00,100.65
3270.00,100.65
3269.00,100.65
3268.00,100.65
3267.00,100.65
3266.00,100.66
3265.00,100.66
3264.00,100.67
3263.00,100.67
3262.00,100.67
3261.00,100.65
3260.00,100.64
3259.00,100.63
3258.00,100.63
3257.00,100.63
3256.00,100.63
3255.00,100.62
3254.00,100.62
3253.00,100.62
3252.00,100.62
3251.00,100.63
3250.00,100.64
3249.00,100.65
3248.00,100.66
3247.00,100.67
3246.00,100.68
3245.00,100.69
3244.00,100.71
3243.00,100.71
3242.00,100.71
3241.00,100.68
3240.00,100.66
3239.00,100.65
3238.00,100.65
3237.00,100.66
3236.00,100.66
3235.00,100.67
3234.00,100.67
3233.00,100.68
3232.00,100.67
3231.00,100.66
3230.00,100.65
3229.00,100.63
3228.00,100.63
3227.00,100.65
3226.00,100.68
3225.00,100.70
3224.00,100.71
3223.00,100.70
3222.00,100.68
3221.00,100.67
3220.00,100.66
3219.00,100.67
3218.00,100.68
3217.00,100.69
3216.00,100.68
3215.00,100.67
3214.00,100.67
3213.00,100.67
3212.00,100.67
3211.00,100.67
3210.00,100.66
3209.00,100.64
3208.00,100.62
3207.00,100.61
3206.00,100.62
3205.00,100.63
3204.00,100.64
3203.00,100.64
3202.00,100.63
3201.00,100.63
3200.00,100.63
3199.00,100.62
3198.00,100.63
3197.00,100.65
3196.00,100.66
3195.00,100.68
3194.00,100.68
3193.00,100.67
3192.00,100.66
3191.00,100.66
3190.00,100.67
3189.00,100.67
3188.00,100.66
3187.00,100.65
3186.00,100.65
3185.00,100.66
3184.00,100.66
3183.00,100.65
3182.00,100.64
3181.00,100.64
3180.00,100.65
3179.00,100.67
3178.00,100.67
3177.00,100.67
3176.00,100.66
3175.00,100.66
3174.00,100.67
3173.00,100.69
3172.00,100.69
3171.00,100.69
3170.00,100.67
3169.00,100.66
3168.00,100.66
3167.00,100.66
3166.00,100.68
3165.00,100.69
3164.00,100.68
3163.00,100.67
3162.00,100.66
3161.00,100.65
3160.00,100.65
3159.00,100.65
3158.00,100.66
3157.00,100.66
3156.00,100.67
3155.00,100.67
3154.00,100.67
3153.00,100.67
3152.00,100.65
3151.00,100.63
3150.00,100.62
3149.00,100.63
3148.00,100.66
3147.00,100.69
3146.00,100.70
3145.00,100.70
3144.00,100.69
3143.00,100.69
3142.00,100.69
3141.00,100.69
3140.00,100.69
3139.00,100.68
3138.00,100.67
3137.00,100.66
3136.00,100.66
3135.00,100.66
3134.00,100.67
3133.00,100.67
3132.00,100.67
3131.00,100.67
3130.00,100.67
3129.00,100.65
3128.00,100.64
3127.00,100.63
3126.00,100.63
3125.00,100.63
3124.00,100.64
3123.00,100.65
3122.00,100.66
3121.00,100.66
3120.00,100.67
3119.00,100.68
3118.00,100.68
3117.00,100.67
3116.00,100.65
3115.00,100.64
3114.00,100.64
3113.00,100.65
3112.00,100.66
3111.00,100.67
3110.00,100.66
3109.00,100.65
3108.00,100.64
3107.00,100.63
3106.00,100.63
3105.00,100.63
3104.00,100.64
3103.00,100.64
3102.00,100.65
3101.00,100.66
3100.00,100.67
3099.00,100.66
3098.00,100.65
3097.00,100.65
3096.00,100.65
3095.00,100.66
3094.00,100.66
3093.00,100.66
3092.00,100.66
3091.00,100.66
3090.00,100.68
3089.00,100.71
3088.00,100.72
3087.00,100.72
3086.00,100.70
3085.00,100.67
3084.00,100.65
3083.00,100.65
3082.00,100.67
3081.00,100.69
3080.00,100.71
3079.00,100.74
3078.00,100.75
3077.00,100.76
3076.00,100.76
3075.00,100.75
3074.00,100.73
3073.00,100.70
3072.00,100.68
3071.00,100.67
3070.00,100.66
3069.00,100.67
3068.00,100.67
3067.00,100.67
3066.00,100.68
3065.00,100.67
3064.00,100.67
3063.00,100.66
3062.00,100.66
3061.00,100.66
3060.00,100.67
3059.00,100.68
3058.00,100.68
3057.00,100.68
3056.00,100.66
3055.00,100.66
3054.00,100.66
3053.00,100.67
3052.00,100.68
3051.00,100.69
3050.00,100.69
3049.00,100.69
3048.00,100.71
3047.00,100.72
3046.00,100.73
3045.00,100.72
3044.00,100.70
3043.00,100.68
3042.00,100.66
3041.00,100.65
3040.00,100.64
3039.00,100.64
3038.00,100.65
3037.00,100.66
3036.00,100.68
3035.00,100.69
3034.00,100.70
3033.00,100.70
3032.00,100.69
3031.00,100.68
3030.00,100.67
3029.00,100.66
3028.00,100.66
3027.00,100.67
3026.00,100.69
3025.00,100.69
3024.00,100.69
3023.00,100.68
3022.00,100.67
3021.00,100.66
3020.00,100.65
3019.00,100.65
3018.00,100.65
3017.00,100.64
3016.00,100.64
3015.00,100.65
3014.00,100.65
3013.00,100.66
3012.00,100.66
3011.00,100.66
3010.00,100.67
3009.00,100.68
3008.00,100.68
3007.00,100.68
3006.00,100.67
3005.00,100.67
3004.00,100.66
3003.00,100.66
3002.00,100.67
3001.00,100.67
3000.00,100.68
2999.00,100.69
2998.00,100.68
2997.00,100.67
2996.00,100.66
2995.00,100.65
2994.00,100.65
2993.00,100.66
2992.00,100.68
2991.00,100.69
2990.00,100.69
2989.00,100.70
2988.00,100.70
2987.00,100.69
2986.00,100.67
2985.00,100.64
2984.00,100.63
2983.00,100.62
2982.00,100.62
2981.00,100.64
2980.00,100.65
2979.00,100.67
2978.00,100.67
2977.00,100.66
2976.00,100.64
2975.00,100.64
2974.00,100.63
2973.00,100.63
2972.00,100.62
2971.00,100.62
2970.00,100.63
2969.00,100.64
2968.00,100.63
2967.00,100.62
2966.00,100.60
2965.00,100.60
2964.00,100.60
2963.00,100.62
2962.00,100.65
2961.00,100.66
2960.00,100.66
2959.00,100.66
2958.00,100.67
2957.00,100.67
2956.00,100.67
2955.00,100.66
2954.00,100.63
2953.00,100.60
2952.00,100.57
2951.00,100.56
2950.00,100.56
2949.00,100.57
2948.00,100.58
2947.00,100.58
2946.00,100.58
2945.00,100.57
2944.00,100.56
2943.00,100.56
2942.00,100.58
2941.00,100.58
2940.00,100.57
2939.00,100.54
2938.00,100.51
2937.00,100.50
2936.00,100.51
2935.00,100.53
2934.00,100.54
2933.00,100.54
2932.00,100.53
2931.00,100.53
2930.00,100.53
