Created as New Dataset,91 Du Pont
cm-1,%T
3648.00,99.01
3647.00,99.02
3646.00,99.04
3645.00,99.06
3644.00,99.09
3643.00,99.11
3642.00,99.12
3641.00,99.11
3640.00,99.10
3639.00,99.08
3638.00,99.06
3637.00,99.04
3636.00,99.04
3635.00,99.05
3634.00,99.04
3633.00,99.03
3632.00,99.01
3631.00,99.01
3630.00,99.04
3629.00,99.07
3628.00,99.08
3627.00,99.06
3626.00,99.05
3625.00,99.04
3624.00,99.04
3623.00,99.05
3622.00,99.04
3621.00,99.03
3620.00,99.01
3619.00,98.99
3618.00,98.97
3617.00,98.96
3616.00,98.97
3615.00,98.98
3614.00,98.99
3613.00,98.98
3612.00,98.96
3611.00,98.94
3610.00,98.93
3609.00,98.94
3608.00,98.94
3607.00,98.93
3606.00,98.91
3605.00,98.89
3604.00,98.87
3603.00,98.86
3602.00,98.86
3601.00,98.87
3600.00,98.88
3599.00,98.88
3598.00,98.87
3597.00,98.86
3596.00,98.86
3595.00,98.87
3594.00,98.88
3593.00,98.87
3592.00,98.85
3591.00,98.84
3590.00,98.85
3589.00,98.86
3588.00,98.85
3587.00,98.81
3586.00,98.75
3585.00,98.71
3584.00,98.70
3583.00,98.71
3582.00,98.74
3581.00,98.77
3580.00,98.78
3579.00,98.77
3578.00,98.75
3577.00,98.73
3576.00,98.73
3575.00,98.74
3574.00,98.75
3573.00,98.75
3572.00,98.73
3571.00,98.71
3570.00,98.67
3569.00,98.63
3568.00,98.60
3567.00,98.58
3566.00,98.55
3565.00,98.54
3564.00,98.53
3563.00,98.53
3562.00,98.53
3561.00,98.52
3560.00,98.53
3559.00,98.53
3558.00,98.54
3557.00,98.53
3556.00,98.51
3555.00,98.48
3554.00,98.45
3553.00,98.43
3552.00,98.44
3551.00,98.45
3550.00,98.45
3549.00,98.45
3548.00,98.43
3547.00,98.39
3546.00,98.36
3545.00,98.35
3544.00,98.34
3543.00,98.35
3542.00,98.35
3541.00,98.34
3540.00,98.33
3539.00,98.33
3538.00,98.33
3537.00,98.33
3536.00,98.34
3535.00,98.34
3534.00,98.33
3533.00,98.32
3532.00,98.30
3531.00,98.27
3530.00,98.24
3529.00,98.19
3528.00,98.15
3527.00,98.13
3526.00,98.11
3525.00,98.12
3524.00,98.14
3523.00,98.16
3522.00,98.17
3521.00,98.17
3520.00,98.16
3519.00,98.13
3518.00,98.09
3517.00,98.05
3516.00,98.02
3515.00,98.02
3514.00,98.02
3513.00,98.01
3512.00,97.99
3511.00,97.96
3510.00,97.94
3509.00,97.93
3508.00,97.91
3507.00,97.89
3506.00,97.88
3505.00,97.87
3504.00,97.89
3503.00,97.90
3502.00,97.91
3501.00,97.90
3500.00,97.87
3499.00,97.84
3498.00,97.82
3497.00,97.81
3496.00,97.81
3495.00,97.82
3494.00,97.83
3493.00,97.84
3492.00,97.84
3491.00,97.83
3490.00,97.82
3489.00,97.81
3488.00,97.81
3487.00,97.81
3486.00,97.80
3485.00,97.79
3484.00,97.78
3483.00,97.78
3482.00,97.77
3481.00,97.74
3480.00,97.71
3479.00,97.68
3478.00,97.66
3477.00,97.65
3476.00,97.66
3475.00,97.69
3474.00,97.72
3473.00,97.74
3472.00,97.75
3471.00,97.75
3470.00,97.74
3469.00,97.72
3468.00,97.69
3467.00,97.67
3466.00,97.66
3465.00,97.66
3464.00,97.68
3463.00,97.70
3462.00,97.70
3461.00,97.69
3460.00,97.67
3459.00,97.63
3458.00,97.60
3457.00,97.59
3456.00,97.60
3455.00,97.62
3454.00,97.62
3453.00,97.59
3452.00,97.55
3451.00,97.50
3450.00,97.48
3449.00,97.49
3448.00,97.50
3447.00,97.51
3446.00,97.51
3445.00,97.50
3444.00,97.49
3443.00,97.49
3442.00,97.49
3441.00,97.50
3440.00,97.50
3439.00,97.50
3438.00,97.49
3437.00,97.48
3436.00,97.48
3435.00,97.49
3434.00,97.48
3433.00,97.47
3432.00,97.46
3431.00,97.46
3430.00,97.46
3429.00,97.47
3428.00,97.47
3427.00,97.46
3426.00,97.45
3425.00,97.45
3424.00,97.44
3423.00,97.42
3422.00,97.40
3421.00,97.38
3420.00,97.37
3419.00,97.37
3418.00,97.36
3417.00,97.36
3416.00,97.35
3415.00,97.36
3414.00,97.37
3413.00,97.37
3412.00,97.38
3411.00,97.37
3410.00,97.37
3409.00,97.35
3408.00,97.33
3407.00,97.29
3406.00,97.25
3405.00,97.23
3404.00,97.21
3403.00,97.21
3402.00,97.21
3401.00,97.21
3400.00,97.21
3399.00,97.20
3398.00,97.19
3397.00,97.18
3396.00,97.17
3395.00,97.14
3394.00,97.10
3393.00,97.06
3392.00,97.03
3391.00,97.02
3390.00,97.00
3389.00,96.98
3388.00,96.96
3387.00,96.94
3386.00,96.93
3385.00,96.92
3384.00,96.91
3383.00,96.88
3382.00,96.84
3381.00,96.81
3380.00,96.79
3379.00,96.78
3378.00,96.77
3377.00,96.73
3376.00,96.69
3375.00,96.64
3374.00,96.60
3373.00,96.56
3372.00,96.53
3371.00,96.49
3370.00,96.45
3369.00,96.41
3368.00,96.37
3367.00,96.32
3366.00,96.27
3365.00,96.21
3364.00,96.15
3363.00,96.09
3362.00,96.04
3361.00,95.99
3360.00,95.93
3359.00,95.87
3358.00,95.79
3357.00,95.72
3356.00,95.65
3355.00,95.57
3354.00,95.49
3353.00,95.41
3352.00,95.33
3351.00,95.25
3350.00,95.16
3349.00,95.07
3348.00,94.97
3347.00,94.87
3346.00,94.77
3345.00,94.66
3344.00,94.54
3343.00,94.41
3342.00,94.28
3341.00,94.14
3340.00,94.01
3339.00,93.87
3338.00,93.73
3337.00,93.59
3336.00,93.43
3335.00,93.25
3334.00,93.05
3333.00,92.84
3332.00,92.63
3331.00,92.43
3330.00,92.23
3329.00,92.03
3328.00,91.83
3327.00,91.60
3326.00,91.35
3325.00,91.09
3324.00,90.82
3323.00,90.54
3322.00,90.24
3321.00,89.93
3320.00,89.60
3319.00,89.26
3318.00,88.92
3317.00,88.57
3316.00,88.20
3315.00,87.82
3314.00,87.43
3313.00,87.02
3312.00,86.61
3311.00,86.20
3310.00,85.81
3309.00,85.43
3308.00,85.08
3307.00,84.74
3306.00,84.43
3305.00,84.14
3304.00,83.86
3303.00,83.61
3302.00,83.40
3301.00,83.22
3300.00,83.08
3299.00,82.96
3298.00,82.88
3297.00,82.82
3296.00,82.80
3295.00,82.82
3294.00,82.89
3293.00,83.00
3292.00,83.12
3291.00,83.26
3290.00,83.40
3289.00,83.57
3288.00,83.75
3287.00,83.96
3286.00,84.17
3285.00,84.37
3284.00,84.57
3283.00,84.77
3282.00,84.98
3281.00,85.18
3280.00,85.39
3279.00,85.58
3278.00,85.77
3277.00,85.96
3276.00,86.15
3275.00,86.34
3274.00,86.53
3273.00,86.74
3272.00,86.95
3271.00,87.17
3270.00,87.37
3269.00,87.56
3268.00,87.74
3267.00,87.92
3266.00,88.12
3265.00,88.32
3264.00,88.51
3263.00,88.70
3262.00,88.88
3261.00,89.06
3260.00,89.25
3259.00,89.45
3258.00,89.64
3257.00,89.83
3256.00,90.01
3255.00,90.19
3254.00,90.36
3253.00,90.52
3252.00,90.68
3251.00,90.83
3250.00,90.99
3249.00,91.15
3248.00,91.32
3247.00,91.50
3246.00,91.66
3245.00,91.81
3244.00,91.94
3243.00,92.06
3242.00,92.18
3241.00,92.31
3240.00,92.45
3239.00,92.60
3238.00,92.73
3237.00,92.86
3236.00,92.98
3235.00,93.10
3234.00,93.21
3233.00,93.30
3232.00,93.39
3231.00,93.46
3230.00,93.53
3229.00,93.62
3228.00,93.70
3227.00,93.80
3226.00,93.88
3225.00,93.96
3224.00,94.03
3223.00,94.09
3222.00,94.16
3221.00,94.22
3220.00,94.27
3219.00,94.31
3218.00,94.33
3217.00,94.36
3216.00,94.39
3215.00,94.44
3214.00,94.50
3213.00,94.55
3212.00,94.60
3211.00,94.63
3210.00,94.65
3209.00,94.67
3208.00,94.70
3207.00,94.73
3206.00,94.76
3205.00,94.80
3204.00,94.83
3203.00,94.86
3202.00,94.89
3201.00,94.91
3200.00,94.94
3199.00,94.98
3198.00,95.03
3197.00,95.08
3196.00,95.13
3195.00,95.16
3194.00,95.18
3193.00,95.19
3192.00,95.22
3191.00,95.25
3190.00,95.29
3189.00,95.34
3188.00,95.38
3187.00,95.43
3186.00,95.48
3185.00,95.52
3184.00,95.57
3183.00,95.61
3182.00,95.65
3181.00,95.69
3180.00,95.74
3179.00,95.79
3178.00,95.84
3177.00,95.88
3176.00,95.93
3175.00,95.97
3174.00,96.02
3173.00,96.08
3172.00,96.14
3171.00,96.21
3170.00,96.27
3169.00,96.32
3168.00,96.36
3167.00,96.41
3166.00,96.45
3165.00,96.48
3164.00,96.50
3163.00,96.53
3162.00,96.56
3161.00,96.60
3160.00,96.65
3159.00,96.69
3158.00,96.73
3157.00,96.76
3156.00,96.78
3155.00,96.80
3154.00,96.82
3153.00,96.86
3152.00,96.90
3151.00,96.92
3150.00,96.93
3149.00,96.92
3148.00,96.92
3147.00,96.93
3146.00,96.94
3145.00,96.95
3144.00,96.97
3143.00,96.98
3142.00,97.00
3141.00,97.01
3140.00,97.02
3139.00,97.03
3138.00,97.02
3137.00,97.01
3136.00,97.01
3135.00,97.00
3134.00,97.00
3133.00,97.00
3132.00,97.00
3131.00,97.00
3130.00,96.99
3129.00,96.98
3128.00,96.95
3127.00,96.92
3126.00,96.90
3125.00,96.89
3124.00,96.88
3123.00,96.89
3122.00,96.90
3121.00,96.88
3120.00,96.85
3119.00,96.80
3118.00,96.75
3117.00,96.70
3116.00,96.65
3115.00,96.61
3114.00,96.57
3113.00,96.54
3112.00,96.52
3111.00,96.50
3110.00,96.48
3109.00,96.44
3108.00,96.38
3107.00,96.32
3106.00,96.26
3105.00,96.21
3104.00,96.17
3103.00,96.14
3102.00,96.10
3101.00,96.05
3100.00,95.99
3099.00,95.91
3098.00,95.84
3097.00,95.77
3096.00,95.71
3095.00,95.67
3094.00,95.62
3093.00,95.57
3092.00,95.52
3091.00,95.48
3090.00,95.45
3089.00,95.43
3088.00,95.42
3087.00,95.40
3086.00,95.37
3085.00,95.34
3084.00,95.32
3083.00,95.30
3082.00,95.29
3081.00,95.29
3080.00,95.29
3079.00,95.30
3078.00,95.31
3077.00,95.31
3076.00,95.32
3075.00,95.33
3074.00,95.34
3073.00,95.34
3072.00,95.35
3071.00,95.36
3070.00,95.38
3069.00,95.39
3068.00,95.41
3067.00,95.42
3066.00,95.44
3065.00,95.47
3064.00,95.49
3063.00,95.51
3062.00,95.53
3061.00,95.56
3060.00,95.62
3059.00,95.70
3058.00,95.78
3057.00,95.85
3056.00,95.91
3055.00,95.98
3054.00,96.05
3053.00,96.13
3052.00,96.21
3051.00,96.28
3050.00,96.35
3049.00,96.42
3048.00,96.50
3047.00,96.59
3046.00,96.67
3045.00,96.74
3044.00,96.81
3043.00,96.87
3042.00,96.92
3041.00,96.96
3040.00,97.00
3039.00,97.06
3038.00,97.11
3037.00,97.16
3036.00,97.20
3035.00,97.25
3034.00,97.30
3033.00,97.35
3032.00,97.40
3031.00,97.43
3030.00,97.46
3029.00,97.48
3028.00,97.50
3027.00,97.52
3026.00,97.55
3025.00,97.58
3024.00,97.62
3023.00,97.65
3022.00,97.68
3021.00,97.69
3020.00,97.69
3019.00,97.69
3018.00,97.70
3017.00,97.72
3016.00,97.73
3015.00,97.73
3014.00,97.73
3013.00,97.73
3012.00,97.75
3011.00,97.77
3010.00,97.79
3009.00,97.80
3008.00,97.81
3007.00,97.80
3006.00,97.79
3005.00,97.77
3004.00,97.77
3003.00,97.78
3002.00,97.79
3001.00,97.79
3000.00,97.79
2999.00,97.79
2998.00,97.79
2997.00,97.78
2996.00,97.75
2995.00,97.72
2994.00,97.69
2993.00,97.66
2992.00,97.63
2991.00,97.60
2990.00,97.56
2989.00,97.53
2988.00,97.50
2987.00,97.45
2986.00,97.38
2985.00,97.31
2984.00,97.25
2983.00,97.18
2982.00,97.11
2981.00,97.02
2980.00,96.91
2979.00,96.79
2978.00,96.66
2977.00,96.53
2976.00,96.40
2975.00,96.26
2974.00,96.11
2973.00,95.95
2972.00,95.79
2971.00,95.62
2970.00,95.46
2969.00,95.30
2968.00,95.12
2967.00,94.94
2966.00,94.76
2965.00,94.58
2964.00,94.40
2963.00,94.21
2962.00,94.01
2961.00,93.80
2960.00,93.59
2959.00,93.37
2958.00,93.13
2957.00,92.85
2956.00,92.54
2955.00,92.20
2954.00,91.84
2953.00,91.46
2952.00,91.04
2951.00,90.60
2950.00,90.15
2949.00,89.70
2948.00,89.25
2947.00,88.83
2946.00,88.42
2945.00,88.05
2944.00,87.68
2943.00,87.33
2942.00,86.97
2941.00,86.62
2940.00,86.29
2939.00,85.98
2938.00,85.70
2937.00,85.46
2936.00,85.25
2935.00,85.08
2934.00,84.96
2933.00,84.91
2932.00,84.92
2931.00,84.99
2930.00,85.13
2929.00,85.32
2928.00,85.56
2927.00,85.80
2926.00,86.05
2925.00,86.29
2924.00,86.54
2923.00,86.80
2922.00,87.06
2921.00,87.32
2920.00,87.59
2919.00,87.86
2918.00,88.13
2917.00,88.39
2916.00,88.62
2915.00,88.83
2914.00,89.02
2913.00,89.21
2912.00,89.39
2911.00,89.57
2910.00,89.75
2909.00,89.93
2908.00,90.12
2907.00,90.33
2906.00,90.54
2905.00,90.75
2904.00,90.97
2903.00,91.19
2902.00,91.41
2901.00,91.65
2900.00,91.88
2899.00,92.09
2898.00,92.27
2897.00,92.43
2896.00,92.57
2895.00,92.71
2894.00,92.84
2893.00,92.97
2892.00,93.09
2891.00,93.18
2890.00,93.23
2889.00,93.25
2888.00,93.21
2887.00,93.15
2886.00,93.07
2885.00,92.97
2884.00,92.84
2883.00,92.68
2882.00,92.50
2881.00,92.28
2880.00,92.05
2879.00,91.80
2878.00,91.56
2877.00,91.32
2876.00,91.10
2875.00,90.89
2874.00,90.70
2873.00,90.54
2872.00,90.40
2871.00,90.28
2870.00,90.17
2869.00,90.04
2868.00,89.89
2867.00,89.72
2866.00,89.55
2865.00,89.38
