Created as New Dataset,198 Lenzing AG
cm-1,%T
3648.00,101.21
3647.00,101.20
3646.00,101.20
3645.00,101.18
3644.00,101.15
3643.00,101.14
3642.00,101.14
3641.00,101.16
3640.00,101.16
3639.00,101.14
3638.00,101.12
3637.00,101.09
3636.00,101.09
3635.00,101.09
3634.00,101.11
3633.00,101.12
3632.00,101.14
3631.00,101.16
3630.00,101.16
3629.00,101.14
3628.00,101.12
3627.00,101.09
3626.00,101.08
3625.00,101.07
3624.00,101.07
3623.00,101.06
3622.00,101.04
3621.00,101.00
3620.00,100.97
3619.00,100.96
3618.00,100.97
3617.00,100.97
3616.00,100.97
3615.00,100.97
3614.00,100.96
3613.00,100.96
3612.00,100.96
3611.00,100.95
3610.00,100.93
3609.00,100.90
3608.00,100.87
3607.00,100.85
3606.00,100.83
3605.00,100.82
3604.00,100.81
3603.00,100.80
3602.00,100.78
3601.00,100.76
3600.00,100.74
3599.00,100.73
3598.00,100.73
3597.00,100.74
3596.00,100.76
3595.00,100.78
3594.00,100.78
3593.00,100.77
3592.00,100.75
3591.00,100.72
3590.00,100.70
3589.00,100.68
3588.00,100.67
3587.00,100.65
3586.00,100.63
3585.00,100.60
3584.00,100.58
3583.00,100.56
3582.00,100.54
3581.00,100.52
3580.00,100.50
3579.00,100.47
3578.00,100.45
3577.00,100.43
3576.00,100.42
3575.00,100.42
3574.00,100.41
3573.00,100.40
3572.00,100.38
3571.00,100.35
3570.00,100.32
3569.00,100.28
3568.00,100.26
3567.00,100.26
3566.00,100.28
3565.00,100.30
3564.00,100.29
3563.00,100.26
3562.00,100.22
3561.00,100.18
3560.00,100.16
3559.00,100.13
3558.00,100.11
3557.00,100.08
3556.00,100.06
3555.00,100.06
3554.00,100.05
3553.00,100.03
3552.00,100.01
3551.00,99.99
3550.00,99.98
3549.00,99.99
3548.00,100.00
3547.00,100.00
3546.00,99.99
3545.00,99.96
3544.00,99.94
3543.00,99.91
3542.00,99.88
3541.00,99.84
3540.00,99.80
3539.00,99.77
3538.00,99.75
3537.00,99.74
3536.00,99.72
3535.00,99.70
3534.00,99.66
3533.00,99.62
3532.00,99.58
3531.00,99.56
3530.00,99.56
3529.00,99.55
3528.00,99.54
3527.00,99.52
3526.00,99.50
3525.00,99.48
3524.00,99.46
3523.00,99.43
3522.00,99.40
3521.00,99.38
3520.00,99.36
3519.00,99.34
3518.00,99.33
3517.00,99.32
3516.00,99.30
3515.00,99.28
3514.00,99.25
3513.00,99.22
3512.00,99.19
