Created as New Dataset,60 Lenzing
cm-1,%T
3648.00,97.64
3647.00,97.59
3646.00,97.56
3645.00,97.56
3644.00,97.58
3643.00,97.61
3642.00,97.63
3641.00,97.63
3640.00,97.60
3639.00,97.56
3638.00,97.51
3637.00,97.46
3636.00,97.43
3635.00,97.41
3634.00,97.39
3633.00,97.36
3632.00,97.33
3631.00,97.32
3630.00,97.32
3629.00,97.31
3628.00,97.29
3627.00,97.27
3626.00,97.25
3625.00,97.24
3624.00,97.22
3623.00,97.18
3622.00,97.15
3621.00,97.12
3620.00,97.09
3619.00,97.07
3618.00,97.03
3617.00,96.99
3616.00,96.95
3615.00,96.93
3614.00,96.92
3613.00,96.92
3612.00,96.91
3611.00,96.89
3610.00,96.85
3609.00,96.81
3608.00,96.79
3607.00,96.78
3606.00,96.77
3605.00,96.76
3604.00,96.74
3603.00,96.72
3602.00,96.69
3601.00,96.65
3600.00,96.61
3599.00,96.56
3598.00,96.52
3597.00,96.50
3596.00,96.48
3595.00,96.47
3594.00,96.44
3593.00,96.41
3592.00,96.36
3591.00,96.31
3590.00,96.26
3589.00,96.21
3588.00,96.17
3587.00,96.13
3586.00,96.10
3585.00,96.07
3584.00,96.05
3583.00,96.02
3582.00,95.99
3581.00,95.96
3580.00,95.93
3579.00,95.90
3578.00,95.86
3577.00,95.80
3576.00,95.74
3575.00,95.69
3574.00,95.65
3573.00,95.61
3572.00,95.58
3571.00,95.53
3570.00,95.47
3569.00,95.41
3568.00,95.36
3567.00,95.32
3566.00,95.29
3565.00,95.27
3564.00,95.24
3563.00,95.20
3562.00,95.15
3561.00,95.11
3560.00,95.07
3559.00,95.04
3558.00,95.01
3557.00,94.97
3556.00,94.94
3555.00,94.91
3554.00,94.87
3553.00,94.82
3552.00,94.75
3551.00,94.68
3550.00,94.61
3549.00,94.55
3548.00,94.50
3547.00,94.47
3546.00,94.44
3545.00,94.40
3544.00,94.36
3543.00,94.32
3542.00,94.28
3541.00,94.24
3540.00,94.20
3539.00,94.16
3538.00,94.11
3537.00,94.07
3536.00,94.03
3535.00,93.97
3534.00,93.91
3533.00,93.84
3532.00,93.79
3531.00,93.75
3530.00,93.70
3529.00,93.64
3528.00,93.58
3527.00,93.52
3526.00,93.47
3525.00,93.43
3524.00,93.40
3523.00,93.38
3522.00,93.35
3521.00,93.32
3520.00,93.27
3519.00,93.20
3518.00,93.11
3517.00,93.02
3516.00,92.93
3515.00,92.85
3514.00,92.79
3513.00,92.74
3512.00,92.70
3511.00,92.66
3510.00,92.62
3509.00,92.57
3508.00,92.49
3507.00,92.40
