Created as New Dataset,191 FMC American Viscose
cm-1,%T
3648.00,97.75
3647.00,97.75
3646.00,97.72
3645.00,97.68
3644.00,97.64
3643.00,97.59
3642.00,97.57
3641.00,97.56
3640.00,97.58
3639.00,97.61
3638.00,97.63
3637.00,97.64
3636.00,97.61
3635.00,97.56
3634.00,97.51
3633.00,97.47
3632.00,97.45
3631.00,97.46
3630.00,97.46
3629.00,97.44
3628.00,97.38
3627.00,97.34
3626.00,97.31
3625.00,97.30
3624.00,97.28
3623.00,97.26
3622.00,97.25
3621.00,97.25
3620.00,97.25
3619.00,97.22
3618.00,97.18
3617.00,97.14
3616.00,97.11
3615.00,97.10
3614.00,97.10
3613.00,97.09
3612.00,97.07
3611.00,97.04
3610.00,97.03
3609.00,97.01
3608.00,96.99
3607.00,96.96
3606.00,96.93
3605.00,96.91
3604.00,96.89
3603.00,96.86
3602.00,96.83
3601.00,96.80
3600.00,96.78
3599.00,96.74
3598.00,96.70
3597.00,96.65
3596.00,96.62
3595.00,96.60
3594.00,96.59
3593.00,96.58
3592.00,96.55
3591.00,96.52
3590.00,96.49
3589.00,96.47
3588.00,96.46
3587.00,96.43
3586.00,96.38
3585.00,96.34
3584.00,96.30
3583.00,96.26
3582.00,96.23
3581.00,96.19
3580.00,96.16
3579.00,96.13
3578.00,96.10
3577.00,96.07
3576.00,96.05
3575.00,96.03
3574.00,96.01
3573.00,95.98
3572.00,95.95
3571.00,95.91
3570.00,95.87
3569.00,95.84
3568.00,95.79
3567.00,95.75
3566.00,95.71
3565.00,95.68
3564.00,95.66
3563.00,95.64
3562.00,95.61
3561.00,95.58
3560.00,95.57
3559.00,95.55
3558.00,95.53
3557.00,95.49
3556.00,95.44
3555.00,95.38
3554.00,95.33
3553.00,95.29
3552.00,95.27
3551.00,95.24
3550.00,95.20
3549.00,95.16
3548.00,95.11
3547.00,95.06
3546.00,95.01
3545.00,94.97
3544.00,94.94
3543.00,94.90
3542.00,94.87
3541.00,94.83
3540.00,94.80
3539.00,94.77
3538.00,94.72
3537.00,94.67
3536.00,94.63
3535.00,94.59
3534.00,94.57
3533.00,94.56
3532.00,94.53
3531.00,94.48
3530.00,94.41
3529.00,94.35
3528.00,94.30
3527.00,94.27
3526.00,94.26
3525.00,94.25
3524.00,94.21
3523.00,94.16
3522.00,94.11
3521.00,94.06
3520.00,94.02
3519.00,93.98
3518.00,93.93
3517.00,93.89
3516.00,93.84
3515.00,93.79
3514.00,93.74
3513.00,93.68
3512.00,93.62
3511.00,93.56
3510.00,93.50
3509.00,93.45
3508.00,93.38
3507.00,93.29
3506.00,93.19
3505.00,93.11
3504.00,93.04
3503.00,92.98
3502.00,92.94
3501.00,92.89
3500.00,92.84
3499.00,92.78
3498.00,92.70
3497.00,92.62
3496.00,92.56
3495.00,92.49
3494.00,92.43
3493.00,92.35
3492.00,92.29
3491.00,92.24
3490.00,92.21
3489.00,92.19
3488.00,92.15
3487.00,92.10
3486.00,92.05
3485.00,92.01
3484.00,91.98
3483.00,91.95
3482.00,91.92
3481.00,91.88
3480.00,91.83
3479.00,91.77
3478.00,91.73
3477.00,91.69
3476.00,91.66
3475.00,91.63
3474.00,91.59
3473.00,91.55
3472.00,91.51
3471.00,91.46
3470.00,91.41
3469.00,91.35
3468.00,91.30
3467.00,91.26
3466.00,91.21
3465.00,91.17
3464.00,91.13
3463.00,91.09
3462.00,91.05
3461.00,91.01
3460.00,90.97
3459.00,90.93
3458.00,90.88
3457.00,90.83
3456.00,90.79
3455.00,90.73
3454.00,90.65
3453.00,90.55
3452.00,90.45
3451.00,90.37
3450.00,90.30
3449.00,90.25
3448.00,90.21
3447.00,90.17
3446.00,90.11
3445.00,90.03
3444.00,89.97
3443.00,89.92
3442.00,89.90
3441.00,89.89
3440.00,89.88
3439.00,89.86
3438.00,89.84
3437.00,89.82
3436.00,89.81
3435.00,89.79
3434.00,89.76
3433.00,89.72
3432.00,89.69
3431.00,89.67
3430.00,89.65
3429.00,89.63
3428.00,89.62
3427.00,89.60
3426.00,89.58
3425.00,89.56
3424.00,89.55
3423.00,89.53
3422.00,89.50
3421.00,89.48
3420.00,89.45
3419.00,89.44
3418.00,89.43
3417.00,89.42
3416.00,89.41
3415.00,89.39
3414.00,89.36
3413.00,89.33
3412.00,89.30
3411.00,89.27
3410.00,89.25
3409.00,89.23
3408.00,89.20
3407.00,89.16
3406.00,89.11
3405.00,89.08
3404.00,89.06
3403.00,89.05
3402.00,89.06
3401.00,89.06
3400.00,89.05
3399.00,89.02
3398.00,88.99
3397.00,88.96
3396.00,88.93
3395.00,88.92
3394.00,88.91
3393.00,88.90
3392.00,88.87
3391.00,88.84
3390.00,88.82
3389.00,88.81
3388.00,88.81
3387.00,88.81
3386.00,88.81
3385.00,88.80
3384.00,88.78
3383.00,88.75
3382.00,88.73
3381.00,88.70
3380.00,88.69
3379.00,88.67
3378.00,88.66
3377.00,88.64
3376.00,88.62
3375.00,88.59
3374.00,88.58
3373.00,88.57
3372.00,88.57
3371.00,88.56
3370.00,88.55
3369.00,88.52
3368.00,88.50
3367.00,88.47
3366.00,88.45
3365.00,88.46
3364.00,88.47
3363.00,88.50
3362.00,88.50
3361.00,88.49
3360.00,88.46
3359.00,88.43
3358.00,88.41
3357.00,88.40
3356.00,88.40
3355.00,88.40
3354.00,88.39
3353.00,88.38
3352.00,88.38
3351.00,88.37
3350.00,88.37
3349.00,88.37
3348.00,88.37
3347.00,88.38
3346.00,88.38
3345.00,88.38
3344.00,88.38
3343.00,88.38
3342.00,88.39
3341.00,88.38
3340.00,88.37
3339.00,88.35
3338.00,88.33
3337.00,88.33
3336.00,88.33
3335.00,88.33
3334.00,88.33
3333.00,88.32
3332.00,88.31
3331.00,88.30
3330.00,88.31
3329.00,88.31
3328.00,88.30
3327.00,88.30
3326.00,88.29
3325.00,88.30
3324.00,88.31
3323.00,88.31
3322.00,88.30
3321.00,88.31
3320.00,88.33
3319.00,88.34
3318.00,88.35
3317.00,88.36
3316.00,88.36
3315.00,88.36
3314.00,88.37
3313.00,88.39
3312.00,88.40
3311.00,88.40
3310.00,88.39
3309.00,88.38
3308.00,88.37
3307.00,88.39
3306.00,88.41
3305.00,88.42
3304.00,88.44
3303.00,88.44
3302.00,88.45
3301.00,88.46
3300.00,88.47
3299.00,88.47
3298.00,88.48
3297.00,88.48
3296.00,88.48
3295.00,88.47
3294.00,88.47
3293.00,88.46
3292.00,88.47
3291.00,88.49
3290.00,88.51
3289.00,88.53
3288.00,88.54
3287.00,88.55
3286.00,88.56
3285.00,88.56
3284.00,88.56
3283.00,88.57
3282.00,88.60
3281.00,88.62
3280.00,88.64
3279.00,88.64
3278.00,88.64
3277.00,88.65
3276.00,88.66
3275.00,88.67
3274.00,88.69
3273.00,88.70
3272.00,88.71
3271.00,88.73
3270.00,88.76
3269.00,88.80
3268.00,88.82
3267.00,88.82
3266.00,88.81
3265.00,88.79
3264.00,88.79
3263.00,88.81
3262.00,88.82
3261.00,88.84
3260.00,88.85
3259.00,88.86
3258.00,88.88
3257.00,88.89
3256.00,88.89
3255.00,88.89
3254.00,88.90
3253.00,88.92
3252.00,88.95
3251.00,88.98
3250.00,89.01
3249.00,89.04
3248.00,89.07
3247.00,89.09
3246.00,89.11
3245.00,89.13
3244.00,89.13
3243.00,89.12
3242.00,89.10
3241.00,89.09
3240.00,89.11
3239.00,89.15
3238.00,89.18
3237.00,89.20
3236.00,89.22
3235.00,89.24
3234.00,89.27
3233.00,89.31
3232.00,89.34
3231.00,89.37
3230.00,89.39
3229.00,89.42
3228.00,89.45
3227.00,89.48
3226.00,89.51
3225.00,89.52
3224.00,89.52
3223.00,89.51
3222.00,89.50
3221.00,89.50
3220.00,89.51
3219.00,89.53
3218.00,89.56
3217.00,89.60
3216.00,89.64
3215.00,89.68
3214.00,89.72
3213.00,89.74
3212.00,89.75
3211.00,89.75
3210.00,89.75
3209.00,89.76
3208.00,89.79
3207.00,89.82
3206.00,89.86
3205.00,89.90
3204.00,89.94
3203.00,89.96
3202.00,89.98
3201.00,89.99
3200.00,90.00
3199.00,90.02
3198.00,90.04
3197.00,90.07
3196.00,90.10
3195.00,90.13
3194.00,90.16
3193.00,90.18
3192.00,90.19
3191.00,90.22
3190.00,90.25
3189.00,90.28
3188.00,90.32
3187.00,90.33
3186.00,90.34
3185.00,90.35
3184.00,90.37
3183.00,90.41
3182.00,90.44
3181.00,90.47
3180.00,90.51
3179.00,90.53
3178.00,90.55
3177.00,90.57
3176.00,90.58
3175.00,90.59
3174.00,90.62
3173.00,90.65
3172.00,90.69
3171.00,90.73
3170.00,90.76
3169.00,90.77
3168.00,90.78
3167.00,90.78
3166.00,90.80
3165.00,90.83
3164.00,90.87
3163.00,90.93
3162.00,90.99
3161.00,91.04
3160.00,91.07
3159.00,91.09
3158.00,91.09
3157.00,91.10
3156.00,91.12
3155.00,91.15
3154.00,91.19
3153.00,91.23
3152.00,91.27
3151.00,91.29
3150.00,91.31
3149.00,91.32
3148.00,91.35
3147.00,91.38
3146.00,91.41
3145.00,91.45
3144.00,91.48
3143.00,91.52
3142.00,91.56
3141.00,91.60
3140.00,91.64
3139.00,91.66
3138.00,91.68
3137.00,91.69
3136.00,91.71
3135.00,91.72
3134.00,91.74
3133.00,91.77
3132.00,91.81
3131.00,91.85
3130.00,91.88
3129.00,91.91
3128.00,91.94
3127.00,91.98
3126.00,92.02
3125.00,92.05
3124.00,92.08
3123.00,92.12
3122.00,92.15
3121.00,92.18
3120.00,92.21
3119.00,92.23
3118.00,92.25
3117.00,92.27
3116.00,92.31
3115.00,92.36
3114.00,92.40
3113.00,92.44
3112.00,92.47
3111.00,92.50
3110.00,92.53
3109.00,92.56
3108.00,92.60
3107.00,92.63
3106.00,92.66
3105.00,92.68
3104.00,92.72
3103.00,92.75
3102.00,92.78
3101.00,92.80
3100.00,92.83
3099.00,92.85
3098.00,92.89
3097.00,92.93
3096.00,92.97
3095.00,93.01
3094.00,93.04
3093.00,93.06
3092.00,93.08
3091.00,93.11
3090.00,93.14
3089.00,93.17
3088.00,93.19
3087.00,93.22
3086.00,93.25
3085.00,93.29
3084.00,93.32
3083.00,93.34
3082.00,93.36
3081.00,93.38
3080.00,93.40
3079.00,93.43
3078.00,93.46
3077.00,93.50
3076.00,93.53
3075.00,93.56
3074.00,93.58
3073.00,93.61
3072.00,93.65
3071.00,93.69
3070.00,93.72
3069.00,93.75
3068.00,93.78
3067.00,93.81
3066.00,93.84
3065.00,93.86
3064.00,93.88
3063.00,93.90
3062.00,93.92
3061.00,93.94
3060.00,93.97
3059.00,94.00
3058.00,94.04
3057.00,94.07
3056.00,94.09
3055.00,94.11
3054.00,94.12
3053.00,94.14
3052.00,94.16
3051.00,94.18
3050.00,94.20
3049.00,94.22
3048.00,94.24
3047.00,94.27
3046.00,94.31
3045.00,94.34
3044.00,94.37
3043.00,94.39
3042.00,94.40
3041.00,94.40
3040.00,94.41
3039.00,94.43
3038.00,94.46
3037.00,94.49
3036.00,94.53
3035.00,94.57
3034.00,94.60
3033.00,94.62
3032.00,94.63
3031.00,94.63
3030.00,94.62
3029.00,94.61
3028.00,94.61
3027.00,94.64
3026.00,94.69
3025.00,94.74
3024.00,94.77
3023.00,94.79
3022.00,94.79
3021.00,94.79
3020.00,94.79
3019.00,94.79
3018.00,94.80
3017.00,94.82
3016.00,94.85
3015.00,94.88
3014.00,94.91
3013.00,94.92
3012.00,94.93
3011.00,94.93
3010.00,94.94
3009.00,94.96
3008.00,94.97
3007.00,94.98
3006.00,94.99
3005.00,95.00
3004.00,95.00
3003.00,95.00
3002.00,94.99
3001.00,95.00
3000.00,95.01
2999.00,95.03
2998.00,95.04
2997.00,95.05
2996.00,95.06
2995.00,95.06
2994.00,95.07
2993.00,95.07
2992.00,95.08
2991.00,95.08
2990.00,95.08
2989.00,95.07
2988.00,95.07
2987.00,95.05
2986.00,95.04
2985.00,95.02
2984.00,95.00
2983.00,94.99
2982.00,94.99
2981.00,94.99
2980.00,94.99
2979.00,94.98
2978.00,94.97
2977.00,94.96
2976.00,94.94
2975.00,94.94
2974.00,94.93
2973.00,94.92
2972.00,94.91
2971.00,94.90
2970.00,94.88
2969.00,94.87
2968.00,94.84
2967.00,94.81
2966.00,94.78
2965.00,94.75
2964.00,94.72
2963.00,94.70
2962.00,94.69
2961.00,94.67
2960.00,94.65
2959.00,94.62
2958.00,94.60
2957.00,94.56
2956.00,94.52
2955.00,94.47
2954.00,94.42
2953.00,94.39
2952.00,94.36
2951.00,94.35
2950.00,94.33
2949.00,94.30
2948.00,94.26
2947.00,94.22
2946.00,94.19
2945.00,94.15
2944.00,94.11
2943.00,94.05
2942.00,93.98
2941.00,93.91
2940.00,93.85
2939.00,93.82
2938.00,93.79
2937.00,93.75
2936.00,93.70
2935.00,93.64
2934.00,93.58
2933.00,93.55
2932.00,93.51
2931.00,93.49
2930.00,93.46
2929.00,93.45
2928.00,93.43
2927.00,93.41
2926.00,93.36
2925.00,93.30
2924.00,93.24
2923.00,93.20
2922.00,93.16
2921.00,93.13
2920.00,93.10
2919.00,93.09
2918.00,93.08
2917.00,93.08
2916.00,93.06
2915.00,93.03
2914.00,92.99
2913.00,92.94
2912.00,92.90
2911.00,92.88
2910.00,92.85
2909.00,92.83
2908.00,92.80
2907.00,92.78
2906.00,92.75
2905.00,92.71
2904.00,92.69
2903.00,92.67
2902.00,92.67
2901.00,92.66
2900.00,92.64
2899.00,92.62
2898.00,92.59
2897.00,92.56
2896.00,92.54
2895.00,92.53
2894.00,92.52
2893.00,92.50
2892.00,92.48
2891.00,92.48
2890.00,92.49
2889.00,92.51
2888.00,92.53
2887.00,92.54
2886.00,92.55
2885.00,92.55
2884.00,92.56
2883.00,92.58
2882.00,92.59
2881.00,92.61
2880.00,92.64
2879.00,92.66
2878.00,92.68
2877.00,92.70
2876.00,92.72
2875.00,92.74
2874.00,92.75
2873.00,92.77
2872.00,92.78
2871.00,92.81
2870.00,92.84
2869.00,92.87
2868.00,92.91
2867.00,92.96
2866.00,93.01
2865.00,93.07
2864.00,93.13
2863.00,93.18
2862.00,93.22
2861.00,93.25
2860.00,93.28
2859.00,93.31
2858.00,93.36
2857.00,93.41
2856.00,93.46
2855.00,93.51
2854.00,93.55
2853.00,93.59
2852.00,93.63
2851.00,93.68
2850.00,93.74
2849.00,93.80
2848.00,93.86
2847.00,93.92
2846.00,93.96
2845.00,94.00
2844.00,94.03
2843.00,94.06
2842.00,94.10
2841.00,94.14
2840.00,94.18
2839.00,94.23
2838.00,94.26
2837.00,94.30
2836.00,94.33
2835.00,94.35
2834.00,94.37
2833.00,94.38
2832.00,94.40
2831.00,94.42
2830.00,94.46
2829.00,94.49
2828.00,94.52
2827.00,94.54
2826.00,94.56
2825.00,94.57
2824.00,94.59
2823.00,94.61
2822.00,94.62
2821.00,94.64
2820.00,94.66
2819.00,94.68
2818.00,94.70
2817.00,94.72
2816.00,94.73
2815.00,94.75
2814.00,94.77
2813.00,94.78
2812.00,94.79
2811.00,94.81
2810.00,94.82
2809.00,94.83
2808.00,94.84
2807.00,94.86
2806.00,94.88
2805.00,94.91
2804.00,94.92
2803.00,94.92
2802.00,94.92
2801.00,94.93
2800.00,94.95
2799.00,94.97
2798.00,94.99
2797.00,95.00
2796.00,95.01
2795.00,95.01
2794.00,95.01
2793.00,95.01
2792.00,95.03
2791.00,95.05
2790.00,95.07
2789.00,95.09
2788.00,95.10
2787.00,95.10
2786.00,95.11
2785.00,95.12
2784.00,95.14
2783.00,95.15
2782.00,95.17
2781.00,95.18
2780.00,95.19
2779.00,95.19
2778.00,95.21
2777.00,95.22
2776.00,95.24
2775.00,95.25
2774.00,95.25
2773.00,95.25
2772.00,95.26
2771.00,95.27
2770.00,95.28
2769.00,95.29
2768.00,95.31
2767.00,95.32
2766.00,95.33
2765.00,95.34
2764.00,95.34
2763.00,95.34
2762.00,95.34
2761.00,95.35
2760.00,95.37
2759.00,95.38
2758.00,95.38
2757.00,95.37
2756.00,95.37
2755.00,95.37
2754.00,95.38
2753.00,95.39
2752.00,95.40
2751.00,95.41
2750.00,95.41
