Created as New Dataset,50 Du Pont
cm-1,%T
3648.00,84.43
3647.00,84.39
3646.00,84.34
3645.00,84.29
3644.00,84.23
3643.00,84.20
3642.00,84.18
3641.00,84.18
3640.00,84.16
3639.00,84.13
3638.00,84.11
3637.00,84.10
3636.00,84.10
3635.00,84.11
3634.00,84.14
3633.00,84.19
3632.00,84.24
3631.00,84.24
3630.00,84.20
3629.00,84.16
3628.00,84.16
3627.00,84.16
3626.00,84.11
3625.00,84.05
3624.00,84.04
3623.00,84.08
3622.00,84.12
3621.00,84.14
3620.00,84.12
3619.00,84.12
3618.00,84.13
3617.00,84.16
3616.00,84.17
3615.00,84.15
3614.00,84.14
3613.00,84.14
3612.00,84.15
3611.00,84.13
3610.00,84.09
3609.00,84.07
3608.00,84.07
3607.00,84.10
3606.00,84.11
3605.00,84.09
3604.00,84.05
3603.00,84.01
3602.00,83.99
3601.00,83.99
3600.00,83.98
3599.00,83.98
3598.00,83.98
3597.00,83.99
3596.00,84.01
3595.00,84.02
3594.00,84.02
3593.00,84.02
3592.00,84.02
3591.00,84.02
3590.00,84.03
3589.00,84.05
3588.00,84.06
3587.00,84.07
3586.00,84.08
3585.00,84.06
3584.00,84.02
3583.00,83.99
3582.00,83.96
3581.00,83.95
3580.00,83.94
3579.00,83.94
3578.00,83.94
3577.00,83.95
3576.00,83.95
3575.00,83.96
3574.00,83.97
3573.00,83.98
3572.00,84.00
3571.00,84.02
3570.00,84.04
3569.00,84.04
3568.00,84.01
3567.00,83.98
3566.00,83.94
3565.00,83.91
3564.00,83.87
3563.00,83.85
3562.00,83.85
3561.00,83.85
3560.00,83.84
3559.00,83.82
3558.00,83.80
3557.00,83.80
3556.00,83.81
3555.00,83.82
3554.00,83.81
3553.00,83.79
3552.00,83.76
3551.00,83.74
3550.00,83.72
3549.00,83.70
3548.00,83.68
3547.00,83.65
3546.00,83.63
3545.00,83.63
3544.00,83.63
3543.00,83.64
3542.00,83.64
3541.00,83.63
3540.00,83.62
3539.00,83.61
3538.00,83.58
3537.00,83.57
3536.00,83.57
3535.00,83.60
3534.00,83.63
3533.00,83.64
3532.00,83.63
3531.00,83.60
3530.00,83.56
3529.00,83.54
3528.00,83.54
3527.00,83.55
3526.00,83.56
3525.00,83.56
3524.00,83.54
3523.00,83.53
3522.00,83.53
3521.00,83.53
3520.00,83.52
3519.00,83.50
3518.00,83.48
3517.00,83.47
3516.00,83.46
3515.00,83.47
3514.00,83.48
3513.00,83.49
3512.00,83.48
3511.00,83.46
3510.00,83.43
3509.00,83.42
3508.00,83.42
3507.00,83.43
3506.00,83.44
3505.00,83.45
3504.00,83.44
3503.00,83.43
3502.00,83.40
3501.00,83.39
3500.00,83.38
3499.00,83.39
3498.00,83.40
3497.00,83.40
3496.00,83.40
3495.00,83.38
3494.00,83.35
3493.00,83.33
3492.00,83.32
3491.00,83.34
3490.00,83.36
3489.00,83.37
3488.00,83.36
3487.00,83.35
3486.00,83.34
3485.00,83.34
3484.00,83.35
3483.00,83.36
3482.00,83.37
3481.00,83.38
3480.00,83.39
3479.00,83.39
3478.00,83.39
3477.00,83.38
3476.00,83.35
3475.00,83.32
3474.00,83.29
3473.00,83.27
3472.00,83.27
3471.00,83.28
3470.00,83.30
3469.00,83.31
3468.00,83.32
3467.00,83.32
3466.00,83.31
3465.00,83.29
3464.00,83.27
3463.00,83.26
3462.00,83.26
3461.00,83.27
3460.00,83.28
3459.00,83.28
3458.00,83.27
3457.00,83.26
3456.00,83.25
3455.00,83.25
3454.00,83.26
3453.00,83.28
3452.00,83.29
3451.00,83.30
3450.00,83.29
3449.00,83.28
3448.00,83.26
3447.00,83.26
3446.00,83.25
3445.00,83.24
3444.00,83.22
3443.00,83.21
3442.00,83.19
3441.00,83.17
3440.00,83.16
3439.00,83.15
3438.00,83.15
3437.00,83.16
3436.00,83.16
3435.00,83.15
3434.00,83.14
3433.00,83.13
3432.00,83.11
3431.00,83.09
3430.00,83.08
3429.00,83.06
3428.00,83.05
3427.00,83.03
3426.00,83.03
3425.00,83.04
3424.00,83.06
3423.00,83.08
3422.00,83.08
3421.00,83.07
3420.00,83.05
3419.00,83.05
3418.00,83.05
3417.00,83.04
3416.00,83.01
3415.00,82.98
3414.00,82.96
3413.00,82.94
3412.00,82.93
3411.00,82.93
3410.00,82.94
3409.00,82.95
3408.00,82.96
3407.00,82.96
3406.00,82.96
3405.00,82.95
3404.00,82.94
3403.00,82.93
3402.00,82.91
3401.00,82.89
3400.00,82.87
3399.00,82.87
3398.00,82.89
3397.00,82.92
3396.00,82.94
3395.00,82.96
3394.00,82.95
3393.00,82.92
3392.00,82.88
3391.00,82.84
3390.00,82.80
3389.00,82.78
3388.00,82.76
3387.00,82.74
3386.00,82.71
3385.00,82.69
3384.00,82.67
3383.00,82.66
3382.00,82.65
3381.00,82.62
3380.00,82.58
3379.00,82.54
3378.00,82.52
3377.00,82.50
3376.00,82.48
3375.00,82.47
3374.00,82.45
3373.00,82.42
3372.00,82.40
3371.00,82.37
3370.00,82.33
3369.00,82.28
3368.00,82.23
3367.00,82.19
3366.00,82.16
3365.00,82.12
3364.00,82.06
3363.00,81.99
3362.00,81.92
3361.00,81.85
3360.00,81.79
3359.00,81.73
3358.00,81.66
3357.00,81.58
3356.00,81.51
3355.00,81.44
3354.00,81.37
3353.00,81.29
3352.00,81.19
3351.00,81.08
3350.00,80.96
3349.00,80.84
3348.00,80.73
3347.00,80.63
3346.00,80.54
3345.00,80.45
3344.00,80.34
3343.00,80.22
3342.00,80.09
3341.00,79.96
3340.00,79.83
3339.00,79.70
3338.00,79.57
3337.00,79.43
3336.00,79.29
3335.00,79.13
3334.00,78.98
3333.00,78.84
3332.00,78.70
3331.00,78.57
3330.00,78.41
3329.00,78.24
3328.00,78.05
3327.00,77.87
3326.00,77.71
3325.00,77.57
3324.00,77.45
3323.00,77.34
3322.00,77.25
3321.00,77.16
3320.00,77.06
3319.00,76.98
3318.00,76.90
3317.00,76.84
3316.00,76.78
3315.00,76.72
3314.00,76.66
3313.00,76.59
3312.00,76.53
3311.00,76.49
3310.00,76.46
3309.00,76.45
3308.00,76.46
3307.00,76.47
3306.00,76.47
3305.00,76.48
3304.00,76.48
3303.00,76.49
3302.00,76.50
3301.00,76.51
3300.00,76.54
3299.00,76.58
3298.00,76.63
3297.00,76.68
3296.00,76.71
3295.00,76.75
3294.00,76.78
3293.00,76.82
3292.00,76.86
3291.00,76.89
3290.00,76.90
3289.00,76.92
3288.00,76.94
3287.00,76.98
3286.00,77.01
3285.00,77.05
3284.00,77.09
3283.00,77.13
3282.00,77.17
3281.00,77.22
3280.00,77.27
3279.00,77.31
3278.00,77.35
3277.00,77.40
3276.00,77.44
3275.00,77.49
3274.00,77.55
3273.00,77.60
3272.00,77.66
3271.00,77.72
3270.00,77.78
3269.00,77.83
3268.00,77.86
3267.00,77.88
3266.00,77.92
3265.00,77.95
3264.00,78.00
3263.00,78.04
3262.00,78.07
3261.00,78.10
3260.00,78.13
3259.00,78.17
3258.00,78.24
3257.00,78.31
3256.00,78.36
3255.00,78.40
3254.00,78.41
3253.00,78.43
3252.00,78.45
3251.00,78.49
3250.00,78.54
3249.00,78.59
3248.00,78.65
3247.00,78.70
3246.00,78.74
3245.00,78.78
3244.00,78.82
3243.00,78.86
3242.00,78.90
3241.00,78.95
3240.00,79.00
3239.00,79.06
3238.00,79.11
3237.00,79.16
3236.00,79.20
3235.00,79.24
3234.00,79.26
3233.00,79.29
3232.00,79.32
3231.00,79.36
3230.00,79.41
3229.00,79.45
3228.00,79.48
3227.00,79.50
3226.00,79.52
3225.00,79.54
3224.00,79.58
3223.00,79.64
