Created as New Dataset,74 Nylon Allied Signal Fibers 
cm-1,%T
3649.00,101.66
3648.00,101.66
3647.00,101.69
3646.00,101.74
3645.00,101.78
3644.00,101.81
3643.00,101.82
3642.00,101.82
3641.00,101.83
3640.00,101.85
3639.00,101.85
3638.00,101.85
3637.00,101.82
3636.00,101.80
3635.00,101.79
3634.00,101.78
3633.00,101.77
3632.00,101.76
3631.00,101.75
3630.00,101.74
3629.00,101.73
3628.00,101.71
3627.00,101.71
3626.00,101.73
3625.00,101.75
3624.00,101.74
3623.00,101.72
3622.00,101.69
3621.00,101.68
3620.00,101.68
3619.00,101.67
3618.00,101.64
3617.00,101.63
3616.00,101.64
3615.00,101.67
3614.00,101.70
3613.00,101.70
3612.00,101.68
3611.00,101.64
3610.00,101.61
3609.00,101.62
3608.00,101.64
3607.00,101.66
3606.00,101.68
3605.00,101.69
3604.00,101.69
3603.00,101.68
3602.00,101.65
3601.00,101.61
3600.00,101.60
3599.00,101.60
3598.00,101.60
3597.00,101.61
3596.00,101.62
3595.00,101.62
3594.00,101.61
3593.00,101.58
3592.00,101.54
3591.00,101.51
3590.00,101.50
3589.00,101.49
3588.00,101.47
3587.00,101.46
3586.00,101.44
3585.00,101.44
3584.00,101.45
3583.00,101.47
3582.00,101.49
3581.00,101.51
3580.00,101.52
3579.00,101.52
3578.00,101.50
3577.00,101.48
3576.00,101.45
3575.00,101.43
3574.00,101.41
3573.00,101.38
3572.00,101.36
3571.00,101.33
3570.00,101.29
3569.00,101.27
3568.00,101.27
3567.00,101.27
3566.00,101.29
3565.00,101.30
3564.00,101.31
3563.00,101.31
3562.00,101.31
3561.00,101.30
3560.00,101.28
3559.00,101.27
3558.00,101.25
3557.00,101.25
3556.00,101.26
3555.00,101.25
3554.00,101.23
3553.00,101.18
3552.00,101.13
3551.00,101.09
3550.00,101.07
3549.00,101.07
3548.00,101.08
3547.00,101.10
3546.00,101.11
3545.00,101.12
3544.00,101.11
3543.00,101.09
3542.00,101.05
3541.00,101.02
3540.00,101.01
3539.00,101.02
3538.00,101.05
3537.00,101.06
3536.00,101.05
3535.00,101.02
3534.00,100.98
3533.00,100.95
3532.00,100.93
3531.00,100.91
3530.00,100.89
3529.00,100.87
3528.00,100.85
3527.00,100.85
3526.00,100.84
3525.00,100.82
3524.00,100.80
