Created as New Dataset,188 Courtaulds
cm-1,%T
3648.00,101.39
3647.00,101.37
3646.00,101.35
3645.00,101.33
3644.00,101.30
3643.00,101.28
3642.00,101.26
3641.00,101.25
3640.00,101.23
3639.00,101.21
3638.00,101.19
3637.00,101.18
3636.00,101.18
3635.00,101.18
3634.00,101.19
3633.00,101.19
3632.00,101.20
3631.00,101.19
3630.00,101.17
3629.00,101.13
3628.00,101.11
3627.00,101.10
3626.00,101.11
3625.00,101.11
3624.00,101.12
3623.00,101.13
3622.00,101.13
3621.00,101.12
3620.00,101.08
3619.00,101.02
3618.00,100.96
3617.00,100.94
3616.00,100.93
3615.00,100.94
3614.00,100.93
3613.00,100.92
3612.00,100.89
3611.00,100.87
3610.00,100.85
3609.00,100.84
3608.00,100.81
3607.00,100.77
3606.00,100.73
3605.00,100.70
3604.00,100.68
3603.00,100.66
3602.00,100.66
3601.00,100.66
3600.00,100.67
3599.00,100.67
3598.00,100.66
3597.00,100.63
3596.00,100.57
3595.00,100.51
3594.00,100.46
3593.00,100.43
3592.00,100.42
3591.00,100.42
3590.00,100.40
3589.00,100.38
3588.00,100.36
3587.00,100.34
3586.00,100.33
3585.00,100.31
3584.00,100.30
3583.00,100.28
3582.00,100.25
3581.00,100.23
3580.00,100.21
3579.00,100.20
3578.00,100.18
3577.00,100.16
3576.00,100.12
3575.00,100.08
3574.00,100.03
3573.00,99.99
3572.00,99.97
3571.00,99.97
3570.00,99.97
3569.00,99.96
3568.00,99.94
3567.00,99.90
3566.00,99.85
3565.00,99.81
3564.00,99.78
3563.00,99.77
3562.00,99.75
3561.00,99.72
3560.00,99.69
3559.00,99.66
3558.00,99.64
3557.00,99.63
3556.00,99.61
3555.00,99.58
3554.00,99.54
3553.00,99.49
3552.00,99.45
3551.00,99.42
3550.00,99.40
3549.00,99.39
3548.00,99.36
3547.00,99.33
3546.00,99.28
3545.00,99.23
3544.00,99.20
3543.00,99.19
3542.00,99.17
3541.00,99.15
3540.00,99.13
3539.00,99.11
3538.00,99.09
3537.00,99.07
3536.00,99.04
3535.00,98.99
3534.00,98.95
3533.00,98.91
3532.00,98.89
3531.00,98.87
3530.00,98.86
3529.00,98.84
3528.00,98.81
3527.00,98.78
3526.00,98.72
3525.00,98.67
3524.00,98.63
3523.00,98.60
3522.00,98.57
3521.00,98.55
3520.00,98.51
3519.00,98.46
3518.00,98.41
3517.00,98.36
3516.00,98.33
3515.00,98.31
3514.00,98.28
3513.00,98.25
3512.00,98.21
3511.00,98.15
3510.00,98.10
3509.00,98.06
3508.00,98.02
3507.00,97.98
3506.00,97.93
3505.00,97.89
3504.00,97.85
3503.00,97.81
3502.00,97.77
3501.00,97.71
3500.00,97.65
3499.00,97.60
3498.00,97.55
3497.00,97.49
3496.00,97.43
3495.00,97.37
3494.00,97.32
3493.00,97.28
3492.00,97.25
3491.00,97.22
3490.00,97.19
3489.00,97.16
3488.00,97.12
3487.00,97.07
3486.00,97.01
3485.00,96.97
3484.00,96.94
3483.00,96.94
3482.00,96.94
3481.00,96.94
3480.00,96.92
3479.00,96.89
3478.00,96.86
3477.00,96.82
3476.00,96.78
3475.00,96.75
3474.00,96.73
3473.00,96.72
3472.00,96.70
3471.00,96.67
3470.00,96.62
3469.00,96.57
3468.00,96.52
3467.00,96.49
3466.00,96.47
3465.00,96.44
3464.00,96.41
3463.00,96.38
3462.00,96.35
3461.00,96.33
3460.00,96.31
3459.00,96.27
3458.00,96.22
3457.00,96.17
3456.00,96.12
3455.00,96.08
3454.00,96.03
3453.00,95.98
3452.00,95.92
3451.00,95.87
3450.00,95.82
3449.00,95.77
3448.00,95.71
3447.00,95.67
3446.00,95.62
3445.00,95.59
3444.00,95.57
3443.00,95.55
3442.00,95.53
3441.00,95.50
3440.00,95.47
3439.00,95.45
3438.00,95.44
3437.00,95.45
3436.00,95.46
3435.00,95.46
3434.00,95.44
3433.00,95.41
3432.00,95.38
3431.00,95.35
3430.00,95.32
3429.00,95.30
3428.00,95.29
3427.00,95.30
3426.00,95.31
3425.00,95.32
3424.00,95.31
3423.00,95.28
3422.00,95.25
3421.00,95.23
3420.00,95.20
3419.00,95.18
3418.00,95.15
3417.00,95.12
3416.00,95.10
3415.00,95.10
3414.00,95.10
3413.00,95.10
3412.00,95.09
3411.00,95.08
3410.00,95.07
3409.00,95.06
3408.00,95.03
3407.00,95.00
3406.00,94.97
3405.00,94.94
3404.00,94.92
3403.00,94.91
3402.00,94.89
3401.00,94.88
3400.00,94.87
3399.00,94.85
3398.00,94.83
3397.00,94.80
3396.00,94.78
3395.00,94.77
3394.00,94.77
3393.00,94.75
3392.00,94.72
3391.00,94.69
3390.00,94.66
3389.00,94.65
3388.00,94.64
3387.00,94.64
3386.00,94.64
3385.00,94.63
3384.00,94.62
3383.00,94.61
3382.00,94.61
3381.00,94.61
3380.00,94.63
3379.00,94.63
3378.00,94.63
3377.00,94.61
3376.00,94.60
3375.00,94.58
3374.00,94.55
3373.00,94.52
3372.00,94.49
3371.00,94.47
3370.00,94.45
3369.00,94.43
3368.00,94.42
3367.00,94.42
3366.00,94.42
3365.00,94.42
3364.00,94.41
3363.00,94.40
3362.00,94.39
3361.00,94.38
3360.00,94.37
3359.00,94.36
3358.00,94.36
3357.00,94.36
3356.00,94.36
3355.00,94.35
3354.00,94.34
3353.00,94.33
3352.00,94.32
3351.00,94.32
3350.00,94.32
3349.00,94.31
3348.00,94.29
3347.00,94.28
3346.00,94.26
3345.00,94.25
3344.00,94.24
3343.00,94.22
3342.00,94.22
3341.00,94.22
3340.00,94.24
3339.00,94.26
3338.00,94.25
3337.00,94.23
3336.00,94.22
3335.00,94.22
3334.00,94.22
3333.00,94.23
3332.00,94.23
3331.00,94.22
3330.00,94.21
3329.00,94.20
3328.00,94.19
3327.00,94.18
3326.00,94.19
3325.00,94.20
3324.00,94.22
3323.00,94.23
3322.00,94.24
3321.00,94.24
3320.00,94.23
3319.00,94.22
3318.00,94.20
3317.00,94.19
3316.00,94.17
3315.00,94.17
3314.00,94.18
3313.00,94.19
3312.00,94.21
3311.00,94.23
3310.00,94.24
3309.00,94.25
3308.00,94.26
3307.00,94.25
3306.00,94.25
3305.00,94.25
3304.00,94.26
3303.00,94.26
3302.00,94.28
3301.00,94.29
3300.00,94.31
3299.00,94.31
3298.00,94.31
3297.00,94.30
3296.00,94.29
3295.00,94.29
3294.00,94.30
