Created as New Dataset,72 Waxman Fibers
cm-1,%T
3648.00,99.89
3647.00,99.89
3646.00,99.89
3645.00,99.90
3644.00,99.89
3643.00,99.89
3642.00,99.88
3641.00,99.87
3640.00,99.88
3639.00,99.89
3638.00,99.90
3637.00,99.91
3636.00,99.91
3635.00,99.92
3634.00,99.93
3633.00,99.93
3632.00,99.91
3631.00,99.89
3630.00,99.89
3629.00,99.88
3628.00,99.86
3627.00,99.84
3626.00,99.84
3625.00,99.84
3624.00,99.85
3623.00,99.84
3622.00,99.83
3621.00,99.84
3620.00,99.85
3619.00,99.87
3618.00,99.86
3617.00,99.84
3616.00,99.83
3615.00,99.83
3614.00,99.84
3613.00,99.85
3612.00,99.85
3611.00,99.84
3610.00,99.85
3609.00,99.88
3608.00,99.90
3607.00,99.91
3606.00,99.92
3605.00,99.91
3604.00,99.89
3603.00,99.87
3602.00,99.86
3601.00,99.86
3600.00,99.88
3599.00,99.89
3598.00,99.89
3597.00,99.89
3596.00,99.89
3595.00,99.89
3594.00,99.89
3593.00,99.87
3592.00,99.85
3591.00,99.81
3590.00,99.80
3589.00,99.81
3588.00,99.83
3587.00,99.85
3586.00,99.85
3585.00,99.84
3584.00,99.83
3583.00,99.83
3582.00,99.85
3581.00,99.87
3580.00,99.88
3579.00,99.87
3578.00,99.85
3577.00,99.84
3576.00,99.83
3575.00,99.84
3574.00,99.84
3573.00,99.84
3572.00,99.84
3571.00,99.84
3570.00,99.83
3569.00,99.81
3568.00,99.79
3567.00,99.77
3566.00,99.76
3565.00,99.75
3564.00,99.75
3563.00,99.75
3562.00,99.75
3561.00,99.74
3560.00,99.75
3559.00,99.75
3558.00,99.76
3557.00,99.77
3556.00,99.78
3555.00,99.80
3554.00,99.82
3553.00,99.84
3552.00,99.83
3551.00,99.81
3550.00,99.77
3549.00,99.74
3548.00,99.71
3547.00,99.70
3546.00,99.71
3545.00,99.73
3544.00,99.74
3543.00,99.74
3542.00,99.72
3541.00,99.69
3540.00,99.67
3539.00,99.67
3538.00,99.69
3537.00,99.72
3536.00,99.74
3535.00,99.75
3534.00,99.75
3533.00,99.75
3532.00,99.74
3531.00,99.73
3530.00,99.72
3529.00,99.72
3528.00,99.72
3527.00,99.72
3526.00,99.72
3525.00,99.71
3524.00,99.71
3523.00,99.71
3522.00,99.70
3521.00,99.70
3520.00,99.69
3519.00,99.68
3518.00,99.66
3517.00,99.66
3516.00,99.67
3515.00,99.69
3514.00,99.70
