Created as New Dataset,166. Hoechst (Dark Blue)
cm-1,%T
3649.00,96.19
3648.00,96.15
3647.00,96.13
3646.00,96.11
3645.00,96.11
3644.00,96.10
3643.00,96.10
3642.00,96.10
3641.00,96.10
3640.00,96.10
3639.00,96.11
3638.00,96.12
3637.00,96.12
3636.00,96.12
3635.00,96.11
3634.00,96.10
3633.00,96.11
3632.00,96.14
3631.00,96.17
3630.00,96.19
3629.00,96.18
3628.00,96.16
3627.00,96.14
3626.00,96.13
3625.00,96.13
3624.00,96.14
3623.00,96.15
3622.00,96.17
3621.00,96.18
3620.00,96.20
3619.00,96.21
3618.00,96.21
3617.00,96.19
3616.00,96.17
3615.00,96.16
3614.00,96.15
3613.00,96.14
3612.00,96.13
3611.00,96.12
3610.00,96.10
3609.00,96.11
3608.00,96.11
3607.00,96.12
3606.00,96.12
3605.00,96.11
3604.00,96.11
3603.00,96.11
3602.00,96.13
3601.00,96.14
3600.00,96.15
3599.00,96.15
3598.00,96.14
3597.00,96.13
3596.00,96.11
3595.00,96.09
3594.00,96.08
3593.00,96.07
3592.00,96.08
3591.00,96.10
3590.00,96.13
3589.00,96.16
3588.00,96.18
3587.00,96.17
3586.00,96.15
3585.00,96.13
3584.00,96.12
3583.00,96.11
3582.00,96.11
3581.00,96.10
3580.00,96.10
3579.00,96.10
3578.00,96.10
3577.00,96.11
3576.00,96.11
3575.00,96.11
3574.00,96.10
3573.00,96.09
3572.00,96.08
3571.00,96.07
3570.00,96.05
3569.00,96.03
3568.00,96.02
3567.00,96.01
3566.00,96.01
3565.00,96.00
3564.00,95.98
3563.00,95.97
3562.00,95.96
3561.00,95.94
3560.00,95.93
3559.00,95.92
3558.00,95.93
3557.00,95.94
3556.00,95.96
3555.00,95.97
3554.00,95.97
3553.00,95.95
3552.00,95.92
3551.00,95.90
3550.00,95.89
3549.00,95.90
3548.00,95.92
3547.00,95.94
3546.00,95.95
3545.00,95.95
3544.00,95.95
3543.00,95.95
3542.00,95.95
3541.00,95.94
3540.00,95.92
3539.00,95.91
3538.00,95.91
3537.00,95.92
3536.00,95.94
3535.00,95.96
3534.00,95.96
3533.00,95.97
3532.00,95.99
3531.00,96.02
3530.00,96.04
3529.00,96.04
3528.00,96.03
3527.00,96.02
3526.00,96.00
3525.00,96.00
3524.00,96.01
3523.00,96.01
3522.00,96.01
3521.00,96.01
3520.00,96.00
3519.00,95.99
3518.00,96.00
3517.00,96.01
3516.00,96.03
3515.00,96.04
3514.00,96.05
3513.00,96.05
3512.00,96.05
3511.00,96.05
3510.00,96.05
3509.00,96.04
3508.00,96.02
3507.00,96.01
3506.00,96.00
3505.00,96.00
3504.00,96.00
3503.00,95.99
3502.00,95.98
3501.00,95.98
3500.00,95.97
3499.00,95.97
3498.00,95.96
3497.00,95.95
3496.00,95.95
3495.00,95.96
3494.00,95.97
3493.00,95.97
3492.00,95.96
3491.00,95.95
3490.00,95.95
3489.00,95.95
3488.00,95.95
3487.00,95.95
3486.00,95.95
3485.00,95.95
3484.00,95.96
3483.00,95.97
3482.00,95.97
3481.00,95.97
3480.00,95.97
3479.00,95.97
3478.00,95.98
3477.00,95.99
3476.00,96.00
3475.00,96.00
3474.00,95.99
3473.00,95.96
3472.00,95.95
3471.00,95.94
3470.00,95.95
3469.00,95.96
3468.00,95.95
3467.00,95.91
3466.00,95.87
3465.00,95.85
3464.00,95.84
3463.00,95.85
3462.00,95.86
3461.00,95.85
3460.00,95.83
3459.00,95.82
3458.00,95.81
3457.00,95.80
3456.00,95.79
3455.00,95.77
3454.00,95.76
3453.00,95.75
3452.00,95.74
3451.00,95.73
3450.00,95.72
3449.00,95.72
3448.00,95.71
3447.00,95.71
3446.00,95.71
3445.00,95.71
3444.00,95.71
3443.00,95.70
3442.00,95.69
3441.00,95.68
3440.00,95.67
3439.00,95.66
3438.00,95.65
3437.00,95.62
3436.00,95.58
3435.00,95.54
3434.00,95.50
3433.00,95.48
3432.00,95.47
3431.00,95.47
3430.00,95.47
3429.00,95.46
3428.00,95.45
3427.00,95.46
3426.00,95.48
3425.00,95.53
3424.00,95.57
3423.00,95.59
3422.00,95.60
3421.00,95.61
3420.00,95.62
3419.00,95.64
3418.00,95.66
3417.00,95.69
3416.00,95.72
3415.00,95.74
3414.00,95.76
3413.00,95.77
3412.00,95.78
3411.00,95.80
3410.00,95.80
3409.00,95.81
3408.00,95.80
3407.00,95.79
3406.00,95.77
3405.00,95.76
3404.00,95.77
3403.00,95.79
3402.00,95.82
3401.00,95.83
3400.00,95.84
3399.00,95.84
3398.00,95.85
3397.00,95.86
3396.00,95.87
3395.00,95.88
