Created as New Dataset,170. ICI (Pink)
cm-1,%T
3648.00,92.90
3647.00,92.87
3646.00,92.86
3645.00,92.85
3644.00,92.85
3643.00,92.85
3642.00,92.85
3641.00,92.85
3640.00,92.84
3639.00,92.84
3638.00,92.86
3637.00,92.87
3636.00,92.88
3635.00,92.88
3634.00,92.87
3633.00,92.85
3632.00,92.85
3631.00,92.87
3630.00,92.90
3629.00,92.92
3628.00,92.93
3627.00,92.92
3626.00,92.91
3625.00,92.90
3624.00,92.89
3623.00,92.89
3622.00,92.89
3621.00,92.91
3620.00,92.93
3619.00,92.96
3618.00,92.97
3617.00,92.97
3616.00,92.96
3615.00,92.95
3614.00,92.94
3613.00,92.93
3612.00,92.91
3611.00,92.88
3610.00,92.86
3609.00,92.86
3608.00,92.88
3607.00,92.91
3606.00,92.94
3605.00,92.95
3604.00,92.95
3603.00,92.95
3602.00,92.95
3601.00,92.95
3600.00,92.95
3599.00,92.95
3598.00,92.94
3597.00,92.94
3596.00,92.94
3595.00,92.94
3594.00,92.93
3593.00,92.93
3592.00,92.92
3591.00,92.93
3590.00,92.95
3589.00,92.98
3588.00,93.01
3587.00,93.01
3586.00,93.00
3585.00,92.99
3584.00,92.99
3583.00,93.00
3582.00,92.99
3581.00,92.98
3580.00,92.95
3579.00,92.93
3578.00,92.93
3577.00,92.93
3576.00,92.93
3575.00,92.93
3574.00,92.93
3573.00,92.93
3572.00,92.93
3571.00,92.94
3570.00,92.94
3569.00,92.93
3568.00,92.93
3567.00,92.93
3566.00,92.92
3565.00,92.91
3564.00,92.89
3563.00,92.86
3562.00,92.84
3561.00,92.83
3560.00,92.82
3559.00,92.82
3558.00,92.83
3557.00,92.84
3556.00,92.85
3555.00,92.86
3554.00,92.87
3553.00,92.87
3552.00,92.86
3551.00,92.84
3550.00,92.83
3549.00,92.82
3548.00,92.82
3547.00,92.82
3546.00,92.84
3545.00,92.86
3544.00,92.89
3543.00,92.92
3542.00,92.93
3541.00,92.91
3540.00,92.88
3539.00,92.85
3538.00,92.83
3537.00,92.82
3536.00,92.84
3535.00,92.85
3534.00,92.86
3533.00,92.86
3532.00,92.86
3531.00,92.88
3530.00,92.90
3529.00,92.92
3528.00,92.92
3527.00,92.92
3526.00,92.92
3525.00,92.94
3524.00,92.95
3523.00,92.97
3522.00,92.97
3521.00,92.96
3520.00,92.93
3519.00,92.92
3518.00,92.92
3517.00,92.92
3516.00,92.93
3515.00,92.94
3514.00,92.93
3513.00,92.92
3512.00,92.92
3511.00,92.93
3510.00,92.95
3509.00,92.97
3508.00,92.97
3507.00,92.96
3506.00,92.94
3505.00,92.93
3504.00,92.92
3503.00,92.92
3502.00,92.92
3501.00,92.92
3500.00,92.92
3499.00,92.93
3498.00,92.93
3497.00,92.92
3496.00,92.91
3495.00,92.90
3494.00,92.89
3493.00,92.88
3492.00,92.87
3491.00,92.88
3490.00,92.89
3489.00,92.90
3488.00,92.90
3487.00,92.90
3486.00,92.89
3485.00,92.89
3484.00,92.89
3483.00,92.90
3482.00,92.90
3481.00,92.89
3480.00,92.88
3479.00,92.87
3478.00,92.87
3477.00,92.88
3476.00,92.90
3475.00,92.92
3474.00,92.91
3473.00,92.89
3472.00,92.84
3471.00,92.81
3470.00,92.81
3469.00,92.83
3468.00,92.84
3467.00,92.82
3466.00,92.80
3465.00,92.77
3464.00,92.75
3463.00,92.75
3462.00,92.76
3461.00,92.78
3460.00,92.78
3459.00,92.78
3458.00,92.76
3457.00,92.75
3456.00,92.73
3455.00,92.72
3454.00,92.71
3453.00,92.70
3452.00,92.69
3451.00,92.68
3450.00,92.66
3449.00,92.65
3448.00,92.63
3447.00,92.60
3446.00,92.57
3445.00,92.55
3444.00,92.54
3443.00,92.54
3442.00,92.53
3441.00,92.52
3440.00,92.51
3439.00,92.50
3438.00,92.49
3437.00,92.49
3436.00,92.47
3435.00,92.45
3434.00,92.41
3433.00,92.37
3432.00,92.35
3431.00,92.35
3430.00,92.37
3429.00,92.39
3428.00,92.41
3427.00,92.42
3426.00,92.43
3425.00,92.45
3424.00,92.48
3423.00,92.51
3422.00,92.55
3421.00,92.57
3420.00,92.58
3419.00,92.59
3418.00,92.60
3417.00,92.62
3416.00,92.64
3415.00,92.67
3414.00,92.69
3413.00,92.69
3412.00,92.70
3411.00,92.72
3410.00,92.75
3409.00,92.77
3408.00,92.78
3407.00,92.78
3406.00,92.78
3405.00,92.78
3404.00,92.79
3403.00,92.80
3402.00,92.82
3401.00,92.83
3400.00,92.83
3399.00,92.83
3398.00,92.84
3397.00,92.84
3396.00,92.85
3395.00,92.85
3394.00,92.85
3393.00,92.87
3392.00,92.88
3391.00,92.87
3390.00,92.85
3389.00,92.83
3388.00,92.82
3387.00,92.85
3386.00,92.88
3385.00,92.90
3384.00,92.91
3383.00,92.90
3382.00,92.89
3381.00,92.88
3380.00,92.86
3379.00,92.85
3378.00,92.86
3377.00,92.89
3376.00,92.91
3375.00,92.91
3374.00,92.91
3373.00,92.91
3372.00,92.91
3371.00,92.92
3370.00,92.92
3369.00,92.92
3368.00,92.92
3367.00,92.91
3366.00,92.90
3365.00,92.90
3364.00,92.90
3363.00,92.91
3362.00,92.91
3361.00,92.89
3360.00,92.87
3359.00,92.86
3358.00,92.85
3357.00,92.85
3356.00,92.86
3355.00,92.86
3354.00,92.86
3353.00,92.86
3352.00,92.87
3351.00,92.88
3350.00,92.88
3349.00,92.88
3348.00,92.85
3347.00,92.83
3346.00,92.82
3345.00,92.82
3344.00,92.83
3343.00,92.84
3342.00,92.85
3341.00,92.86
3340.00,92.85
3339.00,92.85
3338.00,92.85
3337.00,92.85
3336.00,92.84
3335.00,92.83
3334.00,92.82
3333.00,92.83
3332.00,92.84
3331.00,92.84
3330.00,92.83
3329.00,92.81
3328.00,92.80
3327.00,92.82
3326.00,92.84
3325.00,92.86
3324.00,92.88
3323.00,92.87
3322.00,92.86
3321.00,92.85
3320.00,92.84
3319.00,92.83
3318.00,92.83
3317.00,92.84
3316.00,92.86
3315.00,92.87
3314.00,92.87
3313.00,92.87
3312.00,92.86
3311.00,92.87
3310.00,92.88
3309.00,92.88
3308.00,92.88
3307.00,92.86
3306.00,92.85
3305.00,92.85
3304.00,92.86
3303.00,92.86
3302.00,92.86
3301.00,92.85
3300.00,92.84
3299.00,92.83
3298.00,92.83
3297.00,92.82
3296.00,92.83
3295.00,92.84
3294.00,92.85
3293.00,92.86
3292.00,92.87
3291.00,92.86
3290.00,92.86
3289.00,92.86
3288.00,92.86
3287.00,92.86
3286.00,92.87
3285.00,92.88
3284.00,92.89
3283.00,92.89
3282.00,92.88
3281.00,92.85
3280.00,92.82
3279.00,92.80
3278.00,92.79
3277.00,92.79
3276.00,92.81
3275.00,92.83
3274.00,92.86
3273.00,92.88
3272.00,92.88
3271.00,92.85
3270.00,92.81
3269.00,92.77
3268.00,92.75
3267.00,92.75
3266.00,92.77
3265.00,92.78
3264.00,92.79
3263.00,92.81
3262.00,92.83
3261.00,92.85
3260.00,92.86
3259.00,92.86
3258.00,92.85
3257.00,92.83
3256.00,92.82
3255.00,92.81
3254.00,92.82
3253.00,92.83
3252.00,92.84
3251.00,92.83
3250.00,92.82
3249.00,92.83
3248.00,92.84
3247.00,92.86
3246.00,92.87
3245.00,92.88
3244.00,92.89
3243.00,92.89
3242.00,92.89
3241.00,92.88
3240.00,92.87
3239.00,92.86
3238.00,92.86
3237.00,92.85
3236.00,92.85
3235.00,92.85
3234.00,92.84
3233.00,92.84
3232.00,92.85
3231.00,92.86
3230.00,92.87
3229.00,92.87
3228.00,92.86
3227.00,92.85
3226.00,92.84
3225.00,92.83
3224.00,92.82
3223.00,92.82
3222.00,92.81
3221.00,92.80
3220.00,92.79
3219.00,92.80
3218.00,92.81
3217.00,92.84
3216.00,92.86
3215.00,92.88
3214.00,92.88
3213.00,92.88
3212.00,92.87
3211.00,92.86
3210.00,92.86
3209.00,92.87
3208.00,92.89
3207.00,92.91
3206.00,92.91
3205.00,92.90
3204.00,92.89
3203.00,92.88
3202.00,92.89
3201.00,92.89
3200.00,92.88
3199.00,92.88
3198.00,92.89
3197.00,92.89
3196.00,92.89
3195.00,92.88
3194.00,92.87
3193.00,92.86
3192.00,92.85
3191.00,92.85
3190.00,92.84
3189.00,92.84
3188.00,92.85
3187.00,92.86
3186.00,92.87
3185.00,92.88
3184.00,92.89
3183.00,92.91
3182.00,92.91
3181.00,92.91
3180.00,92.89
3179.00,92.87
3178.00,92.86
3177.00,92.85
3176.00,92.85
3175.00,92.86
3174.00,92.87
3173.00,92.88
3172.00,92.89
3171.00,92.90
3170.00,92.89
3169.00,92.88
3168.00,92.87
3167.00,92.85
3166.00,92.85
3165.00,92.85
3164.00,92.85
3163.00,92.86
3162.00,92.87
3161.00,92.88
3160.00,92.89
3159.00,92.90
3158.00,92.91
3157.00,92.92
3156.00,92.92
3155.00,92.92
3154.00,92.92
3153.00,92.92
3152.00,92.91
3151.00,92.90
3150.00,92.89
3149.00,92.89
3148.00,92.89
3147.00,92.89
3146.00,92.90
3145.00,92.90
3144.00,92.91
3143.00,92.91
3142.00,92.90
3141.00,92.89
3140.00,92.88
3139.00,92.87
3138.00,92.86
3137.00,92.85
3136.00,92.85
3135.00,92.84
3134.00,92.83
3133.00,92.82
3132.00,92.82
3131.00,92.82
3130.00,92.83
3129.00,92.83
3128.00,92.83
3127.00,92.84
3126.00,92.86
3125.00,92.87
3124.00,92.87
3123.00,92.85
3122.00,92.83
3121.00,92.82
3120.00,92.81
3119.00,92.81
3118.00,92.82
