Created as New Dataset,16.3 Bombyx mori, yarn
cm-1,%T
3649.00,97.11
3648.00,97.07
3647.00,97.03
3646.00,97.01
3645.00,96.99
3644.00,96.98
3643.00,96.98
3642.00,96.98
3641.00,96.98
3640.00,96.97
3639.00,96.96
3638.00,96.94
3637.00,96.93
3636.00,96.92
3635.00,96.93
3634.00,96.92
3633.00,96.89
3632.00,96.86
3631.00,96.83
3630.00,96.81
3629.00,96.78
3628.00,96.76
3627.00,96.76
3626.00,96.78
3625.00,96.80
3624.00,96.80
3623.00,96.78
3622.00,96.75
3621.00,96.73
3620.00,96.73
3619.00,96.73
3618.00,96.72
3617.00,96.69
3616.00,96.67
3615.00,96.66
3614.00,96.66
3613.00,96.65
3612.00,96.62
3611.00,96.60
3610.00,96.59
3609.00,96.60
3608.00,96.61
3607.00,96.62
3606.00,96.61
3605.00,96.57
3604.00,96.53
3603.00,96.50
3602.00,96.47
3601.00,96.45
3600.00,96.45
3599.00,96.45
3598.00,96.46
3597.00,96.48
3596.00,96.51
3595.00,96.52
3594.00,96.51
3593.00,96.49
3592.00,96.46
3591.00,96.42
3590.00,96.41
3589.00,96.42
3588.00,96.43
3587.00,96.44
3586.00,96.42
3585.00,96.40
3584.00,96.37
3583.00,96.35
3582.00,96.33
3581.00,96.30
3580.00,96.28
3579.00,96.25
3578.00,96.24
3577.00,96.24
3576.00,96.24
3575.00,96.23
3574.00,96.22
3573.00,96.21
3572.00,96.22
3571.00,96.23
3570.00,96.22
3569.00,96.20
3568.00,96.18
3567.00,96.16
3566.00,96.14
3565.00,96.12
3564.00,96.10
3563.00,96.06
3562.00,96.03
3561.00,96.01
3560.00,96.01
3559.00,96.03
3558.00,96.03
3557.00,96.02
3556.00,95.99
3555.00,95.96
3554.00,95.95
3553.00,95.96
3552.00,95.96
3551.00,95.96
3550.00,95.94
3549.00,95.91
3548.00,95.89
3547.00,95.88
3546.00,95.87
3545.00,95.85
3544.00,95.80
3543.00,95.76
3542.00,95.72
3541.00,95.71
3540.00,95.72
3539.00,95.73
3538.00,95.73
3537.00,95.72
3536.00,95.70
3535.00,95.68
3534.00,95.66
3533.00,95.66
3532.00,95.65
3531.00,95.65
3530.00,95.64
3529.00,95.63
3528.00,95.60
3527.00,95.57
3526.00,95.53
3525.00,95.49
3524.00,95.47
3523.00,95.47
3522.00,95.47
3521.00,95.47
3520.00,95.47
3519.00,95.48
3518.00,95.47
3517.00,95.46
3516.00,95.45
3515.00,95.44
3514.00,95.42
3513.00,95.39
3512.00,95.36
3511.00,95.32
3510.00,95.29
3509.00,95.28
3508.00,95.28
3507.00,95.30
3506.00,95.30
3505.00,95.30
3504.00,95.28
3503.00,95.26
3502.00,95.25
3501.00,95.24
3500.00,95.23
3499.00,95.22
3498.00,95.21
3497.00,95.20
3496.00,95.19
3495.00,95.18
3494.00,95.17
3493.00,95.16
3492.00,95.15
3491.00,95.13
3490.00,95.10
3489.00,95.09
3488.00,95.09
3487.00,95.09
3486.00,95.10
3485.00,95.10
3484.00,95.09
3483.00,95.06
3482.00,95.02
3481.00,94.99
3480.00,94.98
3479.00,94.99
3478.00,95.00
3477.00,95.00
3476.00,94.99
3475.00,94.97
3474.00,94.96
3473.00,94.95
3472.00,94.94
3471.00,94.92
3470.00,94.90
3469.00,94.90
3468.00,94.92
3467.00,94.94
3466.00,94.95
3465.00,94.94
3464.00,94.91
3463.00,94.89
3462.00,94.88
3461.00,94.88
3460.00,94.87
3459.00,94.86
3458.00,94.84
3457.00,94.80
3456.00,94.77
3455.00,94.74
3454.00,94.73
3453.00,94.73
3452.00,94.73
3451.00,94.74
3450.00,94.74
3449.00,94.73
3448.00,94.71
3447.00,94.67
3446.00,94.64
3445.00,94.62
3444.00,94.61
3443.00,94.60
3442.00,94.61
3441.00,94.60
3440.00,94.59
3439.00,94.57
3438.00,94.54
3437.00,94.52
3436.00,94.52
3435.00,94.53
3434.00,94.55
3433.00,94.57
3432.00,94.58
3431.00,94.56
3430.00,94.53
3429.00,94.48
3428.00,94.45
3427.00,94.43
3426.00,94.43
3425.00,94.43
3424.00,94.42
3423.00,94.41
3422.00,94.42
3421.00,94.41
3420.00,94.40
3419.00,94.38
3418.00,94.36
3417.00,94.35
3416.00,94.35
3415.00,94.36
3414.00,94.34
3413.00,94.32
3412.00,94.29
3411.00,94.26
3410.00,94.23
3409.00,94.20
3408.00,94.17
3407.00,94.14
3406.00,94.12
3405.00,94.12
3404.00,94.11
3403.00,94.10
3402.00,94.09
3401.00,94.09
3400.00,94.08
3399.00,94.08
3398.00,94.07
3397.00,94.05
3396.00,94.02
3395.00,93.98
3394.00,93.94
3393.00,93.90
3392.00,93.86
3391.00,93.84
3390.00,93.83
3389.00,93.84
3388.00,93.86
3387.00,93.86
3386.00,93.84
3385.00,93.82
3384.00,93.80
3383.00,93.78
3382.00,93.77
3381.00,93.75
3380.00,93.72
3379.00,93.69
3378.00,93.66
3377.00,93.65
3376.00,93.66
3375.00,93.66
3374.00,93.65
3373.00,93.62
3372.00,93.57
3371.00,93.53
3370.00,93.52
3369.00,93.51
3368.00,93.51
3367.00,93.48
3366.00,93.44
3365.00,93.39
3364.00,93.36
3363.00,93.34
3362.00,93.32
3361.00,93.29
3360.00,93.26
3359.00,93.21
3358.00,93.16
3357.00,93.12
3356.00,93.08
3355.00,93.04
3354.00,93.02
3353.00,93.01
3352.00,93.00
3351.00,92.98
3350.00,92.95
3349.00,92.92
3348.00,92.87
3347.00,92.82
3346.00,92.77
3345.00,92.71
3344.00,92.66
3343.00,92.60
3342.00,92.53
3341.00,92.45
3340.00,92.38
3339.00,92.32
3338.00,92.27
3337.00,92.23
3336.00,92.17
3335.00,92.11
3334.00,92.06
3333.00,92.02
3332.00,91.97
3331.00,91.90
3330.00,91.82
3329.00,91.72
3328.00,91.61
3327.00,91.52
3326.00,91.44
3325.00,91.37
3324.00,91.30
3323.00,91.23
3322.00,91.16
3321.00,91.07
3320.00,90.99
3319.00,90.89
3318.00,90.80
3317.00,90.69
3316.00,90.59
3315.00,90.49
3314.00,90.39
3313.00,90.31
3312.00,90.22
3311.00,90.12
3310.00,90.03
3309.00,89.93
3308.00,89.83
3307.00,89.72
3306.00,89.60
3305.00,89.47
3304.00,89.36
3303.00,89.24
3302.00,89.13
3301.00,89.01
3300.00,88.89
3299.00,88.78
3298.00,88.68
3297.00,88.58
3296.00,88.47
3295.00,88.38
3294.00,88.30
3293.00,88.22
3292.00,88.15
3291.00,88.09
3290.00,88.02
3289.00,87.95
3288.00,87.89
3287.00,87.83
3286.00,87.77
3285.00,87.71
3284.00,87.66
3283.00,87.61
3282.00,87.58
3281.00,87.57
3280.00,87.58
3279.00,87.60
3278.00,87.62
3277.00,87.64
3276.00,87.68
3275.00,87.74
3274.00,87.79
3273.00,87.84
3272.00,87.87
3271.00,87.91
3270.00,87.97
3269.00,88.04
3268.00,88.12
3267.00,88.19
3266.00,88.25
3265.00,88.31
3264.00,88.38
3263.00,88.45
3262.00,88.53
3261.00,88.63
3260.00,88.72
3259.00,88.80
3258.00,88.87
3257.00,88.93
3256.00,89.00
3255.00,89.08
3254.00,89.17
3253.00,89.26
3252.00,89.35
3251.00,89.43
3250.00,89.52
3249.00,89.60
3248.00,89.67
3247.00,89.75
3246.00,89.83
3245.00,89.89
3244.00,89.94
3243.00,89.98
3242.00,90.02
3241.00,90.08
3240.00,90.14
3239.00,90.20
3238.00,90.25
3237.00,90.31
3236.00,90.35
3235.00,90.40
3234.00,90.45
3233.00,90.50
3232.00,90.54
3231.00,90.58
3230.00,90.63
3229.00,90.70
3228.00,90.76
3227.00,90.81
3226.00,90.85
3225.00,90.88
3224.00,90.91
3223.00,90.96
3222.00,91.01
3221.00,91.07
3220.00,91.12
3219.00,91.17
3218.00,91.22
3217.00,91.27
3216.00,91.31
3215.00,91.35
3214.00,91.38
3213.00,91.42
3212.00,91.46
3211.00,91.50
3210.00,91.52
3209.00,91.54
3208.00,91.57
3207.00,91.61
3206.00,91.67
3205.00,91.73
3204.00,91.77
3203.00,91.80
3202.00,91.82
3201.00,91.85
3200.00,91.89
3199.00,91.94
3198.00,91.99
3197.00,92.04
3196.00,92.08
3195.00,92.11
3194.00,92.15
3193.00,92.18
3192.00,92.22
3191.00,92.27
3190.00,92.33
3189.00,92.37
3188.00,92.40
3187.00,92.41
3186.00,92.42
3185.00,92.44
3184.00,92.46
3183.00,92.49
3182.00,92.52
3181.00,92.56
3180.00,92.60
3179.00,92.64
3178.00,92.68
3177.00,92.70
3176.00,92.72
3175.00,92.75
3174.00,92.79
3173.00,92.83
3172.00,92.88
3171.00,92.93
3170.00,92.97
3169.00,93.01
3168.00,93.03
3167.00,93.06
3166.00,93.09
3165.00,93.13
3164.00,93.17
3163.00,93.20
3162.00,93.21
3161.00,93.22
3160.00,93.22
3159.00,93.24
3158.00,93.27
3157.00,93.31
3156.00,93.35
3155.00,93.39
3154.00,93.42
3153.00,93.44
3152.00,93.46
3151.00,93.46
3150.00,93.48
3149.00,93.51
3148.00,93.55
3147.00,93.59
3146.00,93.61
3145.00,93.63
3144.00,93.65
3143.00,93.67
3142.00,93.69
3141.00,93.71
3140.00,93.72
3139.00,93.73
3138.00,93.74
3137.00,93.75
3136.00,93.77
3135.00,93.79
3134.00,93.82
3133.00,93.84
3132.00,93.86
3131.00,93.87
3130.00,93.87
3129.00,93.87
3128.00,93.86
3127.00,93.85
3126.00,93.84
3125.00,93.84
3124.00,93.85
3123.00,93.87
3122.00,93.87
3121.00,93.86
3120.00,93.84
3119.00,93.82
3118.00,93.81
3117.00,93.81
3116.00,93.81
3115.00,93.82
3114.00,93.82
3113.00,93.82
3112.00,93.82
3111.00,93.81
3110.00,93.82
3109.00,93.82
3108.00,93.81
3107.00,93.79
3106.00,93.77
3105.00,93.75
3104.00,93.73
3103.00,93.72
3102.00,93.73
3101.00,93.74
3100.00,93.74
3099.00,93.74
3098.00,93.72
3097.00,93.69
3096.00,93.68
3095.00,93.68
3094.00,93.68
3093.00,93.67
3092.00,93.67
3091.00,93.66
3090.00,93.65
3089.00,93.64
3088.00,93.62
3087.00,93.60
3086.00,93.58
3085.00,93.56
3084.00,93.55
3083.00,93.54
3082.00,93.54
3081.00,93.56
3080.00,93.57
3079.00,93.58
3078.00,93.58
3077.00,93.57
3076.00,93.56
3075.00,93.55
3074.00,93.54
3073.00,93.54
3072.00,93.53
3071.00,93.53
3070.00,93.54
3069.00,93.54
3068.00,93.55
3067.00,93.55
3066.00,93.56
3065.00,93.58
3064.00,93.62
3063.00,93.65
3062.00,93.67
3061.00,93.69
3060.00,93.69
3059.00,93.70
3058.00,93.70
3057.00,93.71
3056.00,93.74
3055.00,93.77
3054.00,93.80
3053.00,93.83
3052.00,93.85
3051.00,93.87
3050.00,93.90
3049.00,93.92
3048.00,93.95
3047.00,93.97
3046.00,94.00
3045.00,94.02
3044.00,94.04
3043.00,94.07
3042.00,94.10
3041.00,94.12
3040.00,94.15
3039.00,94.18
3038.00,94.21
3037.00,94.24
3036.00,94.27
3035.00,94.30
3034.00,94.32
3033.00,94.34
3032.00,94.35
3031.00,94.35
3030.00,94.36
3029.00,94.37
3028.00,94.37
3027.00,94.38
3026.00,94.39
3025.00,94.40
3024.00,94.42
3023.00,94.44
3022.00,94.46
3021.00,94.47
3020.00,94.48
3019.00,94.49
3018.00,94.51
3017.00,94.53
3016.00,94.55
3015.00,94.58
3014.00,94.59
3013.00,94.59
3012.00,94.59
3011.00,94.59
3010.00,94.58
3009.00,94.59
3008.00,94.59
3007.00,94.61
3006.00,94.61
3005.00,94.61
3004.00,94.60
3003.00,94.59
3002.00,94.58
3001.00,94.58
3000.00,94.57
2999.00,94.55
2998.00,94.54
2997.00,94.52
2996.00,94.50
2995.00,94.48
2994.00,94.45
2993.00,94.44
2992.00,94.43
2991.00,94.43
2990.00,94.43
2989.00,94.42
2988.00,94.39
2987.00,94.36
2986.00,94.33
2985.00,94.30
2984.00,94.28
2983.00,94.25
2982.00,94.23
2981.00,94.21
2980.00,94.20
2979.00,94.19
2978.00,94.17
2977.00,94.16
2976.00,94.16
2975.00,94.17
2974.00,94.18
2973.00,94.19
2972.00,94.19
2971.00,94.18
2970.00,94.15
2969.00,94.14
2968.00,94.13
2967.00,94.13
2966.00,94.12
2965.00,94.11
2964.00,94.11
2963.00,94.12
2962.00,94.16
2961.00,94.21
2960.00,94.24
2959.00,94.27
2958.00,94.27
2957.00,94.27
2956.00,94.27
2955.00,94.28
2954.00,94.29
2953.00,94.29
2952.00,94.29
2951.00,94.28
2950.00,94.26
2949.00,94.25
2948.00,94.24
2947.00,94.22
2946.00,94.19
2945.00,94.15
2944.00,94.09
2943.00,94.04
2942.00,94.00
2941.00,93.96
2940.00,93.94
2939.00,93.91
2938.00,93.87
2937.00,93.82
2936.00,93.77
2935.00,93.74
2934.00,93.72
2933.00,93.71
2932.00,93.72
2931.00,93.71
2930.00,93.69
2929.00,93.67
2928.00,93.66
2927.00,93.65
2926.00,93.66
2925.00,93.67
2924.00,93.68
2923.00,93.69
2922.00,93.70
2921.00,93.71
2920.00,93.73
2919.00,93.76
2918.00,93.79
2917.00,93.82
2916.00,93.86
2915.00,93.91
2914.00,93.97
2913.00,94.03
2912.00,94.10
2911.00,94.16
2910.00,94.22
2909.00,94.26
2908.00,94.30
2907.00,94.34
2906.00,94.37
2905.00,94.39
2904.00,94.40
2903.00,94.41
2902.00,94.43
2901.00,94.45
2900.00,94.48
2899.00,94.50
2898.00,94.53
2897.00,94.55
2896.00,94.56
2895.00,94.57
2894.00,94.58
2893.00,94.58
2892.00,94.59
2891.00,94.61
2890.00,94.61
2889.00,94.61
2888.00,94.62
2887.00,94.62
2886.00,94.63
2885.00,94.65
2884.00,94.67
2883.00,94.68
2882.00,94.69
2881.00,94.68
2880.00,94.68
2879.00,94.67
2878.00,94.67
2877.00,94.67
2876.00,94.68
2875.00,94.68
2874.00,94.68
2873.00,94.68
2872.00,94.67
2871.00,94.67
2870.00,94.68
2869.00,94.70
2868.00,94.72
2867.00,94.74
2866.00,94.75
2865.00,94.75
2864.00,94.75
2863.00,94.75
2862.00,94.77
2861.00,94.79
2860.00,94.80
2859.00,94.81
2858.00,94.80
2857.00,94.79
2856.00,94.78
2855.00,94.77
2854.00,94.76
2853.00,94.74
2852.00,94.73
2851.00,94.74
2850.00,94.76
2849.00,94.78
2848.00,94.82
2847.00,94.88
2846.00,94.94
2845.00,94.99
2844.00,95.03
2843.00,95.07
2842.00,95.11
2841.00,95.16
2840.00,95.21
2839.00,95.24
2838.00,95.25
2837.00,95.26
2836.00,95.27
2835.00,95.28
2834.00,95.29
2833.00,95.31
2832.00,95.32
2831.00,95.33
2830.00,95.33
2829.00,95.32
2828.00,95.32
2827.00,95.33
2826.00,95.35
2825.00,95.36
2824.00,95.36
2823.00,95.36
2822.00,95.35
2821.00,95.35
2820.00,95.36
2819.00,95.39
2818.00,95.42
2817.00,95.44
2816.00,95.44
2815.00,95.44
2814.00,95.42
2813.00,95.42
2812.00,95.41
2811.00,95.40
2810.00,95.39
2809.00,95.39
2808.00,95.41
2807.00,95.43
2806.00,95.44
2805.00,95.45
2804.00,95.44
2803.00,95.43
2802.00,95.43
2801.00,95.44
2800.00,95.45
2799.00,95.47
2798.00,95.47
2797.00,95.48
2796.00,95.47
2795.00,95.47
2794.00,95.47
2793.00,95.48
2792.00,95.49
2791.00,95.51
2790.00,95.51
2789.00,95.52
2788.00,95.51
2787.00,95.51
2786.00,95.52
2785.00,95.54
2784.00,95.55
2783.00,95.56
2782.00,95.55
2781.00,95.55
2780.00,95.55
2779.00,95.56
2778.00,95.58
2777.00,95.59
2776.00,95.61
2775.00,95.62
2774.00,95.62
2773.00,95.62
2772.00,95.62
2771.00,95.64
2770.00,95.65
2769.00,95.65
2768.00,95.65
2767.00,95.64
2766.00,95.64
2765.00,95.65
2764.00,95.65
2763.00,95.66
2762.00,95.66
2761.00,95.67
2760.00,95.68
2759.00,95.68
2758.00,95.69
2757.00,95.69
2756.00,95.70
2755.00,95.71
2754.00,95.72
2753.00,95.72
2752.00,95.71
2751.00,95.70
2750.00,95.69
2749.00,95.70
2748.00,95.71
2747.00,95.72
2746.00,95.74
2745.00,95.75
2744.00,95.76
2743.00,95.77
2742.00,95.77
2741.00,95.77
2740.00,95.76
2739.00,95.77
2738.00,95.77
2737.00,95.78
2736.00,95.79
2735.00,95.79
2734.00,95.79
2733.00,95.79
2732.00,95.79
2731.00,95.79
2730.00,95.79
2729.00,95.80
2728.00,95.81
