Created as New Dataset,58 Eastman Fibres
cm-1,%T
3648.00,99.61
3647.00,99.62
3646.00,99.62
3645.00,99.60
3644.00,99.56
3643.00,99.52
3642.00,99.49
3641.00,99.47
3640.00,99.46
3639.00,99.45
3638.00,99.46
3637.00,99.47
3636.00,99.49
3635.00,99.51
3634.00,99.53
3633.00,99.56
3632.00,99.59
3631.00,99.61
3630.00,99.61
3629.00,99.57
3628.00,99.51
3627.00,99.45
3626.00,99.42
3625.00,99.41
3624.00,99.43
3623.00,99.46
3622.00,99.49
3621.00,99.50
3620.00,99.49
3619.00,99.49
3618.00,99.50
3617.00,99.51
3616.00,99.52
3615.00,99.50
3614.00,99.48
3613.00,99.46
3612.00,99.44
3611.00,99.43
3610.00,99.44
3609.00,99.45
3608.00,99.47
3607.00,99.47
3606.00,99.46
3605.00,99.44
3604.00,99.43
3603.00,99.42
3602.00,99.41
3601.00,99.41
3600.00,99.40
3599.00,99.38
3598.00,99.38
3597.00,99.38
3596.00,99.41
3595.00,99.44
3594.00,99.46
3593.00,99.46
3592.00,99.44
3591.00,99.41
3590.00,99.39
3589.00,99.38
3588.00,99.38
3587.00,99.39
3586.00,99.40
3585.00,99.41
3584.00,99.41
3583.00,99.41
3582.00,99.40
3581.00,99.39
3580.00,99.39
3579.00,99.39
3578.00,99.39
3577.00,99.38
3576.00,99.36
3575.00,99.33
3574.00,99.31
3573.00,99.31
3572.00,99.32
3571.00,99.32
3570.00,99.33
3569.00,99.33
3568.00,99.34
3567.00,99.34
3566.00,99.32
3565.00,99.29
3564.00,99.28
3563.00,99.27
3562.00,99.28
3561.00,99.28
3560.00,99.28
3559.00,99.27
3558.00,99.27
3557.00,99.26
3556.00,99.26
3555.00,99.26
3554.00,99.26
3553.00,99.25
3552.00,99.25
3551.00,99.25
3550.00,99.25
3549.00,99.25
3548.00,99.25
3547.00,99.22
3546.00,99.19
3545.00,99.14
3544.00,99.11
3543.00,99.11
3542.00,99.13
3541.00,99.16
3540.00,99.18
3539.00,99.19
3538.00,99.20
3537.00,99.20
3536.00,99.19
3535.00,99.19
3534.00,99.19
3533.00,99.18
3532.00,99.18
3531.00,99.17
3530.00,99.16
3529.00,99.14
3528.00,99.13
3527.00,99.12
3526.00,99.12
3525.00,99.11
3524.00,99.12
3523.00,99.12
3522.00,99.11
3521.00,99.11
3520.00,99.10
3519.00,99.10
3518.00,99.10
3517.00,99.10
3516.00,99.09
3515.00,99.08
3514.00,99.07
3513.00,99.08
3512.00,99.09
3511.00,99.10
3510.00,99.09
3509.00,99.07
3508.00,99.04
3507.00,99.02
3506.00,99.02
3505.00,99.04
3504.00,99.06
3503.00,99.07
3502.00,99.07
3501.00,99.06
3500.00,99.05
3499.00,99.05
3498.00,99.05
3497.00,99.05
3496.00,99.05
3495.00,99.04
3494.00,99.04
3493.00,99.04
3492.00,99.05
3491.00,99.07
3490.00,99.09
3489.00,99.10
3488.00,99.09
3487.00,99.08
3486.00,99.07
3485.00,99.07
3484.00,99.07
3483.00,99.08
3482.00,99.09
3481.00,99.09
3480.00,99.09
3479.00,99.07
3478.00,99.07
3477.00,99.07
3476.00,99.09
3475.00,99.10
3474.00,99.09
3473.00,99.06
3472.00,99.03
3471.00,99.01
3470.00,98.99
3469.00,98.98
3468.00,98.98
3467.00,98.98
3466.00,98.99
3465.00,99.00
3464.00,99.01
3463.00,99.01
3462.00,99.01
3461.00,99.01
3460.00,99.02
3459.00,99.01
3458.00,99.00
3457.00,98.99
3456.00,99.00
3455.00,99.02
3454.00,99.04
3453.00,99.06
3452.00,99.06
3451.00,99.05
3450.00,99.03
3449.00,99.01
3448.00,99.00
3447.00,98.99
3446.00,98.99
3445.00,98.98
3444.00,98.96
3443.00,98.93
3442.00,98.91
3441.00,98.91
3440.00,98.92
3439.00,98.93
3438.00,98.93
3437.00,98.91
3436.00,98.89
3435.00,98.87
3434.00,98.88
3433.00,98.90
3432.00,98.93
3431.00,98.96
3430.00,98.98
3429.00,98.97
3428.00,98.95
3427.00,98.94
3426.00,98.95
3425.00,98.97
3424.00,98.97
3423.00,98.95
3422.00,98.93
3421.00,98.91
3420.00,98.91
3419.00,98.92
3418.00,98.92
3417.00,98.92
3416.00,98.91
3415.00,98.91
3414.00,98.93
3413.00,98.96
3412.00,98.98
3411.00,98.97
3410.00,98.94
3409.00,98.91
3408.00,98.89
3407.00,98.89
3406.00,98.91
3405.00,98.92
3404.00,98.93
3403.00,98.92
3402.00,98.90
3401.00,98.88
3400.00,98.87
3399.00,98.87
3398.00,98.89
3397.00,98.90
3396.00,98.91
3395.00,98.92
3394.00,98.92
3393.00,98.92
3392.00,98.91
3391.00,98.90
3390.00,98.89
3389.00,98.89
3388.00,98.89
3387.00,98.91
3386.00,98.92
3385.00,98.92
3384.00,98.91
3383.00,98.89
3382.00,98.87
3381.00,98.85
3380.00,98.84
3379.00,98.83
3378.00,98.83
3377.00,98.82
3376.00,98.82
3375.00,98.82
3374.00,98.83
3373.00,98.84
3372.00,98.85
3371.00,98.85
3370.00,98.85
3369.00,98.85
3368.00,98.84
3367.00,98.84
