Created as New Dataset,10. Acrylic Bayer
cm-1,%T
4000.00,99.30
3999.00,99.31
3998.00,99.33
3997.00,99.35
3996.00,99.37
3995.00,99.38
3994.00,99.39
3993.00,99.40
3992.00,99.40
3991.00,99.39
3990.00,99.38
3989.00,99.37
3988.00,99.36
3987.00,99.34
3986.00,99.33
3985.00,99.33
3984.00,99.33
3983.00,99.33
3982.00,99.33
3981.00,99.33
3980.00,99.32
3979.00,99.31
3978.00,99.31
3977.00,99.32
3976.00,99.33
3975.00,99.34
3974.00,99.35
3973.00,99.35
3972.00,99.35
3971.00,99.35
3970.00,99.36
3969.00,99.37
3968.00,99.38
3967.00,99.38
3966.00,99.38
3965.00,99.37
3964.00,99.36
3963.00,99.35
3962.00,99.34
3961.00,99.35
3960.00,99.35
3959.00,99.35
3958.00,99.34
3957.00,99.32
3956.00,99.31
3955.00,99.31
3954.00,99.31
3953.00,99.33
3952.00,99.34
3951.00,99.35
3950.00,99.36
3949.00,99.36
3948.00,99.37
3947.00,99.37
3946.00,99.36
3945.00,99.34
3944.00,99.31
3943.00,99.30
3942.00,99.31
3941.00,99.33
3940.00,99.35
3939.00,99.34
3938.00,99.33
3937.00,99.32
3936.00,99.33
3935.00,99.33
3934.00,99.34
3933.00,99.34
3932.00,99.35
3931.00,99.36
3930.00,99.38
3929.00,99.38
3928.00,99.36
3927.00,99.34
3926.00,99.33
3925.00,99.32
3924.00,99.33
3923.00,99.35
3922.00,99.36
3921.00,99.37
3920.00,99.36
3919.00,99.35
3918.00,99.33
3917.00,99.30
3916.00,99.28
3915.00,99.27
3914.00,99.26
3913.00,99.25
3912.00,99.25
3911.00,99.24
3910.00,99.24
3909.00,99.24
3908.00,99.26
3907.00,99.30
3906.00,99.35
3905.00,99.40
3904.00,99.42
3903.00,99.43
3902.00,99.43
3901.00,99.43
3900.00,99.42
3899.00,99.42
3898.00,99.41
3897.00,99.39
3896.00,99.37
3895.00,99.37
3894.00,99.38
3893.00,99.38
3892.00,99.38
3891.00,99.36
3890.00,99.36
3889.00,99.35
3888.00,99.34
3887.00,99.33
3886.00,99.34
3885.00,99.36
3884.00,99.39
3883.00,99.40
3882.00,99.39
3881.00,99.37
3880.00,99.35
3879.00,99.35
3878.00,99.36
3877.00,99.35
3876.00,99.33
3875.00,99.32
3874.00,99.32
3873.00,99.35
3872.00,99.38
3871.00,99.40
3870.00,99.41
3869.00,99.42
3868.00,99.43
3867.00,99.43
3866.00,99.42
3865.00,99.42
3864.00,99.42
3863.00,99.41
3862.00,99.39
3861.00,99.37
3860.00,99.36
3859.00,99.35
3858.00,99.36
3857.00,99.39
3856.00,99.44
3855.00,99.48
3854.00,99.48
3853.00,99.47
3852.00,99.47
3851.00,99.48
3850.00,99.45
3849.00,99.42
3848.00,99.39
3847.00,99.37
3846.00,99.35
3845.00,99.33
3844.00,99.32
3843.00,99.33
3842.00,99.36
3841.00,99.40
3840.00,99.43
3839.00,99.45
3838.00,99.45
3837.00,99.45
3836.00,99.45
3835.00,99.45
3834.00,99.43
3833.00,99.40
3832.00,99.35
3831.00,99.32
3830.00,99.30
3829.00,99.30
3828.00,99.30
3827.00,99.31
3826.00,99.32
3825.00,99.34
3824.00,99.37
3823.00,99.38
3822.00,99.38
3821.00,99.38
3820.00,99.39
3819.00,99.40
3818.00,99.38
3817.00,99.36
3816.00,99.33
3815.00,99.33
3814.00,99.34
3813.00,99.33
3812.00,99.31
3811.00,99.29
3810.00,99.28
3809.00,99.26
3808.00,99.24
3807.00,99.24
3806.00,99.27
3805.00,99.31
3804.00,99.35
3803.00,99.37
3802.00,99.37
3801.00,99.35
3800.00,99.34
3799.00,99.32
3798.00,99.28
3797.00,99.25
3796.00,99.23
3795.00,99.22
3794.00,99.22
3793.00,99.22
3792.00,99.23
3791.00,99.23
3790.00,99.23
3789.00,99.23
3788.00,99.22
3787.00,99.21
3786.00,99.20
3785.00,99.20
3784.00,99.21
3783.00,99.22
3782.00,99.23
3781.00,99.24
3780.00,99.25
3779.00,99.27
3778.00,99.28
3777.00,99.27
3776.00,99.25
3775.00,99.23
3774.00,99.22
3773.00,99.23
3772.00,99.23
3771.00,99.24
3770.00,99.25
3769.00,99.27
3768.00,99.28
3767.00,99.28
3766.00,99.26
3765.00,99.24
3764.00,99.23
3763.00,99.23
3762.00,99.23
3761.00,99.23
3760.00,99.22
3759.00,99.20
3758.00,99.20
3757.00,99.20
3756.00,99.22
3755.00,99.25
3754.00,99.29
3753.00,99.32
3752.00,99.35
3751.00,99.36
3750.00,99.36
3749.00,99.36
3748.00,99.37
3747.00,99.37
3746.00,99.35
3745.00,99.32
3744.00,99.30
3743.00,99.31
3742.00,99.32
3741.00,99.30
3740.00,99.28
3739.00,99.28
3738.00,99.30
3737.00,99.32
3736.00,99.31
3735.00,99.30
3734.00,99.29
3733.00,99.28
3732.00,99.27
3731.00,99.27
3730.00,99.27
3729.00,99.26
3728.00,99.24
3727.00,99.23
3726.00,99.22
3725.00,99.23
3724.00,99.24
3723.00,99.24
3722.00,99.24
3721.00,99.22
3720.00,99.21
3719.00,99.20
3718.00,99.20
3717.00,99.20
3716.00,99.20
3715.00,99.21
3714.00,99.23
3713.00,99.23
3712.00,99.23
3711.00,99.22
3710.00,99.21
3709.00,99.20
3708.00,99.19
3707.00,99.18
3706.00,99.18
3705.00,99.18
3704.00,99.18
3703.00,99.17
3702.00,99.16
3701.00,99.16
3700.00,99.15
3699.00,99.13
3698.00,99.11
3697.00,99.10
3696.00,99.11
3695.00,99.14
3694.00,99.16
3693.00,99.17
3692.00,99.18
3691.00,99.18
3690.00,99.17
3689.00,99.16
3688.00,99.16
3687.00,99.16
3686.00,99.15
3685.00,99.13
3684.00,99.11
3683.00,99.10
3682.00,99.10
3681.00,99.09
3680.00,99.10
3679.00,99.12
3678.00,99.16
3677.00,99.20
3676.00,99.20
3675.00,99.21
3674.00,99.23
3673.00,99.25
3672.00,99.24
3671.00,99.20
3670.00,99.15
3669.00,99.11
3668.00,99.11
3667.00,99.12
3666.00,99.12
3665.00,99.11
3664.00,99.09
3663.00,99.07
3662.00,99.04
3661.00,99.02
3660.00,99.02
3659.00,99.04
3658.00,99.08
3657.00,99.13
3656.00,99.16
3655.00,99.18
3654.00,99.18
3653.00,99.16
3652.00,99.13
3651.00,99.10
3650.00,99.06
3649.00,99.03
3648.00,99.02
3647.00,99.01
3646.00,99.01
3645.00,99.01
3644.00,99.00
3643.00,98.99
3642.00,98.97
3641.00,98.95
3640.00,98.93
3639.00,98.92
3638.00,98.93
3637.00,98.94
3636.00,98.94
3635.00,98.94
3634.00,98.93
3633.00,98.94
3632.00,98.96
3631.00,98.96
3630.00,98.95
3629.00,98.95
3628.00,98.97
3627.00,99.00
3626.00,99.01
3625.00,99.00
3624.00,98.98
3623.00,98.99
3622.00,99.00
3621.00,99.02
3620.00,99.03
3619.00,99.04
3618.00,99.06
3617.00,99.07
3616.00,99.07
3615.00,99.06
3614.00,99.06
3613.00,99.06
3612.00,99.06
3611.00,99.03
3610.00,99.00
3609.00,98.96
3608.00,98.93
3607.00,98.92
3606.00,98.92
3605.00,98.91
3604.00,98.91
3603.00,98.90
3602.00,98.91
3601.00,98.93
3600.00,98.95
3599.00,98.97
3598.00,98.97
3597.00,98.97
3596.00,98.95
3595.00,98.93
3594.00,98.92
3593.00,98.92
3592.00,98.93
3591.00,98.95
3590.00,98.95
3589.00,98.94
3588.00,98.92
3587.00,98.92
3586.00,98.93
3585.00,98.94
3584.00,98.94
3583.00,98.92
3582.00,98.89
3581.00,98.88
3580.00,98.87
3579.00,98.87
3578.00,98.87
3577.00,98.88
3576.00,98.87
3575.00,98.86
3574.00,98.84
3573.00,98.85
3572.00,98.87
3571.00,98.91
3570.00,98.94
3569.00,98.96
3568.00,98.96
3567.00,98.96
3566.00,98.97
3565.00,98.98
3564.00,98.98
3563.00,98.96
3562.00,98.94
3561.00,98.93
3560.00,98.93
3559.00,98.93
3558.00,98.92
3557.00,98.90
3556.00,98.87
3555.00,98.85
3554.00,98.83
3553.00,98.83
3552.00,98.84
3551.00,98.86
3550.00,98.88
3549.00,98.90
3548.00,98.91
3547.00,98.90
3546.00,98.88
3545.00,98.87
3544.00,98.86
3543.00,98.86
3542.00,98.87
3541.00,98.87
3540.00,98.86
3539.00,98.84
3538.00,98.83
3537.00,98.83
3536.00,98.84
3535.00,98.85
3534.00,98.85
3533.00,98.84
3532.00,98.83
3531.00,98.82
3530.00,98.82
3529.00,98.83
3528.00,98.84
3527.00,98.85
3526.00,98.85
3525.00,98.85
3524.00,98.85
3523.00,98.85
3522.00,98.85
3521.00,98.84
3520.00,98.82
3519.00,98.81
3518.00,98.81
3517.00,98.83
3516.00,98.85
3515.00,98.87
3514.00,98.88
3513.00,98.87
3512.00,98.87
3511.00,98.87
3510.00,98.86
3509.00,98.86
3508.00,98.86
3507.00,98.86
3506.00,98.85
3505.00,98.84
3504.00,98.84
3503.00,98.84
3502.00,98.84
3501.00,98.85
3500.00,98.85
3499.00,98.85
3498.00,98.86
3497.00,98.87
3496.00,98.89
3495.00,98.91
3494.00,98.91
3493.00,98.91
3492.00,98.89
3491.00,98.88
3490.00,98.87
3489.00,98.85
3488.00,98.84
3487.00,98.84
3486.00,98.85
3485.00,98.88
3484.00,98.92
3483.00,98.93
3482.00,98.93
3481.00,98.90
3480.00,98.86
3479.00,98.83
3478.00,98.81
3477.00,98.80
3476.00,98.80
3475.00,98.82
3474.00,98.83
3473.00,98.85
3472.00,98.86
3471.00,98.86
3470.00,98.85
3469.00,98.84
3468.00,98.82
3467.00,98.79
3466.00,98.78
3465.00,98.77
3464.00,98.78
3463.00,98.81
3462.00,98.84
3461.00,98.88
3460.00,98.90
3459.00,98.90
3458.00,98.89
