Created as New Dataset,137. Polyester Du Pont
cm-1,%T
4000.00,100.75
3999.00,100.76
3998.00,100.77
3997.00,100.77
3996.00,100.75
3995.00,100.73
3994.00,100.71
3993.00,100.70
3992.00,100.71
3991.00,100.73
3990.00,100.75
3989.00,100.76
3988.00,100.75
3987.00,100.74
3986.00,100.72
3985.00,100.70
3984.00,100.70
3983.00,100.71
3982.00,100.73
3981.00,100.74
3980.00,100.73
3979.00,100.72
3978.00,100.71
3977.00,100.71
3976.00,100.73
3975.00,100.75
3974.00,100.76
3973.00,100.78
3972.00,100.79
3971.00,100.80
3970.00,100.80
3969.00,100.81
3968.00,100.81
3967.00,100.80
3966.00,100.78
3965.00,100.75
3964.00,100.73
3963.00,100.71
3962.00,100.71
3961.00,100.71
3960.00,100.72
3959.00,100.73
3958.00,100.74
3957.00,100.75
3956.00,100.75
3955.00,100.75
3954.00,100.74
3953.00,100.75
3952.00,100.76
3951.00,100.77
3950.00,100.77
3949.00,100.75
3948.00,100.73
3947.00,100.71
3946.00,100.70
3945.00,100.69
3944.00,100.70
3943.00,100.71
3942.00,100.72
3941.00,100.73
3940.00,100.73
3939.00,100.72
3938.00,100.73
3937.00,100.73
3936.00,100.73
3935.00,100.71
3934.00,100.70
3933.00,100.68
3932.00,100.68
3931.00,100.68
3930.00,100.68
3929.00,100.68
3928.00,100.68
3927.00,100.68
3926.00,100.70
3925.00,100.73
3924.00,100.75
3923.00,100.74
3922.00,100.72
3921.00,100.71
3920.00,100.70
3919.00,100.69
3918.00,100.68
3917.00,100.67
3916.00,100.67
3915.00,100.67
3914.00,100.67
3913.00,100.68
3912.00,100.70
3911.00,100.71
3910.00,100.72
3909.00,100.71
3908.00,100.70
3907.00,100.68
3906.00,100.68
3905.00,100.69
3904.00,100.69
3903.00,100.66
3902.00,100.63
3901.00,100.60
3900.00,100.60
3899.00,100.61
3898.00,100.63
3897.00,100.64
3896.00,100.65
3895.00,100.67
3894.00,100.68
3893.00,100.69
3892.00,100.70
