Created as New Dataset,123 Philips
cm-1,%T
4000.00,100.70
3999.00,100.67
3998.00,100.65
3997.00,100.66
3996.00,100.67
3995.00,100.69
3994.00,100.70
3993.00,100.70
3992.00,100.68
3991.00,100.65
3990.00,100.62
3989.00,100.60
3988.00,100.60
3987.00,100.60
3986.00,100.62
3985.00,100.64
3984.00,100.66
3983.00,100.68
3982.00,100.69
3981.00,100.70
3980.00,100.70
3979.00,100.70
3978.00,100.69
3977.00,100.68
3976.00,100.66
3975.00,100.65
3974.00,100.64
3973.00,100.64
3972.00,100.64
3971.00,100.65
3970.00,100.65
3969.00,100.64
3968.00,100.63
3967.00,100.61
3966.00,100.60
3965.00,100.59
3964.00,100.59
3963.00,100.60
3962.00,100.61
3961.00,100.63
3960.00,100.65
3959.00,100.67
3958.00,100.70
3957.00,100.71
3956.00,100.72
3955.00,100.73
3954.00,100.71
3953.00,100.69
3952.00,100.67
3951.00,100.66
3950.00,100.66
3949.00,100.67
3948.00,100.68
3947.00,100.67
3946.00,100.67
3945.00,100.66
3944.00,100.66
3943.00,100.67
3942.00,100.66
3941.00,100.65
3940.00,100.64
3939.00,100.63
3938.00,100.64
3937.00,100.65
3936.00,100.66
3935.00,100.67
3934.00,100.66
3933.00,100.64
3932.00,100.61
3931.00,100.59
3930.00,100.59
3929.00,100.61
3928.00,100.63
3927.00,100.64
3926.00,100.64
3925.00,100.64
3924.00,100.64
3923.00,100.64
3922.00,100.64
3921.00,100.64
3920.00,100.65
3919.00,100.65
3918.00,100.64
3917.00,100.62
3916.00,100.60
3915.00,100.59
3914.00,100.59
3913.00,100.61
3912.00,100.62
3911.00,100.63
3910.00,100.64
3909.00,100.64
3908.00,100.64
3907.00,100.62
3906.00,100.62
3905.00,100.62
3904.00,100.63
3903.00,100.64
3902.00,100.64
3901.00,100.64
3900.00,100.64
3899.00,100.65
3898.00,100.64
3897.00,100.62
3896.00,100.60
3895.00,100.58
3894.00,100.57
3893.00,100.57
3892.00,100.58
3891.00,100.59
3890.00,100.58
3889.00,100.57
3888.00,100.57
3887.00,100.59
3886.00,100.61
3885.00,100.60
3884.00,100.56
3883.00,100.52
3882.00,100.52
3881.00,100.54
3880.00,100.57
3879.00,100.58
3878.00,100.57
3877.00,100.54
3876.00,100.51
3875.00,100.48
3874.00,100.44
3873.00,100.40
3872.00,100.39
3871.00,100.43
3870.00,100.49
3869.00,100.53
3868.00,100.53
3867.00,100.50
3866.00,100.49
3865.00,100.49
3864.00,100.49
3863.00,100.48
3862.00,100.48
3861.00,100.49
3860.00,100.51
3859.00,100.54
3858.00,100.56
3857.00,100.57
3856.00,100.57
3855.00,100.58
3854.00,100.60
3853.00,100.60
3852.00,100.57
3851.00,100.54
3850.00,100.52
3849.00,100.52
3848.00,100.51
3847.00,100.49
3846.00,100.47
3845.00,100.47
3844.00,100.48
3843.00,100.49
3842.00,100.51
3841.00,100.52
3840.00,100.52
3839.00,100.51
3838.00,100.48
3837.00,100.45
3836.00,100.43
3835.00,100.42
3834.00,100.42
3833.00,100.44
3832.00,100.47
3831.00,100.50
3830.00,100.51
3829.00,100.50
3828.00,100.49
3827.00,100.48
3826.00,100.47
3825.00,100.45
3824.00,100.41
3823.00,100.39
3822.00,100.40
3821.00,100.42
3820.00,100.43
3819.00,100.43
3818.00,100.43
3817.00,100.45
3816.00,100.47
3815.00,100.48
3814.00,100.48
3813.00,100.46
3812.00,100.45
3811.00,100.44
3810.00,100.43
3809.00,100.44
3808.00,100.47
3807.00,100.49
3806.00,100.47
3805.00,100.42
3804.00,100.39
3803.00,100.39
