Created as New Dataset,71 Waxman
cm-1,%T
3648.00,99.35
3647.00,99.34
3646.00,99.34
3645.00,99.34
3644.00,99.35
3643.00,99.38
3642.00,99.40
3641.00,99.40
3640.00,99.39
3639.00,99.36
3638.00,99.34
3637.00,99.32
3636.00,99.31
3635.00,99.32
3634.00,99.33
3633.00,99.33
3632.00,99.33
3631.00,99.32
3630.00,99.29
3629.00,99.25
3628.00,99.23
3627.00,99.24
3626.00,99.27
3625.00,99.31
3624.00,99.34
3623.00,99.34
3622.00,99.32
3621.00,99.31
3620.00,99.31
3619.00,99.33
3618.00,99.34
3617.00,99.35
3616.00,99.34
3615.00,99.34
3614.00,99.36
3613.00,99.38
3612.00,99.40
3611.00,99.39
3610.00,99.37
3609.00,99.34
3608.00,99.32
3607.00,99.30
3606.00,99.29
3605.00,99.30
3604.00,99.31
3603.00,99.33
3602.00,99.35
3601.00,99.36
3600.00,99.38
3599.00,99.39
3598.00,99.39
3597.00,99.38
3596.00,99.37
3595.00,99.36
3594.00,99.35
3593.00,99.35
3592.00,99.35
3591.00,99.35
3590.00,99.33
3589.00,99.32
3588.00,99.32
3587.00,99.33
3586.00,99.36
3585.00,99.39
3584.00,99.40
3583.00,99.39
3582.00,99.37
3581.00,99.37
3580.00,99.38
3579.00,99.39
3578.00,99.39
3577.00,99.36
3576.00,99.33
3575.00,99.31
3574.00,99.31
3573.00,99.31
3572.00,99.32
3571.00,99.32
3570.00,99.31
3569.00,99.29
3568.00,99.27
3567.00,99.24
3566.00,99.22
3565.00,99.22
3564.00,99.23
3563.00,99.26
3562.00,99.29
3561.00,99.32
3560.00,99.34
3559.00,99.35
3558.00,99.36
3557.00,99.36
3556.00,99.35
3555.00,99.35
3554.00,99.35
3553.00,99.36
3552.00,99.38
3551.00,99.40
3550.00,99.40
3549.00,99.38
3548.00,99.35
3547.00,99.30
3546.00,99.27
3545.00,99.24
3544.00,99.23
3543.00,99.22
3542.00,99.22
3541.00,99.23
3540.00,99.26
3539.00,99.30
3538.00,99.33
3537.00,99.36
3536.00,99.38
3535.00,99.39
3534.00,99.39
3533.00,99.37
3532.00,99.33
3531.00,99.29
3530.00,99.26
3529.00,99.27
3528.00,99.28
3527.00,99.28
3526.00,99.28
3525.00,99.27
3524.00,99.27
3523.00,99.26
3522.00,99.26
3521.00,99.27
3520.00,99.29
3519.00,99.30
3518.00,99.30
3517.00,99.31
3516.00,99.31
3515.00,99.32
3514.00,99.33
3513.00,99.34
3512.00,99.35
3511.00,99.34
3510.00,99.33
3509.00,99.30
3508.00,99.29
3507.00,99.28
3506.00,99.27
3505.00,99.26
3504.00,99.24
3503.00,99.23
3502.00,99.23
3501.00,99.25
3500.00,99.28
3499.00,99.29
3498.00,99.29
3497.00,99.27
3496.00,99.25
3495.00,99.23
3494.00,99.22
3493.00,99.24
3492.00,99.25
3491.00,99.27
3490.00,99.27
3489.00,99.27
3488.00,99.27
3487.00,99.27
3486.00,99.27
3485.00,99.28
3484.00,99.28
3483.00,99.28
3482.00,99.27
3481.00,99.27
3480.00,99.27
3479.00,99.28
3478.00,99.28
3477.00,99.28
3476.00,99.29
3475.00,99.30
3474.00,99.31
3473.00,99.32
3472.00,99.32
3471.00,99.31
3470.00,99.29
3469.00,99.28
3468.00,99.27
3467.00,99.26
3466.00,99.26
3465.00,99.27
3464.00,99.29
3463.00,99.31
3462.00,99.33
3461.00,99.34
3460.00,99.33
3459.00,99.31
3458.00,99.29
3457.00,99.27
3456.00,99.25
3455.00,99.26
3454.00,99.27
3453.00,99.28
3452.00,99.28
3451.00,99.27
3450.00,99.27
3449.00,99.28
3448.00,99.30
3447.00,99.31
3446.00,99.31
3445.00,99.31
3444.00,99.31
3443.00,99.33
3442.00,99.35
3441.00,99.36
3440.00,99.35
3439.00,99.32
3438.00,99.28
3437.00,99.24
3436.00,99.22
3435.00,99.22
3434.00,99.23
3433.00,99.25
3432.00,99.28
3431.00,99.31
3430.00,99.32
3429.00,99.31
3428.00,99.30
3427.00,99.28
3426.00,99.27
3425.00,99.27
3424.00,99.26
3423.00,99.26
3422.00,99.27
3421.00,99.28
3420.00,99.28
3419.00,99.28
3418.00,99.29
3417.00,99.30
3416.00,99.31
3415.00,99.32
3414.00,99.31
3413.00,99.29
3412.00,99.27
3411.00,99.25
3410.00,99.25
3409.00,99.25
3408.00,99.26
3407.00,99.28
3406.00,99.29
3405.00,99.28
3404.00,99.27
3403.00,99.25
3402.00,99.25
3401.00,99.25
3400.00,99.25
3399.00,99.26
3398.00,99.27
3397.00,99.29
3396.00,99.31
3395.00,99.33
3394.00,99.33
3393.00,99.32
3392.00,99.31
3391.00,99.30
3390.00,99.28
3389.00,99.26
3388.00,99.24
3387.00,99.24
3386.00,99.23
3385.00,99.23
3384.00,99.23
3383.00,99.23
3382.00,99.24
3381.00,99.24
3380.00,99.25
3379.00,99.25
3378.00,99.26
3377.00,99.27
3376.00,99.28
3375.00,99.29
3374.00,99.31
3373.00,99.32
3372.00,99.33
3371.00,99.32
3370.00,99.30
3369.00,99.27
3368.00,99.25
3367.00,99.24
3366.00,99.24
3365.00,99.24
3364.00,99.24
3363.00,99.25
3362.00,99.25
3361.00,99.25
3360.00,99.25
3359.00,99.27
3358.00,99.29
3357.00,99.30
3356.00,99.31
3355.00,99.30
3354.00,99.29
3353.00,99.29
3352.00,99.29
3351.00,99.29
3350.00,99.30
3349.00,99.31
3348.00,99.33
3347.00,99.35
3346.00,99.36
3345.00,99.36
3344.00,99.33
3343.00,99.30
3342.00,99.28
3341.00,99.27
3340.00,99.27
3339.00,99.26
3338.00,99.26
3337.00,99.26
3336.00,99.26
3335.00,99.26
3334.00,99.25
3333.00,99.25
3332.00,99.25
3331.00,99.25
3330.00,99.26
3329.00,99.27
3328.00,99.26
3327.00,99.24
3326.00,99.24
3325.00,99.25
3324.00,99.27
3323.00,99.29
3322.00,99.29
3321.00,99.30
3320.00,99.30
3319.00,99.29
3318.00,99.29
3317.00,99.28
3316.00,99.27
3315.00,99.26
3314.00,99.25
3313.00,99.24
3312.00,99.24
3311.00,99.23
3310.00,99.23
3309.00,99.25
3308.00,99.28
3307.00,99.31
3306.00,99.32
3305.00,99.31
3304.00,99.30
3303.00,99.29
3302.00,99.27
3301.00,99.25
3300.00,99.23
3299.00,99.22
3298.00,99.22
3297.00,99.22
3296.00,99.22
3295.00,99.23
3294.00,99.23
3293.00,99.23
3292.00,99.23
3291.00,99.23
3290.00,99.23
3289.00,99.24
3288.00,99.24
3287.00,99.25
3286.00,99.25
3285.00,99.25
3284.00,99.25
3283.00,99.24
3282.00,99.25
3281.00,99.25
3280.00,99.25
3279.00,99.23
3278.00,99.21
3277.00,99.20
3276.00,99.19
3275.00,99.19
3274.00,99.20
3273.00,99.20
3272.00,99.20
3271.00,99.20
3270.00,99.19
3269.00,99.20
3268.00,99.21
3267.00,99.22
3266.00,99.22
3265.00,99.21
3264.00,99.20
3263.00,99.21
3262.00,99.22
3261.00,99.25
3260.00,99.27
3259.00,99.28
3258.00,99.28
3257.00,99.27
3256.00,99.25
3255.00,99.24
3254.00,99.23
3253.00,99.23
3252.00,99.22
3251.00,99.22
3250.00,99.21
3249.00,99.21
3248.00,99.21
3247.00,99.21
3246.00,99.22
3245.00,99.22
3244.00,99.22
3243.00,99.23
3242.00,99.25
3241.00,99.27
3240.00,99.28
3239.00,99.28
3238.00,99.27
3237.00,99.26
3236.00,99.24
3235.00,99.23
3234.00,99.23
3233.00,99.23
3232.00,99.24
3231.00,99.25
3230.00,99.25
3229.00,99.25
3228.00,99.24
3227.00,99.23
3226.00,99.22
3225.00,99.20
3224.00,99.19
3223.00,99.20
3222.00,99.22
3221.00,99.24
3220.00,99.25
3219.00,99.25
3218.00,99.24
3217.00,99.24
3216.00,99.23
3215.00,99.22
3214.00,99.21
3213.00,99.21
3212.00,99.22
3211.00,99.23
3210.00,99.24
3209.00,99.24
3208.00,99.24
3207.00,99.24
3206.00,99.25
3205.00,99.26
3204.00,99.26
3203.00,99.25
3202.00,99.24
3201.00,99.24
3200.00,99.23
3199.00,99.23
3198.00,99.22
3197.00,99.21
3196.00,99.21
3195.00,99.21
3194.00,99.20
3193.00,99.20
3192.00,99.20
3191.00,99.21
3190.00,99.22
3189.00,99.23
3188.00,99.23
3187.00,99.22
3186.00,99.21
3185.00,99.21
3184.00,99.22
3183.00,99.24
3182.00,99.26
3181.00,99.26
3180.00,99.25
3179.00,99.23
3178.00,99.21
3177.00,99.20
3176.00,99.20
3175.00,99.20
3174.00,99.21
3173.00,99.22
3172.00,99.22
3171.00,99.22
3170.00,99.21
3169.00,99.21
3168.00,99.21
3167.00,99.21
3166.00,99.22
3165.00,99.21
3164.00,99.20
3163.00,99.20
3162.00,99.21
3161.00,99.21
3160.00,99.22
3159.00,99.24
3158.00,99.25
3157.00,99.26
3156.00,99.28
3155.00,99.28
3154.00,99.27
3153.00,99.25
3152.00,99.22
3151.00,99.21
3150.00,99.20
3149.00,99.21
3148.00,99.21
3147.00,99.22
3146.00,99.23
3145.00,99.24
3144.00,99.24
3143.00,99.25
3142.00,99.26
3141.00,99.27
3140.00,99.27
3139.00,99.27
3138.00,99.26
3137.00,99.26
3136.00,99.25
3135.00,99.23
3134.00,99.21
3133.00,99.19
3132.00,99.19
3131.00,99.19
3130.00,99.20
3129.00,99.20
3128.00,99.19
3127.00,99.18
3126.00,99.19
3125.00,99.21
3124.00,99.24
3123.00,99.27
