Created as New Dataset,6.1 Cotton, cord
cm-1,%T
3648.00,99.55
3647.00,99.57
3646.00,99.61
3645.00,99.65
3644.00,99.68
3643.00,99.68
3642.00,99.67
3641.00,99.64
3640.00,99.61
3639.00,99.59
3638.00,99.57
3637.00,99.56
3636.00,99.55
3635.00,99.55
3634.00,99.55
3633.00,99.55
3632.00,99.55
3631.00,99.55
3630.00,99.54
3629.00,99.53
3628.00,99.51
3627.00,99.50
3626.00,99.49
3625.00,99.49
3624.00,99.48
3623.00,99.48
3622.00,99.47
3621.00,99.47
3620.00,99.46
3619.00,99.45
3618.00,99.44
3617.00,99.44
3616.00,99.44
3615.00,99.44
3614.00,99.43
3613.00,99.41
3612.00,99.40
3611.00,99.39
3610.00,99.39
3609.00,99.38
3608.00,99.37
3607.00,99.35
3606.00,99.34
3605.00,99.35
3604.00,99.36
3603.00,99.37
3602.00,99.38
3601.00,99.37
3600.00,99.36
3599.00,99.36
3598.00,99.35
3597.00,99.35
3596.00,99.33
3595.00,99.31
3594.00,99.30
3593.00,99.28
3592.00,99.26
3591.00,99.25
3590.00,99.23
3589.00,99.22
3588.00,99.22
3587.00,99.21
3586.00,99.20
3585.00,99.19
3584.00,99.20
3583.00,99.21
3582.00,99.22
3581.00,99.23
3580.00,99.23
3579.00,99.21
3578.00,99.19
3577.00,99.17
3576.00,99.16
3575.00,99.14
3574.00,99.12
3573.00,99.09
3572.00,99.06
3571.00,99.03
3570.00,99.02
3569.00,99.01
3568.00,99.02
3567.00,99.02
3566.00,99.02
3565.00,99.01
3564.00,99.00
3563.00,98.98
3562.00,98.98
3561.00,98.97
3560.00,98.96
3559.00,98.95
3558.00,98.94
3557.00,98.94
3556.00,98.94
3555.00,98.94
3554.00,98.93
3553.00,98.92
3552.00,98.92
3551.00,98.91
3550.00,98.89
3549.00,98.87
3548.00,98.84
3547.00,98.81
3546.00,98.79
3545.00,98.77
3544.00,98.77
3543.00,98.77
3542.00,98.77
3541.00,98.77
3540.00,98.77
3539.00,98.75
3538.00,98.72
3537.00,98.71
3536.00,98.70
3535.00,98.70
3534.00,98.70
3533.00,98.68
3532.00,98.66
3531.00,98.63
3530.00,98.62
3529.00,98.61
3528.00,98.59
3527.00,98.58
3526.00,98.56
3525.00,98.57
3524.00,98.58
3523.00,98.59
3522.00,98.59
3521.00,98.57
3520.00,98.55
3519.00,98.54
3518.00,98.52
3517.00,98.50
3516.00,98.48
3515.00,98.45
3514.00,98.44
3513.00,98.43
3512.00,98.41
3511.00,98.40
3510.00,98.39
3509.00,98.38
3508.00,98.36
3507.00,98.35
3506.00,98.33
3505.00,98.32
3504.00,98.30
3503.00,98.29
3502.00,98.28
3501.00,98.27
3500.00,98.25
3499.00,98.23
3498.00,98.21
3497.00,98.19
3496.00,98.18
3495.00,98.17
3494.00,98.16
3493.00,98.16
3492.00,98.16
3491.00,98.15
3490.00,98.14
3489.00,98.12
3488.00,98.10
3487.00,98.09
3486.00,98.08
3485.00,98.07
3484.00,98.05
3483.00,98.02
3482.00,98.00
3481.00,97.98
3480.00,97.96
3479.00,97.95
3478.00,97.93
3477.00,97.92
3476.00,97.90
3475.00,97.88
3474.00,97.86
3473.00,97.82
3472.00,97.79
3471.00,97.77
3470.00,97.76
3469.00,97.75
3468.00,97.74
3467.00,97.72
3466.00,97.70
3465.00,97.68
3464.00,97.65
3463.00,97.62
3462.00,97.60
3461.00,97.58
3460.00,97.55
3459.00,97.53
3458.00,97.50
3457.00,97.46
3456.00,97.43
3455.00,97.41
3454.00,97.40
3453.00,97.39
3452.00,97.37
3451.00,97.35
3450.00,97.33
3449.00,97.30
3448.00,97.26
3447.00,97.23
3446.00,97.21
3445.00,97.20
3444.00,97.18
3443.00,97.17
3442.00,97.15
3441.00,97.13
3440.00,97.11
3439.00,97.09
3438.00,97.07
3437.00,97.04
3436.00,97.02
3435.00,97.00
3434.00,96.97
3433.00,96.95
3432.00,96.93
3431.00,96.91
3430.00,96.90
3429.00,96.88
3428.00,96.86
3427.00,96.83
3426.00,96.80
3425.00,96.78
3424.00,96.76
3423.00,96.74
3422.00,96.72
3421.00,96.69
3420.00,96.66
3419.00,96.63
3418.00,96.60
3417.00,96.59
3416.00,96.59
3415.00,96.60
3414.00,96.60
3413.00,96.60
3412.00,96.58
3411.00,96.56
3410.00,96.53
3409.00,96.51
3408.00,96.49
3407.00,96.47
3406.00,96.45
3405.00,96.43
3404.00,96.41
3403.00,96.39
3402.00,96.37
3401.00,96.35
3400.00,96.33
3399.00,96.31
3398.00,96.29
3397.00,96.27
3396.00,96.26
3395.00,96.26
3394.00,96.26
3393.00,96.26
3392.00,96.25
3391.00,96.23
3390.00,96.21
3389.00,96.17
3388.00,96.15
3387.00,96.15
3386.00,96.15
3385.00,96.15
3384.00,96.14
3383.00,96.11
3382.00,96.08
3381.00,96.06
3380.00,96.05
3379.00,96.04
3378.00,96.02
3377.00,96.00
3376.00,95.97
3375.00,95.95
3374.00,95.93
3373.00,95.91
3372.00,95.88
3371.00,95.85
3370.00,95.83
3369.00,95.80
3368.00,95.76
3367.00,95.72
3366.00,95.69
3365.00,95.68
3364.00,95.69
3363.00,95.69
3362.00,95.69
3361.00,95.67
3360.00,95.63
3359.00,95.58
3358.00,95.53
3357.00,95.49
3356.00,95.46
3355.00,95.44
3354.00,95.42
3353.00,95.39
3352.00,95.37
3351.00,95.34
3350.00,95.30
3349.00,95.27
3348.00,95.23
3347.00,95.21
3346.00,95.18
3345.00,95.16
3344.00,95.14
3343.00,95.12
3342.00,95.11
3341.00,95.10
3340.00,95.07
3339.00,95.05
3338.00,95.03
3337.00,95.01
3336.00,94.99
3335.00,94.98
3334.00,94.98
3333.00,95.00
3332.00,95.03
3331.00,95.05
3330.00,95.06
3329.00,95.06
3328.00,95.07
3327.00,95.09
3326.00,95.11
3325.00,95.13
3324.00,95.14
3323.00,95.15
3322.00,95.15
3321.00,95.16
3320.00,95.18
3319.00,95.21
3318.00,95.22
3317.00,95.23
3316.00,95.23
3315.00,95.23
3314.00,95.25
3313.00,95.26
3312.00,95.28
3311.00,95.30
3310.00,95.30
3309.00,95.28
3308.00,95.25
3307.00,95.23
3306.00,95.22
3305.00,95.22
3304.00,95.23
3303.00,95.24
3302.00,95.23
3301.00,95.23
3300.00,95.22
3299.00,95.21
3298.00,95.20
3297.00,95.19
3296.00,95.18
3295.00,95.19
3294.00,95.20
3293.00,95.21
3292.00,95.23
3291.00,95.25
3290.00,95.27
3289.00,95.27
3288.00,95.27
3287.00,95.26
3286.00,95.24
3285.00,95.22
3284.00,95.21
3283.00,95.20
3282.00,95.21
3281.00,95.22
3280.00,95.23
3279.00,95.24
3278.00,95.24
3277.00,95.26
3276.00,95.27
3275.00,95.29
3274.00,95.31
3273.00,95.32
3272.00,95.33
3271.00,95.34
3270.00,95.35
3269.00,95.37
3268.00,95.40
3267.00,95.43
3266.00,95.45
3265.00,95.46
3264.00,95.48
3263.00,95.49
3262.00,95.51
3261.00,95.54
3260.00,95.57
3259.00,95.60
3258.00,95.62
3257.00,95.65
3256.00,95.68
3255.00,95.72
3254.00,95.74
3253.00,95.77
3252.00,95.79
3251.00,95.83
3250.00,95.87
3249.00,95.90
3248.00,95.92
3247.00,95.94
3246.00,95.95
3245.00,95.95
3244.00,95.97
3243.00,95.98
3242.00,96.01
3241.00,96.04
3240.00,96.07
3239.00,96.09
3238.00,96.11
3237.00,96.12
3236.00,96.14
3235.00,96.16
3234.00,96.19
3233.00,96.21
3232.00,96.23
3231.00,96.23
3230.00,96.24
3229.00,96.25
3228.00,96.27
3227.00,96.29
3226.00,96.31
3225.00,96.33
3224.00,96.36
3223.00,96.38
3222.00,96.40
3221.00,96.43
3220.00,96.45
3219.00,96.47
3218.00,96.48
3217.00,96.50
3216.00,96.50
3215.00,96.50
3214.00,96.50
3213.00,96.51
3212.00,96.53
3211.00,96.55
3210.00,96.59
3209.00,96.62
3208.00,96.64
3207.00,96.65
3206.00,96.66
3205.00,96.67
3204.00,96.69
3203.00,96.71
3202.00,96.74
3201.00,96.77
3200.00,96.79
3199.00,96.81
3198.00,96.82
3197.00,96.82
3196.00,96.81
3195.00,96.82
3194.00,96.83
3193.00,96.85
3192.00,96.87
3191.00,96.89
3190.00,96.91
3189.00,96.93
3188.00,96.95
3187.00,96.97
3186.00,96.98
3185.00,96.99
3184.00,96.99
3183.00,96.99
3182.00,97.00
3181.00,97.01
3180.00,97.03
3179.00,97.05
3178.00,97.07
3177.00,97.09
3176.00,97.10
3175.00,97.11
3174.00,97.12
3173.00,97.13
3172.00,97.15
3171.00,97.16
3170.00,97.17
3169.00,97.18
3168.00,97.18
3167.00,97.19
3166.00,97.21
3165.00,97.23
3164.00,97.25
3163.00,97.27
3162.00,97.30
3161.00,97.31
3160.00,97.32
3159.00,97.31
3158.00,97.31
3157.00,97.31
3156.00,97.33
3155.00,97.35
3154.00,97.39
3153.00,97.42
3152.00,97.45
3151.00,97.47
3150.00,97.48
3149.00,97.48
3148.00,97.48
3147.00,97.49
3146.00,97.50
3145.00,97.51
3144.00,97.52
3143.00,97.52
3142.00,97.53
3141.00,97.54
3140.00,97.54
3139.00,97.55
3138.00,97.55
3137.00,97.55
3136.00,97.55
3135.00,97.56
3134.00,97.57
3133.00,97.58
3132.00,97.58
3131.00,97.59
3130.00,97.60
3129.00,97.62
3128.00,97.64
3127.00,97.66
3126.00,97.68
3125.00,97.69
3124.00,97.70
3123.00,97.70
3122.00,97.70
3121.00,97.69
3120.00,97.69
3119.00,97.70
3118.00,97.70
3117.00,97.71
3116.00,97.71
3115.00,97.72
3114.00,97.74
3113.00,97.76
3112.00,97.77
3111.00,97.77
3110.00,97.77
3109.00,97.77
3108.00,97.77
3107.00,97.78
3106.00,97.79
3105.00,97.80
3104.00,97.81
3103.00,97.83
3102.00,97.84
3101.00,97.85
3100.00,97.87
3099.00,97.88
3098.00,97.89
3097.00,97.90
3096.00,97.91
3095.00,97.92
3094.00,97.93
3093.00,97.94
3092.00,97.95
3091.00,97.94
3090.00,97.93
3089.00,97.93
3088.00,97.92
3087.00,97.92
3086.00,97.92
3085.00,97.93
3084.00,97.94
3083.00,97.96
3082.00,97.98
3081.00,98.00
3080.00,98.01
3079.00,98.01
3078.00,98.00
3077.00,97.99
3076.00,98.00
3075.00,98.01
3074.00,98.02
3073.00,98.04
3072.00,98.05
3071.00,98.05
3070.00,98.05
3069.00,98.05
3068.00,98.05
3067.00,98.06
3066.00,98.07
3065.00,98.08
3064.00,98.08
3063.00,98.08
3062.00,98.08
3061.00,98.08
3060.00,98.09
3059.00,98.10
3058.00,98.10
3057.00,98.10
3056.00,98.10
3055.00,98.11
3054.00,98.13
3053.00,98.14
3052.00,98.14
3051.00,98.14
3050.00,98.14
3049.00,98.15
3048.00,98.16
3047.00,98.17
3046.00,98.18
3045.00,98.20
3044.00,98.22
3043.00,98.23
3042.00,98.25
3041.00,98.26
3040.00,98.28
3039.00,98.30
3038.00,98.32
3037.00,98.33
3036.00,98.34
3035.00,98.34
3034.00,98.34
3033.00,98.34
3032.00,98.33
3031.00,98.33
3030.00,98.32
3029.00,98.31
3028.00,98.31
3027.00,98.31
3026.00,98.32
3025.00,98.33
3024.00,98.33
3023.00,98.33
3022.00,98.33
3021.00,98.32
3020.00,98.31
3019.00,98.30
3018.00,98.29
3017.00,98.29
3016.00,98.29
3015.00,98.28
3014.00,98.28
3013.00,98.27
3012.00,98.27
3011.00,98.26
3010.00,98.25
3009.00,98.25
3008.00,98.24
3007.00,98.23
3006.00,98.23
3005.00,98.23
3004.00,98.24
3003.00,98.25
3002.00,98.26
3001.00,98.26
3000.00,98.27
2999.00,98.27
2998.00,98.27
2997.00,98.26
2996.00,98.25
2995.00,98.25
2994.00,98.24
2993.00,98.24
2992.00,98.23
2991.00,98.22
2990.00,98.21
2989.00,98.20
2988.00,98.19
2987.00,98.18
2986.00,98.18
2985.00,98.17
2984.00,98.15
2983.00,98.13
2982.00,98.11
2981.00,98.08
2980.00,98.06
2979.00,98.03
2978.00,98.01
2977.00,97.98
2976.00,97.94
2975.00,97.89
2974.00,97.84
2973.00,97.79
2972.00,97.75
2971.00,97.71
2970.00,97.69
2969.00,97.68
2968.00,97.69
2967.00,97.69
2966.00,97.68
2965.00,97.69
2964.00,97.69
2963.00,97.71
2962.00,97.74
2961.00,97.76
2960.00,97.77
2959.00,97.77
2958.00,97.76
2957.00,97.74
2956.00,97.72
2955.00,97.71
2954.00,97.71
2953.00,97.71
2952.00,97.71
2951.00,97.71
2950.00,97.70
2949.00,97.71
2948.00,97.71
2947.00,97.70
2946.00,97.69
2945.00,97.68
2944.00,97.67
2943.00,97.67
2942.00,97.67
2941.00,97.68
2940.00,97.68
2939.00,97.68
2938.00,97.67
2937.00,97.66
2936.00,97.65
2935.00,97.64
2934.00,97.63
2933.00,97.61
2932.00,97.58
