Created as New Dataset,14.1 Red Wool Suffolk sheep
cm-1,%T
3649.00,99.28
3648.00,99.19
3647.00,99.13
3646.00,99.10
3645.00,99.08
3644.00,99.08
3643.00,99.07
3642.00,99.05
3641.00,99.00
3640.00,98.95
3639.00,98.90
3638.00,98.85
3637.00,98.79
3636.00,98.73
3635.00,98.69
3634.00,98.67
3633.00,98.64
3632.00,98.59
3631.00,98.53
3630.00,98.47
3629.00,98.41
3628.00,98.34
3627.00,98.28
3626.00,98.24
3625.00,98.22
3624.00,98.20
3623.00,98.15
3622.00,98.07
3621.00,97.97
3620.00,97.88
3619.00,97.80
3618.00,97.73
3617.00,97.65
3616.00,97.57
3615.00,97.51
3614.00,97.49
3613.00,97.49
3612.00,97.48
3611.00,97.42
3610.00,97.35
3609.00,97.28
3608.00,97.24
3607.00,97.22
3606.00,97.20
3605.00,97.18
3604.00,97.14
3603.00,97.08
3602.00,97.02
3601.00,96.97
3600.00,96.91
3599.00,96.85
3598.00,96.80
3597.00,96.75
3596.00,96.71
3595.00,96.66
3594.00,96.63
3593.00,96.59
3592.00,96.53
3591.00,96.44
3590.00,96.35
3589.00,96.27
3588.00,96.23
3587.00,96.19
3586.00,96.15
3585.00,96.11
3584.00,96.07
3583.00,96.02
3582.00,95.97
3581.00,95.90
3580.00,95.82
3579.00,95.76
3578.00,95.71
3577.00,95.67
3576.00,95.64
3575.00,95.61
3574.00,95.55
3573.00,95.48
3572.00,95.40
3571.00,95.32
3570.00,95.24
3569.00,95.17
3568.00,95.09
3567.00,95.02
3566.00,94.95
3565.00,94.88
3564.00,94.83
3563.00,94.79
3562.00,94.76
3561.00,94.72
3560.00,94.68
3559.00,94.62
3558.00,94.57
3557.00,94.52
3556.00,94.48
3555.00,94.44
3554.00,94.40
3553.00,94.35
3552.00,94.28
3551.00,94.21
3550.00,94.13
3549.00,94.07
3548.00,94.00
3547.00,93.95
3546.00,93.89
3545.00,93.83
3544.00,93.77
3543.00,93.72
3542.00,93.66
3541.00,93.61
3540.00,93.56
3539.00,93.51
3538.00,93.47
3537.00,93.42
3536.00,93.36
3535.00,93.30
3534.00,93.23
3533.00,93.17
3532.00,93.10
3531.00,93.02
3530.00,92.95
3529.00,92.91
3528.00,92.88
3527.00,92.85
3526.00,92.79
3525.00,92.72
3524.00,92.64
3523.00,92.58
3522.00,92.54
3521.00,92.50
3520.00,92.45
3519.00,92.41
3518.00,92.37
3517.00,92.33
3516.00,92.28
3515.00,92.22
3514.00,92.16
3513.00,92.10
3512.00,92.04
3511.00,91.99
3510.00,91.93
3509.00,91.88
3508.00,91.84
3507.00,91.79
3506.00,91.73
3505.00,91.65
3504.00,91.58
3503.00,91.52
3502.00,91.49
3501.00,91.47
3500.00,91.44
3499.00,91.39
3498.00,91.33
3497.00,91.27
3496.00,91.20
3495.00,91.13
3494.00,91.08
3493.00,91.04
3492.00,91.03
3491.00,91.01
3490.00,90.98
3489.00,90.93
3488.00,90.87
3487.00,90.81
3486.00,90.77
3485.00,90.74
3484.00,90.72
3483.00,90.68
3482.00,90.63
3481.00,90.58
3480.00,90.52
3479.00,90.48
3478.00,90.45
3477.00,90.42
3476.00,90.38
3475.00,90.33
3474.00,90.28
3473.00,90.23
3472.00,90.17
3471.00,90.10
3470.00,90.04
3469.00,89.99
3468.00,89.94
3467.00,89.90
3466.00,89.85
3465.00,89.81
3464.00,89.77
3463.00,89.74
3462.00,89.70
3461.00,89.66
3460.00,89.61
3459.00,89.58
3458.00,89.54
3457.00,89.50
3456.00,89.47
3455.00,89.44
3454.00,89.43
3453.00,89.41
3452.00,89.36
3451.00,89.29
3450.00,89.22
3449.00,89.16
3448.00,89.12
3447.00,89.08
3446.00,89.04
3445.00,88.99
3444.00,88.96
3443.00,88.93
3442.00,88.90
3441.00,88.86
3440.00,88.82
3439.00,88.78
3438.00,88.74
3437.00,88.70
3436.00,88.66
3435.00,88.62
3434.00,88.58
3433.00,88.55
3432.00,88.52
3431.00,88.49
3430.00,88.46
3429.00,88.43
3428.00,88.39
3427.00,88.34
3426.00,88.28
3425.00,88.23
3424.00,88.19
3423.00,88.16
3422.00,88.13
3421.00,88.10
3420.00,88.07
3419.00,88.03
3418.00,87.99
3417.00,87.95
3416.00,87.92
3415.00,87.90
3414.00,87.87
3413.00,87.84
3412.00,87.79
3411.00,87.75
3410.00,87.70
3409.00,87.66
3408.00,87.63
3407.00,87.61
3406.00,87.58
3405.00,87.55
3404.00,87.51
3403.00,87.47
3402.00,87.43
3401.00,87.38
3400.00,87.34
3399.00,87.30
3398.00,87.28
3397.00,87.27
3396.00,87.25
3395.00,87.23
3394.00,87.20
3393.00,87.17
3392.00,87.13
3391.00,87.10
3390.00,87.08
3389.00,87.07
3388.00,87.06
3387.00,87.05
3386.00,87.03
3385.00,87.00
3384.00,86.97
3383.00,86.95
3382.00,86.93
3381.00,86.91
3380.00,86.90
3379.00,86.88
3378.00,86.85
3377.00,86.82
3376.00,86.78
3375.00,86.74
3374.00,86.70
3373.00,86.66
3372.00,86.64
3371.00,86.62
3370.00,86.62
3369.00,86.61
3368.00,86.60
3367.00,86.59
3366.00,86.57
3365.00,86.54
3364.00,86.50
3363.00,86.46
3362.00,86.45
3361.00,86.45
3360.00,86.46
3359.00,86.44
3358.00,86.41
3357.00,86.37
3356.00,86.34
3355.00,86.32
3354.00,86.32
3353.00,86.31
3352.00,86.30
3351.00,86.28
3350.00,86.25
3349.00,86.22
3348.00,86.20
3347.00,86.17
3346.00,86.14
3345.00,86.09
3344.00,86.05
3343.00,86.02
3342.00,86.02
3341.00,86.01
3340.00,86.00
3339.00,85.97
3338.00,85.93
3337.00,85.89
3336.00,85.85
3335.00,85.81
3334.00,85.79
3333.00,85.77
3332.00,85.76
3331.00,85.76
3330.00,85.76
3329.00,85.75
3328.00,85.72
3327.00,85.68
3326.00,85.65
3325.00,85.62
3324.00,85.60
3323.00,85.58
3322.00,85.55
3321.00,85.51
3320.00,85.47
3319.00,85.44
3318.00,85.40
3317.00,85.37
3316.00,85.34
3315.00,85.32
3314.00,85.30
3313.00,85.27
3312.00,85.24
3311.00,85.21
3310.00,85.18
3309.00,85.16
3308.00,85.14
3307.00,85.12
3306.00,85.10
3305.00,85.07
3304.00,85.05
3303.00,85.03
3302.00,85.01
3301.00,84.98
3300.00,84.95
3299.00,84.93
3298.00,84.90
3297.00,84.88
3296.00,84.86
3295.00,84.84
3294.00,84.81
3293.00,84.78
3292.00,84.76
3291.00,84.75
3290.00,84.76
3289.00,84.76
3288.00,84.74
3287.00,84.72
3286.00,84.69
3285.00,84.67
3284.00,84.65
3283.00,84.63
3282.00,84.60
3281.00,84.57
3280.00,84.56
3279.00,84.57
3278.00,84.57
3277.00,84.57
3276.00,84.57
3275.00,84.57
3274.00,84.60
3273.00,84.62
3272.00,84.66
3271.00,84.69
3270.00,84.73
3269.00,84.76
3268.00,84.78
3267.00,84.80
3266.00,84.81
3265.00,84.82
3264.00,84.83
3263.00,84.86
3262.00,84.89
3261.00,84.93
3260.00,84.98
3259.00,85.03
3258.00,85.07
3257.00,85.09
3256.00,85.10
3255.00,85.13
3254.00,85.17
3253.00,85.22
3252.00,85.27
3251.00,85.31
3250.00,85.35
3249.00,85.38
3248.00,85.41
3247.00,85.44
3246.00,85.47
3245.00,85.50
3244.00,85.55
3243.00,85.60
3242.00,85.65
3241.00,85.69
3240.00,85.72
3239.00,85.75
3238.00,85.78
3237.00,85.82
3236.00,85.88
3235.00,85.92
3234.00,85.96
3233.00,85.99
3232.00,86.02
3231.00,86.05
3230.00,86.08
3229.00,86.10
3228.00,86.12
3227.00,86.14
3226.00,86.17
3225.00,86.20
3224.00,86.25
3223.00,86.31
3222.00,86.37
3221.00,86.41
3220.00,86.43
3219.00,86.46
3218.00,86.48
3217.00,86.51
3216.00,86.56
3215.00,86.60
3214.00,86.64
3213.00,86.68
3212.00,86.71
3211.00,86.74
3210.00,86.76
3209.00,86.79
3208.00,86.81
3207.00,86.83
3206.00,86.87
3205.00,86.90
3204.00,86.94
3203.00,86.98
3202.00,87.02
3201.00,87.06
3200.00,87.10
3199.00,87.15
3198.00,87.20
3197.00,87.25
3196.00,87.30
3195.00,87.35
3194.00,87.40
3193.00,87.44
3192.00,87.48
3191.00,87.52
3190.00,87.56
3189.00,87.61
3188.00,87.65
3187.00,87.71
3186.00,87.77
3185.00,87.85
3184.00,87.92
3183.00,87.98
3182.00,88.04
3181.00,88.08
3180.00,88.11
3179.00,88.14
3178.00,88.17
3177.00,88.21
3176.00,88.26
3175.00,88.32
3174.00,88.40
3173.00,88.47
3172.00,88.55
3171.00,88.62
3170.00,88.68
3169.00,88.72
3168.00,88.76
3167.00,88.80
3166.00,88.84
3165.00,88.89
3164.00,88.94
3163.00,88.99
3162.00,89.04
3161.00,89.10
3160.00,89.15
3159.00,89.21
3158.00,89.26
3157.00,89.30
3156.00,89.35
3155.00,89.40
3154.00,89.47
3153.00,89.54
3152.00,89.60
3151.00,89.65
3150.00,89.69
3149.00,89.74
3148.00,89.79
3147.00,89.84
3146.00,89.90
3145.00,89.94
3144.00,89.98
3143.00,90.01
3142.00,90.05
3141.00,90.09
3140.00,90.12
3139.00,90.15
3138.00,90.18
3137.00,90.23
3136.00,90.29
3135.00,90.34
3134.00,90.38
3133.00,90.43
3132.00,90.48
3131.00,90.53
3130.00,90.58
3129.00,90.62
3128.00,90.66
3127.00,90.70
3126.00,90.75
3125.00,90.80
3124.00,90.85
3123.00,90.87
3122.00,90.90
3121.00,90.92
3120.00,90.96
3119.00,91.00
3118.00,91.04
3117.00,91.08
3116.00,91.11
3115.00,91.13
3114.00,91.15
3113.00,91.17
3112.00,91.21
3111.00,91.25
3110.00,91.28
3109.00,91.31
3108.00,91.32
3107.00,91.34
3106.00,91.35
3105.00,91.35
3104.00,91.35
3103.00,91.35
3102.00,91.35
3101.00,91.37
3100.00,91.39
3099.00,91.40
3098.00,91.42
3097.00,91.43
3096.00,91.45
3095.00,91.47
3094.00,91.49
3093.00,91.50
3092.00,91.52
3091.00,91.53
3090.00,91.53
3089.00,91.54
3088.00,91.54
3087.00,91.55
3086.00,91.57
3085.00,91.59
3084.00,91.61
3083.00,91.62
3082.00,91.63
3081.00,91.65
3080.00,91.66
3079.00,91.68
3078.00,91.69
3077.00,91.69
3076.00,91.68
3075.00,91.68
3074.00,91.68
3073.00,91.69
3072.00,91.70
3071.00,91.71
3070.00,91.72
3069.00,91.74
3068.00,91.76
3067.00,91.78
3066.00,91.81
3065.00,91.85
3064.00,91.88
3063.00,91.91
3062.00,91.93
3061.00,91.93
3060.00,91.94
3059.00,91.95
3058.00,91.98
3057.00,92.01
3056.00,92.06
3055.00,92.11
3054.00,92.15
3053.00,92.18
3052.00,92.22
3051.00,92.25
3050.00,92.29
3049.00,92.34
3048.00,92.37
3047.00,92.41
3046.00,92.44
3045.00,92.48
3044.00,92.51
3043.00,92.56
3042.00,92.61
3041.00,92.65
3040.00,92.68
3039.00,92.71
3038.00,92.74
3037.00,92.78
3036.00,92.83
3035.00,92.89
3034.00,92.94
3033.00,92.97
3032.00,93.00
3031.00,93.03
3030.00,93.07
3029.00,93.12
3028.00,93.17
3027.00,93.22
3026.00,93.24
3025.00,93.26
3024.00,93.28
3023.00,93.32
3022.00,93.37
3021.00,93.43
3020.00,93.48
3019.00,93.51
3018.00,93.54
3017.00,93.56
3016.00,93.59
3015.00,93.62
3014.00,93.64
3013.00,93.66
3012.00,93.67
3011.00,93.68
3010.00,93.69
3009.00,93.69
3008.00,93.70
3007.00,93.71
3006.00,93.73
3005.00,93.74
3004.00,93.76
3003.00,93.77
3002.00,93.79
3001.00,93.80
3000.00,93.80
2999.00,93.79
2998.00,93.77
2997.00,93.74
2996.00,93.71
2995.00,93.68
2994.00,93.64
2993.00,93.62
2992.00,93.60
2991.00,93.57
2990.00,93.52
2989.00,93.46
2988.00,93.38
2987.00,93.30
2986.00,93.22
2985.00,93.15
2984.00,93.07
2983.00,93.00
2982.00,92.92
2981.00,92.84
2980.00,92.75
2979.00,92.67
2978.00,92.57
2977.00,92.47
2976.00,92.35
2975.00,92.22
2974.00,92.10
2973.00,91.99
2972.00,91.86
2971.00,91.73
2970.00,91.60
