Created as New Dataset,97. Du Pont (Bright Yellow)
cm-1,%T
3649.00,96.45
3648.00,96.45
3647.00,96.44
3646.00,96.43
3645.00,96.40
3644.00,96.36
3643.00,96.34
3642.00,96.32
3641.00,96.33
3640.00,96.35
3639.00,96.37
3638.00,96.40
3637.00,96.42
3636.00,96.44
3635.00,96.45
3634.00,96.45
3633.00,96.45
3632.00,96.44
3631.00,96.42
3630.00,96.39
3629.00,96.37
3628.00,96.37
3627.00,96.39
3626.00,96.40
3625.00,96.38
3624.00,96.36
3623.00,96.34
3622.00,96.33
3621.00,96.31
3620.00,96.30
3619.00,96.30
3618.00,96.32
3617.00,96.32
3616.00,96.32
3615.00,96.29
3614.00,96.26
3613.00,96.24
3612.00,96.24
3611.00,96.25
3610.00,96.25
3609.00,96.24
3608.00,96.23
3607.00,96.23
3606.00,96.25
3605.00,96.26
3604.00,96.26
3603.00,96.25
3602.00,96.25
3601.00,96.25
3600.00,96.27
3599.00,96.29
3598.00,96.29
3597.00,96.28
3596.00,96.26
3595.00,96.26
3594.00,96.28
3593.00,96.31
3592.00,96.32
3591.00,96.31
3590.00,96.28
3589.00,96.22
3588.00,96.16
3587.00,96.13
3586.00,96.11
3585.00,96.10
3584.00,96.11
3583.00,96.12
3582.00,96.13
3581.00,96.14
3580.00,96.14
3579.00,96.13
3578.00,96.13
3577.00,96.13
3576.00,96.13
3575.00,96.13
3574.00,96.13
3573.00,96.12
3572.00,96.10
3571.00,96.08
3570.00,96.07
3569.00,96.07
3568.00,96.07
3567.00,96.06
3566.00,96.05
3565.00,96.04
3564.00,96.03
3563.00,96.02
3562.00,96.02
3561.00,96.03
3560.00,96.03
3559.00,96.02
3558.00,96.00
3557.00,95.98
3556.00,95.97
3555.00,95.96
3554.00,95.95
3553.00,95.94
3552.00,95.93
3551.00,95.91
3550.00,95.90
3549.00,95.89
3548.00,95.88
3547.00,95.86
3546.00,95.85
3545.00,95.85
3544.00,95.85
3543.00,95.85
3542.00,95.84
3541.00,95.84
3540.00,95.83
3539.00,95.83
3538.00,95.83
3537.00,95.83
3536.00,95.82
3535.00,95.81
3534.00,95.81
3533.00,95.82
3532.00,95.83
3531.00,95.82
3530.00,95.80
3529.00,95.77
3528.00,95.75
3527.00,95.74
3526.00,95.72
3525.00,95.70
3524.00,95.66
3523.00,95.62
3522.00,95.60
3521.00,95.60
3520.00,95.63
3519.00,95.64
3518.00,95.65
3517.00,95.65
3516.00,95.66
3515.00,95.66
3514.00,95.65
3513.00,95.62
3512.00,95.59
3511.00,95.57
3510.00,95.57
3509.00,95.58
3508.00,95.58
3507.00,95.56
3506.00,95.53
3505.00,95.50
3504.00,95.48
3503.00,95.47
3502.00,95.48
3501.00,95.49
3500.00,95.50
3499.00,95.49
3498.00,95.47
3497.00,95.45
3496.00,95.44
3495.00,95.43
3494.00,95.43
3493.00,95.42
3492.00,95.41
3491.00,95.42
3490.00,95.42
3489.00,95.43
3488.00,95.42
3487.00,95.41
3486.00,95.39
3485.00,95.39
3484.00,95.40
3483.00,95.42
3482.00,95.44
3481.00,95.44
3480.00,95.42
3479.00,95.40
3478.00,95.38
3477.00,95.37
3476.00,95.36
3475.00,95.35
3474.00,95.34
3473.00,95.33
3472.00,95.34
3471.00,95.35
3470.00,95.35
3469.00,95.33
3468.00,95.31
3467.00,95.30
3466.00,95.30
3465.00,95.31
3464.00,95.33
3463.00,95.33
3462.00,95.32
3461.00,95.31
3460.00,95.29
3459.00,95.28
3458.00,95.28
3457.00,95.30
3456.00,95.32
3455.00,95.34
3454.00,95.34
3453.00,95.32
3452.00,95.30
3451.00,95.29
3450.00,95.29
3449.00,95.29
3448.00,95.29
3447.00,95.30
3446.00,95.31
3445.00,95.31
3444.00,95.30
3443.00,95.28
3442.00,95.26
3441.00,95.25
3440.00,95.25
3439.00,95.25
3438.00,95.25
3437.00,95.26
3436.00,95.27
3435.00,95.27
3434.00,95.26
3433.00,95.25
3432.00,95.24
3431.00,95.24
3430.00,95.23
3429.00,95.22
3428.00,95.21
3427.00,95.21
3426.00,95.23
3425.00,95.26
3424.00,95.29
3423.00,95.30
3422.00,95.29
3421.00,95.27
3420.00,95.24
3419.00,95.22
3418.00,95.20
3417.00,95.18
3416.00,95.17
3415.00,95.16
3414.00,95.15
3413.00,95.13
3412.00,95.11
3411.00,95.09
3410.00,95.09
3409.00,95.10
3408.00,95.12
3407.00,95.14
3406.00,95.15
3405.00,95.15
3404.00,95.13
3403.00,95.09
3402.00,95.05
3401.00,95.02
3400.00,95.02
3399.00,95.03
3398.00,95.06
3397.00,95.07
3396.00,95.06
3395.00,95.05
3394.00,95.05
3393.00,95.07
3392.00,95.08
3391.00,95.07
3390.00,95.04
3389.00,95.01
3388.00,94.98
3387.00,94.98
3386.00,95.00
3385.00,95.01
3384.00,95.01
3383.00,95.00
3382.00,94.97
3381.00,94.95
3380.00,94.93
3379.00,94.91
3378.00,94.89
3377.00,94.87
3376.00,94.85
3375.00,94.82
3374.00,94.79
3373.00,94.77
3372.00,94.74
3371.00,94.71
3370.00,94.69
3369.00,94.67
3368.00,94.65
3367.00,94.62
3366.00,94.59
3365.00,94.55
3364.00,94.51
3363.00,94.48
3362.00,94.45
3361.00,94.42
3360.00,94.39
3359.00,94.36
3358.00,94.33
3357.00,94.29
3356.00,94.26
3355.00,94.24
3354.00,94.21
3353.00,94.17
3352.00,94.12
3351.00,94.05
3350.00,93.99
3349.00,93.92
3348.00,93.85
3347.00,93.78
3346.00,93.70
3345.00,93.62
