Created as New Dataset,78 Nylon Allied Signal Fibers 
cm-1,%T
4000.00,99.25
3999.00,99.26
3998.00,99.29
3997.00,99.31
3996.00,99.32
3995.00,99.33
3994.00,99.32
3993.00,99.32
3992.00,99.31
3991.00,99.30
3990.00,99.29
3989.00,99.29
3988.00,99.29
3987.00,99.29
3986.00,99.30
3985.00,99.29
3984.00,99.28
3983.00,99.26
3982.00,99.25
3981.00,99.25
3980.00,99.26
3979.00,99.27
3978.00,99.28
3977.00,99.28
3976.00,99.27
3975.00,99.25
3974.00,99.24
3973.00,99.23
3972.00,99.24
3971.00,99.24
3970.00,99.24
3969.00,99.23
3968.00,99.24
3967.00,99.25
3966.00,99.27
3965.00,99.28
3964.00,99.28
3963.00,99.28
3962.00,99.28
3961.00,99.28
3960.00,99.29
3959.00,99.29
3958.00,99.30
3957.00,99.30
3956.00,99.29
3955.00,99.28
3954.00,99.26
3953.00,99.24
3952.00,99.24
3951.00,99.24
3950.00,99.26
3949.00,99.28
3948.00,99.31
3947.00,99.32
3946.00,99.31
3945.00,99.28
3944.00,99.26
3943.00,99.25
3942.00,99.26
3941.00,99.27
3940.00,99.27
3939.00,99.27
3938.00,99.26
3937.00,99.24
3936.00,99.23
3935.00,99.22
3934.00,99.23
3933.00,99.26
3932.00,99.29
3931.00,99.31
3930.00,99.31
3929.00,99.29
3928.00,99.26
3927.00,99.22
3926.00,99.19
3925.00,99.20
3924.00,99.22
3923.00,99.24
3922.00,99.26
3921.00,99.28
3920.00,99.29
3919.00,99.28
3918.00,99.26
3917.00,99.25
3916.00,99.23
3915.00,99.23
3914.00,99.22
3913.00,99.22
3912.00,99.22
3911.00,99.24
3910.00,99.26
3909.00,99.29
3908.00,99.31
3907.00,99.30
3906.00,99.27
3905.00,99.24
3904.00,99.22
3903.00,99.20
3902.00,99.17
3901.00,99.16
3900.00,99.16
3899.00,99.17
3898.00,99.17
3897.00,99.17
3896.00,99.18
3895.00,99.20
3894.00,99.22
3893.00,99.23
3892.00,99.23
3891.00,99.24
3890.00,99.24
3889.00,99.20
3888.00,99.15
3887.00,99.12
3886.00,99.14
3885.00,99.18
3884.00,99.18
3883.00,99.16
3882.00,99.15
3881.00,99.17
3880.00,99.21
3879.00,99.23
3878.00,99.22
3877.00,99.20
3876.00,99.20
3875.00,99.24
3874.00,99.28
3873.00,99.27
3872.00,99.22
3871.00,99.18
3870.00,99.19
3869.00,99.20
3868.00,99.17
3867.00,99.13
3866.00,99.14
3865.00,99.19
3864.00,99.23
3863.00,99.24
3862.00,99.23
3861.00,99.21
3860.00,99.20
3859.00,99.21
3858.00,99.21
3857.00,99.20
3856.00,99.16
3855.00,99.13
3854.00,99.12
3853.00,99.13
3852.00,99.11
3851.00,99.10
