Created as New Dataset,1 Canadian Celanese Co.
cm-1,%T
3648.00,100.10
3647.00,100.10
3646.00,100.09
3645.00,100.08
3644.00,100.05
3643.00,100.03
3642.00,100.01
3641.00,100.00
3640.00,99.99
3639.00,99.99
3638.00,99.99
3637.00,100.00
3636.00,100.00
3635.00,99.99
3634.00,99.97
3633.00,99.94
3632.00,99.92
3631.00,99.90
3630.00,99.87
3629.00,99.85
3628.00,99.85
3627.00,99.85
3626.00,99.83
3625.00,99.80
3624.00,99.80
3623.00,99.80
3622.00,99.82
3621.00,99.83
3620.00,99.85
3619.00,99.87
3618.00,99.88
3617.00,99.87
3616.00,99.85
3615.00,99.82
3614.00,99.81
3613.00,99.79
3612.00,99.76
3611.00,99.73
3610.00,99.69
3609.00,99.67
3608.00,99.66
3607.00,99.64
3606.00,99.62
3605.00,99.61
3604.00,99.60
3603.00,99.60
3602.00,99.61
3601.00,99.63
3600.00,99.64
3599.00,99.64
3598.00,99.63
3597.00,99.61
3596.00,99.59
3595.00,99.59
3594.00,99.60
3593.00,99.61
3592.00,99.62
3591.00,99.60
3590.00,99.57
3589.00,99.52
3588.00,99.48
3587.00,99.47
3586.00,99.46
3585.00,99.46
3584.00,99.45
3583.00,99.44
3582.00,99.44
3581.00,99.43
3580.00,99.42
3579.00,99.41
3578.00,99.40
3577.00,99.39
3576.00,99.39
3575.00,99.37
3574.00,99.35
3573.00,99.33
3572.00,99.31
3571.00,99.30
3570.00,99.31
3569.00,99.31
3568.00,99.32
3567.00,99.32
3566.00,99.33
3565.00,99.33
3564.00,99.29
3563.00,99.24
3562.00,99.19
3561.00,99.17
3560.00,99.17
3559.00,99.17
3558.00,99.18
3557.00,99.17
3556.00,99.15
3555.00,99.12
3554.00,99.09
3553.00,99.05
3552.00,99.02
3551.00,99.01
3550.00,99.01
3549.00,99.00
3548.00,98.99
3547.00,98.96
3546.00,98.94
3545.00,98.93
3544.00,98.93
3543.00,98.92
3542.00,98.91
3541.00,98.90
3540.00,98.90
3539.00,98.92
3538.00,98.94
3537.00,98.95
3536.00,98.94
3535.00,98.92
3534.00,98.89
3533.00,98.87
3532.00,98.84
3531.00,98.82
3530.00,98.79
3529.00,98.77
3528.00,98.77
3527.00,98.77
3526.00,98.78
3525.00,98.77
3524.00,98.77
3523.00,98.76
3522.00,98.76
3521.00,98.74
3520.00,98.72
3519.00,98.70
3518.00,98.70
3517.00,98.69
3516.00,98.67
3515.00,98.64
3514.00,98.60
3513.00,98.57
3512.00,98.54
3511.00,98.53
3510.00,98.53
3509.00,98.53
3508.00,98.52
3507.00,98.52
3506.00,98.51
3505.00,98.51
3504.00,98.51
3503.00,98.52
3502.00,98.52
3501.00,98.51
3500.00,98.50
3499.00,98.50
3498.00,98.51
3497.00,98.53
3496.00,98.55
3495.00,98.55
3494.00,98.53
3493.00,98.51
3492.00,98.48
3491.00,98.44
3490.00,98.41
3489.00,98.39
3488.00,98.38
3487.00,98.39
3486.00,98.40
3485.00,98.40
3484.00,98.41
3483.00,98.42
3482.00,98.42
3481.00,98.43
3480.00,98.43
3479.00,98.43
3478.00,98.42
3477.00,98.41
3476.00,98.41
3475.00,98.40
3474.00,98.39
3473.00,98.38
3472.00,98.38
3471.00,98.40
3470.00,98.43
3469.00,98.44
3468.00,98.45
3467.00,98.45
3466.00,98.44
3465.00,98.44
3464.00,98.42
3463.00,98.40
3462.00,98.40
3461.00,98.40
3460.00,98.42
3459.00,98.44
3458.00,98.43
3457.00,98.40
3456.00,98.37
3455.00,98.36
3454.00,98.36
3453.00,98.37
3452.00,98.38
3451.00,98.40
3450.00,98.41
3449.00,98.43
3448.00,98.44
3447.00,98.44
3446.00,98.43
3445.00,98.42
3444.00,98.41
3443.00,98.40
3442.00,98.40
3441.00,98.40
3440.00,98.42
3439.00,98.44
3438.00,98.45
3437.00,98.45
3436.00,98.46
3435.00,98.48
3434.00,98.51
3433.00,98.54
3432.00,98.56
3431.00,98.56
3430.00,98.55
3429.00,98.55
3428.00,98.54
3427.00,98.54
3426.00,98.55
3425.00,98.55
3424.00,98.54
3423.00,98.53
3422.00,98.52
3421.00,98.53
3420.00,98.57
3419.00,98.60
3418.00,98.62
3417.00,98.63
3416.00,98.63
3415.00,98.63
3414.00,98.62
3413.00,98.62
3412.00,98.62
3411.00,98.63
3410.00,98.63
3409.00,98.63
3408.00,98.63
3407.00,98.63
3406.00,98.64
3405.00,98.65
3404.00,98.66
3403.00,98.67
3402.00,98.68
3401.00,98.69
3400.00,98.68
3399.00,98.67
3398.00,98.66
3397.00,98.66
3396.00,98.67
3395.00,98.69
3394.00,98.71
3393.00,98.72
3392.00,98.72
3391.00,98.73
3390.00,98.73
3389.00,98.74
3388.00,98.75
3387.00,98.76
3386.00,98.76
3385.00,98.76
3384.00,98.76
3383.00,98.76
3382.00,98.75
3381.00,98.75
3380.00,98.76
3379.00,98.77
3378.00,98.78
3377.00,98.79
3376.00,98.80
3375.00,98.81
3374.00,98.81
3373.00,98.81
3372.00,98.80
3371.00,98.80
3370.00,98.80
3369.00,98.81
3368.00,98.82
3367.00,98.84
3366.00,98.84
3365.00,98.84
3364.00,98.83
3363.00,98.81
3362.00,98.78
3361.00,98.77
3360.00,98.78
3359.00,98.81
3358.00,98.85
3357.00,98.87
3356.00,98.89
3355.00,98.89
3354.00,98.89
3353.00,98.89
3352.00,98.89
3351.00,98.89
3350.00,98.88
3349.00,98.88
3348.00,98.87
3347.00,98.88
3346.00,98.88
3345.00,98.88
3344.00,98.88
3343.00,98.89
3342.00,98.89
3341.00,98.90
3340.00,98.90
3339.00,98.90
3338.00,98.91
3337.00,98.93
3336.00,98.95
3335.00,98.96
3334.00,98.95
3333.00,98.93
3332.00,98.92
3331.00,98.91
3330.00,98.93
3329.00,98.95
3328.00,98.96
3327.00,98.96
3326.00,98.96
3325.00,98.96
3324.00,98.96
3323.00,98.96
3322.00,98.96
3321.00,98.96
3320.00,98.95
3319.00,98.93
3318.00,98.92
3317.00,98.92
3316.00,98.94
3315.00,98.95
3314.00,98.97
3313.00,98.98
3312.00,98.98
3311.00,98.98
3310.00,98.97
3309.00,98.97
3308.00,98.97
3307.00,98.98
3306.00,98.98
3305.00,98.97
3304.00,98.96
3303.00,98.95
3302.00,98.95
3301.00,98.95
3300.00,98.96
3299.00,98.96
3298.00,98.96
3297.00,98.96
3296.00,98.96
3295.00,98.97
3294.00,98.99
3293.00,98.99
3292.00,99.00
3291.00,99.00
3290.00,98.99
3289.00,98.99
3288.00,99.00
3287.00,99.01
3286.00,99.04
3285.00,99.05
3284.00,99.05
3283.00,99.04
3282.00,99.02
3281.00,99.01
3280.00,98.99
3279.00,98.99
3278.00,98.99
3277.00,98.99
3276.00,98.99
3275.00,98.99
3274.00,99.00
3273.00,99.01
3272.00,99.02
3271.00,99.02
3270.00,99.02
3269.00,99.03
3268.00,99.05
3267.00,99.07
3266.00,99.08
3265.00,99.08
3264.00,99.07
3263.00,99.05
3262.00,99.04
3261.00,99.03
3260.00,99.03
3259.00,99.04
3258.00,99.06
3257.00,99.06
3256.00,99.06
3255.00,99.04
3254.00,99.03
3253.00,99.03
3252.00,99.04
3251.00,99.04
3250.00,99.03
3249.00,99.01
3248.00,98.99
3247.00,98.97
3246.00,98.97
3245.00,98.99
3244.00,99.01
3243.00,99.03
3242.00,99.04
3241.00,99.05
3240.00,99.06
3239.00,99.07
3238.00,99.06
3237.00,99.04
3236.00,99.01
3235.00,99.00
3234.00,99.01
3233.00,99.04
3232.00,99.07
3231.00,99.10
3230.00,99.12
3229.00,99.12
3228.00,99.10
3227.00,99.07
3226.00,99.04
3225.00,99.03
3224.00,99.04
3223.00,99.07
3222.00,99.10
3221.00,99.13
3220.00,99.14
3219.00,99.14
3218.00,99.12
3217.00,99.08
3216.00,99.06
3215.00,99.06
3214.00,99.08
3213.00,99.08
3212.00,99.07
3211.00,99.06
3210.00,99.06
3209.00,99.08
3208.00,99.11
3207.00,99.13
3206.00,99.15
3205.00,99.15
3204.00,99.14
3203.00,99.14
3202.00,99.15
3201.00,99.16
3200.00,99.17
3199.00,99.17
3198.00,99.16
3197.00,99.15
3196.00,99.14
3195.00,99.14
3194.00,99.15
3193.00,99.17
3192.00,99.18
3191.00,99.18
3190.00,99.19
3189.00,99.20
3188.00,99.21
3187.00,99.21
3186.00,99.21
3185.00,99.21
3184.00,99.21
3183.00,99.21
3182.00,99.20
3181.00,99.20
3180.00,99.20
3179.00,99.21
3178.00,99.24
3177.00,99.27
3176.00,99.28
3175.00,99.27
3174.00,99.26
3173.00,99.26
3172.00,99.27
3171.00,99.29
3170.00,99.31
3169.00,99.32
3168.00,99.33
3167.00,99.34
3166.00,99.35
3165.00,99.35
3164.00,99.34
3163.00,99.34
3162.00,99.35
3161.00,99.36
3160.00,99.37
3159.00,99.37
3158.00,99.37
3157.00,99.36
3156.00,99.35
3155.00,99.33
3154.00,99.32
3153.00,99.33
3152.00,99.36
3151.00,99.38
3150.00,99.39
3149.00,99.39
3148.00,99.39
3147.00,99.39
3146.00,99.40
3145.00,99.41
3144.00,99.42
3143.00,99.43
3142.00,99.45
3141.00,99.46
3140.00,99.47
3139.00,99.47
3138.00,99.48
3137.00,99.48
3136.00,99.48
3135.00,99.48
3134.00,99.47
3133.00,99.46
3132.00,99.45
3131.00,99.44
3130.00,99.44
3129.00,99.45
3128.00,99.46
3127.00,99.48
3126.00,99.48
3125.00,99.48
3124.00,99.49
3123.00,99.50
3122.00,99.51
