Created as New Dataset,69. Waxman
cm-1,%T
4000.00,99.26
3999.00,99.26
3998.00,99.26
3997.00,99.25
3996.00,99.25
3995.00,99.24
3994.00,99.23
3993.00,99.22
3992.00,99.22
3991.00,99.23
3990.00,99.25
3989.00,99.27
3988.00,99.28
3987.00,99.27
3986.00,99.26
3985.00,99.25
3984.00,99.24
3983.00,99.24
3982.00,99.24
3981.00,99.24
3980.00,99.23
3979.00,99.22
3978.00,99.22
3977.00,99.23
3976.00,99.24
3975.00,99.25
3974.00,99.27
3973.00,99.28
3972.00,99.30
3971.00,99.31
3970.00,99.31
3969.00,99.29
3968.00,99.27
3967.00,99.26
3966.00,99.25
3965.00,99.25
3964.00,99.26
3963.00,99.26
3962.00,99.26
3961.00,99.25
3960.00,99.25
3959.00,99.26
3958.00,99.28
3957.00,99.31
3956.00,99.34
3955.00,99.37
3954.00,99.38
3953.00,99.37
3952.00,99.36
3951.00,99.33
3950.00,99.30
3949.00,99.26
3948.00,99.24
3947.00,99.23
3946.00,99.25
3945.00,99.27
3944.00,99.29
3943.00,99.28
3942.00,99.26
3941.00,99.24
3940.00,99.25
3939.00,99.28
3938.00,99.31
3937.00,99.33
3936.00,99.34
3935.00,99.33
3934.00,99.32
3933.00,99.31
3932.00,99.30
3931.00,99.30
3930.00,99.29
3929.00,99.29
3928.00,99.28
3927.00,99.28
3926.00,99.27
3925.00,99.26
3924.00,99.24
3923.00,99.23
3922.00,99.22
3921.00,99.22
3920.00,99.23
3919.00,99.24
3918.00,99.25
3917.00,99.26
3916.00,99.25
3915.00,99.25
3914.00,99.25
3913.00,99.25
3912.00,99.26
3911.00,99.27
3910.00,99.26
3909.00,99.25
3908.00,99.23
3907.00,99.21
3906.00,99.19
3905.00,99.18
3904.00,99.18
3903.00,99.18
3902.00,99.18
3901.00,99.18
3900.00,99.19
3899.00,99.20
3898.00,99.21
3897.00,99.22
3896.00,99.23
3895.00,99.23
3894.00,99.22
3893.00,99.21
3892.00,99.20
3891.00,99.20
3890.00,99.19
3889.00,99.19
3888.00,99.18
3887.00,99.18
3886.00,99.17
3885.00,99.16
3884.00,99.15
3883.00,99.16
3882.00,99.18
3881.00,99.20
3880.00,99.21
3879.00,99.20
3878.00,99.17
3877.00,99.15
3876.00,99.12
3875.00,99.10
3874.00,99.08
3873.00,99.08
3872.00,99.10
3871.00,99.14
3870.00,99.16
3869.00,99.16
3868.00,99.13
3867.00,99.10
3866.00,99.08
3865.00,99.08
3864.00,99.09
3863.00,99.12
3862.00,99.15
3861.00,99.17
3860.00,99.20
3859.00,99.20
3858.00,99.19
3857.00,99.16
3856.00,99.14
3855.00,99.14
3854.00,99.15
3853.00,99.15
3852.00,99.14
3851.00,99.14
3850.00,99.15
3849.00,99.16
3848.00,99.18
3847.00,99.19
3846.00,99.19
3845.00,99.17
3844.00,99.15
3843.00,99.13
3842.00,99.10
3841.00,99.08
3840.00,99.06
3839.00,99.04
3838.00,99.03
3837.00,99.03
3836.00,99.04
3835.00,99.04
3834.00,99.05
3833.00,99.07
3832.00,99.09
3831.00,99.10
3830.00,99.11
3829.00,99.10
3828.00,99.08
3827.00,99.08
3826.00,99.07
3825.00,99.06
3824.00,99.05
3823.00,99.03
3822.00,99.01
3821.00,99.02
3820.00,99.04
3819.00,99.07
3818.00,99.11
3817.00,99.12
3816.00,99.10
3815.00,99.07
3814.00,99.05
3813.00,99.05
3812.00,99.06
3811.00,99.07
3810.00,99.07
3809.00,99.06
3808.00,99.04
3807.00,99.02
3806.00,98.97
3805.00,98.94
3804.00,98.92
3803.00,98.93
3802.00,98.94
3801.00,98.95
3800.00,98.95
3799.00,98.97
3798.00,99.01
3797.00,99.05
3796.00,99.08
3795.00,99.09
3794.00,99.08
3793.00,99.09
3792.00,99.10
3791.00,99.12
3790.00,99.13
3789.00,99.13
3788.00,99.12
3787.00,99.11
3786.00,99.10
3785.00,99.08
3784.00,99.06
3783.00,99.03
3782.00,99.01
3781.00,99.01
3780.00,99.02
3779.00,99.03
3778.00,99.03
3777.00,99.03
3776.00,99.03
3775.00,99.03
3774.00,99.04
3773.00,99.03
3772.00,99.01
3771.00,98.98
3770.00,98.95
3769.00,98.92
3768.00,98.92
3767.00,98.93
3766.00,98.95
3765.00,98.96
3764.00,98.95
3763.00,98.93
3762.00,98.91
3761.00,98.91
3760.00,98.90
3759.00,98.90
3758.00,98.89
3757.00,98.89
3756.00,98.89
3755.00,98.90
3754.00,98.89
3753.00,98.87
3752.00,98.82
3751.00,98.77
3750.00,98.74
3749.00,98.73
3748.00,98.72
3747.00,98.73
3746.00,98.76
3745.00,98.83
3744.00,98.89
3743.00,98.93
3742.00,98.93
3741.00,98.92
3740.00,98.88
3739.00,98.85
3738.00,98.84
3737.00,98.84
3736.00,98.85
3735.00,98.85
3734.00,98.84
3733.00,98.85
3732.00,98.88
3731.00,98.91
3730.00,98.92
3729.00,98.91
3728.00,98.89
3727.00,98.87
3726.00,98.86
3725.00,98.86
3724.00,98.85
3723.00,98.85
3722.00,98.84
3721.00,98.83
3720.00,98.83
3719.00,98.84
3718.00,98.85
3717.00,98.86
3716.00,98.86
3715.00,98.84
3714.00,98.81
3713.00,98.78
3712.00,98.77
3711.00,98.79
3710.00,98.83
3709.00,98.87
3708.00,98.88
3707.00,98.87
3706.00,98.84
3705.00,98.82
3704.00,98.81
3703.00,98.81
3702.00,98.81
3701.00,98.80
3700.00,98.79
3699.00,98.79
3698.00,98.80
3697.00,98.81
3696.00,98.81
3695.00,98.80
3694.00,98.78
3693.00,98.76
3692.00,98.75
3691.00,98.75
3690.00,98.74
3689.00,98.72
3688.00,98.72
3687.00,98.72
3686.00,98.74
3685.00,98.76
3684.00,98.78
3683.00,98.79
3682.00,98.80
3681.00,98.79
3680.00,98.76
3679.00,98.72
3678.00,98.67
3677.00,98.65
3676.00,98.64
3675.00,98.63
3674.00,98.62
3673.00,98.62
3672.00,98.62
3671.00,98.63
3670.00,98.65
3669.00,98.67
3668.00,98.68
3667.00,98.69
3666.00,98.69
3665.00,98.68
3664.00,98.68
3663.00,98.67
3662.00,98.67
3661.00,98.66
3660.00,98.65
3659.00,98.64
3658.00,98.64
3657.00,98.63
3656.00,98.62
3655.00,98.61
3654.00,98.60
3653.00,98.60
3652.00,98.62
3651.00,98.65
3650.00,98.64
3649.00,98.61
3648.00,98.57
3647.00,98.55
3646.00,98.56
3645.00,98.58
3644.00,98.60
3643.00,98.61
3642.00,98.62
3641.00,98.62
3640.00,98.61
3639.00,98.60
3638.00,98.60
3637.00,98.60
3636.00,98.60
3635.00,98.60
3634.00,98.58
3633.00,98.56
3632.00,98.54
3631.00,98.53
3630.00,98.52
3629.00,98.50
3628.00,98.49
3627.00,98.50
3626.00,98.53
3625.00,98.57
3624.00,98.60
3623.00,98.61
3622.00,98.60
3621.00,98.60
3620.00,98.61
3619.00,98.62
3618.00,98.61
3617.00,98.59
3616.00,98.58
3615.00,98.57
3614.00,98.56
3613.00,98.56
3612.00,98.54
3611.00,98.52
3610.00,98.50
3609.00,98.51
3608.00,98.52
3607.00,98.52
3606.00,98.53
3605.00,98.54
3604.00,98.57
3603.00,98.61
3602.00,98.65
3601.00,98.66
3600.00,98.66
3599.00,98.65
3598.00,98.66
3597.00,98.66
3596.00,98.67
3595.00,98.68
3594.00,98.67
3593.00,98.66
3592.00,98.65
3591.00,98.65
3590.00,98.67
3589.00,98.68
3588.00,98.68
3587.00,98.67
3586.00,98.66
3585.00,98.66
3584.00,98.66
3583.00,98.66
3582.00,98.65
3581.00,98.65
3580.00,98.66
3579.00,98.69
3578.00,98.70
3577.00,98.69
3576.00,98.66
3575.00,98.63
3574.00,98.61
3573.00,98.61
3572.00,98.63
3571.00,98.65
3570.00,98.67
3569.00,98.68
3568.00,98.66
3567.00,98.63
3566.00,98.59
3565.00,98.57
3564.00,98.57
3563.00,98.59
3562.00,98.62
3561.00,98.65
3560.00,98.67
3559.00,98.68
3558.00,98.69
3557.00,98.69
3556.00,98.70
3555.00,98.70
3554.00,98.71
3553.00,98.71
3552.00,98.70
3551.00,98.69
3550.00,98.68
3549.00,98.68
3548.00,98.68
3547.00,98.68
3546.00,98.68
3545.00,98.67
3544.00,98.65
3543.00,98.63
3542.00,98.61
3541.00,98.61
3540.00,98.62
3539.00,98.65
3538.00,98.68
3537.00,98.70
3536.00,98.71
3535.00,98.70
3534.00,98.69
3533.00,98.68
3532.00,98.66
3531.00,98.65
3530.00,98.65
3529.00,98.65
3528.00,98.64
3527.00,98.63
3526.00,98.61
3525.00,98.60
3524.00,98.60
3523.00,98.60
3522.00,98.60
3521.00,98.61
3520.00,98.63
3519.00,98.66
3518.00,98.68
3517.00,98.68
3516.00,98.69
3515.00,98.69
3514.00,98.69
3513.00,98.69
3512.00,98.69
3511.00,98.67
3510.00,98.64
3509.00,98.61
3508.00,98.61
3507.00,98.62
3506.00,98.64
3505.00,98.65
3504.00,98.64
3503.00,98.63
3502.00,98.63
3501.00,98.64
3500.00,98.66
3499.00,98.67
3498.00,98.68
3497.00,98.66
3496.00,98.64
3495.00,98.62
3494.00,98.63
3493.00,98.65
3492.00,98.67
