Created as New Dataset,79. Nylon Allied Signal Fibers Dyed
cm-1,%T
4000.00,98.50
3999.00,98.51
3998.00,98.51
3997.00,98.51
3996.00,98.51
3995.00,98.50
3994.00,98.48
3993.00,98.47
3992.00,98.46
3991.00,98.45
3990.00,98.45
3989.00,98.46
3988.00,98.46
3987.00,98.46
3986.00,98.46
3985.00,98.46
3984.00,98.47
3983.00,98.48
3982.00,98.49
3981.00,98.51
3980.00,98.52
3979.00,98.52
3978.00,98.50
3977.00,98.47
3976.00,98.45
3975.00,98.45
3974.00,98.46
3973.00,98.49
3972.00,98.51
3971.00,98.51
3970.00,98.50
3969.00,98.48
3968.00,98.48
3967.00,98.48
3966.00,98.48
3965.00,98.47
3964.00,98.46
3963.00,98.44
3962.00,98.43
3961.00,98.43
3960.00,98.43
3959.00,98.45
3958.00,98.47
3957.00,98.50
3956.00,98.52
3955.00,98.54
3954.00,98.55
3953.00,98.55
3952.00,98.53
3951.00,98.51
3950.00,98.49
3949.00,98.48
3948.00,98.48
3947.00,98.48
3946.00,98.49
3945.00,98.50
3944.00,98.50
3943.00,98.51
3942.00,98.52
3941.00,98.52
3940.00,98.53
3939.00,98.55
3938.00,98.57
3937.00,98.59
3936.00,98.58
3935.00,98.57
3934.00,98.55
3933.00,98.54
3932.00,98.52
3931.00,98.51
3930.00,98.49
3929.00,98.49
3928.00,98.50
3927.00,98.52
3926.00,98.56
3925.00,98.58
3924.00,98.60
3923.00,98.60
3922.00,98.60
3921.00,98.59
3920.00,98.59
3919.00,98.57
3918.00,98.54
3917.00,98.50
3916.00,98.48
3915.00,98.48
3914.00,98.49
3913.00,98.51
3912.00,98.54
3911.00,98.57
3910.00,98.58
3909.00,98.57
3908.00,98.55
3907.00,98.53
3906.00,98.51
3905.00,98.50
3904.00,98.52
3903.00,98.54
3902.00,98.56
3901.00,98.57
3900.00,98.57
3899.00,98.55
3898.00,98.52
3897.00,98.49
3896.00,98.48
3895.00,98.48
3894.00,98.50
3893.00,98.52
3892.00,98.54
3891.00,98.56
3890.00,98.56
3889.00,98.54
3888.00,98.52
3887.00,98.52
3886.00,98.53
3885.00,98.54
3884.00,98.53
3883.00,98.51
3882.00,98.50
3881.00,98.53
3880.00,98.57
3879.00,98.59
3878.00,98.58
3877.00,98.56
3876.00,98.54
3875.00,98.53
3874.00,98.53
3873.00,98.52
3872.00,98.52
3871.00,98.53
3870.00,98.56
3869.00,98.58
3868.00,98.57
3867.00,98.55
3866.00,98.55
3865.00,98.56
3864.00,98.57
3863.00,98.56
3862.00,98.55
3861.00,98.56
3860.00,98.56
3859.00,98.56
3858.00,98.54
3857.00,98.52
3856.00,98.49
3855.00,98.48
3854.00,98.49
3853.00,98.48
3852.00,98.47
3851.00,98.46
3850.00,98.48
3849.00,98.52
3848.00,98.55
3847.00,98.57
3846.00,98.58
3845.00,98.59
3844.00,98.59
3843.00,98.60
3842.00,98.59
3841.00,98.58
3840.00,98.56
3839.00,98.54
