Created as New Dataset,193 FMC American Viscose
cm-1,%T
4000.00,96.04
3999.00,96.03
3998.00,96.02
3997.00,96.02
3996.00,96.02
3995.00,96.02
3994.00,96.03
3993.00,96.04
3992.00,96.04
3991.00,96.05
3990.00,96.05
3989.00,96.06
3988.00,96.08
3987.00,96.09
3986.00,96.10
3985.00,96.10
3984.00,96.09
3983.00,96.08
3982.00,96.08
3981.00,96.10
3980.00,96.11
3979.00,96.12
3978.00,96.11
3977.00,96.10
3976.00,96.09
3975.00,96.08
3974.00,96.07
3973.00,96.06
3972.00,96.06
3971.00,96.06
3970.00,96.06
3969.00,96.07
3968.00,96.07
3967.00,96.07
3966.00,96.05
3965.00,96.05
3964.00,96.05
3963.00,96.06
3962.00,96.07
3961.00,96.07
3960.00,96.07
3959.00,96.07
3958.00,96.09
3957.00,96.11
3956.00,96.13
3955.00,96.14
3954.00,96.14
3953.00,96.13
3952.00,96.12
3951.00,96.11
3950.00,96.10
3949.00,96.10
3948.00,96.11
3947.00,96.11
3946.00,96.11
3945.00,96.10
3944.00,96.09
3943.00,96.08
3942.00,96.07
3941.00,96.05
3940.00,96.04
3939.00,96.04
3938.00,96.04
3937.00,96.05
3936.00,96.05
3935.00,96.05
3934.00,96.04
3933.00,96.04
3932.00,96.05
3931.00,96.05
3930.00,96.05
3929.00,96.04
3928.00,96.04
3927.00,96.04
3926.00,96.04
3925.00,96.05
3924.00,96.06
3923.00,96.09
3922.00,96.11
3921.00,96.13
3920.00,96.13
3919.00,96.12
3918.00,96.12
3917.00,96.12
3916.00,96.12
3915.00,96.10
3914.00,96.09
3913.00,96.09
3912.00,96.09
3911.00,96.11
3910.00,96.12
3909.00,96.12
3908.00,96.12
3907.00,96.13
3906.00,96.14
3905.00,96.14
3904.00,96.14
3903.00,96.13
3902.00,96.12
3901.00,96.12
3900.00,96.11
3899.00,96.11
3898.00,96.10
3897.00,96.09
3896.00,96.09
3895.00,96.09
3894.00,96.11
3893.00,96.13
3892.00,96.16
3891.00,96.16
3890.00,96.15
3889.00,96.14
3888.00,96.14
3887.00,96.15
3886.00,96.15
3885.00,96.14
3884.00,96.12
3883.00,96.09
3882.00,96.08
3881.00,96.08
3880.00,96.09
3879.00,96.10
3878.00,96.12
3877.00,96.14
3876.00,96.16
3875.00,96.16
3874.00,96.14
3873.00,96.13
3872.00,96.12
3871.00,96.13
3870.00,96.15
3869.00,96.15
3868.00,96.14
3867.00,96.15
3866.00,96.15
3865.00,96.15
3864.00,96.14
3863.00,96.13
3862.00,96.12
3861.00,96.11
3860.00,96.10
3859.00,96.07
3858.00,96.04
3857.00,96.01
3856.00,96.00
3855.00,96.02
3854.00,96.06
3853.00,96.08
3852.00,96.09
3851.00,96.10
3850.00,96.11
3849.00,96.11
3848.00,96.11
3847.00,96.10
3846.00,96.09
3845.00,96.09
3844.00,96.08
3843.00,96.06
3842.00,96.04
3841.00,96.02
3840.00,96.02
3839.00,96.02
3838.00,96.02
3837.00,96.02
3836.00,96.02
3835.00,96.03
3834.00,96.03
3833.00,96.04
3832.00,96.04
3831.00,96.04
3830.00,96.05
3829.00,96.06
3828.00,96.08
3827.00,96.09
3826.00,96.08
3825.00,96.06
3824.00,96.04
3823.00,96.03
3822.00,96.02
3821.00,96.01
3820.00,95.99
3819.00,96.00
3818.00,96.03
3817.00,96.07
3816.00,96.09
3815.00,96.10
3814.00,96.10
3813.00,96.12
3812.00,96.14
3811.00,96.16
