Created as New Dataset,67. Modacrylic Waxman Dyed
cm-1,%T
3649.00,99.38
3648.00,99.38
3647.00,99.39
3646.00,99.40
3645.00,99.38
3644.00,99.37
3643.00,99.35
3642.00,99.35
3641.00,99.34
3640.00,99.34
3639.00,99.33
3638.00,99.31
3637.00,99.29
3636.00,99.28
3635.00,99.29
3634.00,99.31
3633.00,99.33
3632.00,99.33
3631.00,99.32
3630.00,99.31
3629.00,99.29
3628.00,99.28
3627.00,99.28
3626.00,99.30
3625.00,99.32
3624.00,99.33
3623.00,99.33
3622.00,99.32
3621.00,99.31
3620.00,99.32
3619.00,99.34
3618.00,99.34
3617.00,99.34
3616.00,99.34
3615.00,99.34
3614.00,99.35
3613.00,99.35
3612.00,99.33
3611.00,99.31
3610.00,99.30
3609.00,99.31
3608.00,99.33
3607.00,99.34
3606.00,99.35
3605.00,99.34
3604.00,99.35
3603.00,99.35
3602.00,99.36
3601.00,99.37
3600.00,99.38
3599.00,99.38
3598.00,99.39
3597.00,99.39
3596.00,99.39
3595.00,99.39
3594.00,99.39
3593.00,99.39
3592.00,99.38
3591.00,99.36
3590.00,99.34
3589.00,99.32
3588.00,99.31
3587.00,99.30
3586.00,99.31
3585.00,99.31
3584.00,99.31
3583.00,99.31
3582.00,99.32
3581.00,99.33
3580.00,99.33
3579.00,99.33
3578.00,99.32
3577.00,99.30
3576.00,99.27
3575.00,99.24
3574.00,99.21
3573.00,99.20
3572.00,99.20
3571.00,99.21
3570.00,99.22
3569.00,99.22
3568.00,99.25
3567.00,99.29
3566.00,99.32
3565.00,99.34
3564.00,99.34
3563.00,99.33
3562.00,99.32
3561.00,99.30
3560.00,99.28
3559.00,99.27
3558.00,99.28
3557.00,99.30
3556.00,99.31
3555.00,99.30
3554.00,99.26
3553.00,99.21
3552.00,99.19
3551.00,99.19
3550.00,99.22
3549.00,99.24
3548.00,99.24
3547.00,99.22
3546.00,99.20
3545.00,99.19
3544.00,99.21
3543.00,99.23
3542.00,99.25
3541.00,99.26
3540.00,99.25
3539.00,99.24
3538.00,99.23
3537.00,99.23
3536.00,99.22
3535.00,99.20
3534.00,99.19
3533.00,99.19
3532.00,99.21
3531.00,99.23
3530.00,99.26
3529.00,99.28
3528.00,99.28
3527.00,99.27
3526.00,99.24
3525.00,99.21
3524.00,99.20
3523.00,99.21
3522.00,99.24
3521.00,99.27
3520.00,99.28
3519.00,99.26
3518.00,99.21
3517.00,99.16
3516.00,99.14
3515.00,99.15
3514.00,99.17
3513.00,99.20
3512.00,99.22
3511.00,99.24
3510.00,99.25
3509.00,99.25
3508.00,99.23
3507.00,99.21
3506.00,99.18
3505.00,99.17
3504.00,99.17
3503.00,99.18
3502.00,99.21
3501.00,99.23
3500.00,99.23
3499.00,99.23
3498.00,99.23
3497.00,99.22
3496.00,99.22
3495.00,99.22
3494.00,99.21
3493.00,99.20
3492.00,99.19
3491.00,99.19
3490.00,99.20
3489.00,99.21
3488.00,99.21
3487.00,99.19
3486.00,99.17
3485.00,99.15
3484.00,99.14
3483.00,99.14
3482.00,99.16
3481.00,99.19
3480.00,99.23
3479.00,99.27
3478.00,99.28
3477.00,99.28
3476.00,99.27
3475.00,99.26
3474.00,99.25
3473.00,99.24
3472.00,99.23
3471.00,99.23
3470.00,99.23
3469.00,99.23
3468.00,99.24
3467.00,99.24
3466.00,99.23
3465.00,99.22
3464.00,99.22
3463.00,99.22
3462.00,99.23
3461.00,99.22
3460.00,99.21
3459.00,99.20
3458.00,99.20
3457.00,99.20
3456.00,99.21
3455.00,99.22
3454.00,99.22
3453.00,99.21
3452.00,99.19
3451.00,99.17
3450.00,99.17
3449.00,99.17
3448.00,99.19
3447.00,99.20
3446.00,99.20
3445.00,99.20
3444.00,99.21
3443.00,99.23
3442.00,99.25
3441.00,99.25
3440.00,99.22
3439.00,99.20
3438.00,99.18
3437.00,99.18
3436.00,99.20
3435.00,99.22
3434.00,99.24
3433.00,99.24
3432.00,99.24
3431.00,99.25
3430.00,99.27
3429.00,99.28
3428.00,99.28
3427.00,99.27
3426.00,99.25
3425.00,99.25
3424.00,99.25
3423.00,99.26
3422.00,99.26
3421.00,99.25
3420.00,99.25
3419.00,99.25
3418.00,99.25
3417.00,99.25
3416.00,99.24
3415.00,99.23
3414.00,99.22
3413.00,99.22
3412.00,99.21
3411.00,99.20
3410.00,99.19
3409.00,99.18
3408.00,99.18
3407.00,99.20
3406.00,99.22
3405.00,99.23
3404.00,99.24
3403.00,99.25
3402.00,99.26
3401.00,99.26
3400.00,99.25
3399.00,99.23
3398.00,99.21
3397.00,99.20
3396.00,99.20
3395.00,99.21
3394.00,99.21
3393.00,99.20
3392.00,99.18
3391.00,99.17
3390.00,99.17
3389.00,99.18
3388.00,99.21
3387.00,99.24
3386.00,99.27
3385.00,99.29
3384.00,99.31
3383.00,99.30
3382.00,99.28
3381.00,99.24
3380.00,99.20
3379.00,99.17
3378.00,99.15
3377.00,99.14
3376.00,99.16
3375.00,99.17
3374.00,99.18
3373.00,99.19
3372.00,99.19
3371.00,99.19
3370.00,99.19
3369.00,99.19
3368.00,99.19
3367.00,99.19
3366.00,99.20
3365.00,99.22
3364.00,99.24
3363.00,99.25
3362.00,99.25
3361.00,99.25
3360.00,99.24
3359.00,99.23
3358.00,99.22
3357.00,99.22
3356.00,99.21
3355.00,99.21
3354.00,99.21
3353.00,99.21
3352.00,99.21
3351.00,99.20
3350.00,99.18
3349.00,99.17
3348.00,99.18
3347.00,99.19
3346.00,99.21
3345.00,99.22
3344.00,99.22
3343.00,99.22
3342.00,99.20
3341.00,99.20
3340.00,99.19
3339.00,99.20
3338.00,99.21
3337.00,99.21
3336.00,99.20
3335.00,99.20
3334.00,99.19
3333.00,99.18
3332.00,99.17
3331.00,99.16
3330.00,99.16
3329.00,99.15
3328.00,99.16
3327.00,99.17
3326.00,99.19
3325.00,99.21
3324.00,99.21
3323.00,99.22
3322.00,99.22
3321.00,99.23
3320.00,99.23
3319.00,99.21
3318.00,99.19
