Created as New Dataset,57 Bayer
cm-1,%T
3648.00,99.30
3647.00,99.29
3646.00,99.28
3645.00,99.27
3644.00,99.27
3643.00,99.27
3642.00,99.28
3641.00,99.29
3640.00,99.27
3639.00,99.25
3638.00,99.24
3637.00,99.24
3636.00,99.25
3635.00,99.26
3634.00,99.26
3633.00,99.25
3632.00,99.25
3631.00,99.25
3630.00,99.25
3629.00,99.26
3628.00,99.27
3627.00,99.29
3626.00,99.31
3625.00,99.32
3624.00,99.31
3623.00,99.30
3622.00,99.29
3621.00,99.27
3620.00,99.26
3619.00,99.26
3618.00,99.26
3617.00,99.26
3616.00,99.25
3615.00,99.23
3614.00,99.22
3613.00,99.25
3612.00,99.29
3611.00,99.33
3610.00,99.37
3609.00,99.37
3608.00,99.35
3607.00,99.32
3606.00,99.29
3605.00,99.27
3604.00,99.26
3603.00,99.25
3602.00,99.25
3601.00,99.25
3600.00,99.26
3599.00,99.26
3598.00,99.24
3597.00,99.23
3596.00,99.23
3595.00,99.24
3594.00,99.25
3593.00,99.26
3592.00,99.27
3591.00,99.27
3590.00,99.27
3589.00,99.28
3588.00,99.28
3587.00,99.28
3586.00,99.27
3585.00,99.28
3584.00,99.28
3583.00,99.28
3582.00,99.27
3581.00,99.26
3580.00,99.25
3579.00,99.26
3578.00,99.27
3577.00,99.29
3576.00,99.30
3575.00,99.30
3574.00,99.29
3573.00,99.27
3572.00,99.25
3571.00,99.24
3570.00,99.25
3569.00,99.26
3568.00,99.26
3567.00,99.25
3566.00,99.22
3565.00,99.20
3564.00,99.19
3563.00,99.20
3562.00,99.22
3561.00,99.25
3560.00,99.28
3559.00,99.28
3558.00,99.27
3557.00,99.24
3556.00,99.21
3555.00,99.18
3554.00,99.16
3553.00,99.16
3552.00,99.17
3551.00,99.19
3550.00,99.20
3549.00,99.19
3548.00,99.17
3547.00,99.15
3546.00,99.14
3545.00,99.16
3544.00,99.18
3543.00,99.20
3542.00,99.22
3541.00,99.23
3540.00,99.24
3539.00,99.23
3538.00,99.22
3537.00,99.21
3536.00,99.19
3535.00,99.17
3534.00,99.15
3533.00,99.14
3532.00,99.15
3531.00,99.18
3530.00,99.19
3529.00,99.21
3528.00,99.22
3527.00,99.25
3526.00,99.28
3525.00,99.30
3524.00,99.28
3523.00,99.25
3522.00,99.22
3521.00,99.20
3520.00,99.19
3519.00,99.20
3518.00,99.21
3517.00,99.22
3516.00,99.23
3515.00,99.23
3514.00,99.22
3513.00,99.22
3512.00,99.22
3511.00,99.23
3510.00,99.24
3509.00,99.23
3508.00,99.21
3507.00,99.20
3506.00,99.20
3505.00,99.22
3504.00,99.24
3503.00,99.27
3502.00,99.29
3501.00,99.30
3500.00,99.29
3499.00,99.28
3498.00,99.28
3497.00,99.28
3496.00,99.28
3495.00,99.27
3494.00,99.24
3493.00,99.22
3492.00,99.21
3491.00,99.21
3490.00,99.22
3489.00,99.23
3488.00,99.22
3487.00,99.21
3486.00,99.21
3485.00,99.21
3484.00,99.21
3483.00,99.21
3482.00,99.22
3481.00,99.24
3480.00,99.25
3479.00,99.26
3478.00,99.25
3477.00,99.23
3476.00,99.22
3475.00,99.21
3474.00,99.20
3473.00,99.20
3472.00,99.20
3471.00,99.20
3470.00,99.20
3469.00,99.19
3468.00,99.18
3467.00,99.16
3466.00,99.15
3465.00,99.15
3464.00,99.17
3463.00,99.19
3462.00,99.21
3461.00,99.20
3460.00,99.19
3459.00,99.18
3458.00,99.19
3457.00,99.21
3456.00,99.22
3455.00,99.24
3454.00,99.25
3453.00,99.25
3452.00,99.24
3451.00,99.22
3450.00,99.18
3449.00,99.16
3448.00,99.17
3447.00,99.20
3446.00,99.24
3445.00,99.25
3444.00,99.24
3443.00,99.22
3442.00,99.22
3441.00,99.22
3440.00,99.23
3439.00,99.24
3438.00,99.22
3437.00,99.21
3436.00,99.19
3435.00,99.20
3434.00,99.22
3433.00,99.26
3432.00,99.28
3431.00,99.29
3430.00,99.28
3429.00,99.25
3428.00,99.23
3427.00,99.22
3426.00,99.21
3425.00,99.20
3424.00,99.20
3423.00,99.21
3422.00,99.22
3421.00,99.23
3420.00,99.24
3419.00,99.23
3418.00,99.23
3417.00,99.22
3416.00,99.21
3415.00,99.20
3414.00,99.19
3413.00,99.19
3412.00,99.21
3411.00,99.23
3410.00,99.26
3409.00,99.28
3408.00,99.30
3407.00,99.30
3406.00,99.29
3405.00,99.25
3404.00,99.22
3403.00,99.21
3402.00,99.23
3401.00,99.27
3400.00,99.31
3399.00,99.32
3398.00,99.32
3397.00,99.30
3396.00,99.28
3395.00,99.27
3394.00,99.26
3393.00,99.25
3392.00,99.25
3391.00,99.25
3390.00,99.26
3389.00,99.28
3388.00,99.29
3387.00,99.29
3386.00,99.28
3385.00,99.28
3384.00,99.27
3383.00,99.27
3382.00,99.27
3381.00,99.26
3380.00,99.26
3379.00,99.25
3378.00,99.24
3377.00,99.23
3376.00,99.24
3375.00,99.25
3374.00,99.26
3373.00,99.27
3372.00,99.28
3371.00,99.27
3370.00,99.26
3369.00,99.25
3368.00,99.24
3367.00,99.24
3366.00,99.24
3365.00,99.25
3364.00,99.25
3363.00,99.25
3362.00,99.25
3361.00,99.26
3360.00,99.26
3359.00,99.27
3358.00,99.28
3357.00,99.29
3356.00,99.29
3355.00,99.29
3354.00,99.29
3353.00,99.29
3352.00,99.28
3351.00,99.27
3350.00,99.25
3349.00,99.23
3348.00,99.23
3347.00,99.23
3346.00,99.23
3345.00,99.23
3344.00,99.23
3343.00,99.23
3342.00,99.23
3341.00,99.23
3340.00,99.23
3339.00,99.23
3338.00,99.23
3337.00,99.22
3336.00,99.21
3335.00,99.19
3334.00,99.18
3333.00,99.19
3332.00,99.21
3331.00,99.24
3330.00,99.25
3329.00,99.24
3328.00,99.25
3327.00,99.27
3326.00,99.30
3325.00,99.33
3324.00,99.34
3323.00,99.33
3322.00,99.32
3321.00,99.30
3320.00,99.29
3319.00,99.28
3318.00,99.27
3317.00,99.25
3316.00,99.25
3315.00,99.24
3314.00,99.25
3313.00,99.25
3312.00,99.25
3311.00,99.26
3310.00,99.27
3309.00,99.28
3308.00,99.28
3307.00,99.28
3306.00,99.28
3305.00,99.29
3304.00,99.30
3303.00,99.30
3302.00,99.30
3301.00,99.30
3300.00,99.29
3299.00,99.29
3298.00,99.27
3297.00,99.24
3296.00,99.22
3295.00,99.22
3294.00,99.23
3293.00,99.26
3292.00,99.29
3291.00,99.30
3290.00,99.30
3289.00,99.28
3288.00,99.27
3287.00,99.26
3286.00,99.25
3285.00,99.24
3284.00,99.24
3283.00,99.24
3282.00,99.25
3281.00,99.26
3280.00,99.27
3279.00,99.27
3278.00,99.26
3277.00,99.26
3276.00,99.26
3275.00,99.25
3274.00,99.25
3273.00,99.25
3272.00,99.24
3271.00,99.24
3270.00,99.24
3269.00,99.25
3268.00,99.26
3267.00,99.26
3266.00,99.27
3265.00,99.26
3264.00,99.26
3263.00,99.25
3262.00,99.24
3261.00,99.23
3260.00,99.21
3259.00,99.20
3258.00,99.19
3257.00,99.19
3256.00,99.19
3255.00,99.20
3254.00,99.22
3253.00,99.24
3252.00,99.25
3251.00,99.26
3250.00,99.26
3249.00,99.26
3248.00,99.25
3247.00,99.25
3246.00,99.26
3245.00,99.27
3244.00,99.28
3243.00,99.28
3242.00,99.27
3241.00,99.26
3240.00,99.24
3239.00,99.23
3238.00,99.23
3237.00,99.23
3236.00,99.24
3235.00,99.25
3234.00,99.25
3233.00,99.25
3232.00,99.26
3231.00,99.26
3230.00,99.26
3229.00,99.25
3228.00,99.24
3227.00,99.24
3226.00,99.24
3225.00,99.26
3224.00,99.26
3223.00,99.27
3222.00,99.26
3221.00,99.25
3220.00,99.25
3219.00,99.25
3218.00,99.27
3217.00,99.29
3216.00,99.31
3215.00,99.31
3214.00,99.30
3213.00,99.29
3212.00,99.28
3211.00,99.27
3210.00,99.26
3209.00,99.24
3208.00,99.22
3207.00,99.20
3206.00,99.20
3205.00,99.22
3204.00,99.24
3203.00,99.26
3202.00,99.27
3201.00,99.27
3200.00,99.26
3199.00,99.24
3198.00,99.24
3197.00,99.24
3196.00,99.24
3195.00,99.24
3194.00,99.24
3193.00,99.24
3192.00,99.25
3191.00,99.26
3190.00,99.27
3189.00,99.28
3188.00,99.28
3187.00,99.28
3186.00,99.28
3185.00,99.29
3184.00,99.29
3183.00,99.29
3182.00,99.29
3181.00,99.29
3180.00,99.30
3179.00,99.31
3178.00,99.31
3177.00,99.31
3176.00,99.31
3175.00,99.30
3174.00,99.30
3173.00,99.30
3172.00,99.29
3171.00,99.28
3170.00,99.27
3169.00,99.26
3168.00,99.27
3167.00,99.27
3166.00,99.29
3165.00,99.30
3164.00,99.31
3163.00,99.31
3162.00,99.31
3161.00,99.31
3160.00,99.32
3159.00,99.33
3158.00,99.33
3157.00,99.34
3156.00,99.35
3155.00,99.36
3154.00,99.35
3153.00,99.33
3152.00,99.30
3151.00,99.26
3150.00,99.25
3149.00,99.27
3148.00,99.29
3147.00,99.31
3146.00,99.32
3145.00,99.32
3144.00,99.33
3143.00,99.35
3142.00,99.36
3141.00,99.36
3140.00,99.34
3139.00,99.33
3138.00,99.33
3137.00,99.33
3136.00,99.34
3135.00,99.36
3134.00,99.37
3133.00,99.39
3132.00,99.40
3131.00,99.39
3130.00,99.37
3129.00,99.34
3128.00,99.31
3127.00,99.30
3126.00,99.31
3125.00,99.33
3124.00,99.33
3123.00,99.33
3122.00,99.33
3121.00,99.33
3120.00,99.33
3119.00,99.34
3118.00,99.33
3117.00,99.32
3116.00,99.30
3115.00,99.30
3114.00,99.31
3113.00,99.31
3112.00,99.32
3111.00,99.31
3110.00,99.31
3109.00,99.31
3108.00,99.32
3107.00,99.33
3106.00,99.35
3105.00,99.35
3104.00,99.35
3103.00,99.33
3102.00,99.32
3101.00,99.32
3100.00,99.33
3099.00,99.33
3098.00,99.32
3097.00,99.32
3096.00,99.33
3095.00,99.34
3094.00,99.35
3093.00,99.35
3092.00,99.35
3091.00,99.34
3090.00,99.35
3089.00,99.37
3088.00,99.39
3087.00,99.39
3086.00,99.37
3085.00,99.33
3084.00,99.30
3083.00,99.30
3082.00,99.32
3081.00,99.35
3080.00,99.38
3079.00,99.40
3078.00,99.40
3077.00,99.39
3076.00,99.38
3075.00,99.36
3074.00,99.35
3073.00,99.34
3072.00,99.34
3071.00,99.34
3070.00,99.35
3069.00,99.36
3068.00,99.36
3067.00,99.35
3066.00,99.34
3065.00,99.34
3064.00,99.33
3063.00,99.33
3062.00,99.33
3061.00,99.35
3060.00,99.37
3059.00,99.39
3058.00,99.40
3057.00,99.39
3056.00,99.37
3055.00,99.36
3054.00,99.35
3053.00,99.35
3052.00,99.35
3051.00,99.34
3050.00,99.33
3049.00,99.32
3048.00,99.33
3047.00,99.35
3046.00,99.37
3045.00,99.38
3044.00,99.37
3043.00,99.35
3042.00,99.33
3041.00,99.32
3040.00,99.31
3039.00,99.32
3038.00,99.32
3037.00,99.33
3036.00,99.34
3035.00,99.36
3034.00,99.37
3033.00,99.38
3032.00,99.38
3031.00,99.36
3030.00,99.35
3029.00,99.35
3028.00,99.36
3027.00,99.36
3026.00,99.36
3025.00,99.35
3024.00,99.33
3023.00,99.32
3022.00,99.30
3021.00,99.29
3020.00,99.28
3019.00,99.28
3018.00,99.27
3017.00,99.26
3016.00,99.25
3015.00,99.25
3014.00,99.26
3013.00,99.26
3012.00,99.26
3011.00,99.26
3010.00,99.26
3009.00,99.26
3008.00,99.26
3007.00,99.26
3006.00,99.24
3005.00,99.22
3004.00,99.21
3003.00,99.20
3002.00,99.20
3001.00,99.21
3000.00,99.21
2999.00,99.20
2998.00,99.18
2997.00,99.15
2996.00,99.12
2995.00,99.10
2994.00,99.09
2993.00,99.08
2992.00,99.07
2991.00,99.06
2990.00,99.05
2989.00,99.05
2988.00,99.04
2987.00,99.04
2986.00,99.03
2985.00,99.01
2984.00,98.99
2983.00,98.98
2982.00,98.98
2981.00,98.98
2980.00,98.98
2979.00,98.98
2978.00,98.97
2977.00,98.97
2976.00,98.97
2975.00,98.97
2974.00,98.97
2973.00,98.97
2972.00,98.96
2971.00,98.95
2970.00,98.94
2969.00,98.95
2968.00,98.96
2967.00,98.97
2966.00,98.97
2965.00,98.97
2964.00,98.96
2963.00,98.97
2962.00,98.99
2961.00,99.00
2960.00,99.00
2959.00,98.99
2958.00,98.98
2957.00,98.98
2956.00,98.97
2955.00,98.95
2954.00,98.93
2953.00,98.90
2952.00,98.87
2951.00,98.84
2950.00,98.81
2949.00,98.79
2948.00,98.77
2947.00,98.74
2946.00,98.72
2945.00,98.70
2944.00,98.68
2943.00,98.67
2942.00,98.67
2941.00,98.66
2940.00,98.63
2939.00,98.59
2938.00,98.57
2937.00,98.55
2936.00,98.55
2935.00,98.55
2934.00,98.55
2933.00,98.54
2932.00,98.54
2931.00,98.55
2930.00,98.55
2929.00,98.55
2928.00,98.55
2927.00,98.55
2926.00,98.54
2925.00,98.54
2924.00,98.54
2923.00,98.54
2922.00,98.53
2921.00,98.53
2920.00,98.55
2919.00,98.58
2918.00,98.63
2917.00,98.67
2916.00,98.70
2915.00,98.74
2914.00,98.78
2913.00,98.84
2912.00,98.88
2911.00,98.92
2910.00,98.95
2909.00,98.98
2908.00,99.00
2907.00,99.03
2906.00,99.05
2905.00,99.06
2904.00,99.08
2903.00,99.09
2902.00,99.11
2901.00,99.14
2900.00,99.16
2899.00,99.19
2898.00,99.20
2897.00,99.20
2896.00,99.19
2895.00,99.18
2894.00,99.17
2893.00,99.17
2892.00,99.17
2891.00,99.18
2890.00,99.19
2889.00,99.20
2888.00,99.20
2887.00,99.20
2886.00,99.19
2885.00,99.18
2884.00,99.17
2883.00,99.18
2882.00,99.20
2881.00,99.22
2880.00,99.24
2879.00,99.24
2878.00,99.24
2877.00,99.24
2876.00,99.24
2875.00,99.23
2874.00,99.22
2873.00,99.23
2872.00,99.24
2871.00,99.25
2870.00,99.26
2869.00,99.26
2868.00,99.26
2867.00,99.25
2866.00,99.25
2865.00,99.24
2864.00,99.23
2863.00,99.21
2862.00,99.20
2861.00,99.19
2860.00,99.19
2859.00,99.19
2858.00,99.18
2857.00,99.18
2856.00,99.18
2855.00,99.18
2854.00,99.18
2853.00,99.19
2852.00,99.19
2851.00,99.21
2850.00,99.23
2849.00,99.25
2848.00,99.27
2847.00,99.28
2846.00,99.30
2845.00,99.32
2844.00,99.35
2843.00,99.37
