Created as New Dataset,6.4. Raw cotton boll
cm-1,%T
3648.00,99.33
3647.00,99.31
3646.00,99.30
3645.00,99.29
3644.00,99.28
3643.00,99.28
3642.00,99.27
3641.00,99.26
3640.00,99.25
3639.00,99.25
3638.00,99.24
3637.00,99.23
3636.00,99.21
3635.00,99.17
3634.00,99.12
3633.00,99.06
3632.00,99.03
3631.00,99.04
3630.00,99.07
3629.00,99.10
3628.00,99.10
3627.00,99.09
3626.00,99.09
3625.00,99.09
3624.00,99.06
3623.00,99.02
3622.00,98.96
3621.00,98.91
3620.00,98.90
3619.00,98.91
3618.00,98.91
3617.00,98.90
3616.00,98.87
3615.00,98.84
3614.00,98.82
3613.00,98.80
3612.00,98.78
3611.00,98.77
3610.00,98.76
3609.00,98.74
3608.00,98.72
3607.00,98.69
3606.00,98.65
3605.00,98.63
3604.00,98.63
3603.00,98.63
3602.00,98.63
3601.00,98.63
3600.00,98.62
3599.00,98.60
3598.00,98.58
3597.00,98.55
3596.00,98.51
3595.00,98.46
3594.00,98.41
3593.00,98.36
3592.00,98.33
3591.00,98.31
3590.00,98.29
3589.00,98.28
3588.00,98.27
3587.00,98.25
3586.00,98.24
3585.00,98.23
3584.00,98.22
3583.00,98.19
3582.00,98.16
3581.00,98.12
3580.00,98.08
3579.00,98.04
3578.00,98.01
3577.00,97.98
3576.00,97.95
3575.00,97.92
3574.00,97.90
3573.00,97.89
3572.00,97.89
3571.00,97.89
3570.00,97.87
3569.00,97.84
3568.00,97.79
3567.00,97.74
3566.00,97.70
3565.00,97.67
3564.00,97.65
3563.00,97.62
3562.00,97.60
3561.00,97.57
3560.00,97.54
3559.00,97.51
3558.00,97.48
3557.00,97.46
3556.00,97.45
3555.00,97.44
3554.00,97.41
3553.00,97.39
3552.00,97.35
3551.00,97.32
3550.00,97.28
3549.00,97.23
3548.00,97.19
3547.00,97.14
3546.00,97.11
3545.00,97.08
3544.00,97.05
3543.00,97.03
3542.00,97.00
3541.00,96.99
3540.00,96.98
3539.00,96.97
3538.00,96.95
3537.00,96.92
3536.00,96.89
3535.00,96.86
3534.00,96.84
3533.00,96.82
3532.00,96.78
3531.00,96.73
3530.00,96.69
3529.00,96.65
3528.00,96.61
3527.00,96.56
3526.00,96.51
3525.00,96.47
3524.00,96.44
3523.00,96.41
3522.00,96.38
3521.00,96.35
3520.00,96.33
3519.00,96.32
3518.00,96.29
3517.00,96.24
3516.00,96.18
3515.00,96.14
3514.00,96.11
3513.00,96.10
3512.00,96.08
3511.00,96.05
3510.00,96.01
3509.00,95.97
3508.00,95.94
3507.00,95.90
3506.00,95.85
3505.00,95.80
3504.00,95.75
3503.00,95.72
3502.00,95.69
3501.00,95.66
3500.00,95.62
3499.00,95.58
3498.00,95.53
3497.00,95.48
3496.00,95.43
3495.00,95.38
3494.00,95.35
3493.00,95.32
3492.00,95.29
3491.00,95.25
3490.00,95.21
3489.00,95.16
3488.00,95.11
3487.00,95.05
3486.00,94.99
3485.00,94.94
3484.00,94.89
3483.00,94.86
3482.00,94.83
3481.00,94.80
3480.00,94.77
3479.00,94.72
3478.00,94.66
3477.00,94.59
3476.00,94.52
3475.00,94.45
3474.00,94.40
3473.00,94.36
3472.00,94.33
3471.00,94.29
3470.00,94.25
3469.00,94.22
3468.00,94.19
3467.00,94.15
3466.00,94.11
3465.00,94.05
3464.00,93.99
3463.00,93.93
3462.00,93.87
3461.00,93.81
3460.00,93.75
3459.00,93.70
3458.00,93.65
3457.00,93.61
3456.00,93.57
3455.00,93.52
3454.00,93.46
3453.00,93.38
3452.00,93.32
3451.00,93.27
3450.00,93.24
3449.00,93.22
3448.00,93.20
3447.00,93.17
3446.00,93.13
3445.00,93.08
3444.00,93.01
3443.00,92.94
3442.00,92.87
3441.00,92.79
3440.00,92.73
3439.00,92.68
3438.00,92.62
3437.00,92.58
3436.00,92.53
3435.00,92.48
3434.00,92.44
3433.00,92.40
3432.00,92.35
3431.00,92.28
3430.00,92.22
3429.00,92.16
3428.00,92.11
3427.00,92.07
3426.00,92.03
3425.00,91.99
3424.00,91.93
3423.00,91.87
3422.00,91.81
3421.00,91.76
3420.00,91.72
3419.00,91.67
3418.00,91.62
3417.00,91.56
3416.00,91.49
3415.00,91.42
3414.00,91.36
3413.00,91.30
3412.00,91.23
3411.00,91.16
3410.00,91.10
3409.00,91.04
3408.00,90.99
3407.00,90.96
3406.00,90.93
3405.00,90.91
3404.00,90.89
3403.00,90.85
3402.00,90.82
3401.00,90.78
3400.00,90.75
3399.00,90.72
3398.00,90.66
3397.00,90.58
3396.00,90.51
3395.00,90.45
3394.00,90.42
3393.00,90.41
3392.00,90.39
3391.00,90.35
3390.00,90.29
3389.00,90.23
3388.00,90.17
3387.00,90.13
3386.00,90.09
3385.00,90.05
3384.00,90.01
3383.00,89.96
3382.00,89.91
3381.00,89.88
3380.00,89.85
3379.00,89.82
3378.00,89.79
3377.00,89.75
3376.00,89.70
3375.00,89.65
3374.00,89.60
3373.00,89.55
3372.00,89.51
3371.00,89.46
3370.00,89.41
3369.00,89.37
3368.00,89.31
3367.00,89.25
3366.00,89.18
3365.00,89.11
3364.00,89.06
3363.00,89.03
3362.00,89.00
3361.00,88.96
3360.00,88.90
3359.00,88.83
3358.00,88.77
3357.00,88.71
3356.00,88.65
3355.00,88.60
3354.00,88.53
3353.00,88.45
3352.00,88.37
3351.00,88.30
3350.00,88.23
3349.00,88.18
3348.00,88.12
3347.00,88.07
3346.00,88.02
3345.00,87.96
3344.00,87.91
3343.00,87.85
3342.00,87.79
3341.00,87.74
3340.00,87.71
3339.00,87.68
3338.00,87.65
3337.00,87.63
3336.00,87.60
3335.00,87.59
3334.00,87.58
3333.00,87.57
3332.00,87.58
3331.00,87.58
3330.00,87.59
3329.00,87.60
3328.00,87.61
3327.00,87.64
3326.00,87.68
3325.00,87.72
3324.00,87.76
3323.00,87.79
3322.00,87.80
3321.00,87.80
3320.00,87.80
3319.00,87.81
3318.00,87.83
3317.00,87.87
3316.00,87.90
3315.00,87.92
3314.00,87.93
3313.00,87.94
3312.00,87.94
3311.00,87.95
3310.00,87.95
3309.00,87.96
3308.00,87.97
3307.00,87.98
3306.00,87.99
3305.00,87.98
3304.00,87.97
3303.00,87.96
3302.00,87.96
3301.00,87.96
3300.00,87.96
3299.00,87.95
3298.00,87.94
3297.00,87.93
3296.00,87.92
3295.00,87.91
3294.00,87.90
3293.00,87.90
3292.00,87.92
3291.00,87.94
3290.00,87.96
3289.00,87.97
3288.00,87.99
3287.00,87.99
3286.00,88.00
3285.00,88.00
3284.00,88.00
3283.00,88.01
3282.00,88.02
3281.00,88.03
3280.00,88.04
3279.00,88.05
3278.00,88.06
3277.00,88.06
3276.00,88.07
3275.00,88.09
3274.00,88.13
3273.00,88.18
3272.00,88.22
3271.00,88.27
3270.00,88.31
3269.00,88.35
3268.00,88.40
3267.00,88.44
3266.00,88.49
3265.00,88.54
3264.00,88.59
3263.00,88.64
3262.00,88.68
3261.00,88.72
3260.00,88.78
3259.00,88.85
3258.00,88.93
3257.00,89.01
3256.00,89.10
3255.00,89.18
3254.00,89.26
3253.00,89.33
3252.00,89.38
3251.00,89.43
3250.00,89.48
3249.00,89.53
3248.00,89.60
3247.00,89.68
3246.00,89.76
3245.00,89.83
3244.00,89.89
3243.00,89.94
3242.00,89.99
3241.00,90.04
3240.00,90.09
3239.00,90.14
3238.00,90.18
3237.00,90.23
3236.00,90.28
3235.00,90.33
3234.00,90.39
3233.00,90.43
3232.00,90.48
3231.00,90.53
3230.00,90.58
3229.00,90.64
3228.00,90.71
3227.00,90.78
3226.00,90.85
3225.00,90.90
3224.00,90.94
3223.00,90.97
3222.00,91.00
3221.00,91.04
3220.00,91.08
3219.00,91.14
3218.00,91.20
3217.00,91.25
3216.00,91.30
3215.00,91.34
3214.00,91.39
3213.00,91.45
3212.00,91.51
3211.00,91.57
3210.00,91.61
3209.00,91.65
3208.00,91.68
3207.00,91.72
3206.00,91.78
3205.00,91.84
3204.00,91.91
3203.00,91.98
3202.00,92.03
3201.00,92.07
3200.00,92.10
3199.00,92.14
3198.00,92.17
3197.00,92.21
3196.00,92.25
3195.00,92.29
3194.00,92.32
3193.00,92.36
3192.00,92.40
3191.00,92.45
3190.00,92.50
3189.00,92.55
3188.00,92.60
3187.00,92.64
3186.00,92.68
3185.00,92.72
3184.00,92.77
3183.00,92.82
3182.00,92.86
3181.00,92.88
3180.00,92.90
3179.00,92.92
3178.00,92.95
3177.00,92.98
3176.00,93.01
3175.00,93.05
3174.00,93.10
3173.00,93.15
3172.00,93.21
3171.00,93.26
3170.00,93.31
3169.00,93.35
3168.00,93.38
3167.00,93.40
3166.00,93.43
3165.00,93.46
3164.00,93.50
3163.00,93.54
3162.00,93.58
3161.00,93.60
3160.00,93.61
3159.00,93.63
3158.00,93.66
3157.00,93.70
3156.00,93.74
3155.00,93.79
3154.00,93.84
3153.00,93.90
3152.00,93.95
3151.00,93.98
3150.00,94.00
3149.00,94.01
3148.00,94.03
3147.00,94.05
3146.00,94.09
3145.00,94.12
3144.00,94.14
3143.00,94.17
3142.00,94.19
3141.00,94.21
3140.00,94.24
3139.00,94.28
3138.00,94.31
3137.00,94.34
3136.00,94.37
3135.00,94.41
3134.00,94.44
3133.00,94.46
3132.00,94.48
3131.00,94.50
3130.00,94.53
3129.00,94.56
3128.00,94.60
3127.00,94.63
3126.00,94.64
3125.00,94.66
3124.00,94.67
3123.00,94.71
3122.00,94.75
3121.00,94.79
3120.00,94.82
3119.00,94.85
3118.00,94.88
3117.00,94.92
3116.00,94.97
3115.00,95.00
3114.00,95.02
3113.00,95.03
3112.00,95.04
3111.00,95.07
3110.00,95.10
3109.00,95.12
3108.00,95.14
3107.00,95.16
3106.00,95.18
3105.00,95.20
3104.00,95.22
3103.00,95.24
3102.00,95.25
3101.00,95.26
3100.00,95.27
3099.00,95.30
3098.00,95.35
3097.00,95.41
3096.00,95.46
3095.00,95.48
3094.00,95.49
3093.00,95.51
3092.00,95.52
3091.00,95.54
3090.00,95.56
3089.00,95.58
3088.00,95.60
3087.00,95.61
3086.00,95.63
3085.00,95.66
3084.00,95.70
3083.00,95.74
3082.00,95.77
3081.00,95.78
3080.00,95.78
3079.00,95.79
3078.00,95.81
3077.00,95.84
3076.00,95.86
3075.00,95.88
3074.00,95.90
3073.00,95.92
3072.00,95.94
3071.00,95.96
3070.00,95.98
3069.00,96.00
3068.00,96.03
3067.00,96.04
3066.00,96.06
3065.00,96.07
3064.00,96.08
3063.00,96.10
3062.00,96.12
3061.00,96.15
3060.00,96.19
3059.00,96.22
3058.00,96.24
3057.00,96.25
3056.00,96.26
3055.00,96.27
3054.00,96.28
3053.00,96.29
3052.00,96.28
3051.00,96.29
3050.00,96.31
3049.00,96.35
3048.00,96.38
3047.00,96.40
3046.00,96.40
3045.00,96.40
3044.00,96.42
3043.00,96.45
3042.00,96.50
3041.00,96.54
3040.00,96.56
3039.00,96.57
3038.00,96.57
3037.00,96.56
3036.00,96.56
3035.00,96.56
3034.00,96.58
3033.00,96.60
3032.00,96.62
3031.00,96.63
3030.00,96.64
3029.00,96.65
3028.00,96.66
3027.00,96.67
3026.00,96.69
3025.00,96.70
3024.00,96.71
3023.00,96.73
3022.00,96.74
3021.00,96.76
3020.00,96.76
3019.00,96.76
3018.00,96.75
3017.00,96.75
3016.00,96.76
3015.00,96.77
3014.00,96.79
3013.00,96.81
3012.00,96.83
3011.00,96.84
3010.00,96.85
3009.00,96.87
3008.00,96.89
3007.00,96.90
3006.00,96.90
3005.00,96.90
3004.00,96.91
3003.00,96.92
3002.00,96.94
3001.00,96.95
3000.00,96.96
2999.00,96.95
2998.00,96.95
2997.00,96.96
2996.00,96.97
2995.00,96.97
2994.00,96.96
2993.00,96.95
2992.00,96.95
2991.00,96.95
2990.00,96.95
2989.00,96.95
2988.00,96.95
2987.00,96.96
2986.00,96.97
2985.00,96.98
2984.00,96.97
2983.00,96.96
2982.00,96.94
2981.00,96.91
2980.00,96.88
2979.00,96.86
2978.00,96.83
2977.00,96.80
2976.00,96.75
2975.00,96.70
2974.00,96.64
2973.00,96.59
2972.00,96.54
2971.00,96.49
2970.00,96.44
2969.00,96.41
2968.00,96.40
2967.00,96.40
2966.00,96.41
2965.00,96.42
2964.00,96.41
2963.00,96.40
2962.00,96.39
2961.00,96.36
2960.00,96.33
2959.00,96.30
2958.00,96.27
2957.00,96.24
2956.00,96.19
2955.00,96.14
2954.00,96.08
2953.00,96.02
2952.00,95.96
2951.00,95.91
2950.00,95.88
2949.00,95.84
2948.00,95.81
2947.00,95.77
2946.00,95.73
2945.00,95.69
2944.00,95.65
2943.00,95.61
2942.00,95.57
2941.00,95.55
2940.00,95.52
2939.00,95.50
2938.00,95.48
2937.00,95.46
2936.00,95.44
2935.00,95.43
2934.00,95.40
2933.00,95.36
2932.00,95.31
2931.00,95.25
2930.00,95.19
2929.00,95.14
2928.00,95.10
2927.00,95.04
2926.00,94.96
2925.00,94.85
2924.00,94.74
2923.00,94.65
2922.00,94.58
2921.00,94.52
2920.00,94.46
2919.00,94.39
2918.00,94.31
2917.00,94.26
2916.00,94.22
2915.00,94.19
2914.00,94.18
2913.00,94.17
2912.00,94.15
2911.00,94.13
2910.00,94.09
2909.00,94.06
2908.00,94.03
2907.00,94.00
2906.00,93.97
2905.00,93.95
