Created as New Dataset,187 Cortaulds
cm-1,%T
3648.00,102.79
3647.00,102.76
3646.00,102.74
3645.00,102.74
3644.00,102.74
3643.00,102.74
3642.00,102.73
3641.00,102.70
3640.00,102.67
3639.00,102.65
3638.00,102.63
3637.00,102.62
3636.00,102.62
3635.00,102.61
3634.00,102.60
3633.00,102.59
3632.00,102.57
3631.00,102.56
3630.00,102.56
3629.00,102.58
3628.00,102.58
3627.00,102.58
3626.00,102.56
3625.00,102.55
3624.00,102.53
3623.00,102.51
3622.00,102.48
3621.00,102.45
3620.00,102.42
3619.00,102.40
3618.00,102.39
3617.00,102.40
3616.00,102.40
3615.00,102.41
3614.00,102.42
3613.00,102.41
3612.00,102.39
3611.00,102.36
3610.00,102.33
3609.00,102.31
3608.00,102.30
3607.00,102.29
3606.00,102.29
3605.00,102.28
3604.00,102.26
3603.00,102.23
3602.00,102.19
3601.00,102.15
3600.00,102.12
3599.00,102.10
3598.00,102.10
3597.00,102.10
3596.00,102.09
3595.00,102.08
3594.00,102.07
3593.00,102.06
3592.00,102.05
3591.00,102.03
3590.00,101.99
3589.00,101.96
3588.00,101.93
3587.00,101.91
3586.00,101.89
3585.00,101.86
3584.00,101.82
3583.00,101.80
3582.00,101.80
3581.00,101.80
3580.00,101.81
3579.00,101.79
3578.00,101.75
3577.00,101.71
3576.00,101.66
3575.00,101.63
3574.00,101.60
3573.00,101.57
3572.00,101.54
3571.00,101.51
3570.00,101.49
3569.00,101.46
3568.00,101.43
3567.00,101.41
3566.00,101.40
3565.00,101.40
3564.00,101.39
3563.00,101.38
3562.00,101.36
3561.00,101.34
3560.00,101.31
3559.00,101.28
3558.00,101.27
3557.00,101.26
3556.00,101.25
3555.00,101.22
3554.00,101.18
3553.00,101.13
3552.00,101.09
3551.00,101.06
3550.00,101.03
3549.00,101.00
3548.00,100.97
3547.00,100.93
3546.00,100.90
3545.00,100.87
3544.00,100.85
3543.00,100.85
3542.00,100.87
3541.00,100.88
3540.00,100.88
3539.00,100.86
3538.00,100.83
3537.00,100.79
3536.00,100.77
3535.00,100.73
3534.00,100.69
3533.00,100.64
3532.00,100.60
3531.00,100.56
3530.00,100.54
3529.00,100.52
3528.00,100.49
3527.00,100.46
3526.00,100.43
3525.00,100.41
3524.00,100.39
3523.00,100.38
3522.00,100.36
3521.00,100.33
3520.00,100.29
3519.00,100.26
3518.00,100.22
3517.00,100.18
3516.00,100.13
3515.00,100.06
3514.00,100.00
3513.00,99.95
3512.00,99.91
3511.00,99.89
3510.00,99.88
3509.00,99.85
3508.00,99.81
3507.00,99.75
3506.00,99.69
3505.00,99.62
3504.00,99.56
3503.00,99.50
3502.00,99.45
3501.00,99.40
3500.00,99.35
3499.00,99.30
3498.00,99.25
3497.00,99.21
3496.00,99.16
3495.00,99.12
3494.00,99.08
3493.00,99.04
3492.00,98.99
3491.00,98.94
3490.00,98.88
3489.00,98.83
3488.00,98.79
3487.00,98.76
3486.00,98.72
3485.00,98.69
3484.00,98.67
3483.00,98.66
3482.00,98.67
3481.00,98.66
3480.00,98.64
3479.00,98.62
3478.00,98.59
3477.00,98.57
3476.00,98.54
3475.00,98.53
3474.00,98.53
3473.00,98.53
3472.00,98.53
3471.00,98.51
3470.00,98.49
3469.00,98.46
3468.00,98.42
3467.00,98.38
3466.00,98.34
3465.00,98.30
3464.00,98.27
3463.00,98.24
3462.00,98.20
3461.00,98.15
3460.00,98.11
3459.00,98.06
3458.00,98.01
3457.00,97.95
3456.00,97.91
3455.00,97.87
3454.00,97.83
3453.00,97.79
3452.00,97.74
3451.00,97.67
3450.00,97.61
3449.00,97.55
3448.00,97.50
3447.00,97.47
3446.00,97.44
3445.00,97.41
3444.00,97.38
3443.00,97.35
3442.00,97.33
3441.00,97.33
3440.00,97.32
3439.00,97.31
3438.00,97.29
3437.00,97.28
3436.00,97.27
3435.00,97.28
3434.00,97.29
3433.00,97.29
3432.00,97.28
3431.00,97.27
3430.00,97.27
3429.00,97.28
3428.00,97.28
3427.00,97.29
3426.00,97.28
3425.00,97.28
3424.00,97.27
3423.00,97.26
3422.00,97.25
3421.00,97.24
3420.00,97.22
3419.00,97.19
3418.00,97.16
3417.00,97.13
3416.00,97.11
3415.00,97.09
3414.00,97.08
3413.00,97.07
3412.00,97.08
3411.00,97.07
3410.00,97.04
3409.00,97.00
3408.00,96.96
3407.00,96.92
3406.00,96.90
3405.00,96.90
3404.00,96.91
3403.00,96.91
3402.00,96.89
3401.00,96.87
3400.00,96.85
3399.00,96.83
3398.00,96.81
3397.00,96.79
3396.00,96.77
3395.00,96.75
3394.00,96.73
3393.00,96.73
3392.00,96.74
3391.00,96.74
3390.00,96.74
3389.00,96.72
3388.00,96.69
3387.00,96.68
3386.00,96.69
3385.00,96.69
3384.00,96.68
3383.00,96.66
3382.00,96.64
3381.00,96.62
3380.00,96.61
3379.00,96.58
3378.00,96.55
3377.00,96.51
3376.00,96.47
3375.00,96.44
