Created as New Dataset,15.3 Red Wool sheep very fine
cm-1,%T
3649.00,96.12
3648.00,96.12
3647.00,96.14
3646.00,96.18
3645.00,96.19
3644.00,96.20
3643.00,96.20
3642.00,96.21
3641.00,96.20
3640.00,96.17
3639.00,96.13
3638.00,96.10
3637.00,96.09
3636.00,96.08
3635.00,96.08
3634.00,96.07
3633.00,96.04
3632.00,95.98
3631.00,95.90
3630.00,95.85
3629.00,95.80
3628.00,95.77
3627.00,95.75
3626.00,95.76
3625.00,95.77
3624.00,95.78
3623.00,95.77
3622.00,95.75
3621.00,95.71
3620.00,95.69
3619.00,95.67
3618.00,95.65
3617.00,95.63
3616.00,95.61
3615.00,95.59
3614.00,95.58
3613.00,95.57
3612.00,95.55
3611.00,95.54
3610.00,95.51
3609.00,95.49
3608.00,95.47
3607.00,95.45
3606.00,95.45
3605.00,95.46
3604.00,95.46
3603.00,95.46
3602.00,95.45
3601.00,95.44
3600.00,95.42
3599.00,95.40
3598.00,95.37
3597.00,95.33
3596.00,95.29
3595.00,95.26
3594.00,95.23
3593.00,95.21
3592.00,95.20
3591.00,95.19
3590.00,95.18
3589.00,95.16
3588.00,95.15
3587.00,95.13
3586.00,95.10
3585.00,95.07
3584.00,95.06
3583.00,95.05
3582.00,95.05
3581.00,95.05
3580.00,95.05
3579.00,95.05
3578.00,95.04
3577.00,95.01
3576.00,94.98
3575.00,94.94
3574.00,94.91
3573.00,94.88
3572.00,94.85
3571.00,94.81
3570.00,94.77
3569.00,94.72
3568.00,94.66
3567.00,94.62
3566.00,94.60
3565.00,94.60
3564.00,94.61
3563.00,94.61
3562.00,94.61
3561.00,94.59
3560.00,94.57
3559.00,94.55
3558.00,94.53
3557.00,94.50
3556.00,94.46
3555.00,94.43
3554.00,94.40
3553.00,94.38
3552.00,94.36
3551.00,94.34
3550.00,94.32
3549.00,94.28
3548.00,94.24
3547.00,94.20
3546.00,94.15
3545.00,94.11
3544.00,94.09
3543.00,94.09
3542.00,94.11
3541.00,94.12
3540.00,94.11
3539.00,94.10
3538.00,94.08
3537.00,94.06
3536.00,94.06
3535.00,94.06
3534.00,94.05
3533.00,94.02
3532.00,93.99
3531.00,93.94
3530.00,93.88
3529.00,93.83
3528.00,93.79
3527.00,93.76
3526.00,93.74
3525.00,93.73
3524.00,93.73
3523.00,93.73
3522.00,93.73
3521.00,93.72
3520.00,93.70
3519.00,93.67
3518.00,93.65
3517.00,93.64
3516.00,93.63
3515.00,93.60
3514.00,93.56
3513.00,93.52
3512.00,93.48
3511.00,93.47
3510.00,93.48
3509.00,93.49
3508.00,93.50
3507.00,93.49
3506.00,93.46
3505.00,93.44
3504.00,93.41
3503.00,93.39
3502.00,93.36
3501.00,93.33
3500.00,93.32
3499.00,93.32
3498.00,93.34
3497.00,93.36
3496.00,93.38
3495.00,93.38
3494.00,93.37
3493.00,93.33
3492.00,93.30
3491.00,93.29
3490.00,93.27
3489.00,93.24
3488.00,93.19
3487.00,93.15
3486.00,93.12
3485.00,93.10
3484.00,93.09
3483.00,93.07
3482.00,93.04
3481.00,93.02
3480.00,93.01
3479.00,93.00
3478.00,92.98
3477.00,92.95
3476.00,92.91
3475.00,92.88
3474.00,92.86
3473.00,92.86
3472.00,92.86
3471.00,92.87
3470.00,92.87
3469.00,92.86
3468.00,92.83
3467.00,92.79
3466.00,92.76
3465.00,92.73
3464.00,92.72
3463.00,92.70
3462.00,92.68
3461.00,92.67
3460.00,92.65
3459.00,92.64
3458.00,92.64
3457.00,92.63
3456.00,92.64
3455.00,92.63
3454.00,92.61
3453.00,92.58
3452.00,92.54
3451.00,92.52
3450.00,92.51
3449.00,92.50
3448.00,92.48
3447.00,92.46
3446.00,92.44
3445.00,92.41
3444.00,92.39
3443.00,92.35
3442.00,92.32
3441.00,92.29
3440.00,92.28
3439.00,92.28
3438.00,92.29
3437.00,92.28
3436.00,92.27
3435.00,92.25
3434.00,92.23
3433.00,92.21
3432.00,92.18
3431.00,92.15
3430.00,92.12
3429.00,92.09
3428.00,92.07
3427.00,92.06
3426.00,92.05
3425.00,92.03
3424.00,92.00
3423.00,91.97
3422.00,91.94
3421.00,91.91
3420.00,91.89
3419.00,91.88
3418.00,91.88
3417.00,91.88
3416.00,91.88
