Created as New Dataset,14.4 Red Wool Sheep felt handmade
cm-1,%T
3649.00,96.44
3648.00,96.44
3647.00,96.44
3646.00,96.44
3645.00,96.43
3644.00,96.42
3643.00,96.41
3642.00,96.40
3641.00,96.39
3640.00,96.38
3639.00,96.37
3638.00,96.34
3637.00,96.31
3636.00,96.28
3635.00,96.26
3634.00,96.26
3633.00,96.25
3632.00,96.23
3631.00,96.20
3630.00,96.16
3629.00,96.12
3628.00,96.09
3627.00,96.07
3626.00,96.05
3625.00,96.03
3624.00,96.01
3623.00,95.99
3622.00,95.97
3621.00,95.95
3620.00,95.95
3619.00,95.95
3618.00,95.94
3617.00,95.91
3616.00,95.87
3615.00,95.82
3614.00,95.79
3613.00,95.76
3612.00,95.73
3611.00,95.69
3610.00,95.66
3609.00,95.64
3608.00,95.63
3607.00,95.64
3606.00,95.63
3605.00,95.62
3604.00,95.60
3603.00,95.57
3602.00,95.54
3601.00,95.51
3600.00,95.47
3599.00,95.44
3598.00,95.42
3597.00,95.40
3596.00,95.38
3595.00,95.38
3594.00,95.37
3593.00,95.35
3592.00,95.33
3591.00,95.29
3590.00,95.26
3589.00,95.23
3588.00,95.20
3587.00,95.16
3586.00,95.14
3585.00,95.13
3584.00,95.13
3583.00,95.14
3582.00,95.14
3581.00,95.13
3580.00,95.10
3579.00,95.08
3578.00,95.04
3577.00,95.00
3576.00,94.96
3575.00,94.92
3574.00,94.90
3573.00,94.88
3572.00,94.86
3571.00,94.83
3570.00,94.79
3569.00,94.73
3568.00,94.67
3567.00,94.62
3566.00,94.61
3565.00,94.61
3564.00,94.61
3563.00,94.60
3562.00,94.57
3561.00,94.55
3560.00,94.52
3559.00,94.48
3558.00,94.44
3557.00,94.40
3556.00,94.36
3555.00,94.33
3554.00,94.31
3553.00,94.29
3552.00,94.28
3551.00,94.26
3550.00,94.24
3549.00,94.23
3548.00,94.21
3547.00,94.20
3546.00,94.19
3545.00,94.16
3544.00,94.13
3543.00,94.09
3542.00,94.05
3541.00,94.03
3540.00,94.02
3539.00,94.00
3538.00,93.99
3537.00,93.96
3536.00,93.93
3535.00,93.89
3534.00,93.84
3533.00,93.78
3532.00,93.71
3531.00,93.67
3530.00,93.65
3529.00,93.65
3528.00,93.68
3527.00,93.71
3526.00,93.72
3525.00,93.70
3524.00,93.67
3523.00,93.63
3522.00,93.59
3521.00,93.56
3520.00,93.53
3519.00,93.50
3518.00,93.47
3517.00,93.44
3516.00,93.41
3515.00,93.38
3514.00,93.35
3513.00,93.33
3512.00,93.31
3511.00,93.29
3510.00,93.28
3509.00,93.27
3508.00,93.26
3507.00,93.25
3506.00,93.24
3505.00,93.22
3504.00,93.19
3503.00,93.15
3502.00,93.12
3501.00,93.10
