Created as New Dataset,Linen/SS (NC)
cm-1,%T
3648.00,95.88
3647.00,95.85
3646.00,95.83
3645.00,95.82
3644.00,95.80
3643.00,95.79
3642.00,95.76
3641.00,95.74
3640.00,95.73
3639.00,95.70
3638.00,95.67
3637.00,95.63
3636.00,95.59
3635.00,95.54
3634.00,95.50
3633.00,95.45
3632.00,95.39
3631.00,95.34
3630.00,95.30
3629.00,95.27
3628.00,95.23
3627.00,95.19
3626.00,95.17
3625.00,95.16
3624.00,95.14
3623.00,95.11
3622.00,95.06
3621.00,95.00
3620.00,94.94
3619.00,94.88
3618.00,94.82
3617.00,94.77
3616.00,94.73
3615.00,94.69
3614.00,94.66
3613.00,94.62
3612.00,94.58
3611.00,94.56
3610.00,94.53
3609.00,94.50
3608.00,94.45
3607.00,94.37
3606.00,94.30
3605.00,94.24
3604.00,94.20
3603.00,94.18
3602.00,94.15
3601.00,94.11
3600.00,94.06
3599.00,94.00
3598.00,93.94
3597.00,93.88
3596.00,93.84
3595.00,93.80
3594.00,93.75
3593.00,93.69
3592.00,93.63
3591.00,93.57
3590.00,93.51
3589.00,93.46
3588.00,93.40
3587.00,93.32
3586.00,93.24
3585.00,93.17
3584.00,93.12
3583.00,93.07
3582.00,93.01
3581.00,92.96
3580.00,92.90
3579.00,92.86
3578.00,92.83
3577.00,92.79
3576.00,92.74
3575.00,92.69
3574.00,92.62
3573.00,92.53
3572.00,92.44
3571.00,92.35
3570.00,92.27
3569.00,92.20
3568.00,92.12
3567.00,92.03
3566.00,91.93
3565.00,91.85
3564.00,91.78
3563.00,91.74
3562.00,91.71
3561.00,91.68
3560.00,91.64
3559.00,91.57
3558.00,91.49
3557.00,91.41
3556.00,91.36
3555.00,91.32
3554.00,91.28
3553.00,91.22
3552.00,91.14
3551.00,91.05
3550.00,90.96
3549.00,90.88
3548.00,90.81
3547.00,90.74
3546.00,90.66
3545.00,90.56
3544.00,90.46
3543.00,90.37
3542.00,90.30
3541.00,90.25
3540.00,90.20
3539.00,90.14
3538.00,90.09
3537.00,90.02
3536.00,89.95
3535.00,89.87
3534.00,89.79
3533.00,89.72
3532.00,89.66
3531.00,89.60
3530.00,89.53
3529.00,89.45
3528.00,89.37
3527.00,89.27
3526.00,89.18
3525.00,89.09
3524.00,89.01
3523.00,88.94
3522.00,88.87
3521.00,88.81
3520.00,88.75
3519.00,88.69
3518.00,88.62
3517.00,88.54
3516.00,88.46
3515.00,88.36
3514.00,88.27
3513.00,88.18
3512.00,88.09
3511.00,88.01
3510.00,87.94
3509.00,87.86
3508.00,87.79
3507.00,87.71
3506.00,87.63
3505.00,87.55
3504.00,87.47
3503.00,87.38
3502.00,87.29
3501.00,87.20
3500.00,87.09
3499.00,86.99
3498.00,86.89
3497.00,86.80
3496.00,86.72
3495.00,86.64
3494.00,86.55
3493.00,86.45
3492.00,86.35
3491.00,86.25
3490.00,86.15
3489.00,86.05
3488.00,85.95
3487.00,85.84
3486.00,85.73
3485.00,85.62
3484.00,85.52
3483.00,85.44
3482.00,85.37
3481.00,85.29
3480.00,85.19
3479.00,85.09
3478.00,84.98
3477.00,84.87
3476.00,84.75
3475.00,84.65
3474.00,84.54
3473.00,84.45
3472.00,84.37
3471.00,84.28
3470.00,84.18
3469.00,84.07
3468.00,83.96
3467.00,83.85
3466.00,83.73
3465.00,83.62
3464.00,83.50
3463.00,83.39
3462.00,83.28
3461.00,83.17
3460.00,83.08
3459.00,82.99
3458.00,82.89
3457.00,82.79
3456.00,82.67
3455.00,82.55
3454.00,82.44
3453.00,82.34
3452.00,82.24
3451.00,82.14
3450.00,82.02
3449.00,81.89
3448.00,81.77
3447.00,81.67
3446.00,81.58
3445.00,81.49
3444.00,81.41
3443.00,81.31
3442.00,81.21
3441.00,81.09
3440.00,80.98
3439.00,80.87
3438.00,80.77
3437.00,80.67
3436.00,80.57
3435.00,80.48
3434.00,80.38
3433.00,80.27
3432.00,80.15
3431.00,80.04
3430.00,79.93
3429.00,79.82
3428.00,79.73
3427.00,79.63
3426.00,79.52
3425.00,79.40
3424.00,79.27
3423.00,79.14
3422.00,79.03
3421.00,78.92
3420.00,78.82
3419.00,78.71
3418.00,78.58
3417.00,78.44
3416.00,78.30
3415.00,78.16
3414.00,78.04
3413.00,77.94
3412.00,77.84
3411.00,77.75
3410.00,77.64
3409.00,77.53
3408.00,77.43
3407.00,77.32
3406.00,77.22
3405.00,77.11
3404.00,77.01
3403.00,76.91
3402.00,76.81
3401.00,76.73
3400.00,76.64
3399.00,76.56
3398.00,76.49
3397.00,76.41
3396.00,76.34
3395.00,76.27
3394.00,76.19
3393.00,76.11
3392.00,76.03
3391.00,75.95
3390.00,75.88
3389.00,75.79
3388.00,75.70
3387.00,75.62
3386.00,75.53
3385.00,75.44
3384.00,75.34
3383.00,75.22
3382.00,75.11
3381.00,75.01
3380.00,74.91
3379.00,74.82
3378.00,74.73
3377.00,74.63
3376.00,74.52
3375.00,74.40
3374.00,74.28
3373.00,74.17
3372.00,74.07
3371.00,73.97
3370.00,73.86
3369.00,73.74
3368.00,73.61
3367.00,73.49
3366.00,73.38
3365.00,73.28
3364.00,73.18
3363.00,73.08
3362.00,72.97
3361.00,72.84
3360.00,72.71
3359.00,72.58
3358.00,72.44
3357.00,72.31
3356.00,72.17
3355.00,72.04
3354.00,71.91
3353.00,71.79
3352.00,71.67
3351.00,71.57
3350.00,71.46
3349.00,71.35
3348.00,71.23
3347.00,71.10
3346.00,70.96
3345.00,70.83
3344.00,70.71
3343.00,70.61
3342.00,70.52
3341.00,70.45
3340.00,70.39
3339.00,70.34
3338.00,70.30
3337.00,70.24
3336.00,70.19
3335.00,70.14
3334.00,70.12
3333.00,70.12
3332.00,70.13
3331.00,70.15
3330.00,70.16
3329.00,70.18
3328.00,70.23
3327.00,70.29
3326.00,70.35
3325.00,70.42
3324.00,70.47
3323.00,70.51
3322.00,70.56
3321.00,70.62
3320.00,70.69
3319.00,70.77
3318.00,70.83
3317.00,70.89
3316.00,70.94
3315.00,71.00
3314.00,71.05
3313.00,71.08
3312.00,71.11
3311.00,71.14
3310.00,71.16
3309.00,71.19
3308.00,71.21
3307.00,71.22
3306.00,71.21
3305.00,71.20
3304.00,71.20
3303.00,71.21
3302.00,71.22
3301.00,71.21
3300.00,71.20
3299.00,71.20
3298.00,71.22
3297.00,71.24
3296.00,71.27
3295.00,71.28
3294.00,71.28
3293.00,71.29
3292.00,71.30
3291.00,71.31
3290.00,71.32
3289.00,71.33
3288.00,71.34
3287.00,71.36
3286.00,71.37
3285.00,71.39
3284.00,71.43
3283.00,71.47
3282.00,71.51
3281.00,71.54
3280.00,71.57
3279.00,71.61
3278.00,71.66
3277.00,71.71
3276.00,71.76
3275.00,71.81
3274.00,71.86
3273.00,71.92
3272.00,71.98
3271.00,72.05
3270.00,72.14
3269.00,72.23
3268.00,72.33
3267.00,72.43
3266.00,72.54
3265.00,72.64
3264.00,72.74
3263.00,72.84
3262.00,72.96
3261.00,73.08
3260.00,73.22
3259.00,73.36
3258.00,73.50
3257.00,73.63
3256.00,73.75
3255.00,73.87
3254.00,74.00
3253.00,74.13
3252.00,74.26
3251.00,74.39
3250.00,74.52
3249.00,74.64
3248.00,74.77
3247.00,74.91
3246.00,75.04
3245.00,75.18
3244.00,75.31
3243.00,75.42
3242.00,75.52
3241.00,75.61
3240.00,75.71
3239.00,75.82
3238.00,75.93
3237.00,76.04
3236.00,76.16
3235.00,76.28
3234.00,76.40
3233.00,76.52
3232.00,76.64
3231.00,76.76
3230.00,76.86
3229.00,76.95
3228.00,77.03
3227.00,77.11
3226.00,77.21
3225.00,77.33
3224.00,77.45
3223.00,77.58
3222.00,77.70
3221.00,77.82
3220.00,77.94
3219.00,78.05
3218.00,78.17
3217.00,78.29
3216.00,78.41
3215.00,78.53
3214.00,78.64
3213.00,78.75
3212.00,78.86
3211.00,78.97
3210.00,79.08
3209.00,79.19
3208.00,79.31
3207.00,79.44
3206.00,79.56
3205.00,79.67
3204.00,79.78
3203.00,79.90
3202.00,80.01
3201.00,80.11
3200.00,80.20
3199.00,80.30
3198.00,80.40
3197.00,80.50
3196.00,80.61
3195.00,80.72
3194.00,80.81
3193.00,80.90
3192.00,80.98
3191.00,81.07
3190.00,81.17
3189.00,81.28
3188.00,81.40
3187.00,81.50
3186.00,81.59
3185.00,81.67
3184.00,81.76
3183.00,81.86
3182.00,81.96
3181.00,82.06
3180.00,82.15
3179.00,82.25
3178.00,82.35
3177.00,82.44
3176.00,82.52
3175.00,82.61
3174.00,82.70
3173.00,82.78
3172.00,82.87
3171.00,82.95
3170.00,83.01
3169.00,83.08
3168.00,83.15
3167.00,83.23
3166.00,83.32
3165.00,83.42
3164.00,83.52
3163.00,83.62
3162.00,83.72
3161.00,83.82
3160.00,83.91
3159.00,83.99
3158.00,84.06
3157.00,84.14
3156.00,84.21
3155.00,84.28
3154.00,84.35
3153.00,84.42
3152.00,84.51
3151.00,84.60
3150.00,84.69
3149.00,84.77
3148.00,84.83
3147.00,84.90
3146.00,84.97
3145.00,85.05
3144.00,85.13
3143.00,85.20
3142.00,85.27
3141.00,85.34
3140.00,85.41
3139.00,85.49
3138.00,85.55
3137.00,85.61
3136.00,85.66
3135.00,85.73
3134.00,85.80
3133.00,85.89
3132.00,85.99
3131.00,86.07
3130.00,86.15
3129.00,86.22
3128.00,86.28
3127.00,86.33
3126.00,86.40
3125.00,86.46
3124.00,86.53
3123.00,86.59
3122.00,86.65
3121.00,86.72
3120.00,86.79
3119.00,86.86
3118.00,86.94
3117.00,87.00
3116.00,87.06
3115.00,87.11
3114.00,87.17
3113.00,87.23
3112.00,87.29
