Created as New Dataset,127 Shaw Industries
cm-1,%T
3648.00,100.96
3647.00,100.95
3646.00,100.94
3645.00,100.93
3644.00,100.93
3643.00,100.92
3642.00,100.91
3641.00,100.91
3640.00,100.89
3639.00,100.88
3638.00,100.87
3637.00,100.87
3636.00,100.89
3635.00,100.92
3634.00,100.96
3633.00,101.00
3632.00,101.00
3631.00,100.96
3630.00,100.91
3629.00,100.89
3628.00,100.90
3627.00,100.92
3626.00,100.91
3625.00,100.89
3624.00,100.90
3623.00,100.93
3622.00,100.95
3621.00,100.96
3620.00,100.97
3619.00,100.97
3618.00,100.98
3617.00,100.98
3616.00,100.96
3615.00,100.93
3614.00,100.90
3613.00,100.87
3612.00,100.85
3611.00,100.81
3610.00,100.79
3609.00,100.77
3608.00,100.79
3607.00,100.82
3606.00,100.85
3605.00,100.86
3604.00,100.87
3603.00,100.87
3602.00,100.88
3601.00,100.88
3600.00,100.89
3599.00,100.91
3598.00,100.93
3597.00,100.95
3596.00,100.96
3595.00,100.96
3594.00,100.96
3593.00,100.96
3592.00,100.95
3591.00,100.93
3590.00,100.91
3589.00,100.88
3588.00,100.85
3587.00,100.84
3586.00,100.85
3585.00,100.87
3584.00,100.88
3583.00,100.88
3582.00,100.88
3581.00,100.88
3580.00,100.88
3579.00,100.90
3578.00,100.92
3577.00,100.94
3576.00,100.95
3575.00,100.95
3574.00,100.95
3573.00,100.94
3572.00,100.94
3571.00,100.94
3570.00,100.93
3569.00,100.90
3568.00,100.88
3567.00,100.86
3566.00,100.86
3565.00,100.86
3564.00,100.85
3563.00,100.86
3562.00,100.88
3561.00,100.91
3560.00,100.93
3559.00,100.93
3558.00,100.91
3557.00,100.89
3556.00,100.87
3555.00,100.86
3554.00,100.86
3553.00,100.86
3552.00,100.87
3551.00,100.88
3550.00,100.88
3549.00,100.87
3548.00,100.85
3547.00,100.84
3546.00,100.83
3545.00,100.82
3544.00,100.80
3543.00,100.76
3542.00,100.74
3541.00,100.74
3540.00,100.77
3539.00,100.80
3538.00,100.82
3537.00,100.83
3536.00,100.83
3535.00,100.83
3534.00,100.83
3533.00,100.84
3532.00,100.83
3531.00,100.83
3530.00,100.81
3529.00,100.80
3528.00,100.79
3527.00,100.79
3526.00,100.80
3525.00,100.81
3524.00,100.82
3523.00,100.82
3522.00,100.81
3521.00,100.80
3520.00,100.81
3519.00,100.82
3518.00,100.84
3517.00,100.84
3516.00,100.84
3515.00,100.84
3514.00,100.84
3513.00,100.85
3512.00,100.85
3511.00,100.84
3510.00,100.82
3509.00,100.79
3508.00,100.76
3507.00,100.74
3506.00,100.74
3505.00,100.75
3504.00,100.78
3503.00,100.80
3502.00,100.82
3501.00,100.81
3500.00,100.80
3499.00,100.77
3498.00,100.74
3497.00,100.73
3496.00,100.74
3495.00,100.77
3494.00,100.80
3493.00,100.83
3492.00,100.85
3491.00,100.85
3490.00,100.85
3489.00,100.84
3488.00,100.84
3487.00,100.85
3486.00,100.86
3485.00,100.86
3484.00,100.85
3483.00,100.84
3482.00,100.82
3481.00,100.81
3480.00,100.78
3479.00,100.77
3478.00,100.76
3477.00,100.76
3476.00,100.75
3475.00,100.74
3474.00,100.73
3473.00,100.72
3472.00,100.72
3471.00,100.72
3470.00,100.72
3469.00,100.74
3468.00,100.77
3467.00,100.79
3466.00,100.80
3465.00,100.80
3464.00,100.79
3463.00,100.78
3462.00,100.77
3461.00,100.76
3460.00,100.76
3459.00,100.76
3458.00,100.75
3457.00,100.74
3456.00,100.72
3455.00,100.71
3454.00,100.71
3453.00,100.72
3452.00,100.73
3451.00,100.75
3450.00,100.75
3449.00,100.73
3448.00,100.72
3447.00,100.71
3446.00,100.71
3445.00,100.71
3444.00,100.72
3443.00,100.72
3442.00,100.73
3441.00,100.72
3440.00,100.72
3439.00,100.72
3438.00,100.72
3437.00,100.72
3436.00,100.73
3435.00,100.73
3434.00,100.74
3433.00,100.74
3432.00,100.73
3431.00,100.72
3430.00,100.70
3429.00,100.68
3428.00,100.67
3427.00,100.67
3426.00,100.66
3425.00,100.66
3424.00,100.67
3423.00,100.69
3422.00,100.71
3421.00,100.73
3420.00,100.74
3419.00,100.74
3418.00,100.74
3417.00,100.73
3416.00,100.72
3415.00,100.71
3414.00,100.70
3413.00,100.69
3412.00,100.69
3411.00,100.68
3410.00,100.66
3409.00,100.65
3408.00,100.65
3407.00,100.67
3406.00,100.70
3405.00,100.74
3404.00,100.76
3403.00,100.77
3402.00,100.76
3401.00,100.75
3400.00,100.74
3399.00,100.73
3398.00,100.73
3397.00,100.74
3396.00,100.76
3395.00,100.76
3394.00,100.76
3393.00,100.75
3392.00,100.73
3391.00,100.70
3390.00,100.68
3389.00,100.67
3388.00,100.68
3387.00,100.69
3386.00,100.70
3385.00,100.69
3384.00,100.68
3383.00,100.67
3382.00,100.68
3381.00,100.69
3380.00,100.70
3379.00,100.69
3378.00,100.67
3377.00,100.64
3376.00,100.62
3375.00,100.63
3374.00,100.65
3373.00,100.67
3372.00,100.68
3371.00,100.68
3370.00,100.67
3369.00,100.67
3368.00,100.67
3367.00,100.68
3366.00,100.70
3365.00,100.70
3364.00,100.70
3363.00,100.69
3362.00,100.68
3361.00,100.68
3360.00,100.70
3359.00,100.71
3358.00,100.72
3357.00,100.72
3356.00,100.71
3355.00,100.69
3354.00,100.67
3353.00,100.66
3352.00,100.66
3351.00,100.66
3350.00,100.66
3349.00,100.65
3348.00,100.65
3347.00,100.65
3346.00,100.65
3345.00,100.67
3344.00,100.68
3343.00,100.69
