Created as New Dataset,12.3 Lincoln Sheep
cm-1,%T
3648.00,100.05
3647.00,100.01
3646.00,100.01
3645.00,100.01
3644.00,100.02
3643.00,100.03
3642.00,100.02
3641.00,100.00
3640.00,99.97
3639.00,99.94
3638.00,99.91
3637.00,99.90
3636.00,99.89
3635.00,99.89
3634.00,99.89
3633.00,99.86
3632.00,99.81
3631.00,99.74
3630.00,99.69
3629.00,99.64
3628.00,99.60
3627.00,99.57
3626.00,99.57
3625.00,99.57
3624.00,99.56
3623.00,99.53
3622.00,99.48
3621.00,99.44
3620.00,99.41
3619.00,99.37
3618.00,99.33
3617.00,99.28
3616.00,99.23
3615.00,99.19
3614.00,99.16
3613.00,99.14
3612.00,99.11
3611.00,99.09
3610.00,99.08
3609.00,99.07
3608.00,99.04
3607.00,99.00
3606.00,98.96
3605.00,98.93
3604.00,98.91
3603.00,98.89
3602.00,98.87
3601.00,98.84
3600.00,98.80
3599.00,98.76
3598.00,98.74
3597.00,98.71
3596.00,98.68
3595.00,98.65
3594.00,98.61
3593.00,98.57
3592.00,98.52
3591.00,98.47
3590.00,98.43
3589.00,98.38
3588.00,98.33
3587.00,98.28
3586.00,98.23
3585.00,98.21
3584.00,98.19
3583.00,98.18
3582.00,98.16
3581.00,98.13
3580.00,98.09
3579.00,98.05
3578.00,98.01
3577.00,97.97
3576.00,97.92
3575.00,97.87
3574.00,97.82
3573.00,97.77
3572.00,97.73
3571.00,97.69
3570.00,97.65
3569.00,97.61
3568.00,97.58
3567.00,97.55
3566.00,97.50
3565.00,97.44
3564.00,97.37
3563.00,97.32
3562.00,97.29
3561.00,97.26
3560.00,97.23
3559.00,97.18
3558.00,97.13
3557.00,97.08
3556.00,97.04
3555.00,97.00
3554.00,96.96
3553.00,96.93
3552.00,96.91
3551.00,96.89
3550.00,96.86
3549.00,96.82
3548.00,96.75
3547.00,96.66
3546.00,96.57
3545.00,96.51
3544.00,96.49
3543.00,96.47
3542.00,96.45
3541.00,96.41
3540.00,96.35
3539.00,96.29
3538.00,96.23
3537.00,96.18
3536.00,96.14
3535.00,96.10
3534.00,96.07
3533.00,96.04
3532.00,96.01
3531.00,95.98
3530.00,95.93
3529.00,95.87
3528.00,95.80
3527.00,95.74
3526.00,95.71
3525.00,95.69
3524.00,95.67
3523.00,95.65
3522.00,95.60
3521.00,95.56
3520.00,95.53
3519.00,95.50
3518.00,95.47
3517.00,95.44
3516.00,95.40
3515.00,95.37
3514.00,95.32
3513.00,95.27
3512.00,95.22
3511.00,95.17
3510.00,95.13
3509.00,95.09
3508.00,95.07
3507.00,95.05
3506.00,95.03
3505.00,95.00
3504.00,94.96
3503.00,94.92
3502.00,94.88
3501.00,94.84
3500.00,94.79
3499.00,94.74
3498.00,94.70
3497.00,94.66
3496.00,94.63
3495.00,94.61
3494.00,94.59
3493.00,94.56
3492.00,94.54
3491.00,94.51
3490.00,94.49
3489.00,94.47
3488.00,94.44
3487.00,94.40
3486.00,94.35
3485.00,94.30
3484.00,94.25
3483.00,94.22
3482.00,94.19
3481.00,94.17
3480.00,94.15
3479.00,94.14
3478.00,94.11
3477.00,94.08
3476.00,94.02
3475.00,93.96
3474.00,93.92
3473.00,93.88
3472.00,93.86
3471.00,93.84
3470.00,93.82
3469.00,93.80
3468.00,93.77
3467.00,93.73
3466.00,93.69
3465.00,93.65
3464.00,93.62
3463.00,93.61
3462.00,93.61
3461.00,93.59
3460.00,93.56
3459.00,93.52
3458.00,93.47
3457.00,93.42
3456.00,93.37
3455.00,93.33
3454.00,93.31
3453.00,93.30
3452.00,93.28
3451.00,93.25
3450.00,93.21
3449.00,93.17
3448.00,93.13
3447.00,93.10
3446.00,93.07
3445.00,93.05
3444.00,93.03
3443.00,93.01
3442.00,92.99
3441.00,92.97
3440.00,92.95
3439.00,92.94
3438.00,92.91
3437.00,92.88
3436.00,92.82
3435.00,92.77
3434.00,92.73
3433.00,92.71
3432.00,92.70
3431.00,92.71
3430.00,92.70
3429.00,92.68
3428.00,92.65
3427.00,92.61
3426.00,92.57
3425.00,92.54
3424.00,92.50
3423.00,92.47
3422.00,92.44
3421.00,92.42
3420.00,92.39
3419.00,92.37
3418.00,92.35
3417.00,92.33
3416.00,92.31
3415.00,92.29
3414.00,92.26
3413.00,92.23
3412.00,92.20
3411.00,92.17
3410.00,92.15
3409.00,92.14
3408.00,92.11
3407.00,92.06
3406.00,92.01
3405.00,91.96
3404.00,91.92
3403.00,91.89
3402.00,91.86
3401.00,91.83
3400.00,91.80
3399.00,91.77
3398.00,91.74
3397.00,91.70
3396.00,91.65
3395.00,91.62
3394.00,91.61
3393.00,91.60
3392.00,91.59
3391.00,91.57
3390.00,91.54
3389.00,91.50
3388.00,91.47
3387.00,91.45
3386.00,91.43
3385.00,91.41
3384.00,91.40
3383.00,91.38
3382.00,91.35
3381.00,91.32
3380.00,91.28
3379.00,91.24
3378.00,91.20
3377.00,91.18
3376.00,91.17
3375.00,91.17
3374.00,91.16
3373.00,91.15
3372.00,91.12
3371.00,91.08
3370.00,91.02
3369.00,90.97
3368.00,90.93
3367.00,90.90
3366.00,90.88
3365.00,90.86
3364.00,90.82
3363.00,90.78
3362.00,90.74
3361.00,90.71
3360.00,90.67
3359.00,90.62
3358.00,90.57
3357.00,90.52
3356.00,90.48
3355.00,90.45
3354.00,90.42
3353.00,90.40
3352.00,90.39
3351.00,90.37
3350.00,90.34
3349.00,90.29
