Created as New Dataset,15.4 Red Wool sheep with much darker fibres natural
cm-1,%T
3649.00,100.31
3648.00,100.32
3647.00,100.32
3646.00,100.28
3645.00,100.22
3644.00,100.15
3643.00,100.08
3642.00,100.01
3641.00,99.95
3640.00,99.90
3639.00,99.86
3638.00,99.85
3637.00,99.85
3636.00,99.87
3635.00,99.88
3634.00,99.89
3633.00,99.93
3632.00,99.99
3631.00,100.05
3630.00,100.07
3629.00,100.02
3628.00,99.99
3627.00,99.99
3626.00,100.00
3625.00,99.96
3624.00,99.89
3623.00,99.85
3622.00,99.85
3621.00,99.88
3620.00,99.88
3619.00,99.86
3618.00,99.83
3617.00,99.83
3616.00,99.85
3615.00,99.85
3614.00,99.83
3613.00,99.78
3612.00,99.73
3611.00,99.71
3610.00,99.71
3609.00,99.72
3608.00,99.73
3607.00,99.74
3606.00,99.71
3605.00,99.67
3604.00,99.61
3603.00,99.56
3602.00,99.53
3601.00,99.52
3600.00,99.52
3599.00,99.51
3598.00,99.49
3597.00,99.46
3596.00,99.43
3595.00,99.41
3594.00,99.39
3593.00,99.37
3592.00,99.37
3591.00,99.39
3590.00,99.44
3589.00,99.48
3588.00,99.49
3587.00,99.44
3586.00,99.38
3585.00,99.31
3584.00,99.24
3583.00,99.21
3582.00,99.20
3581.00,99.21
3580.00,99.22
3579.00,99.21
3578.00,99.20
3577.00,99.17
3576.00,99.14
3575.00,99.11
3574.00,99.10
3573.00,99.11
3572.00,99.13
3571.00,99.17
3570.00,99.21
3569.00,99.25
3568.00,99.25
3567.00,99.23
3566.00,99.18
3565.00,99.13
3564.00,99.08
3563.00,99.04
3562.00,99.00
3561.00,98.97
3560.00,98.94
3559.00,98.92
3558.00,98.90
3557.00,98.89
3556.00,98.88
3555.00,98.86
3554.00,98.83
3553.00,98.78
3552.00,98.74
3551.00,98.71
3550.00,98.71
3549.00,98.71
3548.00,98.72
3547.00,98.71
3546.00,98.71
3545.00,98.71
3544.00,98.71
3543.00,98.71
3542.00,98.70
3541.00,98.69
3540.00,98.69
3539.00,98.68
3538.00,98.66
3537.00,98.64
3536.00,98.61
3535.00,98.58
3534.00,98.55
3533.00,98.52
3532.00,98.50
3531.00,98.50
3530.00,98.51
3529.00,98.50
3528.00,98.46
3527.00,98.42
3526.00,98.40
3525.00,98.39
3524.00,98.40
3523.00,98.40
3522.00,98.39
3521.00,98.38
3520.00,98.38
3519.00,98.38
3518.00,98.38
3517.00,98.35
3516.00,98.33
3515.00,98.30
3514.00,98.30
3513.00,98.29
3512.00,98.28
3511.00,98.26
3510.00,98.24
3509.00,98.22
3508.00,98.20
3507.00,98.19
3506.00,98.19
3505.00,98.19
3504.00,98.19
3503.00,98.19
3502.00,98.18
3501.00,98.14
3500.00,98.10
3499.00,98.07
3498.00,98.05
3497.00,98.04
3496.00,98.04
3495.00,98.03
3494.00,98.01
3493.00,98.00
3492.00,98.01
3491.00,98.02
3490.00,98.04
3489.00,98.04
3488.00,98.04
3487.00,98.02
3486.00,98.01
3485.00,98.00
3484.00,98.00
3483.00,98.00
3482.00,97.99
3481.00,97.97
3480.00,97.93
3479.00,97.88
3478.00,97.84
3477.00,97.80
3476.00,97.78
3475.00,97.76
3474.00,97.75
3473.00,97.74
3472.00,97.75
3471.00,97.77
3470.00,97.78
3469.00,97.77
3468.00,97.75
3467.00,97.72
3466.00,97.71
3465.00,97.72
3464.00,97.73
3463.00,97.73
3462.00,97.72
3461.00,97.69
3460.00,97.66
3459.00,97.63
3458.00,97.61
3457.00,97.61
3456.00,97.60
3455.00,97.59
3454.00,97.58
3453.00,97.58
3452.00,97.58
3451.00,97.59
3450.00,97.59
3449.00,97.57
3448.00,97.54
3447.00,97.51
3446.00,97.50
3445.00,97.52
3444.00,97.53
3443.00,97.54
3442.00,97.52
3441.00,97.50
3440.00,97.48
3439.00,97.46
3438.00,97.44
3437.00,97.42
3436.00,97.41
3435.00,97.39
3434.00,97.36
3433.00,97.33
3432.00,97.30
3431.00,97.28
3430.00,97.26
3429.00,97.26
3428.00,97.26
3427.00,97.25
3426.00,97.24
3425.00,97.21
3424.00,97.19
3423.00,97.18
3422.00,97.17
3421.00,97.16
3420.00,97.15
3419.00,97.13
3418.00,97.13
3417.00,97.12
3416.00,97.13
3415.00,97.13
3414.00,97.14
3413.00,97.14
3412.00,97.13
3411.00,97.11
3410.00,97.07
3409.00,97.05
3408.00,97.03
3407.00,97.00
3406.00,96.98
3405.00,96.96
3404.00,96.95
3403.00,96.94
3402.00,96.92
3401.00,96.90
3400.00,96.89
3399.00,96.88
3398.00,96.87
3397.00,96.87
3396.00,96.88
3395.00,96.91
3394.00,96.93
3393.00,96.93
3392.00,96.91
3391.00,96.89
3390.00,96.87
3389.00,96.85
3388.00,96.81
3387.00,96.76
3386.00,96.71
3385.00,96.67
3384.00,96.67
3383.00,96.68
3382.00,96.70
3381.00,96.72
