Created as New Dataset,90. Du Pont
cm-1,%T
4000.00,100.14
3999.00,100.11
3998.00,100.09
3997.00,100.06
3996.00,100.04
3995.00,100.02
3994.00,100.02
3993.00,100.02
3992.00,100.03
3991.00,100.02
3990.00,100.02
3989.00,100.01
3988.00,100.01
3987.00,100.02
3986.00,100.03
3985.00,100.03
3984.00,100.04
3983.00,100.04
3982.00,100.04
3981.00,100.04
3980.00,100.04
3979.00,100.04
3978.00,100.04
3977.00,100.03
3976.00,100.03
3975.00,100.04
3974.00,100.06
3973.00,100.07
3972.00,100.08
3971.00,100.08
3970.00,100.07
3969.00,100.06
3968.00,100.05
3967.00,100.05
3966.00,100.06
3965.00,100.07
3964.00,100.07
3963.00,100.07
3962.00,100.07
3961.00,100.07
3960.00,100.07
3959.00,100.07
3958.00,100.06
3957.00,100.05
3956.00,100.04
3955.00,100.04
3954.00,100.05
3953.00,100.05
3952.00,100.05
3951.00,100.05
3950.00,100.06
3949.00,100.08
3948.00,100.09
3947.00,100.09
3946.00,100.09
3945.00,100.09
3944.00,100.09
3943.00,100.10
3942.00,100.11
3941.00,100.13
3940.00,100.14
3939.00,100.14
3938.00,100.14
3937.00,100.13
3936.00,100.13
3935.00,100.12
3934.00,100.10
3933.00,100.07
3932.00,100.07
3931.00,100.08
3930.00,100.11
3929.00,100.13
3928.00,100.14
3927.00,100.12
3926.00,100.10
3925.00,100.08
3924.00,100.07
3923.00,100.08
3922.00,100.10
3921.00,100.13
3920.00,100.14
3919.00,100.13
3918.00,100.12
3917.00,100.09
3916.00,100.08
3915.00,100.08
3914.00,100.08
3913.00,100.07
3912.00,100.06
3911.00,100.05
3910.00,100.06
3909.00,100.08
3908.00,100.09
3907.00,100.10
3906.00,100.09
3905.00,100.08
3904.00,100.08
3903.00,100.11
3902.00,100.13
3901.00,100.14
3900.00,100.13
3899.00,100.12
3898.00,100.14
3897.00,100.16
3896.00,100.17
3895.00,100.17
3894.00,100.15
3893.00,100.13
3892.00,100.10
3891.00,100.07
3890.00,100.07
3889.00,100.08
3888.00,100.10
3887.00,100.11
3886.00,100.11
3885.00,100.09
3884.00,100.09
3883.00,100.09
3882.00,100.09
3881.00,100.08
3880.00,100.07
3879.00,100.06
3878.00,100.08
3877.00,100.09
3876.00,100.10
3875.00,100.11
3874.00,100.12
3873.00,100.16
3872.00,100.18
3871.00,100.18
3870.00,100.15
3869.00,100.12
3868.00,100.11
3867.00,100.13
3866.00,100.13
3865.00,100.10
3864.00,100.07
3863.00,100.05
3862.00,100.05
3861.00,100.07
3860.00,100.09
3859.00,100.12
3858.00,100.15
3857.00,100.18
3856.00,100.22
3855.00,100.24
3854.00,100.24
3853.00,100.22
3852.00,100.22
3851.00,100.22
3850.00,100.20
3849.00,100.15
3848.00,100.12
3847.00,100.11
3846.00,100.13
3845.00,100.15
3844.00,100.16
3843.00,100.16
3842.00,100.17
3841.00,100.18
3840.00,100.19
3839.00,100.17
3838.00,100.15
3837.00,100.13
3836.00,100.12
3835.00,100.12
3834.00,100.10
3833.00,100.07
3832.00,100.05
3831.00,100.04
3830.00,100.04
3829.00,100.05
3828.00,100.06
3827.00,100.08
3826.00,100.09
3825.00,100.11
3824.00,100.13
3823.00,100.15
3822.00,100.14
3821.00,100.11
3820.00,100.11
3819.00,100.12
3818.00,100.13
3817.00,100.12
3816.00,100.09
3815.00,100.08
3814.00,100.08
3813.00,100.08
3812.00,100.07
3811.00,100.06
3810.00,100.07
3809.00,100.10
3808.00,100.13
3807.00,100.15
3806.00,100.15
3805.00,100.15
3804.00,100.14
3803.00,100.11
3802.00,100.06
3801.00,100.02
3800.00,100.00
3799.00,100.00
3798.00,100.00
3797.00,99.99
3796.00,99.99
3795.00,100.00
3794.00,100.02
3793.00,100.02
3792.00,100.01
3791.00,100.01
3790.00,100.02
3789.00,100.04
3788.00,100.06
3787.00,100.07
3786.00,100.07
3785.00,100.06
3784.00,100.05
3783.00,100.04
3782.00,100.03
3781.00,100.02
3780.00,100.01
3779.00,100.00
3778.00,99.98
3777.00,99.98
3776.00,99.97
3775.00,99.97
3774.00,99.98
3773.00,100.00
3772.00,100.02
3771.00,100.04
3770.00,100.04
3769.00,100.04
3768.00,100.03
3767.00,100.00
3766.00,99.97
3765.00,99.95
3764.00,99.95
3763.00,99.98
3762.00,100.01
3761.00,100.03
3760.00,100.03
3759.00,100.01
3758.00,99.99
3757.00,99.99
3756.00,100.00
3755.00,100.02
3754.00,100.06
3753.00,100.10
3752.00,100.13
3751.00,100.14
3750.00,100.15
3749.00,100.16
3748.00,100.17
3747.00,100.18
3746.00,100.17
3745.00,100.13
3744.00,100.10
3743.00,100.10
3742.00,100.11
3741.00,100.10
3740.00,100.08
3739.00,100.06
3738.00,100.06
3737.00,100.07
3736.00,100.07
3735.00,100.06
3734.00,100.05
3733.00,100.04
3732.00,100.01
3731.00,99.99
3730.00,99.99
3729.00,100.02
3728.00,100.06
3727.00,100.07
3726.00,100.06
3725.00,100.04
3724.00,100.04
3723.00,100.06
3722.00,100.07
3721.00,100.07
3720.00,100.05
3719.00,100.02
3718.00,99.99
3717.00,99.98
3716.00,99.98
3715.00,100.00
3714.00,100.02
3713.00,100.04
3712.00,100.06
3711.00,100.07
3710.00,100.06
3709.00,100.02
3708.00,99.98
3707.00,99.95
3706.00,99.93
3705.00,99.94
3704.00,99.94
3703.00,99.93
3702.00,99.93
3701.00,99.93
3700.00,99.96
3699.00,99.98
3698.00,99.99
3697.00,99.99
3696.00,99.97
3695.00,99.96
3694.00,99.95
3693.00,99.95
3692.00,99.95
3691.00,99.94
3690.00,99.91
3689.00,99.87
3688.00,99.86
3687.00,99.87
3686.00,99.90
3685.00,99.91
3684.00,99.91
3683.00,99.90
3682.00,99.89
3681.00,99.89
3680.00,99.88
3679.00,99.87
3678.00,99.86
3677.00,99.87
3676.00,99.88
3675.00,99.91
3674.00,99.95
3673.00,99.98
3672.00,99.99
3671.00,99.96
3670.00,99.92
3669.00,99.90
3668.00,99.90
3667.00,99.90
3666.00,99.88
3665.00,99.86
3664.00,99.84
3663.00,99.84
3662.00,99.85
3661.00,99.85
3660.00,99.87
3659.00,99.90
3658.00,99.92
3657.00,99.92
3656.00,99.90
3655.00,99.88
3654.00,99.87
3653.00,99.87
3652.00,99.87
3651.00,99.89
3650.00,99.91
3649.00,99.90
3648.00,99.89
3647.00,99.87
3646.00,99.87
3645.00,99.86
3644.00,99.84
3643.00,99.82
3642.00,99.80
3641.00,99.79
3640.00,99.78
3639.00,99.79
3638.00,99.79
3637.00,99.80
3636.00,99.79
3635.00,99.79
3634.00,99.79
3633.00,99.82
3632.00,99.86
3631.00,99.89
3630.00,99.88
3629.00,99.86
3628.00,99.84
3627.00,99.86
3626.00,99.87
3625.00,99.85
3624.00,99.80
3623.00,99.77
3622.00,99.76
3621.00,99.76
3620.00,99.78
3619.00,99.79
3618.00,99.81
3617.00,99.84
3616.00,99.86
3615.00,99.86
3614.00,99.84
3613.00,99.80
3612.00,99.77
3611.00,99.74
3610.00,99.74
3609.00,99.75
3608.00,99.76
3607.00,99.75
3606.00,99.74
3605.00,99.73
3604.00,99.71
3603.00,99.71
3602.00,99.71
3601.00,99.72
3600.00,99.72
3599.00,99.70
3598.00,99.67
3597.00,99.64
3596.00,99.64
3595.00,99.65
3594.00,99.68
3593.00,99.70
3592.00,99.71
3591.00,99.72
3590.00,99.72
3589.00,99.72
3588.00,99.72
3587.00,99.72
3586.00,99.72
3585.00,99.72
3584.00,99.71
3583.00,99.67
3582.00,99.62
3581.00,99.59
3580.00,99.57
3579.00,99.58
3578.00,99.58
3577.00,99.57
3576.00,99.56
3575.00,99.54
3574.00,99.52
3573.00,99.51
3572.00,99.50
3571.00,99.52
3570.00,99.57
3569.00,99.63
3568.00,99.67
3567.00,99.69
3566.00,99.68
3565.00,99.67
3564.00,99.63
3563.00,99.56
3562.00,99.48
3561.00,99.42
3560.00,99.40
3559.00,99.39
3558.00,99.39
3557.00,99.38
3556.00,99.37
3555.00,99.37
3554.00,99.39
3553.00,99.42
3552.00,99.44
3551.00,99.44
3550.00,99.42
3549.00,99.40
3548.00,99.38
3547.00,99.37
3546.00,99.37
3545.00,99.37
3544.00,99.38
3543.00,99.39
3542.00,99.39
3541.00,99.37
3540.00,99.34
3539.00,99.31
3538.00,99.28
3537.00,99.26
3536.00,99.25
3535.00,99.25
3534.00,99.26
3533.00,99.26
