Created as New Dataset,16.2 Bombyx mori
cm-1,%T
3648.00,96.97
3647.00,96.96
3646.00,96.95
3645.00,96.94
3644.00,96.91
3643.00,96.87
3642.00,96.82
3641.00,96.78
3640.00,96.77
3639.00,96.78
3638.00,96.78
3637.00,96.77
3636.00,96.74
3635.00,96.71
3634.00,96.69
3633.00,96.69
3632.00,96.70
3631.00,96.73
3630.00,96.75
3629.00,96.76
3628.00,96.74
3627.00,96.70
3626.00,96.66
3625.00,96.62
3624.00,96.58
3623.00,96.55
3622.00,96.53
3621.00,96.52
3620.00,96.51
3619.00,96.49
3618.00,96.48
3617.00,96.47
3616.00,96.48
3615.00,96.48
3614.00,96.48
3613.00,96.48
3612.00,96.47
3611.00,96.45
3610.00,96.42
3609.00,96.39
3608.00,96.38
3607.00,96.37
3606.00,96.37
3605.00,96.36
3604.00,96.32
3603.00,96.27
3602.00,96.22
3601.00,96.20
3600.00,96.20
3599.00,96.21
3598.00,96.23
3597.00,96.24
3596.00,96.24
3595.00,96.23
3594.00,96.21
3593.00,96.20
3592.00,96.19
3591.00,96.19
3590.00,96.17
3589.00,96.14
3588.00,96.10
3587.00,96.06
3586.00,96.03
3585.00,96.01
3584.00,96.00
3583.00,95.99
3582.00,95.97
3581.00,95.95
3580.00,95.93
3579.00,95.93
3578.00,95.93
3577.00,95.93
3576.00,95.93
3575.00,95.92
3574.00,95.89
3573.00,95.85
3572.00,95.80
3571.00,95.75
3570.00,95.72
3569.00,95.70
3568.00,95.69
3567.00,95.68
3566.00,95.67
3565.00,95.67
3564.00,95.67
3563.00,95.67
3562.00,95.67
3561.00,95.65
3560.00,95.62
3559.00,95.59
3558.00,95.56
3557.00,95.52
3556.00,95.49
3555.00,95.46
3554.00,95.44
3553.00,95.42
3552.00,95.40
3551.00,95.37
3550.00,95.34
3549.00,95.31
3548.00,95.29
3547.00,95.29
3546.00,95.27
3545.00,95.25
3544.00,95.23
3543.00,95.20
3542.00,95.18
3541.00,95.15
3540.00,95.12
3539.00,95.10
3538.00,95.09
3537.00,95.10
3536.00,95.11
3535.00,95.12
3534.00,95.11
3533.00,95.08
3532.00,95.05
3531.00,95.02
3530.00,95.00
3529.00,94.98
3528.00,94.95
3527.00,94.93
3526.00,94.91
3525.00,94.89
3524.00,94.89
3523.00,94.88
3522.00,94.87
3521.00,94.84
3520.00,94.81
3519.00,94.77
3518.00,94.75
3517.00,94.75
3516.00,94.76
3515.00,94.76
3514.00,94.74
3513.00,94.71
3512.00,94.68
3511.00,94.64
3510.00,94.63
3509.00,94.62
3508.00,94.63
3507.00,94.63
3506.00,94.61
3505.00,94.58
3504.00,94.56
3503.00,94.54
3502.00,94.54
3501.00,94.54
3500.00,94.54
3499.00,94.53
3498.00,94.52
3497.00,94.50
3496.00,94.47
3495.00,94.44
3494.00,94.41
3493.00,94.39
3492.00,94.39
3491.00,94.39
3490.00,94.38
3489.00,94.37
3488.00,94.35
3487.00,94.34
3486.00,94.34
3485.00,94.34
3484.00,94.33
3483.00,94.32
3482.00,94.31
3481.00,94.28
3480.00,94.25
3479.00,94.22
3478.00,94.21
3477.00,94.22
3476.00,94.22
3475.00,94.21
3474.00,94.19
3473.00,94.17
3472.00,94.15
3471.00,94.13
3470.00,94.12
3469.00,94.11
3468.00,94.10
3467.00,94.08
3466.00,94.06
3465.00,94.05
3464.00,94.04
3463.00,94.03
3462.00,94.01
3461.00,93.98
3460.00,93.96
3459.00,93.95
3458.00,93.97
3457.00,93.98
3456.00,93.98
3455.00,93.97
3454.00,93.95
3453.00,93.92
3452.00,93.88
3451.00,93.85
3450.00,93.81
3449.00,93.79
3448.00,93.78
3447.00,93.77
3446.00,93.76
3445.00,93.75
3444.00,93.74
3443.00,93.73
3442.00,93.72
3441.00,93.71
3440.00,93.69
3439.00,93.67
3438.00,93.65
3437.00,93.63
3436.00,93.63
3435.00,93.62
3434.00,93.62
3433.00,93.62
3432.00,93.62
3431.00,93.60
3430.00,93.57
3429.00,93.53
3428.00,93.51
3427.00,93.50
3426.00,93.49
3425.00,93.48
3424.00,93.46
3423.00,93.44
3422.00,93.42
3421.00,93.40
3420.00,93.37
3419.00,93.35
3418.00,93.34
3417.00,93.32
3416.00,93.31
3415.00,93.28
3414.00,93.25
3413.00,93.23
3412.00,93.21
3411.00,93.20
3410.00,93.18
3409.00,93.15
3408.00,93.12
3407.00,93.10
3406.00,93.08
3405.00,93.07
3404.00,93.04
3403.00,93.02
3402.00,93.00
3401.00,93.00
3400.00,92.99
3399.00,92.98
3398.00,92.96
3397.00,92.94
3396.00,92.92
3395.00,92.89
3394.00,92.85
3393.00,92.81
3392.00,92.78
3391.00,92.76
3390.00,92.75
3389.00,92.75
3388.00,92.76
3387.00,92.76
3386.00,92.76
3385.00,92.74
3384.00,92.70
3383.00,92.65
3382.00,92.60
3381.00,92.56
3380.00,92.54
3379.00,92.53
3378.00,92.53
3377.00,92.51
3376.00,92.49
