Created as New Dataset,103. Du Pont (Red thread)
cm-1,%T
3648.00,98.53
3647.00,98.52
3646.00,98.53
3645.00,98.56
3644.00,98.59
3643.00,98.62
3642.00,98.64
3641.00,98.65
3640.00,98.64
3639.00,98.65
3638.00,98.66
3637.00,98.67
3636.00,98.67
3635.00,98.65
3634.00,98.64
3633.00,98.63
3632.00,98.63
3631.00,98.62
3630.00,98.62
3629.00,98.61
3628.00,98.61
3627.00,98.61
3626.00,98.61
3625.00,98.61
3624.00,98.61
3623.00,98.59
3622.00,98.55
3621.00,98.50
3620.00,98.45
3619.00,98.41
3618.00,98.39
3617.00,98.40
3616.00,98.43
3615.00,98.48
3614.00,98.52
3613.00,98.54
3612.00,98.53
3611.00,98.50
3610.00,98.48
3609.00,98.47
3608.00,98.49
3607.00,98.53
3606.00,98.56
3605.00,98.59
3604.00,98.59
3603.00,98.58
3602.00,98.55
3601.00,98.53
3600.00,98.52
3599.00,98.52
3598.00,98.52
3597.00,98.52
3596.00,98.52
3595.00,98.52
3594.00,98.51
3593.00,98.51
3592.00,98.51
3591.00,98.50
3590.00,98.48
3589.00,98.45
3588.00,98.42
3587.00,98.41
3586.00,98.43
3585.00,98.45
3584.00,98.46
3583.00,98.46
3582.00,98.46
3581.00,98.44
3580.00,98.43
3579.00,98.42
3578.00,98.40
3577.00,98.39
3576.00,98.38
3575.00,98.39
3574.00,98.40
3573.00,98.41
3572.00,98.42
3571.00,98.43
3570.00,98.42
3569.00,98.40
3568.00,98.38
3567.00,98.37
3566.00,98.36
3565.00,98.35
3564.00,98.33
3563.00,98.31
3562.00,98.30
3561.00,98.30
3560.00,98.31
3559.00,98.32
3558.00,98.32
3557.00,98.32
3556.00,98.33
3555.00,98.33
3554.00,98.34
3553.00,98.34
3552.00,98.34
3551.00,98.33
3550.00,98.31
3549.00,98.28
3548.00,98.26
3547.00,98.25
3546.00,98.25
3545.00,98.25
3544.00,98.25
3543.00,98.25
3542.00,98.24
3541.00,98.23
3540.00,98.23
3539.00,98.23
3538.00,98.23
3537.00,98.23
3536.00,98.22
3535.00,98.20
3534.00,98.18
3533.00,98.16
3532.00,98.15
3531.00,98.13
3530.00,98.11
3529.00,98.10
3528.00,98.09
3527.00,98.08
3526.00,98.08
3525.00,98.07
3524.00,98.06
3523.00,98.06
3522.00,98.07
3521.00,98.08
3520.00,98.08
3519.00,98.06
3518.00,98.04
3517.00,98.02
3516.00,98.03
3515.00,98.04
3514.00,98.06
3513.00,98.05
3512.00,98.03
3511.00,98.00
3510.00,97.98
3509.00,97.97
3508.00,97.98
3507.00,98.00
3506.00,98.02
3505.00,98.04
3504.00,98.04
3503.00,98.03
3502.00,98.01
3501.00,97.99
3500.00,97.98
3499.00,97.98
3498.00,98.00
3497.00,98.01
3496.00,98.00
3495.00,97.99
3494.00,97.98
3493.00,97.98
3492.00,97.99
3491.00,97.98
3490.00,97.97
3489.00,97.95
3488.00,97.92
3487.00,97.91
3486.00,97.90
3485.00,97.90
3484.00,97.88
3483.00,97.86
3482.00,97.86
3481.00,97.86
3480.00,97.88
3479.00,97.89
3478.00,97.88
3477.00,97.86
3476.00,97.85
3475.00,97.85
3474.00,97.86
3473.00,97.88
3472.00,97.88
3471.00,97.88
3470.00,97.88
3469.00,97.87
3468.00,97.88
3467.00,97.89
3466.00,97.91
3465.00,97.92
3464.00,97.91
3463.00,97.88
3462.00,97.85
3461.00,97.82
3460.00,97.81
3459.00,97.80
3458.00,97.80
3457.00,97.81
3456.00,97.82
3455.00,97.81
3454.00,97.79
3453.00,97.75
3452.00,97.72
3451.00,97.69
3450.00,97.67
3449.00,97.65
3448.00,97.64
3447.00,97.64
3446.00,97.63
3445.00,97.63
3444.00,97.63
3443.00,97.64
3442.00,97.64
3441.00,97.63
3440.00,97.62
3439.00,97.60
3438.00,97.57
3437.00,97.56
3436.00,97.55
3435.00,97.56
3434.00,97.57
3433.00,97.57
3432.00,97.59
3431.00,97.61
3430.00,97.65
3429.00,97.67
3428.00,97.68
3427.00,97.68
3426.00,97.68
3425.00,97.67
3424.00,97.67
3423.00,97.67
3422.00,97.68
3421.00,97.68
3420.00,97.67
3419.00,97.66
3418.00,97.65
3417.00,97.66
3416.00,97.67
3415.00,97.68
3414.00,97.68
3413.00,97.66
3412.00,97.65
3411.00,97.63
3410.00,97.62
3409.00,97.61
3408.00,97.61
3407.00,97.60
3406.00,97.61
3405.00,97.62
3404.00,97.64
3403.00,97.65
3402.00,97.65
3401.00,97.63
3400.00,97.59
3399.00,97.55
3398.00,97.52
3397.00,97.51
3396.00,97.50
3395.00,97.51
3394.00,97.51
3393.00,97.51
3392.00,97.51
3391.00,97.51
3390.00,97.50
3389.00,97.48
3388.00,97.47
3387.00,97.47
3386.00,97.47
3385.00,97.46
3384.00,97.43
3383.00,97.39
3382.00,97.36
3381.00,97.34
3380.00,97.33
3379.00,97.33
3378.00,97.31
3377.00,97.29
3376.00,97.27
3375.00,97.26
3374.00,97.25
3373.00,97.25
3372.00,97.24
3371.00,97.22
3370.00,97.19
3369.00,97.15
3368.00,97.11
3367.00,97.08
3366.00,97.05
3365.00,97.03
3364.00,96.99
3363.00,96.96
3362.00,96.92
3361.00,96.88
3360.00,96.84
3359.00,96.81
3358.00,96.79
3357.00,96.78
3356.00,96.78
3355.00,96.77
3354.00,96.73
3353.00,96.67
3352.00,96.61
3351.00,96.54
3350.00,96.48
3349.00,96.42
3348.00,96.36
3347.00,96.30
3346.00,96.25
3345.00,96.20
3344.00,96.14
3343.00,96.08
3342.00,96.01
3341.00,95.94
3340.00,95.88
3339.00,95.82
3338.00,95.78
3337.00,95.74
3336.00,95.72
3335.00,95.69
3334.00,95.66
3333.00,95.62
3332.00,95.56
3331.00,95.49
3330.00,95.43
3329.00,95.36
3328.00,95.27
3327.00,95.18
3326.00,95.08
3325.00,94.98
3324.00,94.89
3323.00,94.82
3322.00,94.76
3321.00,94.71
3320.00,94.65
3319.00,94.59
3318.00,94.54
3317.00,94.49
3316.00,94.45
3315.00,94.40
3314.00,94.34
3313.00,94.28
3312.00,94.22
3311.00,94.17
3310.00,94.12
3309.00,94.06
3308.00,93.99
3307.00,93.93
3306.00,93.87
3305.00,93.82
3304.00,93.77
3303.00,93.72
3302.00,93.67
3301.00,93.60
3300.00,93.53
3299.00,93.47
3298.00,93.42
3297.00,93.40
3296.00,93.39
3295.00,93.38
3294.00,93.37
3293.00,93.37
3292.00,93.37
3291.00,93.35
3290.00,93.31
3289.00,93.26
3288.00,93.21
3287.00,93.18
3286.00,93.15
3285.00,93.14
3284.00,93.13
3283.00,93.12
3282.00,93.13
3281.00,93.14
3280.00,93.15
3279.00,93.15
3278.00,93.14
3277.00,93.12
3276.00,93.12
3275.00,93.13
3274.00,93.16
3273.00,93.19
3272.00,93.23
3271.00,93.25
3270.00,93.27
3269.00,93.29
3268.00,93.31
3267.00,93.33
3266.00,93.35
3265.00,93.36
3264.00,93.38
3263.00,93.40
3262.00,93.44
3261.00,93.49
3260.00,93.55
3259.00,93.61
3258.00,93.64
3257.00,93.67
3256.00,93.71
3255.00,93.75
3254.00,93.81
3253.00,93.88
