Created as New Dataset,68 Waxman (Black)
cm-1,%T
3648.00,95.05
3647.00,95.07
3646.00,95.09
3645.00,95.10
3644.00,95.09
3643.00,95.06
3642.00,95.04
3641.00,95.04
3640.00,95.04
3639.00,95.06
3638.00,95.08
3637.00,95.09
3636.00,95.09
3635.00,95.09
3634.00,95.10
3633.00,95.09
3632.00,95.07
3631.00,95.06
3630.00,95.06
3629.00,95.07
3628.00,95.06
3627.00,95.04
3626.00,95.02
3625.00,95.02
3624.00,95.02
3623.00,95.03
3622.00,95.04
3621.00,95.05
3620.00,95.06
3619.00,95.05
3618.00,95.03
3617.00,95.01
3616.00,95.01
3615.00,95.02
3614.00,95.04
3613.00,95.05
3612.00,95.04
3611.00,95.04
3610.00,95.06
3609.00,95.08
3608.00,95.11
3607.00,95.10
3606.00,95.09
3605.00,95.07
3604.00,95.06
3603.00,95.06
3602.00,95.07
3601.00,95.09
3600.00,95.10
3599.00,95.11
3598.00,95.12
3597.00,95.13
3596.00,95.13
3595.00,95.12
3594.00,95.10
3593.00,95.08
3592.00,95.05
3591.00,95.03
3590.00,95.02
3589.00,95.03
3588.00,95.04
3587.00,95.04
3586.00,95.03
3585.00,95.03
3584.00,95.03
3583.00,95.04
3582.00,95.06
3581.00,95.08
3580.00,95.09
3579.00,95.08
3578.00,95.08
3577.00,95.08
3576.00,95.10
3575.00,95.12
3574.00,95.13
3573.00,95.13
3572.00,95.12
3571.00,95.12
3570.00,95.11
3569.00,95.11
3568.00,95.11
3567.00,95.09
3566.00,95.07
3565.00,95.06
3564.00,95.06
3563.00,95.07
3562.00,95.07
3561.00,95.06
3560.00,95.06
3559.00,95.07
3558.00,95.09
3557.00,95.11
3556.00,95.12
3555.00,95.12
3554.00,95.13
3553.00,95.14
3552.00,95.14
3551.00,95.14
3550.00,95.12
3549.00,95.09
3548.00,95.08
3547.00,95.08
3546.00,95.09
3545.00,95.09
3544.00,95.09
3543.00,95.09
3542.00,95.07
3541.00,95.06
3540.00,95.04
3539.00,95.03
3538.00,95.03
3537.00,95.05
3536.00,95.08
3535.00,95.12
3534.00,95.14
3533.00,95.15
3532.00,95.15
3531.00,95.13
3530.00,95.11
