Created as New Dataset,Puma stretch viscose (Pink)
cm-1,%T
3648.00,97.03
3647.00,97.01
3646.00,96.99
3645.00,97.00
3644.00,97.01
3643.00,97.02
3642.00,97.02
3641.00,96.99
3640.00,96.97
3639.00,96.95
3638.00,96.94
3637.00,96.92
3636.00,96.91
3635.00,96.88
3634.00,96.86
3633.00,96.85
3632.00,96.87
3631.00,96.91
3630.00,96.93
3629.00,96.92
3628.00,96.88
3627.00,96.85
3626.00,96.85
3625.00,96.86
3624.00,96.86
3623.00,96.84
3622.00,96.82
3621.00,96.78
3620.00,96.74
3619.00,96.69
3618.00,96.64
3617.00,96.62
3616.00,96.62
3615.00,96.63
3614.00,96.64
3613.00,96.63
3612.00,96.61
3611.00,96.61
3610.00,96.61
3609.00,96.60
3608.00,96.58
3607.00,96.54
3606.00,96.51
3605.00,96.50
3604.00,96.48
3603.00,96.46
3602.00,96.42
3601.00,96.39
3600.00,96.36
3599.00,96.36
3598.00,96.36
3597.00,96.37
3596.00,96.37
3595.00,96.37
3594.00,96.36
3593.00,96.35
3592.00,96.34
3591.00,96.32
3590.00,96.31
3589.00,96.30
3588.00,96.29
3587.00,96.27
3586.00,96.24
3585.00,96.21
3584.00,96.17
3583.00,96.13
3582.00,96.09
3581.00,96.07
3580.00,96.07
3579.00,96.06
3578.00,96.06
3577.00,96.05
3576.00,96.04
3575.00,96.01
3574.00,95.98
3573.00,95.95
3572.00,95.92
3571.00,95.90
3570.00,95.87
3569.00,95.84
3568.00,95.82
3567.00,95.79
3566.00,95.78
3565.00,95.76
3564.00,95.75
3563.00,95.74
3562.00,95.74
3561.00,95.73
3560.00,95.70
3559.00,95.67
3558.00,95.62
3557.00,95.57
3556.00,95.53
3555.00,95.50
3554.00,95.49
3553.00,95.49
3552.00,95.49
3551.00,95.48
3550.00,95.46
3549.00,95.43
3548.00,95.39
3547.00,95.37
3546.00,95.33
3545.00,95.29
3544.00,95.23
3543.00,95.19
3542.00,95.16
3541.00,95.16
3540.00,95.16
3539.00,95.14
3538.00,95.12
3537.00,95.10
3536.00,95.09
3535.00,95.09
3534.00,95.08
3533.00,95.06
3532.00,95.02
3531.00,94.99
3530.00,94.97
3529.00,94.96
3528.00,94.94
3527.00,94.90
3526.00,94.87
3525.00,94.84
3524.00,94.82
3523.00,94.79
3522.00,94.77
3521.00,94.75
3520.00,94.73
3519.00,94.70
3518.00,94.67
3517.00,94.65
3516.00,94.66
3515.00,94.66
3514.00,94.66
3513.00,94.62
3512.00,94.56
3511.00,94.49
3510.00,94.44
3509.00,94.39
3508.00,94.35
3507.00,94.31
3506.00,94.28
3505.00,94.25
3504.00,94.22
3503.00,94.18
3502.00,94.14
3501.00,94.09
3500.00,94.03
3499.00,93.98
3498.00,93.93
3497.00,93.90
3496.00,93.89
3495.00,93.87
3494.00,93.84
3493.00,93.79
3492.00,93.74
3491.00,93.68
3490.00,93.62
3489.00,93.57
3488.00,93.55
3487.00,93.54
3486.00,93.54
3485.00,93.54
3484.00,93.54
3483.00,93.53
3482.00,93.52
3481.00,93.50
3480.00,93.47
3479.00,93.42
3478.00,93.38
3477.00,93.35
3476.00,93.33
3475.00,93.32
3474.00,93.30
3473.00,93.27
3472.00,93.25
3471.00,93.23
3470.00,93.22
3469.00,93.20
3468.00,93.16
3467.00,93.11
3466.00,93.04
3465.00,92.98
3464.00,92.94
3463.00,92.93
3462.00,92.93
3461.00,92.92
3460.00,92.88
3459.00,92.83
3458.00,92.77
3457.00,92.71
3456.00,92.66
3455.00,92.62
3454.00,92.58
3453.00,92.56
3452.00,92.53
3451.00,92.49
3450.00,92.43
3449.00,92.39
3448.00,92.36
3447.00,92.35
3446.00,92.35
3445.00,92.33
3444.00,92.31
3443.00,92.27
3442.00,92.24
3441.00,92.20
3440.00,92.18
3439.00,92.15
3438.00,92.13
3437.00,92.12
3436.00,92.11
3435.00,92.10
3434.00,92.09
3433.00,92.08
3432.00,92.06
3431.00,92.04
3430.00,92.01
3429.00,91.98
3428.00,91.96
3427.00,91.96
3426.00,91.97
3425.00,91.98
3424.00,91.99
3423.00,91.99
3422.00,91.98
3421.00,91.97
3420.00,91.95
3419.00,91.91
3418.00,91.88
3417.00,91.83
3416.00,91.79
3415.00,91.77
3414.00,91.77
3413.00,91.77
3412.00,91.78
3411.00,91.76
3410.00,91.74
3409.00,91.71
3408.00,91.70
3407.00,91.71
3406.00,91.73
3405.00,91.75
3404.00,91.74
3403.00,91.71
3402.00,91.68
3401.00,91.67
3400.00,91.67
3399.00,91.67
3398.00,91.67
3397.00,91.65
3396.00,91.61
3395.00,91.58
3394.00,91.55
3393.00,91.53
3392.00,91.50
3391.00,91.49
3390.00,91.47
3389.00,91.46
3388.00,91.45
3387.00,91.44
3386.00,91.41
3385.00,91.38
3384.00,91.37
3383.00,91.37
3382.00,91.39
3381.00,91.41
3380.00,91.40
3379.00,91.38
3378.00,91.36
3377.00,91.33
3376.00,91.32
3375.00,91.32
3374.00,91.32
3373.00,91.32
3372.00,91.31
3371.00,91.30
3370.00,91.27
3369.00,91.25
3368.00,91.22
3367.00,91.19
3366.00,91.17
3365.00,91.16
3364.00,91.16
3363.00,91.16
3362.00,91.14
3361.00,91.12
3360.00,91.09
3359.00,91.08
3358.00,91.09
3357.00,91.09
3356.00,91.10
3355.00,91.10
3354.00,91.11
3353.00,91.12
3352.00,91.13
3351.00,91.13
3350.00,91.11
3349.00,91.09
3348.00,91.08
3347.00,91.09
3346.00,91.11
3345.00,91.13
3344.00,91.13
3343.00,91.12
3342.00,91.09
3341.00,91.07
3340.00,91.06
3339.00,91.07
3338.00,91.08
3337.00,91.09
3336.00,91.08
3335.00,91.08
3334.00,91.08
3333.00,91.08
3332.00,91.08
3331.00,91.07
3330.00,91.06
3329.00,91.04
3328.00,91.03
3327.00,91.03
3326.00,91.03
3325.00,91.03
3324.00,91.03
3323.00,91.04
3322.00,91.05
3321.00,91.08
3320.00,91.11
3319.00,91.12
3318.00,91.11
3317.00,91.10
3316.00,91.09
3315.00,91.08
3314.00,91.08
3313.00,91.08
3312.00,91.08
3311.00,91.09
3310.00,91.10
3309.00,91.10
3308.00,91.10
3307.00,91.10
3306.00,91.11
3305.00,91.12
3304.00,91.13
3303.00,91.13
3302.00,91.13
3301.00,91.13
3300.00,91.13
3299.00,91.13
3298.00,91.11
3297.00,91.09
3296.00,91.07
3295.00,91.07
3294.00,91.07
3293.00,91.09
3292.00,91.12
3291.00,91.15
3290.00,91.17
3289.00,91.17
3288.00,91.16
3287.00,91.15
3286.00,91.15
3285.00,91.15
3284.00,91.14
3283.00,91.14
3282.00,91.12
3281.00,91.12
3280.00,91.12
3279.00,91.12
3278.00,91.12
3277.00,91.12
3276.00,91.13
3275.00,91.15
3274.00,91.17
3273.00,91.18
3272.00,91.19
3271.00,91.21
3270.00,91.23
3269.00,91.25
3268.00,91.27
3267.00,91.29
3266.00,91.32
3265.00,91.34
3264.00,91.35
3263.00,91.36
3262.00,91.36
3261.00,91.35
3260.00,91.34
3259.00,91.34
3258.00,91.35
3257.00,91.38
3256.00,91.40
3255.00,91.42
3254.00,91.43
3253.00,91.43
3252.00,91.43
3251.00,91.42
3250.00,91.41
3249.00,91.41
3248.00,91.43
3247.00,91.44
3246.00,91.46
3245.00,91.48
3244.00,91.50
3243.00,91.52
3242.00,91.54
3241.00,91.54
3240.00,91.55
3239.00,91.57
3238.00,91.59
3237.00,91.61
3236.00,91.64
3235.00,91.66
3234.00,91.67
3233.00,91.67
3232.00,91.66
3231.00,91.65
3230.00,91.65
3229.00,91.66
3228.00,91.67
3227.00,91.69
3226.00,91.71
3225.00,91.73
3224.00,91.75
3223.00,91.76
3222.00,91.76
3221.00,91.78
3220.00,91.80
3219.00,91.82
3218.00,91.84
3217.00,91.85
3216.00,91.86
3215.00,91.88
3214.00,91.90
3213.00,91.93
3212.00,91.94
3211.00,91.95
3210.00,91.94
3209.00,91.94
3208.00,91.95
3207.00,91.97
3206.00,91.99
3205.00,92.01
3204.00,92.03
3203.00,92.04
3202.00,92.06
3201.00,92.08
3200.00,92.10
3199.00,92.12
3198.00,92.15
3197.00,92.17
3196.00,92.20
3195.00,92.21
3194.00,92.21
3193.00,92.20
3192.00,92.21
3191.00,92.24
3190.00,92.27
3189.00,92.31
3188.00,92.34
3187.00,92.36
3186.00,92.37
3185.00,92.37
3184.00,92.36
3183.00,92.36
3182.00,92.36
3181.00,92.37
3180.00,92.38
3179.00,92.41
3178.00,92.46
3177.00,92.51
3176.00,92.55
3175.00,92.57
3174.00,92.57
3173.00,92.57
3172.00,92.57
3171.00,92.59
3170.00,92.62
3169.00,92.64
3168.00,92.66
3167.00,92.67
3166.00,92.68
3165.00,92.69
3164.00,92.70
3163.00,92.71
3162.00,92.73
3161.00,92.76
3160.00,92.79
3159.00,92.82
3158.00,92.85
3157.00,92.86
3156.00,92.87
3155.00,92.88
3154.00,92.90
3153.00,92.92
3152.00,92.93
3151.00,92.95
3150.00,92.97
3149.00,92.99
3148.00,93.03
3147.00,93.05
3146.00,93.07
3145.00,93.07
3144.00,93.08
3143.00,93.10
3142.00,93.13
3141.00,93.17
3140.00,93.20
3139.00,93.22
3138.00,93.24
3137.00,93.26
3136.00,93.29
3135.00,93.32
3134.00,93.35
3133.00,93.38
3132.00,93.39
3131.00,93.40
3130.00,93.40
3129.00,93.42
3128.00,93.44
3127.00,93.47
3126.00,93.50
3125.00,93.52
3124.00,93.55
3123.00,93.58
3122.00,93.60
3121.00,93.62
3120.00,93.63
3119.00,93.64
3118.00,93.65
3117.00,93.66
3116.00,93.69
3115.00,93.72
3114.00,93.74
3113.00,93.77
3112.00,93.78
3111.00,93.80
3110.00,93.83
3109.00,93.86
3108.00,93.89
3107.00,93.91
3106.00,93.92
3105.00,93.93
3104.00,93.94
3103.00,93.96
3102.00,93.98
3101.00,94.01
3100.00,94.04
3099.00,94.08
3098.00,94.12
3097.00,94.14
3096.00,94.15
3095.00,94.16
3094.00,94.17
3093.00,94.20
3092.00,94.24
3091.00,94.27
3090.00,94.30
3089.00,94.31
3088.00,94.33
