Created as New Dataset,17. Cyanenka SA
cm-1,%T
4000.00,98.99
3999.00,98.97
3998.00,98.96
3997.00,98.95
3996.00,98.95
3995.00,98.94
3994.00,98.94
3993.00,98.93
3992.00,98.93
3991.00,98.94
3990.00,98.95
3989.00,98.96
3988.00,98.97
3987.00,98.96
3986.00,98.95
3985.00,98.94
3984.00,98.94
3983.00,98.94
3982.00,98.95
3981.00,98.95
3980.00,98.96
3979.00,98.97
3978.00,98.99
3977.00,99.00
3976.00,99.00
3975.00,98.98
3974.00,98.95
3973.00,98.93
3972.00,98.92
3971.00,98.94
3970.00,98.96
3969.00,98.97
3968.00,98.97
3967.00,98.96
3966.00,98.94
3965.00,98.93
3964.00,98.92
3963.00,98.91
3962.00,98.91
3961.00,98.91
3960.00,98.91
3959.00,98.92
3958.00,98.92
3957.00,98.93
3956.00,98.94
3955.00,98.95
3954.00,98.97
3953.00,98.98
3952.00,99.00
3951.00,99.00
3950.00,99.00
3949.00,99.00
3948.00,99.01
3947.00,99.00
3946.00,98.99
3945.00,98.97
3944.00,98.95
3943.00,98.94
3942.00,98.93
3941.00,98.94
3940.00,98.95
3939.00,98.95
3938.00,98.95
3937.00,98.95
3936.00,98.93
3935.00,98.92
3934.00,98.91
3933.00,98.91
3932.00,98.91
3931.00,98.90
3930.00,98.89
3929.00,98.89
3928.00,98.89
3927.00,98.89
3926.00,98.90
3925.00,98.90
3924.00,98.89
3923.00,98.89
3922.00,98.89
3921.00,98.89
3920.00,98.88
3919.00,98.87
3918.00,98.86
3917.00,98.87
3916.00,98.88
3915.00,98.90
3914.00,98.92
3913.00,98.95
3912.00,98.97
3911.00,98.98
3910.00,98.97
3909.00,98.95
3908.00,98.93
3907.00,98.91
3906.00,98.91
3905.00,98.93
3904.00,98.94
3903.00,98.93
3902.00,98.91
3901.00,98.89
3900.00,98.89
3899.00,98.90
3898.00,98.90
3897.00,98.90
3896.00,98.89
3895.00,98.89
3894.00,98.89
3893.00,98.90
3892.00,98.93
3891.00,98.95
3890.00,98.97
3889.00,98.97
3888.00,98.96
3887.00,98.96
3886.00,98.96
3885.00,98.96
3884.00,98.95
3883.00,98.93
3882.00,98.93
3881.00,98.94
3880.00,98.94
3879.00,98.94
3878.00,98.92
3877.00,98.91
3876.00,98.91
3875.00,98.93
3874.00,98.92
3873.00,98.89
3872.00,98.84
3871.00,98.81
3870.00,98.82
3869.00,98.84
3868.00,98.86
3867.00,98.87
3866.00,98.88
3865.00,98.89
3864.00,98.88
3863.00,98.87
3862.00,98.87
3861.00,98.90
3860.00,98.93
3859.00,98.95
3858.00,98.96
3857.00,98.94
3856.00,98.91
3855.00,98.90
3854.00,98.91
3853.00,98.92
3852.00,98.93
3851.00,98.92
3850.00,98.91
3849.00,98.90
3848.00,98.90
3847.00,98.90
3846.00,98.91
3845.00,98.91
3844.00,98.91
3843.00,98.91
3842.00,98.92
3841.00,98.93
3840.00,98.93
3839.00,98.92
3838.00,98.90
3837.00,98.88
3836.00,98.87
3835.00,98.88
3834.00,98.88
3833.00,98.87
3832.00,98.85
3831.00,98.83
3830.00,98.82
3829.00,98.82
3828.00,98.83
3827.00,98.85
3826.00,98.86
3825.00,98.85
3824.00,98.82
3823.00,98.79
3822.00,98.77
3821.00,98.76
3820.00,98.74
3819.00,98.72
3818.00,98.71
3817.00,98.73
3816.00,98.76
3815.00,98.77
3814.00,98.77
3813.00,98.76
3812.00,98.75
3811.00,98.74
3810.00,98.72
3809.00,98.72
3808.00,98.74
3807.00,98.77
3806.00,98.78
3805.00,98.76
3804.00,98.73
3803.00,98.71
3802.00,98.74
3801.00,98.77
3800.00,98.79
3799.00,98.79
3798.00,98.78
3797.00,98.77
3796.00,98.75
3795.00,98.73
3794.00,98.71
3793.00,98.70
3792.00,98.70
3791.00,98.71
3790.00,98.73
3789.00,98.75
3788.00,98.77
3787.00,98.77
3786.00,98.76
3785.00,98.73
3784.00,98.70
3783.00,98.68
3782.00,98.68
3781.00,98.70
3780.00,98.71
3779.00,98.72
3778.00,98.71
3777.00,98.70
3776.00,98.69
3775.00,98.68
3774.00,98.68
3773.00,98.68
3772.00,98.70
3771.00,98.72
3770.00,98.72
3769.00,98.69
3768.00,98.65
3767.00,98.63
3766.00,98.65
3765.00,98.68
3764.00,98.70
3763.00,98.70
3762.00,98.68
3761.00,98.66
3760.00,98.63
3759.00,98.60
3758.00,98.59
3757.00,98.60
3756.00,98.61
3755.00,98.63
3754.00,98.67
3753.00,98.70
3752.00,98.71
3751.00,98.69
3750.00,98.67
3749.00,98.66
3748.00,98.66
3747.00,98.65
3746.00,98.67
3745.00,98.70
3744.00,98.70
3743.00,98.66
3742.00,98.63
3741.00,98.60
3740.00,98.58
3739.00,98.57
3738.00,98.58
3737.00,98.61
3736.00,98.63
3735.00,98.63
3734.00,98.61
3733.00,98.59
